,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0001825171159357476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001790492907329684,0.0
0.01,0.0001858959675435829,-4.015545633246375e-09,-1.0933581172973642e-06,-1.2641511536027972e-10,-2.505459795773296e-08,-8.753415950935722e-08,-1.6970429577039446e-05,-4.8371535285917247e-14,-1.732426059702281e-11,-0.00021263846450944918,-2.5071992030399224e-06,-0.0016088096608044657,-5.408973676329702e-09
0.02,0.00018125065074773032,-2.993883323527617e-08,-4.162313006327305e-06,-5.007353668164767e-10,-4.979898886133194e-08,-3.319793469511277e-07,-3.182839339387476e-05,-1.0620239784774647e-12,-2.008207225471857e-10,-0.000399694097961468,-2.4509775341873636e-06,-0.0013635113468572194,-3.254264199930159e-08
0.03,0.0001848391193511427,-9.479556606845944e-08,-8.942930645739183e-06,-1.12281718090683e-09,-7.470085562564612e-08,-7.154594507943532e-07,-4.4727928877882564e-05,-5.801903187754498e-12,-7.984922207400227e-10,-0.0005534168630310113,-2.5394143617084894e-06,-0.0012144218386417422,-8.983974466275986e-08
0.04,0.00018122009242481084,-2.139618379289564e-07,-1.508016176518913e-05,-1.998029853925688e-09,-1.0048637529761657e-07,-1.2198764128464904e-06,-5.5861390364696784e-05,-1.9713988507020932e-11,-2.119416977981045e-09,-0.0006669479624918833,-2.6194592633467908e-06,-0.001010313117684438,-1.793749141335157e-07
0.05,0.00018520317671044735,-3.9936896823753866e-07,-2.2126405356892625e-05,-3.1371058594322512e-09,-1.2761951740622808e-07,-1.827186537172626e-06,-6.535726591638629e-05,-5.1734548821150686e-11,-4.478493291195776e-09,-0.0007345557555564415,-2.825672703139423e-06,-0.0008971885794750926,-2.967507078190797e-07
0.06,0.00018152109077628755,-6.579126002548657e-07,-2.9614335551486097e-05,-4.556667410828711e-09,-1.5659355313245613e-07,-2.5224728492560886e-06,-7.346504146370235e-05,-1.1356115542462614e-10,-8.116558003580809e-09,-0.0007548058823703339,-2.9640992222090563e-06,-0.000723950184935747,-4.332316150716655e-07
0.07,0.00018507251898828238,-9.915265467581234e-07,-3.7061293899139586e-05,-6.27501462031279e-09,-1.873961786855648e-07,-3.292022066007867e-06,-8.023797918943205e-05,-2.1876236297017557e-10,-1.3169482914251467e-08,-0.0007265858827372742,-3.1985566157614496e-06,-0.0006373061014988765,-5.777203304410791e-07
0.08,0.0001790585823151555,-1.3973990917215054e-06,-4.39938420576292e-05,-8.310610618746967e-09,-2.1998117566542396e-07,-4.123305734995712e-06,-8.580592887610926e-05,-3.817011788646873e-10,-1.965654652960006e-08,-0.0006521787565369015,-3.3047597757063056e-06,-0.00047170068188127673,-7.181302299127534e-07
0.09,0.00018138261843495763,-1.8681097484518992e-06,-4.9962254599655154e-05,-1.0678900516529944e-08,-2.5391990571201347e-07,-5.004110100004595e-06,-9.018746429505522e-05,-6.16291557805401e-10,-2.7476095512096788e-08,-0.0005349471637340451,-3.4759246823536528e-06,-0.00040293746949385484,-8.423905881662983e-07
0.1,0.00017736497817440108,-2.392023113470074e-06,-5.457994482123389e-05,-1.3392593656326147e-08,-2.889635708582839e-07,-5.923924121962947e-06,-9.360788596260623e-05,-9.348481781055286e-10,-3.640979908661531e-08,-0.0003829728524933119,-3.52730169693124e-06,-0.0002842766221602777,-9.393583324608593e-07
0.11,0.00018203965625613342,-2.9540126989409885e-06,-5.75486357339322e-05,-1.646038968625952e-08,-3.247215039444388e-07,-6.874113333178437e-06,-9.630052402129428e-05,-1.3468705439387006e-09,-4.613507007583711e-08,-0.00020637552613549256,-3.6180196427567594e-06,-0.0002599104613413233,-9.997874501095736e-07
0.12,0.00017629236523000389,-3.536598207553418e-06,-5.866460534392679e-05,-1.9886213817696456e-08,-3.604714204224848e-07,-7.847643887486643e-06,-9.829458325767049e-05,-1.8584196175131483e-09,-5.6253179311376996e-08,-1.3982615235793683e-05,-3.5299558748546917e-06,-0.00014130314487194816,-1.0167811162324888e-06
0.13,0.0001791341763334936,-4.120647023212974e-06,-5.781444696750019e-05,-2.3665982642189205e-08,-3.953617308932578e-07,-8.837588671173192e-06,-9.9598635161456e-05,-2.4712923700211536e-09,-6.630825376112113e-08,0.00018477769766928233,-3.4339580924831227e-06,-0.00011399191766575369,-9.862024319186172e-07
0.14,0.0001765783441544729,-4.686350160460312e-06,-5.499355208822277e-05,-2.7787969326625533e-08,-4.2876089033123915e-07,-9.837888807188702e-06,-0.00010036715093945861,-3.1824150801955085e-09,-7.5815236312121e-08,0.00037840034967133945,-3.2310053919072136e-06,-3.795528573036081e-05,-9.069333732739827e-07
