,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0010951026956144854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010742957443978102,0.0
0.01,0.0011153758052614973,-4.925669894388458e-07,-0.00010797685770584685,-1.2653185978621314e-08,-1.3290340832847729e-06,-4.59223714176552e-08,3.8142221436782794e-07,-3.4787489489385206e-13,-8.421385301911578e-11,-0.010851419304453894,2.0902393057595746e-05,0.00016483598637100777,-9.577873412838324e-09
0.02,0.001087503904486382,-2.090092137987004e-06,-0.00020981133199487488,-2.5894516102169576e-08,-1.3568832246178707e-06,-4.3681434949539325e-08,3.146765301502616e-08,-1.6407786463975552e-12,-1.726388415968736e-10,-0.009675556565593785,-8.447272648323158e-06,-2.2482838558544535e-08,-8.38031594879893e-09
0.03,0.0011090347161068562,-4.656345653382231e-06,-0.00030193908474256104,-4.016255730096694e-08,-1.5101728742783154e-06,-4.474579706720847e-08,-1.7267653796063607e-07,-3.7720478980959044e-12,-2.523049595186758e-10,-0.008729261853745868,-1.688213040046578e-05,4.12088860216259e-07,-7.56326404202753e-09
0.04,0.0010873205545488649,-8.08605637656406e-06,-0.0003809998464621258,-5.599068681033511e-08,-1.65537899833956e-06,-4.529268659593867e-08,-1.7736727156244655e-08,-6.652211185164034e-12,-3.212445091826993e-10,-0.006977376566263195,-1.8168078602187956e-05,-7.914966926729147e-06,-6.100678745371159e-09
0.05,0.0011112190602626843,-1.2218093007070938e-05,-0.0004428512910422202,-7.365613851062758e-08,-1.8884040237136054e-06,-4.695798109212539e-08,-2.1766141239533309e-07,-1.01458589709217e-11,-3.7525185698935295e-10,-0.005393003700031382,-2.289179306966954e-05,3.83407124839117e-06,-4.733733839267778e-09
0.06,0.0010891265446577253,-1.6880697744213076e-05,-0.0004857688852616965,-9.357178092463277e-08,-2.0912602623461547e-06,-4.785564085594817e-08,-4.811514832799646e-08,-1.4105692333580948e-11,-4.1344748653328765e-10,-0.0031077113697860663,-2.2927026039253062e-05,-1.0340573872364301e-05,-2.8020834126891005e-09
0.07,0.0011104351139296941,-2.186028248313689e-05,-0.0005069163778485103,-1.1580022280826796e-07,-2.361853798755941e-06,-4.969850622100396e-08,-2.4363512945535876e-07,-1.8350579050796216e-11,-4.3270375026549744e-10,-0.0011532628664070346,-2.665782792014501e-05,9.446656999059517e-06,-1.1024522716577374e-09
0.08,0.001074351493890933,-2.6945490558082105e-05,-0.0005057238446980548,-1.4047987867696025e-07,-2.568456281003627e-06,-5.037145213238955e-08,-3.772319062385845e-09,-2.269861920009621e-11,-4.3318445892126395e-10,0.0014281814576931093,-2.1184762397902235e-05,1.1774743439271936e-06,1.0776405722843336e-09
0.09,0.0010882957106097457,-3.189551939928732e-05,-0.0004809971794692907,-1.6741844410004597e-07,-2.82489444900234e-06,-5.1790730155902135e-08,-2.143417422620473e-07,-2.6944493569906335e-11,-4.1308655131195354e-10,0.0034380348885979803,-2.3775260983772972e-05,3.563053352492393e-06,2.8445753143998003e-09
0.1,0.0010641898690464066,-3.6495289629392886e-05,-0.0004355323280619355,-1.9668481283376428e-07,-3.0206371855535877e-06,-5.269901311510226e-08,-2.511412469382282e-08,-3.0901058681335805e-11,-3.75310406022785e-10,0.005654691183923141,-1.9132783604769443e-05,9.092902067432511e-06,4.734747974812186e-09
0.11,0.0010922379375368006,-4.054015697779654e-05,-0.000371172903801704,-2.280092613543882e-07,-3.245848714496718e-06,-5.4364376797800153e-08,-2.3508457883776002e-07,-3.439197131236496e-11,-3.2083257306769685e-10,0.007119719368653357,-2.047468407671664e-05,2.387745660304731e-06,6.0475215920890914e-09
0.12,0.0010577541913800233,-4.386719305043938e-05,-0.00029124616408631544,-2.6114001547211506e-07,-3.3633772158276358e-06,-5.4724595657104346e-08,7.681272670116347e-08,-3.7274664248079694e-11,-2.532008730019208e-10,0.0088865873793585,-1.0444578306952751e-05,-1.4865464170411066e-05,7.538469480777626e-09
0.13,0.0010748050580009617,-4.631830626650608e-05,-0.00019765112123247748,-2.954631568653753e-07,-3.5004258239531337e-06,-5.559151918082779e-08,-1.4383941733103075e-07,-3.9413206852901456e-11,-1.7325662818946435e-10,0.009712569750370638,-1.0131512691094469e-05,1.2738128139842039e-05,8.307345785944352e-09
0.14,0.0010594700649268374,-4.779471346385352e-05,-9.655643675251706e-05,-3.30757506237894e-07,-3.5491058564560994e-06,-5.585315093878112e-08,3.6235269315759916e-08,-4.0718360644253665e-11,-8.684261668473002e-11,0.010457269653413348,-3.0559641792018283e-06,8.24598990140004e-06,8.952376227011898e-09
0.15,0.0011136375719662055,-4.824023196278534e-05,6.757120638992481e-06,-3.6662964345504566e-07,-3.6260538794655564e-06,-5.7347206405754375e-08,-2.3197771771385662e-07,-4.1139250110203515e-11,2.1974534195548664e-12,0.010064359866548656,-4.462233879497582e-06,6.1572541586417395e-06,8.690440284274913e-09
0.16,0.0011116438954837601,-4.7674141572334616e-05,0.00010607703465621027,-4.02787482662307e-07,-3.5878105719027212e-06,-5.77731924420551e-08,6.358889940929722e-08,-4.068788219268375e-11,8.769963518234322e-11,0.009802790971409113,5.848078773533841e-06,-1.847683250886297e-05,8.448232366015899e-09
0.17,0.0010671080194931835,-4.612892614259238e-05,0.0002025235433211878,-4.3808860490114395e-07,-3.4576274260488703e-06,-5.614612977578713e-08,2.668290942125213e-07,-3.939393795528426e-11,1.706862040488157e-10,0.00949062935527226,1.6793412684915077e-05,-3.0532995997640915e-06,8.162525716149088e-09
0.18,0.001004712802582167,-4.363811422380929e-05,0.0002949143269183431,-4.7171014176253714e-07,-3.261298435538736e-06,-5.3153254845945014e-08,3.13017127278293e-07,-3.728624800244243e-11,2.5025965105663174e-10,0.008930444466871355,2.0983869394626195e-05,2.327310984558779e-05,7.706787405310452e-09
0.19,0.0010662369378979443,-4.027191179496198e-05,0.00037467316754671853,-5.037477123554704e-07,-3.1613069410115825e-06,-5.323071750558911e-08,-1.9192044486238006e-07,-3.442018618806033e-11,3.2003704876071206e-10,0.006793966407647723,1.2609913611965826e-05,3.2209201850680325e-05,5.98027764021371e-09
0.2,0.001078003450628659,-3.6217568940368886e-05,0.00043319497245941315,-5.344369192325651e-07,-2.9680215875293993e-06,-5.310960807051166e-08,9.089961421471592e-08,-3.094975367560684e-11,3.714389129097885e-10,0.00489872518176865,1.9665478917569104e-05,-4.295669403233445e-06,4.328880191826546e-09
0.21,0.0011201537447271084,-3.167975110639764e-05,0.0004702971460800214,-5.632244101657014e-07,-2.7909894978618767e-06,-5.310506907250224e-08,-3.633144221526531e-08,-2.7051542272262254e-11,4.047649871211493e-10,0.002461747484353573,1.9793558409890097e-05,5.977014534827227e-07,2.261641266931467e-09
0.22,0.0011252523094345264,-2.6890555196579257e-05,0.0004839210830489479,-5.900107079270425e-07,-2.5565726638565886e-06,-5.232769402426945e-08,1.687824900723409e-07,-2.2923273456739054e-11,4.1771619020392713e-10,0.00032506231421796945,2.4066665607058724e-05,-3.08557646563519e-05,3.9608385631929605e-10
0.23,0.0010964914392653897,-2.2067509584724773e-05,0.00047756341493045243,-6.14267574073355e-07,-2.288436674320969e-06,-5.0149665407404496e-08,2.798563614368579e-07,-1.8754629195221087e-11,4.1328288415344436e-10,-0.0015330668372820879,2.8782266141008303e-05,-1.4060469417947856e-05,-1.2312417839766584e-09
0.24,0.0009514224752512592,-1.7383346055167987e-05,0.00045828532592626705,-6.352569842002614e-07,-1.8921149903464073e-06,-4.4325723711722693e-08,7.597449586058782e-07,-1.4698805290396656e-11,3.9686158695925094e-10,-0.002157552365226712,3.7600020627403044e-05,-2.2113910954471615e-05,-1.8491066161535434e-09
0.25,0.0008582614640576077,-1.2925128193124572e-05,0.0004314902526289212,-6.525257267225802e-07,-1.5703582738563215e-06,-3.8739068331916e-08,4.83987718351358e-07,-1.0835550869703468e-11,3.742456391653241e-10,-0.0032307456601995427,3.208058460502268e-05,1.3185709681237364e-05,-2.740022515774148e-09
0.26,0.0007876369111114173,-8.790288120560239e-06,0.00039369813803898275,-6.66771134630365e-07,-1.2890519820885177e-06,-3.4459071823270375e-08,3.474962881973123e-07,-7.245534855971078e-12,3.4226130923560866e-10,-0.004363098697667832,2.410324128096844e-05,3.432785950684765e-05,-3.6883370451112852e-09
0.27,0.0008970014222155168,-5.111312530332806e-06,0.000337533600257231,-6.792317259120951e-07,-1.2309366688694266e-06,-3.5680227563573565e-08,-3.657104542059234e-07,-4.037509718071238e-12,2.956162296338335e-10,-0.0070094176376529925,3.888899291850691e-06,1.2101497252811448e-05,-5.8545252886784826e-09
0.28,0.0010015584518832895,-2.12598355450597e-06,0.000255709671445399,-6.913766246443835e-07,-1.2030015981558113e-06,-3.8931764546439144e-08,-3.212128093349946e-07,-1.408671363931212e-12,2.2681310903826198e-10,-0.009280272521060073,5.399241579271893e-07,-2.32873758256643e-05,-7.832647352329394e-09
0.29,0.0010317708085126952,-5.6605694177237276e-08,0.0001562156982740173,-7.031152390173726e-07,-1.1358854372944829e-06,-4.031144145831079e-08,2.4464766766501325e-08,4.4509680637937755e-13,1.4209414793968743e-10,-0.010404652164719048,7.1713789558582736e-06,-6.645925548230702e-05,-8.901217708894792e-09
