,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0014601369274859807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014323943258637471,0.0
0.01,0.0014871677403486632,-3.057577882463987e-08,-8.600072892584356e-06,-1.0170355655259434e-13,-2.024590116922789e-11,-6.915980960107651e-07,-0.00013589121274172237,-3.5549982051763306e-13,-1.329647239251261e-10,-0.0016987429281154441,-2.009405599052473e-09,-0.012873057713006526,-4.293104182823265e-08
0.02,0.0014500052059818426,-2.28944927941877e-07,-3.32875495947779e-05,-4.0342627260978266e-13,-4.00189714722504e-11,-2.658747087518688e-06,-0.00025470790428472746,-6.814082564261454e-12,-1.477734858649758e-09,-0.0031985633909671065,-1.955941143641851e-09,-0.010909802944584605,-2.592842352077843e-07
0.03,0.0014787129548091416,-7.441805243784713e-07,-7.161378823977832e-05,-9.025865782285441e-13,-5.994072048999702e-11,-5.730410592100138e-06,-0.0003577796912854885,-4.1678930000109396e-11,-6.196252784394997e-09,-0.004426138043560646,-2.0378806840810892e-09,-0.009718535864591068,-7.241400522818593e-07
0.04,0.0014497607393984867,-1.6989059278486202e-06,-0.00012066499948228346,-1.6047933484253373e-12,-8.059026567273178e-11,-9.764623328451844e-06,-0.0004467079905187821,-1.5165595511177298e-10,-1.6869701477679147e-08,-0.005328062780263269,-2.099322003561166e-09,-0.00808819424095785,-1.4470004710364148e-06
0.05,0.0014816254136835788,-3.1826513054359974e-06,-0.0001769008331270866,-2.5184303327826863e-12,-1.023937321721262e-10,-1.4620141253673597e-05,-0.0005229758661176131,-4.084239418024503e-10,-3.591166161971038e-08,-0.005867099491862078,-2.266190235467036e-09,-0.0071807488470190155,-2.390141122989308e-06
0.06,0.0014521687262103004,-5.249314764979835e-06,-0.00023665970371839818,-3.657641911605549e-12,-1.2561524457154235e-10,-2.0183720950365616e-05,-0.000587760187092344,-9.059374072336456e-10,-6.52031353540294e-08,-0.006023060514275274,-2.3805915771654695e-09,-0.005796587517178807,-3.4842755648925526e-06
0.07,0.001480580151906259,-7.914395890567745e-06,-0.0002960111695821576,-5.0360399323630436e-12,-1.5035040244509282e-10,-2.633891923493041e-05,-0.0006421780964407,-1.7522745841473299e-09,-1.0582039495948613e-07,-0.005794656554491413,-2.566315417118492e-09,-0.005101711187767658,-4.641491356764999e-06
0.08,0.001432468658521244,-1.115522872503799e-05,-0.00035124204652076704,-6.669360644899045e-12,-1.7643320215112433e-10,-3.2991828575202986e-05,-0.0006864432027297111,-3.0624582965092387e-09,-1.57915964608614e-07,-0.005190863813997767,-2.6457595437429093e-09,-0.0037809417073467817,-5.765175174008689e-06
0.09,0.001451060947479661,-1.4911696019642119e-05,-0.0003986390655444824,-8.568625974629937e-12,-2.0362979751586078e-10,-4.003555378690297e-05,-0.0007214452858688118,-4.947942065944598e-09,-2.206658948540548e-07,-0.004247011126235728,-2.7869119494788874e-09,-0.0032326095445089995,-6.758245627899724e-06
0.1,0.0014189198253952086,-1.9089945861799836e-05,-0.0004352146318384061,-1.0745121303767263e-11,-2.317237529758367e-10,-4.7394270210217815e-05,-0.0007489255915572381,-7.507105835358378e-09,-2.9230681741274957e-07,-0.0030282283525326927,-2.824448903926413e-09,-0.0022825686314756825,-7.5316799344646896e-06
