,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008081126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007927584606,0.0
0.01,0.0008230728,-3.635052794237907e-07,-7.96533408855962e-05,-9.333816004112774e-09,-9.823523833050524e-07,-3.38701410163913e-08,2.545711667933427e-07,-2.567586224795001e-13,-6.211048440373508e-11,-0.008021328019702035,1.5638691893115828e-05,0.00013534402863901555,-7.080307217018348e-09
0.02,0.0008025052,-1.5423684622504964e-06,-0.00015484458288881817,-1.911030846723613e-08,-1.0008272275388409e-06,-3.224948066188219e-08,3.433555337749643e-08,-1.2107858940232428e-12,-1.2741464135373687e-10,-0.007136316537310896,-6.501435655939178e-06,-3.598495914859472e-06,-6.18035611195122e-09
0.03,0.0008183935,-3.436168315570809e-06,-0.00022281608020864008,-2.9637550903407843e-08,-1.1145000624973944e-06,-3.3025986124861547e-08,-1.2583468186321633e-07,-2.7836000909486036e-12,-1.8618669744914967e-10,-0.006442050244082722,-1.2022059096736606e-05,7.868365796309977e-07,-5.583649800866981e-09
0.04,0.0008023699,-5.966822685089036e-06,-0.00028115877687065195,-4.1317325564835616e-08,-1.221293526042993e-06,-3.344086275089196e-08,-2.3918015919914115e-09,-4.908758653476487e-12,-2.3706089175500433e-10,-0.00514600252894732,-1.2510398235788395e-05,-8.73722197558091e-06,-4.5040208039963595e-09
0.05,0.0008200054,-9.016117211143785e-06,-0.00032675055011013475,-5.434649225135005e-08,-1.3939005848432244e-06,-3.461019578114257e-08,-1.818475210520558e-07,-7.486983516748312e-12,-2.7687390065565556e-10,-0.0039836988222242305,-1.726137902013751e-05,6.8278884651214004e-06,-3.4920434905499063e-09
0.06,0.0008037026,-1.2456114172635368e-05,-0.00035847290808846085,-6.904768241167108e-08,-1.543312907708665e-06,-3.535935624903879e-08,-2.113884004611055e-08,-1.0408445315845962e-11,-3.0510024517346636e-10,-0.002295177954820567,-1.6902406443507385e-05,-6.044356536782491e-06,-2.071420669194602e-09
0.07,0.0008194269,-1.613090692243982e-05,-0.00037403216659308395,-8.544379505612651e-08,-1.7425160472214262e-06,-3.66366490311946e-08,-1.8939575065569273e-07,-1.3541084474498054e-11,-3.1927607751541757e-10,-0.0008483543039029011,-1.9107710318155835e-05,4.054127287166781e-06,-8.110197821107397e-10
0.08,0.0007927996,-1.988297535406858e-05,-0.00037321337636601236,-1.0366115053342201e-07,-1.8939674294916322e-06,-3.718090463649656e-08,1.666953247294996e-08,-1.6749191285043646e-11,-3.196870247937399e-10,0.0010639489351799076,-1.5779066939494366e-05,-9.602648143371703e-06,8.020772610638899e-10
0.09,0.0008030895,-2.3535549796453407e-05,-0.0003550113117312803,-1.2354211964065045e-07,-2.084872522002704e-06,-3.8223304077430255e-08,-1.630901541872005e-07,-1.9882152081218905e-11,-3.0488644923404613e-10,0.0025317101339668207,-1.835776576288202e-05,7.456406674559565e-06,2.0970127643660382e-09
