,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-3.680753742503304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003610819421395741,0.0
0.01,-3.704091016105336e-05,9.42022128604929e-10,2.21213529791354e-07,2.571493925292243e-11,5.025890288687524e-09,1.7697579009780298e-08,3.399390494821637e-06,1.7989535223718166e-14,4.775020139117409e-12,4.25357007892472e-05,5.031070628771338e-07,0.000320334763030195,1.1958691561916978e-09
0.02,-3.726573516636493e-05,6.430679429243108e-09,8.316591372589582e-07,1.0112743164260285e-10,1.0045144336980403e-08,6.653486663068865e-08,6.412553603003599e-06,3.317866837101832e-13,4.760015649047223e-11,8.029857039497456e-05,4.994429337835534e-07,0.0002821110269138049,6.665088528047443e-09
0.03,-3.74502660706771e-05,2.0273970358876362e-08,1.7745438495871821e-06,2.2732169193303633e-10,1.5153884187420966e-08,1.430127631280847e-07,9.059129353099212e-06,1.7178531831978734e-12,1.8577160945996336e-10,0.00011140159436726546,5.133785873472085e-07,0.00024632816365031474,1.813378650155308e-08
0.04,-3.74646954932459e-05,4.457410898659324e-08,2.9918503412811974e-06,4.0549348884835655e-10,2.042716065930579e-08,2.4445186838125307e-07,1.1351010362139488e-05,5.207723451333284e-12,4.64618497278779e-10,0.00013472321585049807,5.37288955751279e-07,0.0002119371235433478,3.559054459528639e-08
0.05,-3.7255973362580466e-05,8.175823670710465e-08,4.39836214605131e-06,6.378942842325539e-10,2.5971096317147498e-08,3.6735664064473635e-07,1.3319233660713485e-05,1.2541416772697621e-11,9.422964637253825e-10,0.0001491616552876503,5.692335735725935e-07,0.00017849535574115973,5.846012007170396e-08
0.06,-3.812186176465522e-05,1.332955259217912e-07,5.9153094627166066e-06,9.274127831057549e-10,3.1910430817908696e-08,5.090811478757707e-07,1.5029944076620019e-05,2.5631882441450522e-11,1.6625843383247847e-09,0.0001546075060637372,6.182074378877761e-07,0.00015824158968348392,8.55405851640115e-08
0.07,-4.122742787954755e-05,2.0007921551328906e-07,7.450171442801109e-06,1.2795192519461015e-09,3.8486253745269756e-08,6.674893846810681e-07,1.6644227713793715e-05,4.730475393418689e-11,2.6632917320139865e-09,0.00015246383055327566,6.955825733089222e-07,0.00016086636702712848,1.147093890532595e-07
0.08,-4.539126375983666e-05,2.819719201720221e-07,8.935054434935441e-06,1.7016792591103605e-09,4.589693557198672e-08,8.423170077136926e-07,1.8307484155106142e-05,8.046092911911867e-11,3.955166832583326e-09,0.00014460700040185465,7.847842524862873e-07,0.00017301105327836023,1.437825186466984e-07
0.09,-3.818320526776464e-05,3.781875369118379e-07,1.0292219600291663e-05,2.1985379535177956e-09,5.3450888734823036e-08,1.031924818021133e-06,1.9559820387576805e-05,1.2777478944471989e-10,5.529388330581395e-09,0.00012570361017234439,7.139603143299872e-07,7.846224674136972e-05,1.7076445454265778e-07
0.1,-2.7900949684053884e-05,4.867906771600314e-07,1.1380287863899085e-05,2.7671080427088895e-09,6.014227674739684e-08,1.2295469760556907e-06,1.9810024902349207e-05,1.9196942452424328e-10,7.3534075955210906e-09,8.906178320888694e-05,6.065579673049555e-07,-3.376421060010874e-05,1.9321097575548916e-07
0.11,-1.818011266270015e-05,6.041690134481395e-07,1.2017635540929444e-05,3.3972161968294204e-09,6.569789232403246e-08,1.4246588488324749e-06,1.9048272086716955e-05,2.7540543964388674e-10,9.366224690936617e-09,3.565755747487367e-05,5.133343114295595e-07,-0.00012730110747507205,2.0800577611423258e-07
0.12,-3.7814159865533206e-05,7.252614490076258e-07,1.2110529957216251e-05,4.083666816903861e-09,7.187136476605062e-08,1.612401248319804e-06,1.8702666908627902e-05,3.7957777825960406e-10,1.1476613680264066e-08,-1.4731170808473734e-05,7.668659738323822e-07,6.281654309538057e-05,2.121172229056958e-07
0.13,-8.330715146463972e-05,8.45247752664806e-07,1.1855507649125784e-05,4.8494204854028506e-09,8.228105311506908e-08,1.809068897158721e-06,2.1326954716871107e-05,5.048765695850202e-10,1.3570240807320288e-08,-2.7145552740295603e-05,1.359285232639955e-06,0.0004693839587722395,2.047475988485366e-07
0.14,-9.536445571381345e-05,9.62730853615435e-07,1.1679292859931712e-05,5.741789076136125e-09,9.630227064284868e-08,2.046770928259513e-06,2.6246595108137115e-05,6.50585361256657e-10,1.5546023262119206e-08,-6.826341875778357e-06,1.5308612383099643e-06,0.0005163900130314044,1.89627230683846e-07
0.15,-4.8346752395538445e-06,1.0791311132179575e-06,1.1555800413675452e-05,6.757038257347948e-09,1.0455840276770546e-07,2.3197817253989236e-06,2.682648587046298e-05,8.152352614828329e-10,1.7353906478645793e-08,-3.633925384791935e-05,1.9072683260523433e-07,-0.0003926262965077054,1.7158902907223014e-07
0.16,7.636044681170465e-05,1.1910558527067785e-06,1.0618027988523145e-05,7.792102132310451e-09,1.0059267576504779e-07,2.5560950366980498e-06,1.926644884317543e-05,9.969957162698658e-10,1.895950630693055e-08,-0.00016565849391573555,-9.349382000975958e-07,-0.001107915894618909,1.4790162956965938e-07
0.17,8.145976701281422e-05,1.2861553303515782e-06,8.121917018087663e-06,8.748073911188025e-09,9.039343810336013e-08,2.694848304833092e-06,8.587193143146397e-06,1.1934065936034273e-09,2.0257687738612546e-08,-0.0003315339582624074,-1.0403762273766218e-06,-0.0010320413557861378,1.0817705151270137e-07
0.18,-3.028433919561096e-05,1.3488521497724359e-06,4.27883594291197e-06,9.621757989598592e-09,8.671783114627938e-08,2.748753338548839e-06,4.097437225316229e-06,1.400429222966871e-09,2.1041244457406548e-08,-0.0004110643325709913,3.538676589107852e-07,0.00011863423390289394,4.447008115678204e-08
0.19,-0.0002930157985360576,1.3725979481303503e-06,7.293285228633562e-07,1.0564705058284316e-08,1.0722065420753065e-07,2.8380669310676474e-06,1.7517181519741497e-05,1.6117198720823512e-09,2.1087290698846775e-08,-0.0002483657101902304,3.6913486195058786e-06,0.0025253896111428497,-3.630576727900708e-08
0.2,-0.00022538323283050475,1.3724983912669674e-06,-2.96603400881073e-07,1.1806989166257295e-08,1.392886343674661e-07,3.123596574343218e-06,3.802729344360517e-05,1.819488667276491e-09,2.0350936722735687e-08,2.744488152443452e-05,2.58179940128831e-06,0.0015876276299778011,-1.0663560214393529e-07
0.21,9.783394597538877e-05,1.3729344068053213e-06,4.369470921616092e-07,1.3255110856291759e-08,1.4291771469358025e-07,3.5276814802538654e-06,3.7560396236214744e-05,2.016900725114108e-09,1.9069832016269853e-08,5.457071848474887e-05,-1.894952007373222e-06,-0.0016098589483322426,-1.4400304009068052e-07
0.22,0.00043918831011692023,1.375495114752456e-06,-5.171402468546289e-07,1.4512753398338563e-08,1.0095653085665051e-07,3.7715070105120124e-06,6.247645629242775e-06,2.2000896494898156e-09,1.7539213116481113e-08,-0.000309272018443941,-6.4621470683780854e-06,-0.004594766935434092,-1.618753450086154e-07
0.23,0.0004402954135108287,1.3456810882563066e-06,-6.2779517185040315e-06,1.5197278999711906e-08,3.6091201047945794e-08,3.6132888451392614e-06,-3.704566619781412e-05,2.366835904357748e-09,1.574186193894928e-08,-0.0008330995005237431,-6.430873686436814e-06,-0.004065730499860311,-2.05527272393223e-07
0.24,-0.0003300612696743413,1.2373156072621971e-06,-1.5400373931192134e-05,1.5408178575921238e-08,2.3412778559992763e-08,3.1705770782718928e-06,-3.891626997291088e-05,2.5125005334943536e-09,1.3219463195306097e-08,-0.0008298864796690726,3.855629691556381e-06,0.003540419375154662,-3.0853060564414796e-07
0.25,-0.0006256159575140049,1.051604299664028e-06,-2.0661932877960197e-05,1.590238739219675e-08,8.121738309866314e-08,2.9990788721831885e-06,8.354939166943982e-06,2.627085222321393e-09,9.491238585643156e-09,-0.00016650099349962405,7.514520625920491e-06,0.00586121314690772,-4.343479083225577e-07
0.26,-0.00011596374843421489,8.478030435081635e-07,-1.9265802031751833e-05,1.6972414232956422e-08,1.207526459206601e-07,3.282175911849902e-06,3.940840871315212e-05,2.6987409559125055e-09,4.720983687304271e-09,0.00033989463124498037,3.2446727975591044e-07,0.00044493192749665736,-5.063800669067666e-07
0.27,0.0002884122467160554,6.730253143605975e-07,-1.5791121536483007e-05,1.8102485637359075e-08,9.613986055764171e-08,3.632944393115938e-06,2.437040417342192e-05,2.720465425269763e-09,-3.6627777235770173e-10,0.0002720143043626256,-5.079558179439528e-06,-0.0033784657673061515,-4.998765831172865e-07
0.28,0.00034304422261178293,5.232687862431884e-07,-1.4729928160968858e-05,1.8795005017446548e-08,4.1561007550504516e-08,3.7053250529513295e-06,-1.0097101170886466e-05,2.692516958456168e-09,-5.1453017789892015e-09,-6.766981648253701e-05,-5.694561096982343e-06,-0.003509515780022173,-4.5396038404045724e-07
0.29,0.0003505548231924052,3.6665013756364144e-07,-1.7177401658079973e-05,1.8926267291232363e-08,-1.5103476648677626e-08,3.4346093936390667e-06,-4.339662042907949e-05,2.6190734241821644e-09,-9.483043886353982e-09,-0.0004161131203494817,-5.573974919179114e-06,-0.0031652395294428336,-4.185709178694941e-07
0.3,0.000106700534930441,1.6993818475711736e-07,-2.242846747632475e-05,1.854936069178246e-08,-5.478284731673327e-08,2.888416302295414e-06,-6.154383173629508e-05,2.503411065644263e-09,-1.365804745400139e-08,-0.0005793954228632076,-2.204014520399431e-06,-0.000521404753698875,-4.238247260509808e-07
0.31,-0.0005716415498463131,-7.943643947149516e-08,-2.678753215683094e-05,1.8040310206174243e-08,-3.232731282633518e-08,2.35734085054981e-06,-3.447786126240255e-05,2.3450433429164333e-09,-1.8079141213298776e-08,-0.00016079255735957778,6.734740470037818e-06,0.005825798989126526,-4.625066816291385e-07
0.32,-0.0010222044121712467,-3.393079760782714e-07,-2.3458198621907602e-05,1.8158142970742842e-08,6.538225233607003e-08,2.364554390586408e-06,4.152631548748232e-05,2.1406973534043295e-09,-2.2804112638180586e-08,0.0009018043997245057,1.2653610050072472e-05,0.009295963045190241,-4.6949159171365374e-07
0.33,-0.0006112437112245157,-5.100214270454267e-07,-9.052578469892214e-06,1.9353210252319338e-08,1.6410117543821556e-07,3.1597496305987064e-06,0.00010936782266400233,1.890516838873316e-09,-2.7041361932269422e-08,0.0018759853077613348,7.084788533301889e-06,0.004358845563655466,-3.5138436542904756e-07
0.34,-0.00043694572026936016,-4.972288612178782e-07,1.2412339334324883e-05,2.1310049769825572e-08,2.238694654621095e-07,4.433420587084824e-06,0.0001415952387237377,1.6065793371889785e-09,-2.9275560068035078e-08,0.002356421155478246,4.911958023245066e-06,0.0021528508143802277,-6.904710816743098e-08
0.35000000000000003,0.00028203458959818285,-2.544343728608561e-07,3.5819936254513774e-05,2.3649497314232083e-08,2.2887308670879604e-07,5.837183722066164e-06,0.00012761703202813997,1.316867489943819e-09,-2.7972304126352346e-08,0.002161979828836289,-3.837427882275751e-06,-0.004824087676747656,3.4591562002902164e-07
0.36,0.0004563407017178315,1.9931788137169773e-07,5.3562721732147685e-05,2.5708992883538422e-08,1.8075439916326062e-07,6.852704945498048e-06,7.3703590051835e-05,1.0620711117246304e-09,-2.222833066535744e-08,0.001342889198417135,-5.66154989768274e-06,-0.005923698850752088,7.990574714584728e-07
