,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00011042261227509913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010832458264187226,0.0
0.01,-0.00011112273048316007,4.951123097647963e-08,1.082010232222532e-05,1.268031545102583e-09,1.3288787053553213e-07,4.5862309020503074e-09,-3.65493528737713e-08,3.498964686682322e-14,8.439978783679136e-12,0.0010845344743601276,-2.362660211981441e-06,-2.0065683223764516e-05,9.58531241216701e-10
0.02,-0.00011179720549909478,2.0975249754777686e-07,2.1098004530456627e-05,2.6030104882746324e-09,1.4066146485061556e-07,4.4469330679294196e-09,3.059933711517946e-08,1.646527375671337e-13,1.733353232098359e-11,0.001009398894844633,8.185225271502153e-07,-1.231894385297165e-05,8.729667838098188e-10
0.03,-0.0001123507982120313,4.690934366275299e-07,3.0570304810826265e-05,4.062629164185948e-09,1.520117274141533e-07,4.538067748940768e-09,4.9006181371675255e-09,3.798902633302864e-13,2.555009488214382e-11,0.0008784953438219573,1.9377333242946585e-06,6.93374301948777e-06,7.601217712373988e-10
0.04,-0.00011239408647973771,8.164312873086993e-07,3.8672251527778686e-05,5.6741375781332655e-09,1.7044033417192487e-07,4.662228135977231e-09,1.0743702580084705e-08,6.715241060234507e-13,3.2588588916091503e-11,0.0007325516941910688,1.7386452654413829e-06,-1.7356708893080523e-06,6.403756687325862e-10
0.05,-0.0001117679200877414,1.235410654758381e-06,4.503457789682267e-05,7.476642804448256e-09,1.903606908386016e-07,4.762069173222062e-09,9.33766557387129e-09,1.0256829402028224e-12,3.816594758119178e-11,0.0005401290361502765,2.2101779218877205e-06,-1.105501534757054e-06,4.756438017675983e-10
0.06,-0.00011436558529396566,1.7082302143222424e-06,4.9540662966290694e-05,9.513581422441346e-09,2.170205504962429e-07,4.962954186151072e-09,3.011749804769561e-08,1.4271483807333537e-12,4.213668023243399e-11,0.0003613147364654787,3.116091835174287e-06,-5.191710849936922e-06,3.1875177179541887e-10
0.07,-0.00012368228363864264,2.2180063706982645e-06,5.247631989545629e-05,1.1860817661053749e-08,2.5202279815681824e-07,5.391089854713306e-09,5.476688296767087e-08,1.861176528152917e-12,4.472376359201964e-11,0.00022357360301799827,3.877761225046109e-06,1.4883208661822128e-07,1.9683991398167371e-10
0.08,-0.00013617379127950997,2.7513087251446262e-06,5.415472038298987e-05,1.4582508209801737e-08,2.9209864057678345e-07,6.000815968816739e-09,6.464815296989727e-08,2.3159541399811493e-12,4.620751111596017e-11,0.00010966505441110448,3.8972704594908425e-06,3.174774913620841e-06,9.876076058895617e-11
0.09,-0.00011454961580329391,3.2919337816733516e-06,5.3192762028885625e-05,1.7537750898768784e-08,2.933160297071815e-07,5.681254205558055e-09,-8.334875527624533e-08,2.778379766075653e-12,4.5660234432984893e-11,-0.00034429935597635923,3.0517291439106226e-07,9.563662394565715e-06,-2.663826026233306e-10
