,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0002576527619752313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025275735949770194,0.0
0.01,-0.0002592863711273735,6.274403006211458e-09,1.5144628260109607e-06,1.8029648820217634e-14,3.554226086110509e-12,1.218147930379118e-07,2.382751094046676e-05,1.538180068521474e-13,3.393308068261501e-11,0.0002974325191494594,3.5074541806113385e-10,0.002242723049560739,8.157658184462497e-09
0.02,-0.0002608601461645545,4.3964260192451364e-08,5.799478334842354e-06,7.112400656411175e-14,7.067954190913306e-12,4.6450402850982136e-07,4.492124764170865e-05,2.005511497684761e-12,3.2129423908114084e-10,0.000561941528887899,3.5111670569718673e-10,0.0019750534687423427,4.698687358936457e-08
0.03,-0.0002621518624947397,1.351095065482492e-07,1.253286383841056e-05,1.5956608171589737e-13,1.062731189730261e-11,1.0067380941044884e-06,6.340983771365042e-05,9.295938172022944e-12,1.1817755005076296e-09,0.0007821621043774728,3.611781149766985e-10,0.0017241404069548193,1.2741701486876168e-07
0.04,-0.00026225286845272134,3.0317351001038596e-07,2.1187048124143043e-05,2.8427045325201283e-13,1.4319433623908032e-11,1.7216163260157818e-06,7.943148406622098e-05,3.031951688702763e-11,3.0740019422635647e-09,0.000945811258730411,3.7765928774004254e-10,0.0014832551300862182,2.5325554629063116e-07
0.05,-0.0002607918135380632,5.640708088062612e-07,3.118293848892626e-05,4.4675657163724126e-13,1.8203214773940586e-11,2.5859435939940996e-06,9.311772249927399e-05,7.678864006223665e-11,6.409033264583784e-09,0.0010447768408448565,4.000433531528916e-10,0.001250165662110257,4.1919554938457116e-07
0.06,-0.00026685303235258654,9.286468966161163e-07,4.185178092424003e-05,6.493444486291376e-13,2.236262079010798e-11,3.5777224400138847e-06,0.00010491381542915439,1.650167852242598e-10,1.1547191051066563e-08,0.0010775624630718,4.3367386656605056e-10,0.001111090709307467,6.134893120799086e-07
0.07,-0.00028859199515683285,1.4008608864001303e-06,5.25685766195385e-05,8.956394908393745e-13,2.697948064399294e-11,4.6830885909412345e-06,0.0001160894214574473,3.1452112488674586e-10,1.870982348758226e-08,0.0010569485344218753,4.924024157165752e-10,0.001131889034764276,8.2058403876252e-07
0.08,-0.0003177388463188566,1.978570419081751e-06,6.287365162690092e-05,1.191039785979064e-12,3.220378232880514e-11,5.9018508129520075e-06,0.00012776841654289783,5.460640160765971e-10,2.7944504177235524e-08,0.0009980944427875373,5.518570780470994e-10,0.0012175157321637731,1.0248409760595933e-06
0.09,-0.0002672824368743525,2.6554169144700556e-06,7.22772904930354e-05,1.5400555156439996e-12,3.7521275670177244e-11,7.22897557244865e-06,0.00013658084582073715,8.800041133825394e-10,3.915012951922023e-08,0.0008629563695398705,5.129120184133029e-10,0.0005555270535869438,1.212333535383137e-06
0.1,-0.00019530664778837718,3.4168807047395014e-06,7.968036938523748e-05,1.9390996903913205e-12,4.2186444399357753e-11,8.607454597619936e-06,0.00013813616273373214,1.335125465858361e-09,5.206991714224238e-08,0.0006012304134748344,4.261595232517984e-10,-0.00022702156692514398,1.3660297821205154e-06
0.11,-0.00012726078863890103,4.2369969252941254e-06,8.386499832784556e-05,2.3807533125138834e-12,4.604305694246069e-11,9.965100994796097e-06,0.00013259651644456869,1.926183452132175e-09,6.6265316509235e-08,0.00022298846444502858,3.470993505637343e-10,-0.0008784955626119842,1.464626812137593e-06
0.12,-0.00026469911905873246,5.080132531702338e-06,8.423145965819811e-05,2.8617366907283215e-12,5.04341312028702e-11,1.1271134543324238e-05,0.00013059229711066838,2.662781099801965e-09,8.108908855372968e-08,-0.00012562485427182452,5.309924696120238e-10,0.0004482336936280954,1.487502797876193e-06
0.13,-0.0005831500602524781,5.913340537874094e-06,8.227998232614899e-05,3.3998087146433363e-12,5.7829450443902774e-11,1.2649258029356747e-05,0.00014946594875245571,3.547368833984791e-09,9.57375930399679e-08,-0.00020619822527821123,9.350322582174497e-10,0.0032885397409054907,1.4307599087553376e-06
0.14,-0.0006675511899966941,6.7279584002936634e-06,8.088090385719942e-05,4.026714239228712e-12,6.766804107724644e-11,1.4314211827742749e-05,0.00018401915726286462,4.574574568578757e-09,1.0952481567214457e-07,-6.183680558809624e-05,1.0130551939858956e-09,0.0036161740366828852,1.3213758362888782e-06
0.15,-3.384272667687691e-05,7.533201393144927e-06,7.98574256616632e-05,4.739046632689978e-12,7.330381471057029e-11,1.6225493234894054e-05,0.00018777212603100462,5.7337856656414764e-09,1.2210497117955367e-07,-0.00026921072841786236,1.1343455948858994e-10,-0.002745017201270808,1.1920990328947136e-06
0.16,0.0005345231276819326,8.305712042597038e-06,7.316817475470364e-05,5.464339647347776e-12,7.041768556500241e-11,1.788011441004639e-05,0.00013471406823597804,7.0118891047398446e-09,1.33239722094385e-07,-0.0011727387539036433,-6.844636255345926e-10,-0.007752036142390763,1.0234061772492505e-06
0.17,0.0005702183690896995,8.958524694138096e-06,5.556529054489674e-05,6.133134779630986e-12,6.324043873334862e-11,1.8848742907863394e-05,5.993775131192494e-05,8.391225729803378e-09,1.4218438712797617e-07,-0.0023309301639761293,-7.463387464469451e-10,-0.007221024782251827,7.416674679479627e-07
0.18,-0.00021199037436927674,9.38396723806301e-06,2.8595294272500908e-05,6.7449269166218194e-12,6.078819348987822e-11,1.9226248553941933e-05,2.8897030394701456e-05,9.843332973026067e-09,1.4749689094387598e-07,-0.0028807669637237257,2.3731785677230666e-10,0.0008300988045682198,2.928727277896804e-07
0.19,-0.002051110589752403,9.535677700128382e-06,3.6300005220687816e-06,7.405912848382643e-12,7.537235807634507e-11,1.9847248374056312e-05,0.00012312410250509752,1.1323663849252817e-08,1.476263291518493e-07,-0.0017386816642473968,2.6362161399152984e-09,0.01767766275413797,-2.742497848619526e-07
0.2,-0.0015776826298135333,9.520540588042577e-06,-3.560985237102993e-06,8.277897535516928e-12,9.769514177897227e-11,2.1848278670376086e-05,0.0002664782549819053,1.2777148588124276e-08,1.4228219571457832e-07,0.00019369234698550508,1.817063484052528e-09,0.011114043558972582,-7.643466123777002e-07
0.21,0.0006848376218277214,9.509375086444919e-06,1.6761822945196628e-06,9.292500816015815e-12,9.995229980161766e-11,2.4683393210985284e-05,0.0002634061404485876,1.4156450162426235e-08,1.3315198727987976e-07,0.0003939210520251783,-1.351943097402386e-09,-0.011276999831491469,-1.0221380021016841e-06
0.22,0.0030743181708184414,9.514621131709218e-06,-4.853145943822093e-06,1.0170278840793846e-11,7.022359680678461e-11,2.6394209817211533e-05,4.396939577448949e-05,1.543476732533803e-08,1.2231680367699296e-07,-0.002148114084639365,-4.572334305012055e-09,-0.032174476248886905,-1.1447713293480002e-06
0.23,0.003082067894575801,9.29441788969259e-06,-4.499449650852107e-05,1.0644839297907312e-11,2.479897620488462e-11,2.5288980417610018e-05,-0.000259049461562532,1.6596838958778554e-08,1.0961702809835312e-07,-0.005810765954078301,-4.509627898972163e-09,-0.028472297824109743,-1.4511764924411793e-06
0.24,-0.002310428887720389,8.525946227577783e-06,-0.0001086935868309867,1.0790988463328747e-11,1.6580395295244734e-11,2.219179759784652e-05,-0.00027219662698657637,1.7610057176497226e-08,9.182466132498684e-08,-0.005796929515322308,2.7984489919591e-09,0.024783086340293435,-2.173391429998847e-06
0.25,-0.004379311702598034,7.216411025446323e-06,-0.00014546842222148512,1.1139406142744113e-11,5.726992361750278e-11,2.0989433222825254e-05,5.87195777895455e-05,1.8404565922036506e-08,6.559649370727958e-08,-0.0011547203250424024,5.308808346919658e-09,0.04103259529366447,-3.0515250401982367e-06
0.26,-0.0008117462390395041,5.782111578858413e-06,-0.000135534912687398,1.1890276691512885e-11,8.442115898721437e-11,2.2974020267008067e-05,0.00027580005341834834,1.889730611138541e-08,3.212910102773389e-08,0.002395224141334613,1.699341986571845e-10,0.003113299949576205,-3.54763627809983e-06
0.27,0.002018885727012388,4.552904957459084e-06,-0.0001110787466567499,1.2677843062790164e-11,6.681083038654001e-11,2.5424595162684153e-05,0.00017038969741612389,1.904016041451974e-08,-3.466186893517488e-09,0.0019233149485008145,-3.6301529794321996e-09,-0.023654707841093026,-3.495647866609733e-06
0.28,0.002401309558282481,3.4988846350679464e-06,-0.00010347343812736683,1.3157246504519417e-11,2.8541392122159204e-11,2.5928490776836135e-05,-7.099395355021382e-05,1.8835884817332984e-08,-3.687412151127829e-08,-0.00045477300712554685,-3.99674068385196e-09,-0.024571293315905983,-3.173478551489741e-06
0.29,0.0024538837623468363,2.398399107232589e-06,-0.00012038992086754429,1.3243690193943513e-11,-1.1190738711044487e-11,2.4032503659189272e-05,-0.00030451071063206965,1.8313528044466265e-08,-6.721376274246573e-08,-0.0028974880177687666,-3.958226914692418e-09,-0.02215624231085056,-2.927190837956175e-06
0.3,0.000746903744513087,1.0207918853643895e-06,-0.00015706427528120457,1.2974113998094347e-11,-3.8782420020694516e-11,2.0197563699402277e-05,-0.00043166942562139536,1.7495724105522946e-08,-9.640868311999749e-08,-0.004045285798862323,-1.5874926505721892e-09,-0.0036430524754683816,-2.965754385063943e-06
0.31,-0.004001490848924192,-7.269726780710396e-07,-0.00018762568783222495,1.2615032654966637e-11,-2.23792363940435e-11,1.6463463579127266e-05,-0.00024137892393654464,1.637919369103976e-08,-1.2736493094763694e-07,-0.0011142204153422226,4.81957184610745e-09,0.040789005024833985,-3.2393561891598555e-06
0.32,-0.007155430885198727,-2.548599980786031e-06,-0.00016430810492524387,1.2701160481333548e-11,4.644055541755666e-11,1.6508597939132305e-05,0.0002908675678835116,1.4940572080110216e-08,-1.6045749932155848e-07,0.006319521154914516,8.936621894968869e-09,0.06508502082841489,-3.284734623772035e-06
0.33,-0.004278705978571611,-3.743615019574383e-06,-6.335822981463032e-05,1.3542954853542411e-11,1.1520075302746051e-10,2.2078334308775495e-05,0.0007656992938656506,1.3181127355094614e-08,-1.9004859177756847e-07,0.013140337873048915,4.895745128741247e-09,0.030519566034461775,-2.445647798461344e-06
0.34,-0.0030586200418855213,-3.6535533889724255e-06,8.695086190894574e-05,1.491560237948127e-11,1.5705973718664242e-10,3.099505040804119e-05,0.0009920280539162162,1.1187036343572868e-08,-2.054783972316283e-07,0.016507533207152567,3.4988886033274214e-09,0.0150669424060363,-4.572052050284821e-07
0.35000000000000003,0.00197424212718728,-1.9528060679886592e-06,0.0002509297990120547,1.6554028397103426e-11,1.5996985105315596e-10,4.08291609544598e-05,0.0008936057893337046,9.155086063721186e-09,-1.9604130894325293e-07,0.015141510315414082,-2.861309043866722e-09,-0.03377453252184048,2.4573760904081444e-06
0.36,0.0031943849120248204,1.223979265887217e-06,0.0003751525877254448,1.799293905727997e-11,1.2624570335170873e-10,4.794048674447474e-05,0.0005163419569572687,7.3718475451499696e-09,-1.5546560377297658e-07,0.009404404426345365,-3.8561159343766804e-09,-0.041474768340965515,5.63070574692109e-06
