,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044017224750000005,0.0
0.01,-0.0004515424,2.8224555110114425e-08,7.577794332719107e-06,8.766993538160866e-10,1.7311548747412552e-07,1.9271106327035386e-07,3.652933317466226e-05,2.9409479188394946e-13,9.781346804155693e-11,0.0014678223380308127,1.6282324003087764e-05,0.002946509208356481,2.8803014386890347e-08
0.02,-0.0004542831,1.984538782762746e-07,2.8132867440654613e-05,3.376037210974371e-09,3.2355272458874215e-07,6.8350702710383e-07,5.9899500222476325e-05,4.45741534627288e-12,8.788753609236925e-10,0.00259123048572766,1.3939307910138497e-05,0.001767090899697293,1.3948152549467375e-07
0.03,-0.0004565326,6.223884246771375e-07,5.8053433947656205e-05,7.283876009930905e-09,4.551420208668652e-07,1.3550372060194121e-06,7.277939506514844e-05,2.313023257228931e-11,3.1108069290423545e-09,0.003329437206329185,1.242129236312295e-05,0.0008529936028366086,3.160333700580453e-07
0.04,-0.0004567085,1.3757626573250593e-06,9.338032660856592e-05,1.24374696859128e-08,5.735620023572594e-07,2.1136245717458924e-06,7.768928053263267e-05,7.327567515667595e-11,7.2448636275031086e-09,0.003669067001953196,1.1355116754287013e-05,0.00017075934762323742,5.125547639367955e-07
0.05,-0.0004541641,2.491484330028851e-06,0.00013018014308561937,1.873082652830018e-08,6.835259488281915e-07,2.8914065295524436e-06,7.681783874745347e-05,1.7411390180680212e-10,1.3248486991447621e-08,0.0036256074851569254,1.0715742247822783e-05,-0.0003139755421782051,6.862001989562124e-07
0.06,-0.0004647196,3.968312838747011e-06,0.0001648794017561284,2.610822138833272e-08,7.915963970832347e-07,3.641765306676721e-06,7.268967638882034e-05,3.428387854274555e-10,2.075528612662883e-08,0.0032598902361330607,1.1018422394436928e-05,-0.0005046142332304497,8.065553754558304e-07
0.07,-0.0005025776,5.771528611585495e-06,0.000194755029998584,3.4594277753981565e-08,9.075261178267188e-07,4.346003381269629e-06,6.831125489327806e-05,5.917875524069732e-10,2.9144450334584645e-08,0.002687627404653336,1.235173572173686e-05,-0.00036104976528426305,8.58424393182104e-07
0.08,-0.0005533363,7.842806144482249e-06,0.00021838248172493656,4.431466383629092e-08,1.0393527780939315e-06,5.015093836800208e-06,6.588312220902478e-05,9.261216859533134e-10,3.770364362110101e-08,0.002028105864262597,1.3878872921477443e-05,-0.00011761513644329628,8.423928298516746e-07
0.09,-0.0004654674,1.0114572891856572e-05,0.00023444943735425445,5.534660794538934e-08,1.1603825887694815e-06,5.6508473043292695e-06,5.96736117757733e-05,1.3442577743048744e-09,4.579685166655165e-08,0.0011065688720189502,1.0164033428865585e-05,-0.001055889958653015,7.665699630502545e-07
0.1,-0.0003401229,1.2493230601929412e-05,0.00023897184117151348,6.737483387655352e-08,1.236915781854776e-06,6.178328716082079e-06,4.434275068799291e-05,1.8385090429002656e-09,5.2819260366140435e-08,-0.00027796967375106913,5.193091335384259e-06,-0.00193997745147042,6.25763549141633e-07
0.11,-0.0002216223,1.4841080114352178e-05,0.00022771158314194726,7.99309039525942e-08,1.2674617216251811e-06,6.516211382848579e-06,2.2571052331972602e-05,2.3946350553507406e-09,5.8042772632077974e-08,-0.002014536902768534,1.2880524030327647e-06,-0.002383997889091127,4.046108402402836e-07
0.12,-0.0004609686,1.6991125193496402e-05,0.00020015878444203875,9.281610325364982e-08,1.3254998946488439e-06,6.6726123532599736e-06,1.31876993084413e-05,2.9904981373988093e-09,6.06359269134705e-08,-0.0033185837822035007,1.0633760763006754e-05,0.0003442444935982422,1.037644604475612e-07
0.13,-0.001015545,1.8823089537535988e-05,0.00016662569722356266,1.069409104011693e-07,1.5316588285354705e-06,6.9035922254683825e-06,4.01465588652692e-05,3.5965575705095048e-09,6.005763636048952e-08,-0.003065913560522812,3.0116136026912127e-05,0.004750925175390621,-2.130077832250019e-07
0.14,-0.001162528,2.035782272192836e-05,0.00014251332774571014,1.2378964621504707e-07,1.8388223257964378e-06,7.533802886006096e-06,8.493802458209049e-05,4.182252187629193e-09,5.6733018909248875e-08,-0.0017190383589991425,3.053497623321626e-05,0.00419186257543522,-4.271742475128668e-07
0.15,-5.893648e-05,2.170325310646483e-05,0.0001255996814097308,1.429090958517426e-07,1.904844736238783e-06,8.395632346485573e-06,6.950549839786949e-05,4.726600369802643e-09,5.201953133561407e-08,-0.002325694584941395,-1.6913480684419696e-05,-0.006601875262040237,-5.00231121283565e-07
0.16,0.0009308621,2.278799901071607e-05,8.46974664141399e-05,1.604692655856229e-07,1.5457263617663625e-06,8.645441890185795e-06,-2.9819272310281112e-05,5.2205897527176944e-09,4.6602241794177076e-08,-0.006316890749453212,-5.372355095461818e-05,-0.012770961870870193,-6.114724481815302e-07
0.17,0.0009930247,2.3234547379534624e-05,-3.1529280178542677e-06,1.7328937703803692e-07,1.0255487704859757e-06,7.778730864645516e-06,-0.00013686776200232744,5.651038189067776e-09,3.8881579028131564e-08,-0.011061177925667907,-4.940296384504765e-05,-0.00878755771542872,-9.83728526851595e-07
0.18,-0.0003691773,2.2607138808259092e-05,-0.00012415475772884125,1.8201974116068564e-07,8.162010445172453e-07,6.240198057183679e-06,-0.00014629624461614876,5.980903313959076e-09,2.6058492784892475e-08,-0.012146065387094347,7.3134252338295964e-06,0.005994499815686614,-1.6021930313012696e-06
0.19,-0.003571971,2.0837744088372105e-05,-0.00021716045820073046,1.925706640185342e-07,1.49252186362217e-06,5.533135871931575e-06,4.600305459785418e-05,6.151458014720927e-09,7.202796002897484e-09,-0.004633249453808871,0.00012491102717980453,0.030724582829868615,-2.0993059620958636e-06
0.2,-0.002747505,1.8627251442249857e-05,-0.00020791756693257324,2.128917532358797e-07,2.480116949530342e-06,7.218204200721811e-06,0.0002621571940156734,6.118368627012004e-09,-1.3484083213331238e-08,0.005669283166237134,7.132378031695155e-05,0.01330769140765096,-1.8944810372569254e-06
0.21,0.001192632,1.689665010797455e-05,-0.0001378873505343695,2.3844499474894486e-07,2.352957520620437e-06,9.809049876761452e-06,0.00019259559556371897,5.901874262029779e-09,-2.833231354343678e-08,0.005860807644718457,-9.382531188875318e-05,-0.024801760642442845,-1.0185173738013625e-06
0.22,0.005353868,1.5636621314446023e-05,-0.00013683239257642564,2.5470675192627357e-07,6.515384975904928e-07,9.99798016031503e-06,-0.000199213731623232,5.58167864847601e-09,-3.457153657406274e-08,-0.00775525549034655,-0.00024237292833918615,-0.051453353781310635,-3.584877942382115e-07
