,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004486975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044017224750000005,0.0
0.01,-0.0004515424,1.055332742666164e-08,2.6308555180124203e-06,3.1244816196488886e-14,6.1887789317848944e-12,2.114833230190698e-07,4.150447264651472e-05,1.93545792940042e-13,5.318544294919775e-11,0.000518228533445521,6.107823551939305e-10,0.0039055729652724574,1.403485477392982e-08
0.02,-0.0004542831,7.310033278913721e-08,1.014501264256077e-05,1.236466583874872e-13,1.2295521500909135e-11,8.114098531068888e-07,7.82176652915998e-05,2.7477574038389914e-12,5.039102058209726e-10,0.0009804276208227143,6.116241781702753e-10,0.0034392117082649443,8.04306125191759e-08
0.03,-0.0004565326,2.3177638187390944e-07,2.189469884833833e-05,2.7755353195705235e-13,1.8492583994088138e-11,1.7561497596158776e-06,0.00011040256822416965,1.48098171420515e-11,1.9877439606533782e-09,0.001363828268411208,6.28973606162618e-10,0.003002366767374423,2.214531408289167e-07
0.04,-0.0004567085,5.237702837078676e-07,3.703564316245191e-05,4.944496422626676e-13,2.4920973843918285e-11,3.0030258236147325e-06,0.000138299019738572,4.9613045779488923e-11,5.246176332462247e-09,0.0016492222949049018,6.586129046651235e-10,0.0025827266564438294,4.424073737598266e-07
0.05,-0.0004541641,9.791776948235408e-07,5.448163670845854e-05,7.771970571935717e-13,3.168579352057788e-11,4.5085918262721865e-06,0.00016210883092292427,1.2905230082887415e-10,1.1060604331698789e-08,0.0018207252630701798,6.96409599692388e-10,0.002177155867607863,7.332043575088786e-07
0.06,-0.0004647196,1.6163237704779226e-06,7.306630965960932e-05,1.129855294327793e-12,3.8937900072824955e-11,6.234876302250212e-06,0.00018265357669680578,2.8176741562252554e-10,2.005458284560399e-08,0.0018766161713337076,7.560827289775085e-10,0.0019351695510917352,1.0727398729173552e-06
0.07,-0.0005025776,2.4405684564844566e-06,9.171592797556248e-05,1.558696010362159e-12,4.6989522815750346e-11,8.158823674498602e-06,0.00020214928024867685,5.418938232181507e-10,3.257908297537317e-08,0.001840081900308127,8.587548593237682e-10,0.0019711993639239785,1.4335282885207762e-06
0.08,-0.0005533363,3.448248962769072e-06,0.00010965592540043092,2.073268858677434e-12,5.6112135672135616e-11,1.0281470081423959e-05,0.00022261318532523146,9.453436819136307e-10,4.8705581662465303e-08,0.0017383161324977484,9.67937511826139e-10,0.002118886377911038,1.7891011841966472e-06
0.09,-0.0004654674,4.628556159653705e-06,0.00012602878425104316,2.6814134088050774e-12,6.537899426404745e-11,1.2593655574692591e-05,0.0002379536664976547,1.5275526352598902e-09,6.826163159954291e-08,0.0015021734991898462,8.85766973657276e-10,0.000966152527688722,2.115376435968564e-06
0.1,-0.0003401229,5.956444925038626e-06,0.000138921985578105,3.3768242840533664e-12,7.351266702252327e-11,1.499594860491473e-05,0.00024066483176415627,2.3210581015296307e-09,9.080506549871286e-08,0.0010456275816299277,7.427447632629702e-10,-0.000396681011816768,2.3828532540560682e-06
