time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029303980740000003,0.0
0.005,-4.300057838607523e-08,-2.5765429978239508e-05,-2.7160416358240336e-09,-1.1366275005044533e-06,-3.227628417276126e-07,-0.00012033822125346271,-2.5477746525437122e-11,-2.376922867616594e-08,-0.010424903093960656,-0.00024923250025590436,-0.01861218588371345,-1.8492337078958525e-05
0.01,-3.4466333264819216e-07,-0.00010293422016588697,-1.1546868392225702e-08,-2.3919463346674506e-06,-1.1101640517086092e-06,-0.0001853643748929583,-7.262544852680247e-10,-3.513204686500204e-07,-0.019979978838899723,-0.000245232505126494,-0.00755992988857539,-0.00013323452810060806
0.015,-1.1369381743484177e-06,-0.000218503678421319,-2.643555512799814e-08,-3.5305622217443613e-06,-2.0908953573452394e-06,-0.00019936439460765124,-4.9747419595844734e-09,-1.5287498449282596e-06,-0.025358926299458125,-0.0002063154063112423,0.0014725239570844144,-0.0003471204050590355
0.02,-2.5511444078171245e-06,-0.00034689920336108694,-4.645149344910718e-08,-4.431418084112942e-06,-3.041881083590739e-06,-0.00017628462915418447,-1.7838329897519284e-08,-3.7756076227209197e-06,-0.0250112318367443,-0.00014958615282579607,0.007145878075273288,-0.00053206464249773
0.025,-4.579264598008327e-06,-0.0004594504936052783,-7.030873641847036e-08,-5.07044114193269e-06,-3.821511530337996e-06,-0.00013381439591304405,-4.359896802047941e-08,-6.520507868621696e-06,-0.01919065974975051,-0.00010379220640937248,0.009288031315482117,-0.0005233417017900639
0.03,-7.078475002461495e-06,-0.0005319377152380087,-9.679177267325782e-08,-5.492662842104085e-06,-4.374961144332154e-06,-8.817666863004809e-05,-8.191286599090112e-08,-8.58669694341178e-06,-0.009269480217289582,-6.764692993418457e-05,0.008580592325299116,-0.00026673481441535744
0.035,-9.804698830728118e-06,-0.0005483528306468328,-1.249996701105868e-07,-5.773989007562458e-06,-4.7174035355815395e-06,-5.08326212857982e-05,-1.2661810070038293e-07,-8.961293965870314e-06,0.002918741061912034,-4.7402839627964246e-05,0.0061835204631865036,0.00012104075495598943
0.04,-1.2457143357419624e-05,-0.0005021437452425866,-1.5441858221868058e-07,-5.987656813053724e-06,-4.9062840330446614e-06,-2.711400794911988e-05,-1.6843252390280776e-07,-7.497585083654634e-06,0.015463228099016582,-3.9597946360339195e-05,0.0033251958137121562,0.000433702404880402
0.045,-1.472617295421131e-05,-0.0003962698328581767,-1.8484138371182218e-07,-6.179957465836692e-06,-5.01100410756708e-06,-1.669835715510987e-05,-1.998002120415387e-07,-4.9756045769156154e-06,0.02647778366593528,-3.754147267539086e-05,0.000993961107071037,0.0005357199483078477
0.05,-1.634008949702122e-05,-0.00024283906140646613,-2.1620003783955242e-07,-6.360374986631781e-06,-5.088544491647076e-06,-1.530922332055595e-05,-2.1814086779830435e-07,-2.437628820234969e-06,0.03421727825779728,-3.3697252307372084e-05,-0.0002264655719457873,0.0004618983476553373
0.055,-1.7107960180634337e-05,-6.167699359598963e-05,-2.4838709895529813e-07,-6.50501325941357e-06,-5.169188414332285e-06,-1.6904701899046168e-05,-2.250180084945982e-07,-4.0109596720454193e-07,0.0374235734610886,-2.2531580902771854e-05,-0.0002151570790572004,0.0003642556052813953
0.06,-1.6950420960559964e-05,0.00012320929739572693,-2.811191252378019e-07,-6.570338327704759e-06,-5.253231453899836e-06,-1.5873625210402606e-05,-2.2262212962587258e-07,1.3658265649043738e-06,0.035741087012667386,-1.8989032946071958e-06,0.0007557230924010595,0.0003637028072345106
0.065,-1.590817253338863e-05,0.0002887051628065834,-3.1388347118670517e-07,-6.511238959008681e-06,-5.3174910383711734e-06,-8.624650276788194e-06,-2.1098119051612502e-07,3.3684347784369614e-06,0.029868804318269587,2.674228711995054e-05,0.0021799789592231483,0.00044082881900994395
0.07,-1.4125128467634382e-05,0.0004172952474529285,-3.4597244626239466e-07,-6.297093523408919e-06,-5.327549414918724e-06,5.7070295275190735e-06,-1.8840583606287156e-07,5.682581444800971e-06,0.0212529621068102,5.9331791129747926e-05,0.0035035966825878715,0.0004616676348301518
0.075,-1.1813295726002026e-05,0.0004992805984531237,-3.7658404236076944e-07,-5.921581775256776e-06,-5.251247237359026e-06,2.54707764074606e-05,-1.546268460819524e-07,7.699503510299027e-06,0.011460640369023443,9.039662835312767e-05,0.004291764453141765,0.0003137605977865752
0.08,-9.214909559948345e-06,0.0005319097091852159,-4.0495239431304727e-07,-5.405444824307124e-06,-5.0693645934276524e-06,4.728056588891864e-05,-1.133291371453558e-07,8.568733323034712e-06,0.0016550560399889254,0.00011415382901987028,0.004296340558879301,1.9975762153846312e-05
0.085,-6.573759074411746e-06,0.0005169157651840464,-4.304772239564205e-07,-4.793137332150314e-06,-4.781713729383769e-06,6.712235372260921e-05,-7.154023987080912e-08,7.8997485561735e-06,-0.007513794661489017,0.00012805294564020283,0.0035136307256681894,-0.00027145675462231624
0.09,-4.118229617129262e-06,0.00045852003739531804,-4.5282194032785035e-07,-4.144052701327271e-06,-4.4073578540762e-06,8.145724475544516e-05,-3.622003426064079e-08,6.1162122691142905e-06,-0.015635812866705807,0.0001290903775571577,0.002122476518739177,-0.0004081578312387748
0.095,-2.0503398110935037e-06,0.00036314921526976285,-4.7196450614205726e-07,-3.5229634800144284e-06,-3.980373256208835e-06,8.790077572732008e-05,-1.0716122784740778e-08,4.129682597107972e-06,-0.02219905530955713,0.00011715500515704363,0.00040063365064851137,-0.0003620952606381884
0.1,-5.327382553589351e-07,0.00024025346428386835,-4.881986188691673e-07,-2.989891297673527e-06,-3.5430387546769953e-06,8.556207104538344e-05,5.880314478017402e-09,2.612340985725544e-06,-0.026530854964980123,9.424977938703471e-05,-0.001350845924601262,-0.00024690189938353797
0.105,3.2736803983789143e-07,0.0001024749901239752,-5.020918026204464e-07,-2.5935936099882647e-06,-3.138808775578056e-06,7.480268877212335e-05,1.6133841295675763e-08,1.5238244332756086e-06,-0.028093180160926292,6.302804377748207e-05,-0.00292717508894034,-0.00021117964277339693
