,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0002229939548140325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021875706967256587,0.0
0.01,0.000225056425978898,-2.5458825314261532e-08,-7.606388061799434e-06,-8.752151301808538e-14,-1.8124100242309e-11,-8.35516204680438e-08,-1.4044216270255481e-05,-6.074847366479113e-11,-2.7318448677707227e-08,-0.001495504509807149,-1.865011962151331e-09,-0.0005872682745394215,-1.0009667869478412e-05
0.02,0.00022712495230698852,-1.9010487545114893e-07,-2.6014503357333034e-05,-3.526997867381547e-13,-3.373807660662151e-11,-2.3080902792770215e-07,-1.3540040325963752e-05,-1.3608162556262148e-09,-2.8751332927676957e-07,-0.0018986651357084622,-1.2003289626446044e-09,0.0005216377170465278,-4.104726110371016e-05
0.03,0.00022916278996691565,-5.308834842398462e-07,-4.023112918910323e-05,-7.374953158624347e-13,-4.213456470802173e-11,-3.346903929126259e-07,-7.0165634546245145e-06,-6.285385298577084e-09,-6.715836964454681e-07,-0.0007328159694046819,-5.296880341223867e-10,0.0006371210813886979,-2.308204247615075e-05
0.04,0.00023120149920336755,-9.397589922914002e-07,-3.841839108332434e-05,-1.1816388816706132e-12,-4.636039940126095e-11,-3.7881395760670804e-07,-2.4924051185087472e-06,-1.317963513287319e-08,-6.072536926569351e-07,0.001117816092610693,-3.57606378057667e-10,0.00024135753527975676,3.377746714865079e-05
0.05,0.00023321896949608312,-1.240575813285895e-06,-1.931832752307662e-05,-1.6625918258439849e-12,-4.980393704191758e-11,-3.9747274862854073e-07,-1.6975509451247962e-06,-1.722173547822778e-08,-1.974393014074313e-07,0.0025436856901076763,-3.334374851455229e-10,-2.4085989998966737e-05,3.678067271912881e-05
0.06,0.0002352274946613071,-1.2979232385417734e-06,8.128860369149003e-06,-2.173980850704923e-12,-5.208372908963086e-11,-4.155940391821155e-07,-1.78037156164885e-06,-1.766090794473633e-08,8.274986050831279e-08,0.0026971448067006345,-6.035198265978792e-11,5.879400958666829e-05,2.4680180207389173e-05
0.07,0.00023720918444405633,-1.0958369593805883e-06,3.044906408616169e-05,-2.691548201515864e-12,-5.0611818398911815e-11,-4.267161765074537e-07,-5.3623974584601754e-08,-1.5386833853528522e-08,3.992719039233735e-07,0.0016249322619661109,3.669805060663454e-10,0.00028181870698388157,3.7717231313893866e-05
0.08,0.00023915853415048985,-7.341858480219519e-07,3.9490905130188644e-05,-3.169410025692077e-12,-4.420868476130519e-11,-4.1098296775676127e-07,3.3106802878002226e-06,-9.781087015983032e-09,6.627072729489973e-07,0.0001904736027971956,8.844662253014329e-10,0.00034973063147508986,4.933707805773941e-06
0.09,0.00024106155268376186,-3.518608579310056e-07,3.487061117715869e-05,-3.5652668587675777e-12,-3.474433680046628e-11,-3.6240438993192635e-07,6.10792259178756e-06,-3.7417945701831684e-09,4.797639361904325e-07,-0.0010700821212584143,1.0198591830404979e-09,0.00017501095967128793,-3.292479859069277e-05
0.1,0.00024291938685508927,-7.325679825531405e-08,1.9401631166171888e-05,-3.866878114766571e-12,-2.6057721005485223e-11,-2.973663371706706e-07,6.396646405864401e-06,-5.013111400951493e-10,2.0209700860433454e-07,-0.001929702116095961,6.981518735761917e-10,-0.00012168411774124237,-1.7331416182033007e-05
0.11,0.00024476254184284076,1.8608422688351237e-08,-1.2403541629654886e-06,-4.101288510592008e-12,-2.1774520513779257e-11,-2.440443921050136e-07,3.865201459902294e-06,8.257082252596666e-10,5.715608635211405e-08,-0.0020594296769184894,1.3118685049464043e-10,-0.0003621801750512211,-2.1628564461846652e-05
0.12,0.00024658184315728136,-9.004536331833673e-08,-1.9585518986763216e-05,-4.3225556417913904e-12,-2.3464248712628643e-11,-2.2544237046934403e-07,-2.5136850840081376e-07,-1.0282529112597586e-10,-2.829551734761401e-07,-0.0015398880786720995,-4.6019777903753334e-10,-0.0004277042573627381,-3.9146026311032476e-05
0.13,0.0002484458701091798,-3.5024370963760903e-07,-3.1130362088127854e-05,-4.587491835433331e-12,-3.017138463876254e-11,-2.480953071316722e-07,-4.085466224008067e-06,-4.495084247453716e-09,-5.2369881293454e-07,-0.0007339072915560411,-8.390210698213148e-10,-0.00031530937574687415,-2.1831371113058187e-06
0.14,0.0002503945317288833,-6.817890176580451e-07,-3.342905924344474e-05,-4.9342510138356985e-12,-3.933574105392318e-11,-3.0149739652314875e-07,-6.251694315837317e-06,-9.284207521763726e-09,-4.052576886259595e-07,0.00031147913932368896,-9.268588893227083e-10,-0.00011101022791447993,1.4178125879644489e-05
0.15,0.0002525177380157941,-9.827171979000303e-07,-2.5061811636784965e-05,-5.372364028196006e-12,-4.795352139488927e-11,-3.65967479683125e-07,-6.292932105895349e-06,-1.2874345904662772e-08,-3.4735844144339207e-07,0.0013009745850996782,-7.261405975138569e-10,9.854138843302692e-05,1.1737958601744586e-06
0.16,0.0002546650273382592,-1.1582019395618064e-06,-9.321752934624794e-06,-5.882850410179032e-12,-5.3466913761036665e-11,-4.2102203103475514e-07,-4.452706400821181e-06,-1.5974046759586542e-08,-2.1482979627211452e-07,0.0017425288529980677,-3.075484620611513e-10,0.000256719238712676,3.055622430946461e-05
0.17,0.0002565664403358276,-1.1638501296532814e-06,8.066814509630914e-06,-6.4266252056775675e-12,-5.4505630946705644e-11,-4.511624602214772e-07,-1.4652458528553953e-06,-1.6207856013823246e-08,1.753686042177194e-07,0.001667341068016254,1.2265390965183558e-10,0.0003231020475350799,3.563709313820877e-05
0.18,0.00025840179700730435,-1.0064684939470548e-06,2.25467628984689e-05,-6.958127956060696e-12,-5.113581113638958e-11,-4.498345966442343e-07,1.6729831584357796e-06,-1.3238904227934372e-08,3.5586716213205995e-07,0.0011450528696367202,5.095098279669783e-10,0.00028928968491091046,1.668040077406317e-06
0.19,0.00025998554329780015,-7.383061315614019e-07,2.9431893105085065e-05,-7.438857482456543e-12,-4.465057677543087e-11,-4.2020503765594065e-07,4.067087715176643e-06,-9.799856029829674e-09,3.416076961970624e-07,0.00017527706145783567,1.3818271594523375e-09,0.00017837450528181343,4.317005812481945e-06
0.2,0.00026140735984447406,-4.5247644101188005e-07,2.6039654263827417e-05,-7.848010888736016e-12,-3.7235384442995624e-11,-3.73151735081714e-07,5.0704061145980575e-06,-6.025396514033763e-09,4.244991419317396e-07,-0.0008017649688112084,8.778111572075901e-10,1.6500602010396487e-05,2.9112544740563288e-06
0.21,0.0002634032700863124,-2.4371480344694594e-07,1.4773875669318937e-05,-8.188767746694476e-12,-3.1367394214201747e-11,-3.245441660123015e-07,4.362073116085053e-06,-2.2071027938814377e-09,2.587951806847869e-07,-0.0013788521367593455,-3.728407722749141e-09,-0.00015271587916494567,-3.6858331794885205e-05
0.22,0.00026586249205976583,-1.7014544256791003e-07,-4.46374613749706e-07,-8.486837255950108e-12,-2.89224873724498e-11,-2.9076556862489773e-07,2.205158225596345e-06,-1.5839568590721092e-09,-1.1578831447148516e-07,-0.0016145526607003473,-1.7699647014896338e-09,-0.0002642853939842373,-2.350988309993276e-05
0.23,0.0002678561086791705,-2.534550304566106e-07,-1.5818343413488866e-05,-8.781048320160931e-12,-3.0604872211443505e-11,-2.826397226796726e-07,-6.122327514562744e-07,-3.3525259298614345e-09,-1.748449196646518e-07,-0.0013463572737980962,2.5798538986751803e-08,-0.000284841742944295,1.6719502202409975e-06
0.24,0.00026998963626703314,-4.667697236750308e-07,-2.5425663278697057e-05,-9.11089262543331e-12,-3.5847489567606123e-11,-3.023088785158681e-07,-3.217028138887425e-06,-5.379361430687806e-09,-2.8680984692152757e-07,-0.0005191602949338248,-6.546717868202165e-10,-0.00022215069528080096,-2.6363388692250076e-05
0.25,0.0002725472546428939,-7.315919117876521e-07,-2.6300703709304623e-05,-9.504202653699188e-12,-4.2932119429169144e-11,-3.434752788289728e-07,-4.821079672860214e-06,-9.441755069746057e-09,-4.927266383698848e-07,0.0003144916282675193,-6.439093993993775e-10,-9.045754850088103e-05,-3.898395081325628e-06
0.26,0.00027371975443102054,-9.6751177794327e-07,-1.979677866703059e-05,-9.968157508397399e-12,-4.964855562788272e-11,-3.9336853545265675e-07,-4.890736608868919e-06,-1.3710156397073286e-08,-2.9004772293771087e-07,0.0009631153617163602,-1.5070725149061518e-10,7.497733154234486e-05,3.9290026017295345e-05
0.27,0.0002733213522142803,-1.1083656542001308e-06,-7.5148261557714816e-06,-1.0488583945558088e-11,-5.392600221700665e-11,-4.3606800898876516e-07,-3.416720933594352e-06,-1.4894309705580998e-08,2.480941521460607e-08,0.001450239465589009,-9.112466767318708e-10,0.0002091582607720352,1.4257394543312676e-05
