,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0007804788418491138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47940844809077215,0.7317286839280207,-0.48706494552931195,0.0
0.01,0.000787697490926143,3.7284427894915904e-08,-1.845026107516271e-05,2.752421002722125e-07,2.727296120502674e-05,-4.0856891920579704e-07,-5.41317164306656e-05,-1.0440066717374135e-09,-3.337284723119926e-07,-0.005794793873705184,-6.790748060507557e-05,-0.000807395974127656,-7.579726609201762e-05
0.02,0.0007949373330744597,-4.607965506607027e-07,-8.127527443511742e-05,5.450315106261402e-07,2.6734375768973932e-05,-9.238621358450623e-07,-4.368980114868642e-05,-9.540086734278905e-09,-1.464537162356131e-06,-0.005783217691743031,-3.914445886996076e-05,0.0022762762306169637,-0.00013083418455839675
0.03,0.0008020697648842048,-1.494042721399545e-06,-0.00011702015751706986,8.108623725165439e-07,2.6467937083757253e-05,-1.240329282656543e-06,-1.99766592581211e-05,-2.9525712599219297e-08,-2.3463766553427957e-06,-0.0007677806481394545,-1.7427094999272752e-05,0.0020448741382660673,-1.8774408178639157e-05
0.04,0.0008092052472117864,-2.5932919595155254e-06,-9.1982410623126e-05,1.0748128749857246e-06,2.6330889202414585e-05,-1.3616951427367107e-06,-6.789167817285661e-06,-5.1178009354004685e-08,-1.7421134739736606e-06,0.005648035234088855,-1.209331325295604e-05,0.0005990263305070131,0.00012070710512522369
0.05,0.0008162663932362909,-3.149941369523434e-06,-1.2856037614077369e-05,1.3375586943955974e-06,2.6222303191234055e-05,-1.416094262548501e-06,-5.223565586854241e-06,-6.203772858623199e-08,-4.347764815641569e-07,0.009477594546376922,-9.678773059740298e-06,-7.037946775861892e-05,0.00012291908409442108
0.06,0.0008232962313145749,-2.7988702745061805e-06,8.16062348736854e-05,1.5994726474134712e-06,2.6179456810217746e-05,-1.4678530063509945e-06,-4.323539867388237e-06,-6.06314234355385e-08,6.948730801565256e-07,0.00862874944962444,1.6348547395850233e-06,0.0003850554352708424,0.00011168202031839117
0.07,0.0008302321455541971,-1.614609728309525e-06,0.000147898589718939,1.8616693190472332e-06,2.629040473313345e-05,-1.4792025146207728e-06,3.2183484176012815e-06,-4.8085305356071175e-08,1.7891235401466062e-06,0.004286702973915174,2.0055687906264663e-05,0.0010677974116790334,9.172320840893349e-05
0.08,0.0008370548695267145,-7.605834986977867e-09,0.00016499144335685692,2.125857763132474e-06,2.6571085261780184e-05,-1.3896022690221896e-06,1.4728624154848938e-05,-2.730308068819222e-08,2.1548899243735964e-06,-0.0008164775232324395,2.3019960618944624e-05,0.0010949793788735396,-2.752385251946301e-05
0.09,0.0008437154343931665,1.526779537701604e-06,0.00013499245161915712,2.3933449976467174e-06,2.6928225347377508e-05,-1.1979399388928285e-06,2.2293027434104005e-05,-8.864968764875422e-09,1.4182113518604798e-06,-0.004965785942679074,1.329961107190969e-05,0.0003416189240584566,-9.453799259340082e-05
0.1,0.0008502178539928123,2.5826511624109935e-06,7.248450500709538e-05,2.664164606234708e-06,2.721343475673416e-05,-9.759619614196218e-07,2.037994124093707e-05,8.892514704746962e-10,5.884966929871215e-07,-0.007153715222864232,-1.1269278417241901e-06,-0.000684985458646703,-7.352419942626995e-05
0.11,0.0008566688964499426,2.946098485516306e-06,7.656871670440196e-07,2.9369542395546568e-06,2.7308052017562505e-05,-8.209089638947492e-07,9.467843569621387e-06,2.851626285588934e-09,-2.4392730442921293e-07,-0.006805169463325489,-1.5164909477477506e-06,-0.001388813172525205,-0.00010042419363199367
0.12,0.0008630364510504848,2.6445629811185663e-06,-5.732749944334378e-05,3.2095780510028048e-06,2.7182263300133488e-05,-7.991340449982745e-07,-5.170690026954409e-06,-4.886476667277956e-09,-1.2908180261705932e-06,-0.004588660615252982,-2.2289831817429162e-05,-0.0014267243438204624,-8.996430104788198e-05
0.13,0.0008695605453821296,1.8923724346818239e-06,-8.771887874684046e-05,3.4800493191337554e-06,2.6892670071166182e-05,-9.153683784547686e-07,-1.7194725538989963e-05,-2.0839868029679996e-08,-1.7301395250749388e-06,-0.0013683705496837784,-3.374822774961095e-05,-0.0009084542797655748,5.8501982728679115e-06
0.14,0.0008763808610510914,1.0072043842566623e-06,-8.318516515746244e-05,3.747241674710465e-06,2.654600305834554e-05,-1.1205536336761876e-06,-2.2562870369539728e-05,-3.6856279805464265e-08,-1.4122774143953404e-06,0.002275754372864369,-3.365279970797552e-05,-0.00015299681383873498,3.966523855833057e-05
0.15,0.0008838120830552794,3.4306950343950296e-07,-4.4739125219106514e-05,4.011152955781159e-06,2.625353038963224e-05,-1.3415835873561668e-06,-2.0468328747681636e-05,-4.910826864644955e-08,-1.0445035433607566e-06,0.005161700029675809,-2.3411332867803725e-05,0.000544340940576038,4.2765521997368454e-05
0.16,0.0008913275956839072,1.789572245404017e-07,1.3584555992846529e-05,4.272772451783742e-06,2.6097799454530558e-05,-1.5102079354597672e-06,-1.2489867973096273e-05,-5.6474942286259935e-08,-3.136396816836417e-07,0.006155052843626413,-7.1588120192506155e-06,0.000999343921007284,0.00010751601441885174
0.17,0.0008979825411753967,6.153707602837718e-07,7.226036469903019e-05,4.5336816568489835e-06,2.6112619727852474e-05,-1.5816505415942483e-06,-1.5999533743656876e-06,-5.3882562521624865e-08,8.179065875149267e-07,0.005311195288929149,9.790949173790753e-06,0.0011176536532618853,9.420968028933099e-05
0.18,0.0009044062895255653,1.5701424449584066e-06,0.00011474069276073538,4.7955348792605305e-06,2.6279500152185994e-05,-1.5441016779801677e-06,8.74300152100522e-06,-4.247674906660078e-08,1.3036532671429092e-06,0.0029435943082557203,2.2532115861270685e-05,0.0009007227799090745,6.85557449831356e-06
0.19,0.0009099494015423005,2.8100805150498756e-06,0.00012742527183056746,5.059578119919361e-06,2.653776866206529e-05,-1.4183948214294103e-06,1.563146706847196e-05,-2.9578333942287442e-08,1.272039158452594e-06,-0.0004961997340853508,2.76061799809324e-05,0.0004446249512967959,2.298668637752124e-06
0.2,0.0009149257594556592,4.0037786549675585e-06,0.00010611545599145863,5.3263079673532466e-06,2.6801418041841395e-05,-1.2492029109241648e-06,1.7236396855222352e-05,-1.6735411167842963e-08,1.2638206295344575e-06,-0.0035640145309919213,2.3589148305636076e-05,-0.00013166955565457883,-2.3918842766080606e-05
