,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0007804788418491138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47940844809077215,0.7317286839280207,-0.48706494552931195,0.0
0.01,0.000787697490926143,-3.540374305230476e-07,-6.687778137445237e-05,2.686179372519676e-07,2.7089424370423108e-05,-3.022935957895488e-10,-4.3884577244140195e-09,-2.552683718133027e-12,-3.7301931886022767e-10,-0.005268618409013798,-2.1507562488157217e-05,-3.632549718524114e-07,-7.58607094290104e-08
0.02,0.0007949373330744597,-1.2183642796131597e-06,-9.859699289288776e-05,5.382973742264495e-07,2.6834691146373054e-05,-3.5416295496919153e-10,-5.740998647120144e-09,-7.203500256209366e-12,-5.145449303358302e-10,-0.0008632631480083863,-2.8146956894473107e-05,-3.1822433077532963e-08,-7.359606060751249e-09
0.03,0.0008020697648842048,-2.166911536560974e-06,-8.307377657524376e-05,8.052508791994712e-07,2.6561519021611536e-05,-4.1003426593343765e-10,-5.168682359400414e-09,-1.2187847219636594e-11,-4.5118288283888846e-10,0.0038648363924985996,-2.507323392646199e-05,5.266102946210882e-07,-1.652757983423847e-08
0.04,0.0008092052472117864,-2.742282120362427e-06,-2.6272427237943342e-05,1.0697997863091556e-06,2.6369327636604612e-05,-4.499039505752343e-10,-2.525060795086549e-09,-1.563283615577397e-11,-2.135161589032871e-10,0.007111316738192208,-1.204617728624291e-05,-2.897723918593442e-07,6.763445372249405e-08
0.05,0.0008162663932362909,-2.6281062632515966e-06,4.997450432711213e-05,1.3331410053113153e-06,2.6326927197378935e-05,-4.5972892131176966e-10,1.0860012242820171e-09,-1.6245578652970865e-11,1.044067934230987e-10,0.007631715285500357,5.692054389966339e-06,-1.3810432512306736e-06,1.9176748879503637e-07
0.06,0.0008232962313145749,-1.775436071117761e-06,0.00011651887094433642,1.596879341618748e-06,2.6445019195016458e-05,-4.372227836900147e-10,4.7813938232165e-09,-1.3834494812924783e-11,3.847438552563658e-10,0.0052387265421015294,2.4156747960538127e-05,-3.507259445506561e-06,6.580832286906015e-07
0.07,0.0008302321455541971,-4.1609234320618115e-07,0.00014797317143671026,1.8624204990643936e-06,2.6673520740320954e-05,-3.923350816784522e-10,6.786656146525857e-09,-9.356210657933244e-12,4.997931887381142e-10,0.000849786388605861,3.6616111669260376e-05,-2.815851665921576e-06,1.4939859503337264e-06
0.08,0.0008370548695267145,1.0254990543891538e-06,0.00013245663117957246,2.1304345102917707e-06,2.692115400026672e-05,-3.4312491773638385e-10,3.389330958775183e-09,-4.541678946372642e-12,3.4377568070231596e-10,-0.003862217578797844,2.5563023191940704e-05,9.74343064641392e-06,1.2555973439915729e-06
0.09,0.0008437154343931665,2.0946886677829033e-06,7.598641753645173e-05,2.400604285942829e-06,2.709025582309383e-05,-3.09676879261781e-10,1.5304145678255314e-09,-1.253771127164646e-12,2.276287882530363e-10,-0.007072819030946198,9.879013020575034e-06,3.880964704550127e-06,-8.32214751055407e-08
0.1,0.0008502178539928123,2.480557731442095e-06,2.125917794698096e-07,2.6717471050404444e-06,2.71103169844166e-05,-3.0602024875587644e-10,-1.4008757651693676e-09,-7.836693843461429e-13,-1.076755567869266e-10,-0.007585077840705778,-6.798089777312888e-06,-6.750252348197705e-07,-4.036264725913892e-08
0.11,0.0008566688964499426,2.133391982140998e-06,-6.599526767999084e-05,2.9422709579321354e-06,2.6969842740756335e-05,-3.3465446009714646e-10,-4.240907513013482e-09,-3.3167927754838886e-12,-3.811843226507246e-10,-0.005210213880253861,-2.088466333381722e-05,-3.285628351334946e-07,-2.1727068646505178e-08
0.12,0.0008630364510504848,1.2803975594151975e-06,-9.733462668061575e-05,3.210774325791194e-06,2.6719007169804013e-05,-3.8565845882338377e-10,-5.64524280391061e-09,-7.915890553521606e-12,-5.087268258934373e-10,-0.0008455277673376782,-2.7717459819595613e-05,-2.954803643429038e-08,-3.370513098981641e-09
0.13,0.0008695605453821296,3.449399503608781e-07,-8.1870962325826e-05,3.4765899264167398e-06,2.6449784879389973e-05,-4.4069613453467703e-10,-5.012663056991119e-09,-1.2842134861925758e-11,-4.4420670381989406e-10,0.0038326028460284045,-2.4398133991507254e-05,2.279940332361452e-07,1.582215535499143e-08
0.14,0.0008763808610510914,-2.1997830634253346e-07,-2.5648318362394504e-05,3.7400387692535742e-06,2.6260562198604804e-05,-4.799354229331515e-10,-2.583071312510216e-09,-1.6239147891916765e-11,-2.1287087913301884e-10,0.00703584274432878,-1.2227019869207045e-05,3.1097997293949575e-07,2.8902801648767254e-08
0.15,0.0008838120830552794,-1.0382477555026219e-07,4.975309803371842e-05,4.002295228866811e-06,2.6218519802408116e-05,-4.897101349629227e-10,7.679950699083451e-10,-1.6838296478643792e-11,9.651167967655475e-11,0.007540442075753745,4.3384763045162256e-06,-4.0229779399436616e-07,3.090370052439076e-08
0.16,0.0008913275956839072,7.422757772593457e-07,0.00011545542395980902,4.264941661720347e-06,2.6334710393672157e-05,-4.675832442313512e-10,3.5124556803534397e-09,-1.4445637807033935e-11,3.654707951381138e-10,0.005160033118789348,1.816838302730328e-05,2.918986255179279e-06,2.108899338645019e-08
0.17,0.0008979825411753967,2.0881776898994508e-06,0.0001464204922889806,4.529368438014569e-06,2.6561517060021466e-05,-4.2290165895929813e-10,5.089489495871494e-09,-1.001066623231884e-11,4.915241930711011e-10,0.0008264962835722311,2.571895895277232e-05,1.721721390623987e-06,3.284369292592265e-09
0.18,0.0009044062895255653,3.5140883725236562e-06,0.00013098697184508947,4.796240728238209e-06,2.680623648885474e-05,-3.7439866666400317e-10,3.869793373514524e-09,-5.257616343580921e-12,4.2723051009035814e-10,-0.003819034550768541,2.0921963478956473e-05,8.582029863479779e-06,-1.57413101084785e-08
0.19,0.0009099494015423005,4.571485649617017e-06,7.519147799198824e-05,5.065248242618863e-06,2.6973331627630583e-05,-3.410703971837794e-10,-8.931810756666471e-11,-2.0245403995172848e-12,1.977374474501661e-10,-0.006990477989880478,2.17893750925624e-06,1.3241170911032496e-05,-2.866357826707632e-08
0.2,0.0009149257594556592,4.9538798683081645e-06,4.810772345269902e-07,5.335227820031527e-06,2.6996523357030185e-05,-3.3648449300247016e-10,-1.958523177636717e-09,-1.5635390056646122e-12,-1.0873432813391018e-10,-0.007458691173952925,-1.0965280089800244e-05,-1.1154329506324334e-05,-3.054193087843947e-08
0.21,0.0009219114453020934,4.613302769375977e-06,-6.466922766293047e-05,5.604598495573451e-06,2.6853781589406916e-05,-3.6612573962036427e-10,-2.7264846943094918e-09,-4.064838561331922e-12,-3.7532730384063123e-10,-0.005137147077384413,-1.3205401316940257e-05,6.7258559125760176e-06,-2.097637461076279e-08
0.22,0.0009305187222091805,3.7760807973459057e-06,-9.560975138077796e-05,5.871962367940541e-06,2.6605902267132464e-05,-4.165570538203841e-10,-5.699537305387397e-09,-8.594578739357663e-12,-5.011881082710167e-10,-0.0008543165438887057,-2.7672278433227282e-05,1.4497511371946992e-07,-3.3905207957613676e-09
0.23,0.0009374963803770967,2.8563008409141503e-06,-8.060890707583806e-05,6.1366642243266285e-06,2.6339850730884478e-05,-4.711592031399792e-10,-3.7182652805163537e-09,-1.3451963651927871e-11,-4.385823345791675e-10,0.0037569394538003176,-1.9535071753437605e-05,-3.4613515102199788e-06,1.549414311804477e-08
