,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0011149697740701625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010937853483628295,0.0
0.01,0.00112528212989449,-1.2908698509418514e-07,-3.856289535224959e-05,-4.32484660941391e-09,-8.9807023195149e-07,-4.1629651036165886e-07,-6.97666641660158e-05,-2.7843825410870193e-10,-1.317400665785461e-07,-0.007510053539970281,-9.266493737828424e-05,-0.0029144882267760387,-4.9769284525379186e-05
0.02,0.0011356247615349425,-9.586615917687488e-07,-0.00013072649991691796,-1.7480038797588084e-08,-1.6756687969311082e-06,-1.1479306647480507e-06,-6.733882862372657e-05,-6.720566278809429e-09,-1.4290987101184927e-06,-0.009504812402586412,-5.9354809923193916e-05,0.0025793346148616546,-0.00020382256488232948
0.03,0.0011458139498345783,-2.671117370782698e-06,-0.00020196356271386782,-3.660416203628902e-08,-2.0963683390945462e-06,-1.6647019891275384e-06,-3.5150695804340205e-05,-3.125293287117911e-08,-3.322755413804812e-06,-0.0037163082650347305,-2.8005442563143783e-05,0.0031516237458877384,-0.00011228941421288687
0.04,0.0011560074960168378,-4.726612628896618e-06,-0.00019363591761738128,-5.872124412437906e-08,-2.310931094841695e-06,-1.8874538031319277e-06,-1.2736851358530972e-05,-6.526980420070463e-08,-3.005447590359627e-06,0.005481912660724948,-1.798938032749429e-05,0.0012124099661581134,0.00016054709354033914
0.05,0.0011660948474804156,-6.252141306308622e-06,-9.943090380032603e-05,-8.270614314180046e-08,-2.4840524161555638e-06,-1.98284536909549e-06,-8.59148696660969e-06,-8.562260775763928e-08,-1.0397823012989097e-06,0.012574303664792178,-1.6162856076231587e-05,-0.00010419171796354539,0.00018222505095476758
0.06,0.0011761374733065355,-6.574143330022445e-06,3.6370145318091333e-05,-1.0821927348132446e-07,-2.598955728081245e-06,-2.0738419257192054e-06,-8.904824459378074e-06,-8.825076814213556e-08,4.1661110849536823e-07,0.013375211097590965,-4.339639980809172e-06,0.000287816902456838,0.0001328605702180406
0.07,0.0011860459222202816,-5.610185752407365e-06,0.00014758349190795703,-1.340619459188665e-07,-2.5296003834519553e-06,-2.1300781355122264e-06,-4.665538721986813e-07,-7.658198382269039e-08,2.006548659470823e-06,0.008169888334059133,1.9348760724671842e-05,0.0013801585373491917,0.00017702566538054833
0.08,0.0011957926707524492,-3.844623234890907e-06,0.00019356861756591578,-1.5798083108475106e-07,-2.2166260919483906e-06,-2.0548620329598733e-06,1.6096675355761657e-05,-4.911988762465471e-08,3.2239214234471856e-06,0.0010316921401927804,4.1651412273813184e-05,0.001730182865900065,2.5175400557054216e-05
0.09,0.0012053077634188094,-1.968171229595515e-06,0.00017123016384053204,-1.7787014847181818e-07,-1.7499867021249888e-06,-1.8170345450050422e-06,3.0028124176742434e-05,-1.9430391890828758e-08,2.4006505604842093e-06,-0.005265223764105833,4.8351405711957904e-05,0.000883760212904732,-0.00015297152494858429
0.1,0.0012145969342754464,-6.011832828929296e-07,9.505622445389698e-05,-1.9309857457359032e-07,-1.318598518418525e-06,-1.4961229317834172e-06,3.1689664928525124e-05,-2.8008253634026936e-09,1.0425141631698038e-06,-0.00949064980779165,3.477044106977175e-05,-0.0005781042363481656,-9.607674604244094e-05
0.11,0.0012238127092142038,-1.530120812959569e-07,-6.539354287461594e-06,-2.0496977271184396e-07,-1.1020772761419491e-06,-1.230696304556165e-06,1.938901568419231e-05,3.539192507147453e-09,2.0517060794688792e-07,-0.010177846216377743,7.174065729437605e-06,-0.0017729928186458156,-0.0001060752597205104
0.12,0.0012329092157864069,-6.951933564657524e-07,-9.761962276128356e-05,-2.1613537905388683e-07,-1.1797639039741721e-06,-1.1351880603278994e-06,-8.472074390487059e-07,-1.4003245143696457e-09,-1.3291638490833472e-06,-0.00765827209503646,-2.1870703711429598e-05,-0.002111374902026232,-0.00017712135547163713
