,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,9.722348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23971335159529206,-0.36587827348755103,0.2342444248534779,0.0
0.01,9.81227e-05,-2.4532895466925757e-07,-5.701279267924621e-05,-1.4270251149300277e-07,-1.4506535942374738e-05,-3.051469901514732e-08,2.3283356784050315e-06,-5.00442135253006e-11,-1.7468889497521703e-08,-0.005744007805406945,7.908091864333722e-05,0.0006328313890429788,-1.2977439478799145e-06
0.02,9.902456e-05,-1.016036037657743e-06,-9.381104428634584e-05,-2.872169184196202e-07,-1.45878165800929e-05,-2.7573409089114513e-08,-9.971686945446669e-07,-3.629338651923271e-10,-4.774639714477313e-08,-0.002922029372285251,-1.1376448526105587e-05,0.00023412874387587768,-2.071947831542556e-06
0.03,9.991304e-05,-2.039653928161263e-06,-0.00010448155511033509,-4.3379875265352314e-07,-1.4742340808094608e-05,-3.1754740607695746e-08,-5.620936376622418e-07,-8.083459817893064e-10,-3.797288288273766e-08,0.0007614120926442008,-2.4069225123123095e-05,-5.100423468133719e-05,3.6885066040176972e-06
0.04,0.0001008019,-2.993305298813699e-06,-8.107890824766455e-05,-5.822100282169617e-07,-1.4922829155938793e-05,-3.6767283007361334e-08,-3.8086173946571395e-07,-1.1775592780088519e-09,-2.6235943147924443e-08,0.00391167597377029,-1.4227648961535888e-05,8.715232829303865e-06,-2.9381786494392815e-05
0.05,0.0001016815,-3.5769131118380902e-06,-3.288715832883493e-05,-7.320199822456202e-07,-1.5022039051945103e-05,-3.970426063153105e-08,-1.5894719118975974e-07,-1.4621333521630124e-09,-3.460021028610469e-08,0.0053932831639045,-4.325779806524377e-06,3.118538940596882e-05,3.552004929795421e-05
0.06,0.0001025572,-3.630425071172566e-06,2.1304209088450616e-05,-8.822650347673341e-07,-1.5008338449418608e-05,-3.981794316938462e-08,1.3233358698938965e-07,-1.3627375102399298e-09,6.989933023782302e-08,0.005085960425248254,6.9426376196266015e-06,2.8235070046261912e-05,-1.3815855421175222e-05
0.07,0.0001034212,-3.196079154539978e-06,6.168862194360019e-05,-1.0318384235321177e-06,-1.4892113397695895e-05,-3.722543281423867e-08,3.658137660367411e-07,-1.0923443408577192e-09,-3.5397300552685596e-08,0.002690728521251809,1.5442846931550125e-05,1.6774194080346194e-05,7.764070892320608e-06
0.08,0.0001042711,-2.4998543632985293e-06,7.18732721191692e-05,-1.1799201521649463e-06,-1.4720388134206402e-05,-3.300244380290102e-08,4.4931558096832093e-07,-6.59364982315031e-10,1.4274397120105775e-07,-0.0006482106213321209,1.770660548815889e-05,-1.006578995169094e-06,-2.1446734581655755e-06
0.09,0.0001051008,-1.8666088379811702e-06,4.966112195981136e-05,-1.3262892828772083e-06,-1.4561366416024402e-05,-2.8855123775483047e-08,3.508954459540819e-07,-2.828710340204644e-10,-1.0749947986118147e-07,-0.003790186450769853,1.3007721619877344e-05,-1.7936367212131876e-05,1.1911976339673471e-05
0.1,0.0001059108,-1.596975525112052e-06,1.4082253314959564e-06,-1.4714030917779984e-06,-1.4478049509719579e-05,-2.6455553110278497e-08,1.1134787975007524e-07,-1.1122797766462675e-11,1.8178972690172237e-07,-0.005309697374150324,3.0344591016029376e-06,-2.8920441680096998e-05,-5.030206143467052e-05
0.11,0.0001067144,-1.8519970425330288e-06,-5.1794771502017286e-05,-1.6162225121514177e-06,-1.4504837425417197e-05,-2.6812649169328646e-08,-1.817804462557519e-07,-2.1794212022048358e-10,-2.0840841018320518e-07,-0.005281447334199704,-8.24557671447873e-06,-2.7454842400034818e-05,9.669443877213029e-05
0.12,0.0001075076,-2.5956199167585464e-06,-9.27852414812624e-05,-1.7618454339128408e-06,-1.4633989416663729e-05,-2.987727171281614e-08,-4.133018828100066e-07,-2.037938199029199e-10,9.677471878607277e-08,-0.0022316019376903834,-1.679984728126388e-05,-1.783935443326612e-05,-0.00020668109761006983
0.13,0.0001083203,-3.6021958474318257e-06,-0.00010350255970724846,-1.9090923385210473e-06,-1.4819358693512831e-05,-3.458906227298829e-08,-4.984399197519668e-07,-1.1535180897734137e-09,-5.6921326398899667e-08,-0.00013264165994356092,-1.9099504966778313e-05,1.6113831385333732e-06,0.0002946938977941515
0.14,0.0001091699,-4.55430226995157e-06,-8.10276606240345e-05,-2.0581955758363038e-06,-1.4993660100428776e-05,-3.925340324488015e-08,-4.059998693796687e-07,-9.41975948346746e-10,-1.8177455596818208e-07,0.004425456142209558,-1.4605779251303241e-05,1.7018867261561765e-05,-0.00029761904269001455
0.15,0.0001100956,-5.1468319661715815e-06,-3.5307759615172046e-05,-2.208714274931018e-06,-1.5093668540979508e-05,-4.221951068519159e-08,-1.6807443527481112e-07,-1.680128465919104e-09,3.019328426644091e-07,0.00488692028778015,-4.808512554264899e-06,2.8630984941935278e-05,0.00020027547795718466
0.16,0.0001110318,-5.2211662007278566e-06,2.0183086892362534e-05,-2.3597015110802713e-06,-1.5084827945291883e-05,-4.246073564797356e-08,1.1909430072861094e-07,-1.4300463927294403e-09,-3.9055447010818334e-07,0.005029537551075811,6.5327220604566305e-06,2.8415581049698324e-05,-2.8584203237778504e-06
0.17,0.0001118608,-4.809927500658097e-06,5.8463868572090756e-05,-2.5100611642529347e-06,-1.4972829631151062e-05,-3.9977440554503855e-08,3.568614174306037e-07,-9.262982032242414e-10,4.18118452552833e-07,0.0033078992953885084,1.4954019209006963e-05,1.5548893893033155e-05,-0.00021887011111715825
0.18,0.000112661,-4.128910475178826e-06,7.154847866689155e-05,-2.6589676799043953e-06,-1.480419774748762e-05,-3.583957875412633e-08,4.432074293844535e-07,-1.1678789440566661e-09,-1.993680859554255e-07,-0.0015566462899853223,1.762267060645417e-05,1.4773683629093481e-06,0.00041672098067522677
0.19,0.0001133515,-3.502964369903952e-06,4.95900343784304e-05,-2.8061773423723613e-06,-1.4645191856738698e-05,-3.1689701902053344e-08,3.5474762451700015e-07,1.8954336195252827e-10,1.6016457698239473e-08,-0.002332124837719246,1.3061305292660919e-05,-1.9333023371648217e-05,-0.0005199521072932765
0.2,0.0001139714,-3.2212684119224645e-06,2.6944574425536175e-06,-2.95211529064364e-06,-1.4558443869242558e-05,-2.9206081469242333e-08,1.2531191467796335e-07,-6.138148643670525e-10,3.099866165269825e-07,-0.00645304711682812,3.544937386051883e-06,-2.6738869926989928e-05,0.000461773232124717
0.21,0.0001148416,-3.4579814313160033e-06,-4.860072618272069e-05,-3.0977196221178687e-06,-1.4581438281837141e-05,-2.9461634967192967e-08,-1.7289757570385893e-07,1.2268845142799675e-10,-5.412110233485803e-07,-0.004295494391337251,-7.792338629797335e-06,-2.748694774651339e-05,-0.00029172540601653783
0.22,0.0001159138,-4.176661963502879e-06,-9.187245906184196e-05,-3.2440891226438015e-06,-1.470703828541159e-05,-3.245582964140818e-08,-4.065126147851808e-07,-4.87489175529054e-10,5.867772146212368e-07,-0.002866434580799354,-1.6544478632786463e-05,-1.7597514846590112e-05,1.853244231505045e-05
0.23,0.000116783,-5.168122453676895e-06,-0.00010119271273972468,-3.392050442943459e-06,-1.488942784176217e-05,-3.708893551344239e-08,-4.947320929233605e-07,-1.1541429007797765e-09,-6.158989056383035e-07,-0.00018536560186581397,-1.8089388544667573e-05,3.3882199156065607e-07,0.0002561252930743361
0.24,0.0001177132,-6.1191812861017065e-06,-8.308483589797693e-05,-3.5418509100592846e-06,-1.5063660307849508e-05,-4.1748206771608406e-08,-4.0804766894230135e-07,-7.758136835119053e-10,3.8350665611232463e-07,0.004759283332610817,-1.4876398641873456e-05,1.4817170446254635e-05,-0.0004982464667454045
0.25,0.0001188283,-6.72429063143173e-06,-3.624226066585751e-05,-3.693087380382747e-06,-1.5167754675387833e-05,-4.48208388205351e-08,-1.8397291819271524e-07,-2.1749071423592336e-09,-1.7470624493029426e-07,0.003699757492588329,-5.224718935596673e-06,3.031037467907116e-05,0.0006336414250919971
0.26,0.0001193395,-6.826502030580325e-06,1.679568778714815e-05,-3.844828306429873e-06,-1.5161256494209457e-05,-4.509635223812663e-08,1.1697561328630399e-07,-8.635811972382717e-10,-1.2440919579565643e-07,0.006523920077889336,6.1105634747704585e-06,2.439456404641771e-05,-0.0006082104388413855
0.27,0.0001191658,-6.436696002017751e-06,5.6473860459995905e-05,-3.99595105995556e-06,-1.5047990209245024e-05,-4.253050860637891e-08,3.7298542641471404e-07,-1.7035407674216255e-09,4.306847444705687e-07,0.0017803545251222769,1.530150039203565e-05,1.7301544581946326e-05,0.00046318880656570876
0.28,0.0001178899,-5.768391652206497e-06,7.278358891778724e-05,-4.145563680276529e-06,-1.4868471627029113e-05,-3.798298886918706e-08,4.944995126730625e-07,-5.781537410498436e-10,-5.563681160213483e-07,0.000329604417975915,1.8963875586107404e-05,-1.1067111365115068e-06,-0.0002258224760555746
0.29,0.0001173058,-5.120441645236441e-06,5.1426171218861e-05,-4.2933594406865826e-06,-1.4697596893080391e-05,-3.343106781176133e-08,4.034021244789761e-07,-3.4631553606628256e-10,6.759150631385504e-07,-0.003154722492628534,1.4601557546796429e-05,-1.4843220487462117e-05,-6.686683908385259e-05
0.3,0.0001188215,-4.794039112471913e-06,1.0145683303397656e-05,-4.439795291714942e-06,-1.4610493351255958e-05,-3.0861006619971376e-08,1.2447390251075702e-07,-5.269370176366305e-10,-5.384867068307444e-07,-0.006034082965731491,9.378146027044787e-05,-7.987767698958148e-05,0.0003382123587665532
0.31,0.000120292,-4.978683789173207e-06,-4.600955875396168e-05,-4.585843203166178e-06,-1.4621819773250352e-05,-3.096313934694724e-08,-1.584355941862176e-07,3.606387915685097e-10,3.301627006949273e-07,-0.0038646464970387706,-7.5507154407711274e-06,-3.136743071113779e-05,-0.000538640711200727
0.32,0.0001205605,-5.659211129232807e-06,-8.782845371121611e-05,-4.7325570234798356e-06,-1.4734739482836967e-05,-3.359964559030327e-08,-3.692245107714778e-07,-1.0941638755075707e-09,-1.0777303181430399e-07,-0.004593747357576949,-1.5346636748493625e-05,-1.960502900461014e-05,0.0006081537160052123
0.33,0.0001191332,-6.644006896742108e-06,-0.00010218439045014884,-4.880716565189237e-06,-1.4900727181855575e-05,-3.764722113697503e-08,-4.328575247699633e-07,-3.0445025123579434e-10,-2.6154582612416313e-07,0.0016347463596406986,-1.7585457859459197e-05,-6.75346165715518e-06,-0.0005584383954374128
0.34,0.0001171413,-7.5983888394324855e-06,-8.425801094301328e-05,-5.030550779578422e-06,-1.505852019318906e-05,-4.166481202720555e-08,-3.3927716374891036e-07,-1.7058574338195707e-09,4.151901974873485e-07,0.0025416526545106594,-1.3130142277585632e-05,1.6669901805696496e-05,0.0004039877303840787
