,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,9.722348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190670357768248,1.0975233703962064,-0.7200207981156249,0.0
0.01,9.81227e-05,1.8767968948517577e-07,9.77276739209847e-06,4.3109462207800286e-07,4.322362363181361e-05,-2.1946510082871367e-07,-1.4243640963573452e-05,-1.3119368708104156e-09,-3.8502244270554394e-07,-0.0014990765072770418,-6.422524406357599e-06,0.0016651054344752336,-6.842815436514807e-05
0.02,9.902456e-05,2.4103056917250015e-07,4.367847872281703e-06,8.632403507475649e-07,4.322273117138217e-05,-2.866836865621059e-07,-4.515931293278406e-07,-8.109196610496351e-09,-8.578923561229106e-07,0.0005391961505254173,3.8449716713157e-06,0.0009444526522235097,5.330706549751328e-07
0.03,9.991304e-05,3.4754581095599665e-07,2.0311025249670064e-05,1.2956763293614395e-06,4.326270690938469e-05,-2.608185890420843e-07,4.0324539719640835e-06,-1.4735588654183283e-08,-3.110921942889476e-07,0.002533693307972068,3.0547827212928924e-06,1.7081187665773934e-05,8.659095382316606e-05
0.04,0.0001008019,6.972362398603895e-07,5.096130009251523e-05,1.728408776770274e-06,4.327978379761626e-05,-2.2770996869076374e-07,2.09545761061303e-06,-1.4129653635661336e-08,3.1520263931357176e-07,0.0033034984906797904,9.034389419904088e-07,-0.00027711221607917835,2.271554686804388e-05
0.05,0.0001016815,1.3606266390802787e-06,7.972163154836072e-05,2.1612733433783873e-06,4.3297890108429816e-05,-2.1744336674259056e-07,4.5770479955054105e-07,-1.0719686869160252e-08,3.399660078411963e-07,0.0021409274664721534,3.574969909936332e-06,2.4245309419579364e-06,8.154686599671774e-06
0.06,0.0001025572,2.2297329320233587e-06,9.046495408969158e-05,2.59452153353269e-06,4.336120736449057e-05,-2.0662840017314543e-07,2.235514019687248e-06,-6.0446256598142245e-09,6.725246707125797e-07,9.687531004776151e-06,9.177069971291751e-06,0.0003128809959966339,4.549919010942005e-05
0.07,0.0001034212,3.1056495153138614e-06,8.221786362856957e-05,3.028657717346864e-06,4.347103191563751e-05,-1.6757565762168353e-07,5.510357737289711e-06,1.984442004101187e-09,7.821932989454909e-07,-0.0015035974864682222,1.206462591873958e-05,0.00027756039080284456,-3.774543328970194e-05
0.08,0.0001042711,3.83740291368038e-06,6.282917794480481e-05,3.4639518180875766e-06,4.358336702518352e-05,-1.0324044241276299e-07,6.813523639622191e-06,6.720501649080162e-09,1.1410352831852328e-07,-0.002288175961578015,9.372357133163867e-06,-4.257368338386747e-05,-6.794925579585692e-05
0.09,0.0001051008,4.345433880455051e-06,3.8512033088167866e-05,3.900149208093225e-06,4.364374285786292e-05,-4.3256229429160873e-08,4.622623970891168e-06,5.677438434408219e-09,-1.8397463035919002e-07,-0.0024277044716605467,2.099087409043743e-06,-0.00037585327558628534,5.961418128525719e-06
0.1,0.0001059108,4.6191655132394184e-06,1.7667779816960143e-05,4.336547511741553e-06,4.362179197185251e-05,-1.9147282824046425e-08,-2.380264880959131e-08,4.283717612449974e-09,-1.509827150093856e-07,-0.0015926216264750548,-6.288187073169582e-06,-0.0005099586355181707,-2.127993247795482e-05
0.11,0.0001067144,4.7365593344651725e-06,7.808396321107102e-06,4.772342633164712e-06,4.352822468014736e-05,-4.379346909415362e-08,-4.690530701088681e-06,7.787949129513371e-10,-5.967296783396774e-07,-0.000411402552128487,-1.1685026170799029e-05,-0.00038439945416038346,-4.481610480774145e-05
0.12,0.0001075076,4.8103941369758095e-06,8.475198471440086e-06,5.207009640102751e-06,4.3404097466882445e-05,-1.0556256579074577e-07,-7.192546799865142e-06,-6.193315532781379e-09,-6.419514430317679e-07,0.0005228562120761227,-1.2368854962183096e-05,-0.00010577719410329034,3.838639677875187e-05
0.13,0.0001083203,4.936827872815967e-06,1.8426639956518296e-05,5.640474017952224e-06,4.329441497921328e-05,-1.780585509833117e-07,-6.866128505433739e-06,-1.0120496251464961e-08,-1.5877122894189655e-07,0.001473792710277505,-9.014687280053946e-06,0.00015821106414584674,3.398274241436165e-05
0.14,0.0001091699,5.207627201545478e-06,3.672624078308062e-05,6.073058072567877e-06,4.3232202162698944e-05,-2.3558760981203534e-07,-4.365271284259453e-06,-1.1042529769357302e-08,-1.1176620265955152e-07,0.002047201427824663,-3.1691599313848906e-06,0.0003236362819415972,-1.0289916479099828e-05
0.15,0.0001100956,5.675204318561464e-06,5.619382472535054e-05,6.505329022496517e-06,4.323252589576817e-05,-2.6174724740014587e-07,-7.85681242359229e-07,-1.205217417047936e-08,1.5288320708808447e-08,0.0017180267976981967,3.1073433918310522e-06,0.0003717769701535867,4.382015049485944e-05
