,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,9.722348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47940844809077215,0.7317286839280207,-0.4803622104295721,0.0
0.01,9.81227e-05,1.5268566086645323e-08,-1.0565067935268115e-05,2.760595968675724e-07,2.7864722298636178e-05,-4.9916742345145796e-08,5.337968516960229e-06,-5.574299690180221e-10,-9.882144867540286e-08,-0.0006892149683959681,4.691777523857521e-05,0.0007387461986121391,7.121144835862421e-06
0.02,9.902456e-05,-4.6138490880272065e-08,3.1697071436823e-06,5.559034326037162e-07,2.7978542259064713e-05,-1.3642975753718198e-08,-6.025734951052533e-07,-1.2174462633777009e-09,-7.438996421938572e-08,0.0022185878803560044,-2.0761034992072824e-05,-0.0008122669996770693,-4.0227233298329975e-07
0.03,9.991304e-05,8.290081529933919e-08,2.1570584502259813e-05,8.34645557454158e-07,2.7802836617445808e-05,-3.5177617412429295e-08,-1.5791359538077568e-06,-1.4752629359295468e-09,-1.5753453379492384e-08,0.0016326285208987934,-4.282184193543648e-06,0.00038283075481437834,-1.1362004835258608e-05
0.04,0.0001008019,3.830451967354106e-07,3.892761469550393e-05,1.1128138008660669e-06,2.7848615192429413e-05,-3.520381389300354e-08,8.587824691707243e-07,-1.4663517234604636e-09,5.4258994327646037e-08,0.001883884290608956,4.338273352624822e-06,1.557893472450833e-05,-2.98730346595796e-06
0.05,0.0001016815,8.595333498739203e-07,5.4860714086362605e-05,1.3915609312599737e-06,2.789537849614939e-05,-2.9094347236109386e-08,3.365262961183428e-07,-1.1552873407699666e-09,9.336846124230534e-08,0.001079978496911077,3.7427775461534862e-06,-2.1991204988774937e-05,1.8317508807019908e-05
0.06,0.0001025572,1.4438695562154472e-06,5.974217951575858e-05,1.6707708181672238e-06,2.7952844366594364e-05,-2.4761669577870134e-08,6.416174829463112e-07,-5.751240009126399e-10,6.974157568420915e-08,-0.00021406174274229972,1.664291191101619e-05,3.653987980206663e-05,2.7431023824088307e-05
0.07,0.0001034212,2.0147987342414976e-06,5.270033849605124e-05,1.9506758691416695e-06,2.802296744524289e-05,-1.753144735934791e-08,6.751095860328995e-07,4.00095902276499e-11,2.5757548825947726e-08,-0.0012575682084556283,5.310605654826328e-05,-6.260356904808084e-05,2.141342076073807e-05
0.08,0.0001042711,2.4658526273623312e-06,3.663872631593847e-05,2.231148548051434e-06,2.8062836402589156e-05,-1.2757861022081167e-08,2.684111676162432e-07,5.107413770360318e-10,-3.221426908864026e-08,-0.0018882895645648268,1.7272779107846414e-06,-4.071181775588961e-05,-8.35619360303848e-06
0.09,0.0001051008,2.733416464017109e-06,1.7054522658551865e-05,2.5117942085207664e-06,2.8059510692490697e-05,-1.2053882723039858e-08,-1.2849008766619422e-07,5.66110951060043e-10,-3.563482982777291e-09,-0.0017967086249975617,-2.4371060014655166e-06,-4.0778441444538904e-05,-2.795158238707527e-05
0.1,0.0001059108,2.8218182442144373e-06,1.5933702641085475e-06,2.7922020499894e-06,2.8015968348769255e-05,-1.5322244155122356e-08,-5.116089728368695e-07,2.606312843535514e-11,5.463875028206791e-09,-0.0011430517011842,-6.051788891417442e-06,-3.267702922613025e-05,8.091320025928622e-06
0.11,0.0001067144,2.8019768880971213e-06,-3.831383824198665e-06,3.0720249121794e-06,2.794643509751783e-05,-2.1694050111812215e-08,-7.172966862086335e-07,-7.597980733427606e-10,-8.42302165241281e-08,-9.932200682374881e-05,-7.374627043102433e-06,-6.207074601277673e-06,5.092558539601297e-05
0.12,0.0001075076,2.783929904162803e-06,2.606586202719889e-06,3.3511316936777e-06,2.787722953047156e-05,-2.8760833722288097e-08,-6.539309552657142e-07,-1.1810043524769023e-09,-1.9040204901148966e-07,0.0011453111946566064,-5.9860089628993585e-06,1.9768810379794388e-05,7.95646947116934e-06
0.13,0.0001083203,2.87775869769671e-06,1.794378279558048e-05,3.6296560077638445e-06,2.7833401908713893e-05,-3.395443879627e-08,-3.5763938638601183e-07,-1.2219553858247762e-09,-6.110221292182936e-08,0.0020444993659260446,-2.504564631716777e-06,3.7212675193520894e-05,-7.182146280701826e-05
0.14,0.0001091699,3.1525594197208043e-06,3.6600136393136926e-05,3.907939362079557e-06,2.7830541211225473e-05,-3.545830447927176e-08,6.61649440157589e-08,-1.4480298449630336e-09,1.8589337340793563e-07,0.0019177041875976242,1.8702092364208944e-06,4.2419711416719075e-05,-1.9983729214251972e-05
0.15,0.0001100956,3.60796439955157e-06,5.244734107775033e-05,4.186405396045106e-06,2.7868891975900176e-05,-3.27941726177544e-08,4.5379687243783264e-07,-1.5915083965404742e-09,1.3498810884793664e-07,0.000925694370559893,5.525032866215973e-06,3.303936591841916e-05,9.99273262967093e-05
0.16,0.0001110318,4.175097283045983e-06,5.954399571957787e-05,4.465403828362553e-06,2.7933385010698285e-05,-2.7033808928932097e-08,6.599770731532928e-07,-8.596088495226507e-10,-1.696170897653257e-07,-0.00011317521642817407,7.051337461011498e-06,1.052313912242031e-05,6.510792744258233e-05
0.17,0.0001118608,4.745637419387719e-06,5.407820325298717e-05,4.745079941100064e-06,2.799968541509344e-05,-2.038400001588274e-08,6.173785697996677e-07,4.966636762239334e-10,-1.2704934418829253e-07,-0.0007919900340291608,5.826896138358406e-06,-1.8316247694188936e-05,-0.00011806081728212753
0.18,0.000112661,5.2133568859227705e-06,3.816257848488923e-05,5.025321220595476e-06,2.804272024041555e-05,-1.540184362932625e-08,3.42537164854531e-07,8.859905408175227e-10,2.384049459539451e-07,-0.0015117917140268777,2.383015857213011e-06,-3.932569396319918e-05,-0.00012098859348584468
0.19,0.0001133515,5.508198774635132e-06,1.9001229294153993e-05,5.3057997343805975e-06,2.8045943334341034e-05,-1.401034873622338e-08,-6.464385890605969e-08,1.1266583969493616e-10,2.9404240412488055e-07,-0.0020411570908668852,-1.881950946830413e-06,-4.24841351555072e-05,7.045862352385417e-05
0.2,0.0001139714,5.622344321410709e-06,4.064004003890186e-06,5.586097465249393e-06,2.8007774722973187e-05,-1.6747409930685884e-08,-4.575997430864304e-07,-6.418946957462799e-10,-1.0938364635432556e-07,-0.001649923692926325,-5.4324445841053e-06,-3.006862032267632e-05,0.0001709534803309653
0.21,0.0001148416,5.616080857937489e-06,-2.082483894662335e-06,5.865860196256765e-06,2.7941907549356384e-05,-2.265463050135573e-08,-6.922644942338776e-07,-5.708849703105172e-10,-4.369457246880062e-07,-0.0001707349891703902,-7.137314378083404e-06,-9.625542205876636e-06,1.6266831872292076e-05
0.22,0.0001159138,5.596943494079767e-06,1.8248539472520173e-06,6.144926258550523e-06,2.7872577958966e-05,-2.9622805622088906e-08,-6.690634653489993e-07,-3.7480874148668447e-10,-1.8940854211685103e-07,0.0014422258231653329,-6.264482384915615e-06,1.3245355845070694e-05,-0.0001751984960953926
0.23,0.000116783,5.677143958162273e-06,1.4877841435489275e-05,6.423389583169681e-06,2.7825456249543465e-05,-3.51014769734943e-08,-3.933866438995572e-07,-1.0442320699254091e-09,2.992529579605361e-07,0.00204137708584623,-3.721820459851033e-06,3.3836291095878934e-05,-0.0001121612102021962
0.24,0.0001177132,5.928769945481403e-06,3.347514528013576e-05,6.701564385753396e-06,2.7816925658048258e-05,-3.712806403347524e-08,1.051029024187731e-08,-2.1161990164486952e-09,3.401542293652627e-07,0.0015326596508418722,1.2461602295343877e-06,4.294451986475156e-05,0.0001308161227884649
0.25,0.0001188283,6.357704970451298e-06,5.082258537531323e-05,6.979861309492116e-06,2.784893681707532e-05,-3.508634032343645e-08,3.909641963668171e-07,-2.088536402077639e-09,-1.4004823503005936e-07,0.0007690433083184789,5.042312562694717e-06,3.6504521446073523e-05,0.00019792707102882754
0.26,0.0001193395,6.905469824928022e-06,5.9047679209208495e-05,7.258639438911331e-06,2.7909701717811984e-05,-2.975450750378453e-08,6.32034676265239e-07,-5.484453851281981e-10,-3.869546604313817e-07,0.0003057259363186682,6.901287496377528e-06,1.3803144635948783e-05,-3.918033687931791e-05
0.27,0.0001191658,7.473936991427319e-06,5.439637753238369e-05,7.538080127417656e-06,2.7976824933650305e-05,-2.3099327678056034e-08,6.415198403779357e-07,8.405183868094208e-10,1.5367764987218323e-08,-0.00033189841322628366,6.203562537776541e-06,-1.6253378001984675e-05,-0.00023168887994437886
0.28,0.0001178899,7.958242966764015e-06,3.978853676017036e-05,7.818116557700405e-06,2.8025587287722035e-05,-1.7614962935015636e-08,4.2543307560619893e-07,6.01358791752563e-10,4.927910595230396e-07,-0.001487038096019605,3.1562758865816276e-06,-3.481456342216416e-05,-7.667108122427017e-05
0.29,0.0001173058,8.281992297633552e-06,2.2314438838251626e-05,8.09846301949706e-06,2.80369391642094e-05,-1.536151645743409e-08,2.355470433314943e-08,-5.088929975799128e-10,2.447404602281981e-07,-0.0023486779671333113,-1.0020824185025257e-06,-4.063328014694556e-05,0.00020979461256749528
0.3,0.0001188215,8.426434676314169e-06,7.822985677284848e-06,8.378704939199552e-06,2.8004943271074475e-05,-1.7403933372861683e-08,-4.1555555276457557e-07,-6.212592061123376e-10,-4.2522637673537186e-07,-0.0017433106245929586,-4.925506584804729e-06,-3.2523207339513194e-05,0.0001721491704231755
0.31,0.000120292,8.441606091484165e-06,-4.212745640302661e-07,8.65846291495814e-06,2.7943255321979843e-05,-2.2907567013253707e-08,-6.60350148525595e-07,1.742823945639957e-10,-4.938937210294989e-07,4.604942290331593e-05,-6.858730362921395e-06,-1.3305437691957245e-05,-0.00014558860467972303
