time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47940844809077215,0.7317286839280207,-0.4803622104295721,0.0
0.01,1.1717799404564627e-07,5.1102388767914386e-06,2.7808939198898327e-07,2.7864109962967774e-05,-1.545426983780498e-07,-1.134630560599379e-05,-8.533118122907982e-10,-2.521729349691015e-07,-0.0011997422879216346,-6.845743125746817e-06,0.0009845124612237743,-4.5755560722989624e-05
0.02,1.2597732131725457e-07,-1.238495938393274e-06,5.565380481332681e-07,2.7837741224786012e-05,-2.2057065634234654e-07,-2.3618048238983367e-06,-5.43244483700342e-09,-5.989998347759249e-07,5.421603945204856e-05,2.8192054922493437e-07,0.0006894117153292134,-6.233906389160253e-06
0.03,1.4158847615246775e-07,6.850835875854814e-06,8.349596159162806e-07,2.7847225018504473e-05,-2.1972178453230324e-07,1.5202675842083388e-06,-1.0488877129352679e-08,-3.0338155290036614e-07,0.0015200531046467847,8.54317510901037e-07,0.00010758956106313167,5.28693685431097e-05
0.04,3.034992121415452e-07,2.6894981214468455e-05,1.1134554128635692e-06,2.7849996243197025e-05,-2.0521336295995016e-07,9.496049446014184e-07,-1.1123155335514185e-08,1.1544499097046124e-07,0.002303961907885038,-8.283078017923273e-08,-0.0001418873224789119,1.9035791399241967e-05
0.05,6.845100396604742e-07,4.84188329342694e-05,1.3919651541370057e-06,2.7854643184472538e-05,-2.0167822539665297e-07,1.3346371504975905e-08,-9.521246700487534e-09,1.8025593748425644e-07,0.0017728225464698766,1.553974134080316e-06,-1.3559822070741134e-07,9.280971965362327e-06
0.06,1.235892037660448e-06,5.9509693677767505e-05,1.670646933882895e-06,2.788798512669252e-05,-1.976120156123012e-07,1.1715590670242014e-06,-6.684079956140106e-09,4.440620263251321e-07,0.0004097048021006189,5.20352734258156e-06,0.0002129070464748084,3.577369562671596e-05
0.07,1.8306346113247878e-06,5.752464864104106e-05,1.9498389228116984e-06,2.795480662253358e-05,-1.740407669223493e-07,3.5638859292845056e-06,-1.0520310014386384e-09,5.87496237128168e-07,-0.0007165367072767548,7.717994617129076e-06,0.00022162918575194257,-2.0022323087015907e-05
0.08,2.356818908607581e-06,4.654452130912938e-05,2.2297749233073336e-06,2.8031057633010784e-05,-1.2998333180430108e-07,4.905795290960143e-06,2.9289640910810465e-09,1.4998691323777216e-07,-0.0014329937305921359,6.9058115292619515e-06,2.393671348666082e-05,-4.709878550000776e-05
0.09,2.7430914002316302e-06,3.0129432259323274e-05,2.5103743847912706e-06,2.8081894037292306e-05,-8.38616449522921e-08,3.905423504763816e-06,2.8455020743944914e-09,-5.5268574973756825e-08,-0.00175200025478911,2.829283094182844e-06,-0.00021620360281060513,7.5245133388864585e-06
0.1,2.960724654446687e-06,1.4151616838293475e-05,2.7912455991505575e-06,2.8083180745086387e-05,-5.847320385834933e-08,9.485137967462104e-07,2.75062220487791e-09,-1.1545126477759822e-08,-0.0013119272235343205,-2.5503301304269366e-06,-0.0003480039408260416,-1.9645010472212987e-05
0.11,3.0494428996381663e-06,4.940100502624404e-06,3.071872396374655e-06,2.8035310121424287e-05,-6.638773522657074e-08,-2.452348282213572e-06,8.662515871121052e-10,-4.27438390789971e-07,-0.0005532007923517712,-6.6128745745130946e-06,-0.0003023463801860582,-4.194815819606089e-05
0.12,3.0817729024091174e-06,2.4990833697505005e-06,3.35186082529289e-06,2.7960129290011382e-05,-1.034882612522799e-07,-4.673799489267603e-06,-4.4422206353481475e-09,-4.875689517455101e-07,5.7401533711781694e-05,-7.947815420572546e-06,-0.00013043187997166528,3.454904947339501e-05
0.13,3.1219320436643546e-06,6.812658521823182e-06,3.631077355639938e-06,2.7885082033592885e-05,-1.535777833188781e-07,-5.034944602093176e-06,-7.3007793868379065e-09,-9.05967996148401e-08,0.000835399318193375,-6.66034367106938e-06,5.3897815488090917e-05,2.371667267992122e-05
0.14,3.243805189026772e-06,1.859476852863767e-05,3.909643457284465e-06,2.7833469333158525e-05,-1.987455396965923e-07,-3.76713943428595e-06,-8.069440671315928e-09,-1.4907602894246635e-07,0.0014252998112960769,-3.402222565215829e-06,0.0001900330464192912,-2.353692064956109e-05
0.15,3.501454270976524e-06,3.266303932656334e-05,4.1878749219982674e-06,2.7819646304925904e-05,-2.254737808924221e-07,-1.4667187418780716e-06,-1.0044978718705015e-08,-1.325767445163165e-07,0.0012766904744453134,6.392105538627346e-07,0.0002564566383523037,3.9467413278159694e-05
0.16,3.8849846794946775e-06,4.335276608773667e-05,4.466164526007484e-06,2.7843935503201202e-05,-2.273269519407621e-07,1.0567475504856992e-06,-8.72378268681975e-09,4.029614362212637e-07,0.000872909129324112,4.014463706569771e-06,0.0002332654307664328,4.041206134545593e-05
0.17,4.355262908077635e-06,4.993025038572715e-05,4.74484356228752e-06,2.7895113484162134e-05,-2.0638794991074302e-07,2.980194658105907e-06,-4.0726702552742254e-09,3.803206599571009e-07,0.0003910056458865385,5.9491382423532135e-06,0.00014453646016635013,-3.8732154410300526e-05
0.18,4.86079103720312e-06,4.968473327561458e-05,5.0241025201637e-06,2.7956919736293454e-05,-1.711741695086875e-07,3.874158397853325e-06,-2.1285252929016836e-09,7.328405166226587e-08,-0.0004913645782761988,6.080028931779169e-06,3.2085238489298895e-05,-4.886440092409679e-07
0.19,5.319512859913325e-06,4.0921933063596225e-05,5.303952522286916e-06,2.80099406249727e-05,-1.3285066452855298e-07,3.5849029912313515e-06,-4.78239525474275e-10,3.1293784047860596e-07,-0.0011427197963024271,4.208901926761044e-06,-9.079232375830415e-05,2.4532307907233898e-05
0.2,5.6698598035031855e-06,2.9206971811803713e-05,5.5842123978217785e-06,2.8036653911775694e-05,-1.0341066778542744e-07,2.13369529592024e-06,2.628485656417073e-09,1.6045567963933765e-07,-0.0011283828230672366,1.0186706930204181e-06,-0.00019050452556454434,-5.603856742459075e-05
0.21,5.907646507814192e-06,1.8542880817311967e-05,5.864573345525562e-06,2.802997932936969e-05,-9.241577843181786e-08,1.8442889368934563e-08,1.2586208651206025e-09,-3.842387574787592e-07,-0.001017313912683948,-2.2871532727314348e-06,-0.00021842277194622506,-2.4859363349762543e-05
