,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,9.722348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009537623388,0.0
0.01,9.81227e-05,-1.1224178639887237e-08,-3.3473860261040744e-06,-3.761601795932271e-10,-7.837659446181942e-08,-3.6298276369469916e-08,-6.094257144687398e-06,-2.6666765406787376e-11,-1.1601839431905639e-08,-0.0006559322709303396,-8.084324147655387e-06,-0.0002534461285434323,-4.236337645184201e-06
0.02,9.902456e-05,-8.338728391528342e-08,-1.1410385303639843e-05,-1.5246011505726322e-09,-1.4618053904967708e-07,-1.0022495141997423e-07,-5.8666323386263725e-06,-5.798249969779316e-10,-1.230114868516714e-07,-0.0008303937374877674,-5.163551759591115e-06,0.00022601185622964516,-1.7905361102877355e-05
0.03,9.991304e-05,-2.3293093063582128e-07,-1.7628427362033174e-05,-3.1924962365571317e-09,-1.826809569762153e-07,-1.451586885290255e-07,-3.0514120123367368e-06,-2.7154192195806624e-09,-2.9246476413781537e-07,-0.0003222348652587524,-2.434870789275606e-06,0.0002739352804407594,-1.0153613176924284e-05
0.04,0.0001008019,-4.124124320325398e-07,-1.6891852664983448e-05,-5.1194265775112146e-09,-2.013154965515361e-07,-1.64411201340647e-07,-1.1101059424734136e-06,-5.726041713333177e-09,-2.6295824129615437e-07,0.00047814478012001677,-1.5809536967610309e-06,0.0001037882606613874,1.515455342340435e-05
0.05,0.0001016815,-5.458489059668259e-07,-8.662948207837236e-06,-7.208164051803091e-09,-2.1655289593577747e-07,-1.7264767491904987e-07,-7.786352184005962e-07,-7.474956726072535e-09,-7.754815895251254e-08,0.0011005023519671674,-1.4469165522144067e-06,-1.0387215814420387e-05,1.586031169447836e-05
0.06,0.0001025572,-5.735656220408017e-07,3.268747562260747e-06,-9.433808346852088e-09,-2.2694984129620452e-07,-1.8096731865469405e-07,-8.091076790266018e-07,-7.604633717854184e-09,2.8298442464961513e-08,0.0011731960336346923,-3.845750425005699e-07,2.7976810041644826e-05,8.099655842854923e-06
0.07,0.0001034212,-4.884646577417126e-07,1.2954742064394707e-05,-1.1690445198348867e-08,-2.2081078015598826e-07,-1.8607539278105135e-07,-3.9610600792945686e-08,-6.766711102848327e-09,1.5813249619889763e-07,0.0006965743028223631,1.7198898368179785e-06,0.00012426934384973155,1.9111644043046366e-05
0.08,0.0001042711,-3.344657422132898e-07,1.6806016895789656e-05,-1.3777205281692121e-08,-1.9322721885331072e-07,-1.7939046546687626e-07,1.430800598253713e-06,-4.329800201923568e-09,3.072270452003686e-07,8.069061859456015e-05,3.6584593360571587e-06,0.00015204889445897662,4.24024250533252e-06
0.09,0.0001051008,-1.7150404926510307e-07,1.49038912094041e-05,-1.5510032451430436e-08,-1.5232401957727905e-07,-1.5836383171827867e-07,2.643299775196151e-06,-1.519451350924473e-09,2.0956333714168345e-07,-0.00044174614987783206,4.223190092090234e-06,7.491724243606924e-05,-1.9742957797185512e-05
0.1,0.0001059108,-5.183758904810426e-08,8.36362140513741e-06,-1.68348929869457e-08,-1.1465776378310743e-07,-1.3020754050887402e-07,2.7664056223936397e-06,-3.2128915981701577e-10,5.3910521841851205e-08,-0.0008359117320964575,3.0276584192064963e-06,-5.221976514763928e-05,-5.1707532725803925e-06
0.11,0.0001067144,-1.2787719317357488e-08,-7.05763436771023e-07,-1.7866714210669107e-08,-9.58886703308651e-08,-1.0707975498776882e-07,1.6806136135775327e-06,1.44138268952e-10,5.761891654637502e-08,-0.0009041337915251049,6.002202407153666e-07,-0.0001554563135469533,-2.9915212525702748e-06
0.12,0.0001075076,-6.166069798518557e-08,-8.565448267093887e-06,-1.8839299238472293e-08,-1.0299615861440917e-07,-9.88975435166703e-08,-9.521656081489043e-08,1.992592201517476e-10,-1.0311967478036858e-07,-0.0006324978988381353,-1.937594919827723e-06,-0.00018486039570860723,-2.785271642478025e-05
