time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008609256,0.0
0.005,1.4408989175004467e-09,7.584609743922527e-07,8.046401899416958e-11,3.330039717078138e-08,9.32787117985643e-09,3.5463382669471306e-06,1.5354055376197874e-12,9.978022582048478e-10,0.0003045108815065773,7.378307866398545e-06,0.0005539556230523088,5.992189128313398e-07
0.01,1.0651557253258382e-08,3.0036032076791678e-06,3.403067676341419e-10,7.048508007765827e-08,3.225646217891537e-08,5.533486601689151e-06,2.9720421858144916e-11,1.164124010406865e-08,0.0005866767712527621,7.431732053454674e-06,0.00024318489615055605,3.878704582539318e-06
0.015,3.398890419649742e-08,6.401797431752962e-06,7.809988975085851e-10,1.0524492689501277e-07,6.156465825197433e-08,6.070938358117665e-06,1.6584715156269084e-10,4.584832263800701e-08,0.0007574978978928633,6.427892473441191e-06,-2.004418269351161e-05,9.947819218246731e-06
0.02,7.560818985640538e-08,1.0274769085408816e-05,1.3813698893780457e-09,1.3390071699298366e-07,9.088754571986731e-08,5.5210754404207766e-06,5.469637351392174e-10,1.1107061928942339e-07,0.0007667497318000787,5.049933179988875e-06,-0.00018507843560003532,1.588821411827789e-05
0.025,1.3601885334797796e-07,1.3792417808703805e-05,2.1076983526154603e-09,1.554056788709818e-07,1.1583809089996495e-07,4.37612936090056e-06,1.3092776238701328e-09,1.9608808057144006e-07,0.000613260298855254,3.6323176509064195e-06,-0.0002556018396640027,1.7123567726478986e-05
0.03,2.1150325801933024e-07,1.6208374657644628e-05,2.9253252990837027e-09,1.7065767651880194e-07,1.3453582317359914e-07,3.0849130059630273e-06,2.4798734633710213e-09,2.692296559675336e-07,0.00033346044843484166,2.544981094364795e-06,-0.0002476025210853004,1.1019299368209175e-05
0.035,2.952200165644271e-07,1.7012597650395874e-05,3.806884422819922e-09,1.8120749777820437e-07,1.4703681218883366e-07,1.936705842836677e-06,3.91482313777465e-09,2.973090274959274e-07,-2.366173153937678e-05,1.7619162063518718e-06,-0.00020283732202978992,-4.4021283218377777e-07
0.04,3.78370765650994e-07,1.5942467152134464e-05,4.732292050424871e-09,1.884005415250636e-07,1.544216119830075e-07,1.0591938050909676e-06,5.345731923929882e-09,2.6625626499620244e-07,-0.0004080327509499517,1.229099642764977e-06,-0.00014446929925249582,-1.1831389299325431e-05
0.045,4.512964827161682e-07,1.2989964491550644e-05,5.68667500385113e-09,1.9298402856913462e-07,1.5811653742639017e-07,4.499770145894332e-07,6.498681394334923e-09,1.9002983813495078e-07,-0.0007694095047987321,6.414556817454686e-07,-9.888943884766025e-05,-1.8055032938789746e-05
