,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00020104766901559213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47938762347138575,0.7316968989826415,-0.4813599011044287,0.0
0.01,0.00020080516281159445,-2.2726991483461117e-08,-6.846995391748885e-06,2.7339629304329795e-11,2.72555986107318e-09,-7.523732505183789e-08,-1.2577208589142619e-05,-5.243845559241235e-11,-2.412887133513595e-08,-0.0013430981683419663,-1.6645526068614913e-09,-0.0005147603048643867,-9.065173623509997e-06
0.02,0.00020059446811461793,-1.704710613945779e-07,-2.3276930573298776e-05,5.4520705634364213e-11,2.7117454658272516e-09,-2.063968669815515e-07,-1.1976222725135812e-05,-1.2416869304174504e-09,-2.683242287832206e-07,-0.0016792079703904783,-1.0872134026396196e-09,0.00048218067351082916,-3.983527391302886e-05
0.03,0.00020043842588823453,-4.739939389708048e-07,-3.559574464849757e-05,8.159726566511587e-11,2.704541750785248e-09,-2.9711454619290087e-07,-6.026388430994795e-06,-6.034585557502256e-09,-6.72816664005671e-07,-0.000602788406340371,-4.658269187052255e-10,0.0005788940765544814,-2.8910787192797186e-05
0.04,0.00020031532590964325,-8.330875628776798e-07,-3.347859071563577e-05,1.0862416689997608e-10,2.701127885223479e-09,-3.337925946880228e-07,-1.920544760383967e-06,-1.3280502810680627e-08,-6.735997297797102e-07,0.0010299957265307857,-2.7805745206332944e-10,0.00022258073064723716,2.924771326480235e-05
0.05,0.0001998871520710648,-1.0926782708381748e-06,-1.6386770380430555e-05,1.3562207038199238e-10,2.6984956353835507e-09,-3.4713306327334844e-07,-1.142420723140279e-06,-1.793908479579892e-08,-2.2945187912872716e-07,0.0022524924072363506,-2.2061702464881705e-10,-1.655463023819692e-05,4.7928809793241394e-05
0.06,0.0001995742384083994,-1.1360637054684272e-06,7.949664747263096e-06,1.6259731890280023e-10,2.696914796615045e-09,-3.595060023712849e-07,-1.1903275847973421e-06,-1.8116090164256213e-08,1.5108312027908112e-07,0.002407252257251191,-3.686731475660565e-11,5.0801486692952924e-05,2.847535702806133e-05
0.07,0.00019994210607253023,-9.479753162425181e-07,2.8043781965012767e-05,1.8957136423911122e-10,2.6986224109694947e-09,-3.6567021609913034e-07,2.939077613716854e-07,-1.5330273245663156e-08,4.106469747999982e-07,0.0014726636515849656,3.7028381749681927e-10,0.00024177485424661804,2.748341741620866e-05
0.08,0.00019936866973625095,-6.161528406565831e-07,3.606385252664672e-05,2.1658447482721794e-10,2.7046761918636123e-09,-3.4854567301127005e-07,3.2445441671871712e-06,-9.927250321293204e-09,6.48152255321582e-07,0.00013601519569447773,7.813869690176389e-10,0.0003108642248593474,1.2507300295145284e-05
0.09,0.0001987486468802108,-2.688647559011586e-07,3.154645246648476e-05,2.4367423090068845e-10,2.7134648729511404e-09,-3.022646755277391e-07,5.746360839568938e-06,-3.4679577173829265e-09,5.735560184574155e-07,-0.0009827654234961514,1.0810390499438327e-09,0.00015767615414227776,-2.540304407361016e-05
0.1,0.00019885561495713738,-1.625375867212933e-08,1.7776454616274846e-05,2.708513699173035e-10,2.7215267376574346e-09,-2.4131951686639595e-07,5.9869385568026915e-06,6.801874494041119e-10,2.50843356126598e-07,-0.0016931427178465408,4.2917232268013805e-10,-0.00011284202563754953,-3.2470323937366635e-05
0.11,0.00019913867706345114,7.16413429543479e-08,-4.828652244261296e-07,2.980914285229324e-10,2.7256154183006644e-09,-1.9114381095314596e-07,3.6746970191030463e-06,1.7421486860957116e-09,-1.2710622329928535e-08,-0.001855975804922777,4.24609208904414e-10,-0.00032753647857394763,-2.1097961712099095e-05
0.12,0.000199530667197361,-2.1099682555400458e-08,-1.734224277833936e-05,3.253456767784103e-10,2.7243177189004347e-09,-1.7245364513276045e-07,-4.14992478271725e-08,5.473935339050397e-10,-2.3095511779233169e-07,-0.0014251884259637027,-4.2231834695982684e-10,-0.00038546106400730307,-2.5372952678207495e-05
0.13,0.00019948151766518616,-2.5353216396738577e-07,-2.776278703211707e-05,3.525626757096395e-10,2.7184763250109254e-09,-1.9101031477444637e-07,-3.4921937898159303e-06,-3.038375712929932e-09,-4.841669638976508e-07,-0.0006226133551183177,-9.20059459175171e-10,-0.00028220058123534786,-2.032776561769069e-05
0.14,0.00019957868598876496,-5.474753367110829e-07,-2.9501783357820408e-05,3.797080689604484e-10,2.710467927005796e-09,-2.3716589512394303e-07,-5.414391149707665e-06,-8.443564010341258e-09,-5.429131674217349e-07,0.0002738636220974422,-7.917936445389628e-10,-9.601683793700189e-05,1.107401254604089e-05
0.15,0.00019681108487792521,-8.142971938552574e-07,-2.244425132351774e-05,4.06774237624404e-10,2.7031027974866696e-09,-2.9253125889222644e-07,-5.308240645646852e-06,-1.2970815630853825e-08,-3.3237746164488373e-07,0.0011155623138446036,-6.139627417578453e-10,0.0001098059632311521,2.458666444962325e-05
0.16,0.00019573544887393295,-9.723172013731496e-07,-8.227447159743521e-06,4.3377991722781505e-10,2.698657133958987e-09,-3.377791454470537e-07,-3.5262143751314336e-06,-1.5167809851019133e-08,-1.257806038468271e-07,0.0016465259991262082,2.2998761228798514e-10,0.00023387173427877328,1.6205901871315352e-05
0.17,0.00019774213682867918,-9.70928627781679e-07,8.392058785227829e-06,4.607603893819045e-10,2.6981129694730583e-09,-3.605459163569557e-07,-9.736908083975545e-07,-1.5531455300460842e-08,6.62762382084107e-08,0.001563516578363816,-7.233617732582687e-10,0.0002667993406943736,2.6418494252362674e-05
0.18,0.00019961600043420444,-8.172610233928716e-07,2.1292423805374047e-05,4.877546517103062e-10,2.7013036540342394e-09,-3.5709454822022365e-07,1.6248155774004341e-06,-1.338142486584486e-08,3.74576678109329e-07,0.0009579112320753369,2.248704944474156e-09,0.0002421441900248844,2.8593628224455627e-05
0.19,0.00020203819793089515,-5.696667763612064e-07,2.684293348530534e-05,5.147952490991771e-10,2.7071144110859407e-09,-3.300651601670724e-07,3.6214590255386065e-06,-8.645818948188e-09,5.112509782808195e-07,0.00013373983917508436,2.4582189894761797e-09,0.00014669546945617062,-4.670779958891819e-06
0.2,0.00020280853392674612,-3.0918563149881136e-07,2.3785738197170312e-05,5.418995440690489e-10,2.7137091297545364e-09,-2.8846219680289343e-07,4.483332285210297e-06,-4.1755015871842596e-09,3.5078695431512844e-07,-0.0007372045144673489,7.450028788325014e-10,1.940043491716059e-05,-1.99968803524323e-05
0.21,0.00019660152092171955,-1.2006714195978597e-07,1.2980898458761915e-05,5.690660657091838e-10,2.7193003306845957e-09,-2.4415545793233633e-07,4.205268859719378e-06,-1.547629494724913e-09,1.9514422038428008e-07,-0.0013450288606564054,4.74233832759019e-10,-8.05761363254498e-05,-1.0940107508808381e-05
0.22,0.00019274260420153118,-6.063899734947233e-08,-1.1713861407587622e-06,5.962769303936527e-10,2.722307311722013e-09,-2.0838661348538805e-07,2.725889340352162e-06,-2.3363116747437144e-10,5.045419406613945e-08,-0.0013851503057815406,1.9344276180888187e-10,-0.00020832731219397327,-2.2685778052128954e-05
0.23,0.0001996398213731113,-1.366193526009928e-07,-1.3382517890965854e-05,6.234987032134712e-10,2.721290235105948e-09,-1.9417834029580968e-07,-8.75926154785161e-08,-1.086406896873798e-09,-2.3740177105569915e-07,-0.0010209554491580342,-3.126076203452399e-10,-0.0003245444172961798,-2.90423353126349e-05
0.24,0.00020512331105020185,-3.135102931660515e-07,-2.116054505618097e-05,6.506894400965777e-10,2.7163336888626858e-09,-2.107645072074063e-07,-3.1007090718001092e-06,-4.55570203753603e-09,-4.063041787812166e-07,-0.0005145306752164791,-4.685494353617869e-10,-0.00025311917494211245,-1.7763202497073321e-06
0.25,0.0002011934591923194,-5.402516144780923e-07,-2.3044569016949968e-05,6.778199571276278e-10,2.709762731082074e-09,-2.5074987061894095e-07,-4.514088100993242e-06,-8.363057249957151e-09,-3.3433065560529684e-07,0.00017232247606427387,-8.480044999537029e-10,-3.401782520481844e-05,9.588295990266792e-06
