,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00035183342077728624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034514858578251783,0.0
0.01,0.0003514090349202903,-1.6679769392340277e-07,-3.232086390772498e-05,-3.815301897614281e-09,-4.06983931997062e-07,-1.2999048871264353e-10,-1.3327086056421665e-09,-6.69788319132935e-13,-1.3117681544523623e-10,-0.002803763925103224,-6.303987780689347e-06,-1.0184044444709434e-07,-1.149941439255531e-08
0.02,0.0003510403192005814,-6.049385597012673e-07,-5.2465799692392296e-05,-8.285861128068148e-09,-4.942604602488452e-07,-1.486371495155363e-10,-2.2496896620835464e-09,-2.4523219932449343e-12,-2.136211039047742e-10,-0.0010881769313123074,-1.0496069002910159e-05,-2.730753387726972e-08,-4.429635739699837e-09
0.03,0.00035076724530441045,-1.148762275477669e-06,-5.2707259623908e-05,-1.377355952100288e-08,-6.033538323805484e-07,-1.7210417596854378e-10,-2.2831449429556786e-09,-4.665072344436637e-12,-2.1416558074464557e-10,0.0010396597980779432,-1.0586592863200724e-05,5.879969080298713e-08,4.31684573829437e-09
0.04,0.00035055182034187565,-1.5925716860025873e-06,-3.300968785727937e-05,-2.0285779283075376e-08,-6.923791611517394e-07,-1.9135805125985056e-10,-1.4340734774323207e-09,-6.462521443248093e-12,-1.3283604580369508e-10,0.0027684501125509148,-6.599153773903668e-06,-2.554538716421896e-07,1.1406391344686087e-08
0.05,0.0003498025161243634,-1.7681428625960862e-06,-8.768740034977238e-07,-2.7436726473248337e-08,-7.265621893613398e-07,-1.9881085890895796e-10,-2.0815488822630704e-11,-7.154794256087828e-12,-6.185193660208276e-13,0.0034402541383095307,-4.507224008641435e-08,1.8091027722732275e-07,1.4140843151489758e-08
0.06,0.000349254917214699,-1.610170891111205e-06,3.138372710053627e-05,-3.4591484048592775e-08,-6.931918195856845e-07,-1.917353140265615e-10,1.3912967277590755e-09,-6.4760717512993364e-12,1.3184685968787897e-10,0.002793234954277331,6.50282419675667e-06,6.844244683329611e-07,1.1454474492934678e-08
0.07,0.0003498986856269279,-1.1817089264582008e-06,5.1384561857169515e-05,-4.112150680379237e-08,-6.058467972562856e-07,-1.7309305425060562e-10,2.2565070203181755e-09,-4.688105418050792e-12,2.1369865974941103e-10,0.0010703915012461821,1.0514642644038217e-05,-4.9633960498936294e-08,4.356511622478389e-09
0.08,0.00034889517203843916,-6.49119936153283e-07,5.1519145109671863e-05,-4.6629331196480876e-08,-4.956827656549294e-07,-1.492585717550128e-10,2.1655785972249433e-09,-2.4763386139486828e-12,2.1379956696222188e-10,-0.0010466400393862217,1.0164843199849859e-05,2.5266138883597295e-06,-4.343543089817877e-09
0.09,0.00034781013204036887,-2.1798571766843527e-07,3.186416237848933e-05,-5.109915657985646e-08,-4.049486372069041e-07,-1.2942243608006125e-10,1.3952227288299835e-09,-6.858496643930806e-13,1.3263813425806075e-10,-0.002750617186491744,5.395154384325211e-06,-2.5307352220275348e-06,-1.1321829080255196e-08
0.1,0.0003479973261749904,-5.3251993859276e-08,-5.77678985460037e-08,-5.4924542534666635e-08,-3.7057306679541033e-07,-1.2190474174866965e-10,7.93144490836136e-11,6.993950831934492e-15,1.2864108250811102e-12,-0.003420120506410084,1.660480701186015e-07,-3.0177818278016887e-07,-1.4058241167801283e-08
0.11,0.00034849268486103946,-2.1888096419763726e-07,-3.215860829691171e-05,-5.873874705096172e-08,-4.0327896661534673e-07,-1.2883372086554231e-10,-1.3778052518227253e-09,-6.58115246570071e-13,-1.3052501060687413e-10,-0.0027863293070304867,-6.446631803959167e-06,-1.398044954800498e-07,-1.1426326700772808e-08
0.12,0.00034917866759538176,-6.546178125691334e-07,-5.224141371242528e-05,-6.317490004731766e-08,-4.912071676788085e-07,-1.4775067824742164e-10,-2.2751570475462578e-09,-2.4309086265707475e-12,-2.1271131145761952e-10,-0.0010904448311523129,-1.0557960731702586e-05,-6.399408291138247e-08,-4.438738000040691e-09
0.13,0.0003490926559140758,-1.1964932232114723e-06,-5.2578946138826164e-05,-6.862991405137082e-08,-6.001143163918157e-07,-1.7120294042673318e-10,-2.2814474223717554e-09,-4.635785018720264e-12,-2.1365147864634618e-10,0.0010280418791559771,-1.0567962575324326e-05,-2.5420772864672812e-08,4.269006246703129e-09
0.14,0.0003492627004803387,-1.6391479744462973e-06,-3.3037933952959345e-05,-7.511057752686403e-08,-6.892459394027522e-07,-1.9051762418605864e-10,-1.4324764211378165e-09,-6.42861762944168e-12,-1.329650220346532e-10,0.0027493219430841996,-6.577800589140075e-06,-1.0446368646253687e-06,1.1327555125232452e-08
0.15,0.0003444193985363691,-1.8150488075728523e-06,-9.175107316877081e-07,-8.220978869294022e-08,-7.192897770331529e-07,-1.9660945473563968e-10,8.583882634931565e-11,-7.122459451777134e-12,-8.155597210667832e-13,0.0034617679491083363,3.0707392549652087e-07,4.171363187853253e-07,1.4227664373468035e-08
0.16,0.0003425370355293827,-1.6562243201433494e-06,3.1611869515513484e-05,-8.92831284309155e-08,-6.841018599745073e-07,-1.8896601369939332e-10,1.6565784401924797e-09,-6.440568045430677e-12,1.3274695807161013e-10,0.0028276009819117828,7.467109406580416e-06,-1.8818257459518027e-06,1.1591053151690546e-08
0.17,0.00034604873945018853,-1.2246717674490643e-06,5.172030826594457e-05,-9.573541817809389e-08,-5.993481393218074e-07,-1.7127372054187094e-10,2.8916952068721363e-09,-4.640216801935669e-12,2.1505130485068572e-10,0.001064751764208089,1.2843928478485252e-05,-2.6384224824845745e-06,4.3219566748164615e-09
0.18,0.00034932800075985777,-6.902154414509047e-07,5.151203702358899e-05,-1.0119785269152304e-07,-4.942570138333789e-07,-1.4912380930552262e-10,2.5636363777959823e-09,-2.4209593237670047e-12,2.1376394822370143e-10,-0.0011098599421771119,1.2201400257199037e-05,8.311797849998293e-06,-4.615751689283215e-09
0.19,0.00035356684637906653,-2.623896758080212e-07,3.107607480343228e-05,-1.0567490125096912e-07,-4.1054522858542527e-07,-1.3140077570597006e-10,4.713189712437983e-10,-6.440373522055921e-13,1.2942251893775124e-10,-0.0028627006748315484,3.996482480751417e-06,1.2923917474856628e-05,-1.1785366673086367e-08
0.2,0.00035491493437180574,-1.0995971710334275e-07,-1.6697296256141026e-06,-1.0955703868828654e-07,-3.786656483082943e-07,-1.2437210457888835e-10,-1.696177070432958e-09,-1.5331816948688297e-15,-5.304199596545744e-12,-0.0034884040934328236,-5.71475084331865e-06,8.313366927044528e-06,-1.4313885161877351e-08
0.21,0.0003440526616130092,-2.922477580940987e-07,-3.345500134788888e-05,-1.1340838118097734e-07,-4.024532068069907e-07,-1.2816180856983835e-10,-1.061711955817053e-09,-7.349683780139427e-13,-1.3585729740667272e-10,-0.002669269408432233,-5.764740063996154e-06,1.6917972121349445e-07,-1.09473978244113e-08
0.22,0.0003372995573526796,-7.334530412347046e-07,-5.1814557850940784e-05,-1.178065547348159e-07,-4.841271772704233e-07,-1.4487524102792345e-10,-2.156752073131068e-09,-2.530397767645461e-12,-2.1098601121491726e-10,-0.0008841329843903343,-1.0218379249978262e-05,5.708036057584245e-06,-3.5919294845334487e-09
0.23,0.00034936968740294477,-1.2622956030056362e-06,-5.082976642703552e-05,-1.232362966103806e-07,-6.024956272658916e-07,-1.716958344378198e-10,-2.643285059479255e-09,-4.6818048209941065e-12,-2.0645151370102847e-10,0.00107026009078856,-1.1572782430614103e-05,-7.617213257798396e-07,4.446740610279665e-09
0.24,0.00035896579433785324,-1.6872816853630913e-06,-3.175665900999262e-05,-1.297700145676477e-07,-6.978905807620581e-07,-1.93494433268533e-10,-1.604854956614705e-09,-6.401791654201369e-12,-1.2766276152994203e-10,0.0026313783030065077,-7.0029689479265564e-06,-4.0496982019172885e-06,1.0844519742706643e-08
0.25,0.00035208855358655894,-1.856960458333356e-06,-9.279652369659343e-07,-1.36939523003369e-07,-7.248686549286847e-07,-1.9890050258934023e-10,2.5815966788640907e-09,-7.069769805508127e-12,-8.386220507078864e-13,0.003347642910259727,1.2084100923536177e-05,-1.1294680178596281e-05,1.368838946694522e-08
0.26,0.00033165009377610126,-1.7015918074137135e-06,3.128724258428463e-05,-1.439752702294981e-07,-6.716875247798155e-07,-1.8506163085778607e-10,1.0698231289386497e-09,-6.402243792008597e-12,1.3136259749107892e-10,0.0028847388521451313,4.594571257279612e-06,1.0968326237284023e-05,1.1842414363591805e-08
0.27,0.00035353426219918524,-1.2727834282917335e-06,5.125679610854778e-05,-1.5039006397644995e-07,-6.054645072680623e-07,-1.7332202162527614e-10,1.5369110211782235e-09,-4.613320361890143e-12,2.1317250402175526e-10,0.0009660970885343195,8.54202361987835e-06,-3.2464480082035022e-06,3.935746825125229e-09
0.28,0.0003474447143145751,-7.46496875168327e-07,5.066919641278098e-05,-1.558781903319224e-07,-4.914445030959588e-07,-1.481662163721836e-10,2.4897693913211573e-09,-2.427541263693427e-12,2.102882070852865e-10,-0.0010757403037874396,1.1118381575642378e-05,-1.0122904995674297e-06,-4.467203338417037e-09
0.29,0.00033661898332835804,-3.232749381302479e-07,3.1384161959104226e-05,-1.6026998977769576e-07,-3.935442492042907e-07,-1.2576456632314638e-10,1.5776819458593995e-09,-6.698981328654632e-13,1.3061792226845192e-10,-0.00266666003430278,6.971721337033341e-06,7.97247434861616e-06,-1.0989482919558603e-08
0.3,0.00035743117180927564,-1.6169264972462045e-07,-5.329387497757739e-07,-1.6407858787041085e-07,-3.768423649548647e-07,-1.2404537244072704e-10,8.225503060695864e-10,9.92839134826163e-15,-6.417347974445432e-13,-0.0034796435492565167,2.4881823794396472e-06,-3.61404861271256e-05,-1.4312781681684602e-08
0.31,0.00035122223654493863,-3.3590220141349753e-07,-3.309490764231073e-05,-1.679659797631097e-07,-4.079907472227754e-07,-1.3021383986481873e-10,-1.2672968547409278e-09,-6.901501530359801e-13,-1.3435431446344795e-10,-0.002784084835171492,-6.183332459967146e-06,1.6082980194523927e-06,-1.1418135760889528e-08
0.32,0.0003723536708368386,-7.836004634039483e-07,-5.3865346275635566e-05,-1.7256074366908578e-07,-5.174868869257474e-07,-1.559024069228956e-10,-2.7378029356840003e-09,-2.5114509042055893e-12,-2.192777964716982e-10,-0.0012198164790964878,-1.2090862427831215e-05,-2.0672746528356447e-05,-4.9642572637256105e-09
0.33,0.00034843292521129774,-1.342201015717064e-06,-5.4177174348607335e-05,-1.781946422439741e-07,-6.072180196765077e-07,-1.727657064803311e-10,-1.596033796895779e-09,-4.784345478899492e-12,-2.201923184338043e-10,0.0011749037079500147,-8.622992014100129e-06,2.270347686140175e-06,4.864755691704782e-09
0.34,0.0003448317796955141,-1.7917519642672272e-06,-3.279923771361756e-05,-1.8473164067445335e-07,-6.935233992787238e-07,-1.9093788479178016e-10,-1.401626011603446e-09,-6.605294057315174e-12,-1.3196637189753826e-10,0.0029599958039920574,-6.6083466167294474e-06,1.4365041592318993e-06,1.2194442543418671e-08
0.35000000000000003,0.0003762734025648216,-1.960846010780343e-06,-4.593993795700734e-07,-1.920521880722059e-07,-7.600046346804305e-07,-2.0907697940939346e-10,-9.584034209922685e-10,-7.2702356879379124e-12,1.2358545502738376e-12,0.003293283779169667,-2.6621332406993174e-06,-1.6409284349140621e-06,1.3546527473113495e-08
0.36,0.0003464029439966711,-1.8017789731046673e-06,3.1679571305450396e-05,-1.99392486632473e-07,-6.969538039164378e-07,-1.924182657991125e-10,2.1729336911489427e-09,-6.5862588687203594e-12,1.3307742575939288e-10,0.0029172005973910633,9.124686670159802e-06,1.0525525668298947e-05,1.1952647397989354e-08
0.37,0.00034658288254467933,-1.3643596721088588e-06,5.2880694453369405e-05,-2.0593684947618933e-07,-6.061408305110234e-07,-1.7277768512103444e-10,2.2603405174279637e-09,-4.761416566141808e-12,2.1984954889750996e-10,0.0011715524621787406,1.0604774570273778e-05,1.727764012527007e-06,4.772031236095417e-09
0.38,0.00036669959006877916,-8.164536653430958e-07,5.2718471769567496e-05,-2.1153941778119798e-07,-5.146654835802632e-07,-1.5534554555049766e-10,9.666180704006515e-10,-2.486294951528958e-12,2.188086298706099e-10,-0.001211186998874763,6.200300292681651e-06,1.982003029962113e-06,-5.001927550103702e-09
0.39,0.00036286521042331915,-3.818452486205831e-07,3.14648522861959e-05,-2.1618569872898442e-07,-4.2122307668822485e-07,-1.3480192695719955e-10,1.5427919853624441e-09,-6.808007740372796e-13,1.3106343029363502e-10,-0.002906033777007151,6.895856426614425e-06,3.5308599395880526e-07,-1.1973127562753955e-08
0.4,0.000361215421947226,-2.2753235542763868e-07,-1.7285095870350657e-06,-2.2016812157996587e-07,-3.8673315901296606e-07,-1.270040925012433e-10,-2.7176670263864367e-12,-3.0145462646001495e-14,-5.5145098101066636e-12,-0.0035165754898463498,-1.3923828759953238e-07,2.1604421978215146e-06,-1.4453769918943014e-08
0.41000000000000003,0.0003648804166252061,-4.135094755350127e-07,-3.453759220931633e-05,-2.241755762160178e-07,-4.262386144432977e-07,-1.3570317643773556e-10,-1.4864247952728324e-09,-7.780973753725565e-13,-1.4020909491041068e-10,-0.002828263767455375,-6.916014809269315e-06,-3.724433009476712e-06,-1.1596828880029069e-08
0.42,0.0003591985007885032,-8.722616311458746e-07,-5.4309762270037406e-05,-2.2883480032029263e-07,-5.125799258665664e-07,-1.5359060524254775e-10,-2.1694983927440336e-09,-2.6445769176188096e-12,-2.2112532858616226e-10,-0.0009844570122290407,-1.0314820710499323e-05,8.768428110718624e-07,-4.004407832235157e-09
0.43,0.00035594839374504354,-1.4278386157612591e-06,-5.310164506536487e-05,-2.3450211184133307e-07,-6.208848364585481e-07,-1.7652398002476617e-10,-2.290765334176654e-09,-4.904900365985476e-12,-2.1571460437910824e-10,0.0012177140624233633,-1.0664139567519053e-05,1.5235091453523781e-06,5.0490693391655114e-09
0.44,0.00036080330462759424,-1.866879829445266e-06,-3.189502088219204e-05,-2.412119616411832e-07,-7.147458488430894e-07,-1.97422609275389e-10,-2.1816234304949273e-09,-6.681936610894486e-12,-1.2816164684135454e-10,0.0028705871720498826,-9.19482070190282e-06,7.782901590837786e-06,1.1838807376161713e-08
0.45,0.00036601373925419344,-2.0273676097476705e-06,7.349633569954648e-07,-2.4859712852164e-07,-7.503327501044423e-07,-2.0598901222201042e-10,3.2267708000820764e-09,-7.311247152836969e-12,6.100856327973825e-12,0.003455932862932731,1.2926017875712024e-05,-2.425789589989974e-05,1.4138325729888719e-08
0.46,0.00036477408930138313,-1.8547325858198023e-06,3.261569966136473e-05,-2.5598152161835994e-07,-7.148476166562224e-07,-1.9829229016922064e-10,1.2456635612522517e-09,-6.571310090550783e-12,1.3699903291997529e-10,0.0027296978333602334,7.438450686551183e-06,3.45718706185522e-06,1.1175235463574407e-08
0.47000000000000003,0.0003609986777871252,-1.417817239893068e-06,5.199361656315868e-05,-2.626900938356376e-07,-6.209355429353176e-07,-1.777277463129601e-10,2.36346130443255e-09,-4.747865029129835e-12,2.1626403893463058e-10,0.0010165005341484592,1.0884412291759243e-05,2.351495629887788e-06,4.133448341632831e-09
0.48,0.0003803768985137543,-8.855341890578773e-07,5.059778070545073e-05,-2.6844985286404284e-07,-5.30784462167688e-07,-1.604315664469241e-10,1.7939326197552763e-09,-2.536313464549089e-12,2.101570591084974e-10,-0.0012858222547805307,9.113979004931562e-06,-9.510766006535104e-06,-5.3230596223723635e-09
0.49,0.0003600401488356385,-4.721946928034926e-07,2.9728768281036958e-05,-2.7320152011925847e-07,-4.2473242296567216e-07,-1.352421183640235e-10,2.168668010323174e-09,-8.178143834231239e-13,1.239412119985984e-10,-0.0027425792007339605,8.7070809719362e-06,-3.7933954958590526e-06,-1.1308850357327543e-08
0.5,0.00032466560226268766,-3.212676365655443e-07,-5.835463304957092e-08,-2.770557785757488e-07,-3.567711905928615e-07,-1.163619034690878e-10,7.083403984595282e-10,-1.816145176946646e-13,1.2265940814038662e-12,-0.0030241695658100765,2.1428468551018776e-06,1.3771903774912489e-05,-1.243954417745209e-08
0.51,0.00036436342309907393,-4.739327224272884e-07,-3.0150846958113836e-05,-2.80911183913888e-07,-4.262859980632977e-07,-1.3553470022961742e-10,-2.6045251570539866e-09,-7.932559741772032e-13,-1.2217655333953937e-10,-0.002810352233446572,-1.0018054181157363e-05,-2.006256219631365e-06,-1.151041998218342e-08
0.52,0.0003595060057411478,-8.915391262592457e-07,-5.0574727990265754e-05,-2.85538551691938e-07,-5.036597638234252e-07,-1.516797510866994e-10,-3.8815145805854097e-10,-2.4907430660713883e-12,-2.0581121778872805e-10,-0.0011153226537529996,-5.538536308342358e-06,-1.902572480345466e-05,-4.556179320652255e-09
0.53,0.0003796070148142117,-1.4231118135025196e-06,-5.258850133061616e-05,-2.912250484910393e-07,-6.353478667498222e-07,-1.8258529295023992e-10,-2.898658664344946e-09,-4.652311561236221e-12,-2.1354609235781566e-10,0.0007299818554740047,-7.79320557929373e-06,1.4575801026056122e-05,3.007007903094161e-09
0.54,0.00040882710898230317,-1.8843063115533004e-06,-3.710330664622229e-05,-2.98201039886052e-07,-7.566474086684245e-07,-2.1209144586065482e-10,-2.444741362803499e-09,-6.5193033259711575e-12,-1.4939661966921847e-10,0.00225385739287906,-1.0139238885637761e-05,-2.7815035843870875e-06,9.305928234167732e-09
0.55,0.0003440596533601092,-2.1126014904172e-06,-6.061898056365816e-06,-3.057161166089806e-07,-7.359326717847669e-07,-2.0051127053971442e-10,1.5579006039048686e-09,-7.426814477783586e-12,-2.1893941049107356e-11,0.00374310499942777,4.022902820533328e-06,1.4929677530437262e-05,1.5370865208462828e-08
