,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23970293888911492,-0.3658623804097017,0.23944130363851496,0.0
0.01,2.663809e-05,-6.611942730124132e-08,-5.130388613699545e-06,-1.3675776419379376e-07,-1.3733999224641005e-05,4.771818660703402e-08,9.536099537673602e-07,4.1454278968951157e-10,1.1606330121934227e-07,8.562360073130493e-05,-3.0601721075010357e-06,-0.0006739338728346256,1.9641482829048434e-05
0.02,2.661014e-05,-1.2635119463904804e-07,-8.203708007997603e-06,-2.74289715109191e-07,-1.3774040300208851e-05,3.176794375689394e-08,-3.2712067758916214e-06,2.3469381348089993e-09,2.273577051083415e-07,-0.0006640117431029186,-4.113728282170714e-06,-0.00016635802148624868,-6.005541999972878e-06
0.03,2.658944e-05,-2.4904505264243417e-07,-1.684844555359406e-05,-4.12209256700281e-07,-1.3806603029150428e-05,-2.540904787441208e-09,-3.0451767097017183e-06,3.6397781732663215e-09,-2.5861855877692794e-08,-0.0009682840923601194,-2.275209928896682e-06,0.00015458796565191724,-3.726234215494028e-05
0.04,2.657311e-05,-4.6405086557407684e-07,-2.574259794499187e-05,-5.503629031182737e-07,-1.3822127868777697e-05,-2.4147977307636002e-08,-1.2919995565611667e-06,1.7420442117776803e-09,-3.0711298704970393e-07,-0.0007253644547846466,-1.136310359750592e-06,0.00015006936229709777,-1.0666686880713904e-05
0.05,2.651631e-05,-7.480264404635074e-07,-2.99242628913006e-05,-6.886446166021924e-07,-1.3835190996132823e-05,-3.188297619508687e-08,-5.345225763505226e-07,-1.2980222627088333e-09,-2.4890055419508017e-07,-6.0364981400024e-05,-1.7161318026856498e-06,-3.3221726285503905e-06,1.5507019175151016e-05
0.06,2.64748e-05,-1.0377308794851181e-06,-2.6779541116847916e-05,-8.270991130594763e-07,-1.385741481099278e-05,-3.9261898219696846e-08,-1.0966273797953323e-06,-3.162318296234762e-09,-1.4714859138695143e-07,0.0006537929843565132,-2.6296733649927573e-06,-8.418652872703436e-05,9.047509959251053e-07
0.07,2.65236e-05,-1.2660389318544605e-06,-1.8376214127504625e-05,-9.658046906278534e-07,-1.3883189323565035e-05,-5.3893965981074056e-08,-1.7264485276125764e-06,-4.654650514888504e-09,-1.4960515893884426e-07,0.0009319262785753707,-2.2055177894622635e-06,-1.9938469040373108e-05,5.344061180467087e-06
0.08,2.644753e-05,-1.404862114539252e-06,-9.708205510248795e-06,-1.1047213937025257e-06,-1.3896925830158561e-05,-7.010633171839372e-08,-1.3019871333933634e-06,-5.44497070968974e-09,3.4652480797151434e-08,0.0007520282539741768,-3.731644863808059e-07,0.00010316640563325097,2.8678833803716473e-05
0.09,2.636528e-05,-1.4692928586420298e-06,-3.7106027674663984e-06,-1.2436680620476988e-06,-1.3888463637247723e-05,-7.655906871871635e-08,1.20196907653951e-07,-3.791375322767242e-09,2.659853036861132e-07,0.0004450967863465216,2.372330298018588e-06,0.00016419363144629107,9.304971262086875e-06
0.1,2.637947e-05,-1.489891590828208e-06,-1.018233987269187e-06,-1.382423566227663e-06,-1.3860030902382188e-05,-6.737906089075181e-08,1.6538142117221643e-06,-1.1914361083049864e-09,2.0500275027155396e-07,7.766752761821649e-05,3.4900507318233465e-06,0.0001271994115174674,-1.6074605880043675e-05
0.11,2.641702e-05,-1.5034457131302396e-06,-2.4352799910529723e-06,-1.5208418662971467e-06,-1.3823495676122719e-05,-4.592898113970678e-08,2.4681492553326038e-06,1.928213710797819e-10,1.0088888122298998e-07,-0.0003609999447662521,3.567660284344021e-06,3.0351579566642584e-05,1.151077165860239e-06
0.12,2.646902e-05,-1.551329542486114e-06,-7.609385062361408e-06,-1.6589157573253214e-06,-1.379349508899071e-05,-2.148376888309057e-08,2.2465413424741193e-06,1.461848001007664e-09,1.6605911505313164e-07,-0.0006217651671309582,2.257652646477093e-06,-7.11088081567085e-05,3.46103563193455e-06
0.13,2.64625e-05,-1.6592276403633467e-06,-1.3935947861986675e-05,-1.7967689518817588e-06,-1.3780484185476655e-05,-3.792796891017738e-09,1.1887590465180045e-06,2.85153224021756e-09,5.777567090742282e-08,-0.0006099346855070326,3.0976465373311335e-07,-0.00013056886240757348,-2.534077978892947e-05
