,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190358008301047,1.097475696003844,-0.7215011478714084,0.0
0.01,2.663809e-05,-9.490729434451794e-08,-1.5908424411100106e-05,4.2699709897355157e-07,4.3522052366015794e-05,-2.1914107194870077e-09,1.3605532796617542e-07,-2.645864539718556e-10,-3.8072741701749075e-08,0.0021762361060375934,-0.0001028670208963467,-0.002570084616235452,-3.317893829948718e-06
0.02,2.661014e-05,-2.2044900825087728e-07,-9.474579271367921e-06,8.580726318251144e-07,4.3041085374536606e-05,-1.741074192531007e-08,7.56138798197651e-07,-5.484523144085923e-10,-1.765235005782009e-08,0.001814210045523651,1.793782124234755e-05,-2.256913093384716e-06,-5.677562228626333e-06
0.03,2.658944e-05,-1.8579025505432408e-07,1.8394406882391434e-05,1.2881174947109325e-06,4.2934299970072584e-05,-1.8540431825656017e-08,-2.681109849231307e-07,-7.882582081907325e-10,-6.512801235318042e-08,0.003178857922620737,-3.657289593866908e-06,0.00011109958538757514,2.894728983280899e-05
0.04,2.657311e-05,1.7266126652374572e-07,5.392477689434819e-05,1.717407672661118e-06,4.2929662998961126e-05,-1.8859205291410482e-08,4.0741349956689806e-09,-7.111287785173178e-10,9.790313173208765e-08,0.0038243377471082196,1.436423341050208e-06,1.1068312778528266e-05,-7.892178466187131e-05
0.05,2.651631e-05,8.82466662312704e-07,8.60612927604236e-05,2.1469608078848434e-06,4.299646938742624e-05,-1.7672829779217147e-08,2.1787308611035045e-07,-8.121944737787733e-10,-5.835201637008407e-08,0.0021544052793463775,1.0544339796442204e-05,1.2415538495819112e-05,0.00015268807085819724
0.06,2.64748e-05,1.835011481366873e-06,0.00010116676113950319,2.5775272375595884e-06,4.312331862097348e-05,-1.4990528516084324e-08,3.098005523487809e-07,-1.7776747980743534e-10,1.1845625912442191e-07,0.0009519674296190328,1.422296675634982e-05,4.174492550385045e-06,-0.0001926882900299048
0.07,2.65236e-05,2.8357023595840093e-06,9.479893423138222e-05,3.0094654914139065e-06,4.3261498020588295e-05,-1.1915884908604834e-08,2.8722634240538285e-07,-3.391716737506076e-10,2.129465481646012e-08,-0.002334480778990039,1.2618057056310028e-05,-6.577735286034114e-06,0.0002347990966627944
0.08,2.644753e-05,3.6645881058220306e-06,6.886960651887384e-05,3.4426265042364457e-06,4.336022318942521e-05,-9.555955361115035e-09,1.646168170372509e-07,3.55788083213484e-10,-8.076679372167182e-08,-0.0027474059792916006,6.4014105019827294e-06,-1.8146163898918877e-05,-0.00022672467322570888
0.09,2.636528e-05,4.176094397893937e-06,3.25898152654514e-05,3.8764064238324885e-06,4.33821038362253e-05,-8.829002283842224e-09,-2.3005403120937494e-08,4.936417668664626e-12,1.52869618366449e-07,-0.00395549717553112,-2.2215222038823867e-05,-6.020320468147489e-06,0.00013928225082877755
0.1,2.637947e-05,4.3379597072447886e-06,1.7599148782011429e-06,4.3099577195314444e-06,4.331587133581525e-05,-1.0023821543918245e-08,-2.059647836664746e-07,1.1047928689615781e-10,-2.0220699814221953e-07,-0.002316371057497546,-1.0101268828013876e-05,-1.4531783476823268e-05,-8.902512404386831e-05
0.11,2.641702e-05,4.2559355643557005e-06,-1.5053596003450648e-05,4.742522297748137e-06,4.319047898858459e-05,-1.266327811343778e-08,-3.0463796974339126e-07,-3.449133861630158e-10,2.2256934595103403e-07,-0.0007310943429164607,-1.4093553383595636e-05,-4.465439230050272e-06,8.75874207414949e-05
0.12,2.646902e-05,4.12322978730769e-06,-7.64468224011025e-06,5.173723372041032e-06,4.3052159917806686e-05,-1.5745768887500105e-08,-2.916007211946111e-07,-5.061387361772863e-10,-3.1224607103266656e-07,0.0017660930162440025,-1.260844660297411e-05,7.783054986804094e-06,-2.9974871370745952e-05
