,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47938762347138575,0.7316968989826415,-0.47964925872198577,0.0
0.01,2.663809e-05,9.059990752335602e-08,1.3971152221152618e-06,2.7759896856597223e-07,2.7882317976752074e-05,-9.242557068938802e-08,-3.8813186216328556e-07,-7.946861662735924e-10,-2.130545155451313e-07,-0.0009183245961716657,1.3048747185620546e-05,0.0014615263236048281,-2.7052525708919645e-05
0.02,2.661014e-05,1.0386567281187298e-07,5.700841717548515e-06,5.571615687503726e-07,2.8021798984999654e-05,-5.292940471492993e-08,5.35148485656162e-06,-3.2470533639176233e-09,-1.628088787662679e-07,0.0016699210341195592,8.987598030113508e-06,-0.00022267246177604116,3.316180492923473e-05
0.03,2.658944e-05,2.6853794740099917e-07,2.862862967758553e-05,8.375515730483824e-07,2.80321945689782e-05,-2.2499369355731557e-08,2.907526469423454e-07,-3.541365505609776e-09,3.041647150755726e-08,0.002503803771773644,-4.8717026500944005e-06,-0.0005137052403535181,-1.8633405030174435e-06
0.04,2.657311e-05,6.656408931959903e-07,4.878970679672258e-05,1.1176121467800677e-06,2.7985584848422913e-05,-3.557399347995444e-08,-1.8399994044872552e-06,-3.166511421365729e-09,1.0577585262006967e-07,0.0013621642519134336,-1.854163309930601e-06,0.00010002718726692672,2.5076465769518022e-05
0.05,2.651631e-05,1.2004565743479664e-06,5.6327425093021227e-05,1.3975403012310707e-06,2.8015869332254212e-05,-4.265086776695925e-08,7.657163672551356e-07,-1.1091002047432882e-09,2.3102972636043963e-07,0.0002371876262471373,7.387102379977084e-06,0.00030959767523991433,-1.1777524610450573e-05
0.06,2.64748e-05,1.7606655124767254e-06,5.422193947726954e-05,1.6781389074567198e-06,2.8106895727510293e-05,-2.2892232577522894e-08,2.7422788625992773e-06,4.4947933895113466e-10,1.1628066621603642e-07,-0.000650084558185271,9.277933066931254e-06,5.451794625588313e-05,4.100753585475168e-06
0.07,2.65236e-05,2.2584064797288796e-06,4.4319751317071085e-05,1.9596083590526547e-06,2.8178999342219854e-05,2.8950095432764197e-09,2.0699455146068098e-06,2.0101877752088025e-09,1.6392985480061526e-07,-0.001257921803475337,4.630081951423337e-06,-0.00015167286672146396,-1.2330426346336123e-05
0.08,2.644753e-05,2.6319602264128827e-06,2.976840825696772e-05,2.241540072345263e-06,2.81990386598143e-05,1.544266787647669e-08,4.5897405442867763e-07,2.590976355831059e-09,-4.837554554442915e-08,-0.001628593049604804,-3.463506638989866e-07,-0.00014543695230004317,-1.0913165607769884e-05
0.09,2.636528e-05,2.847500862387474e-06,1.3633510271797092e-05,2.5234519513141297e-06,2.8177861976481418e-05,1.3866109689589424e-08,-6.711099967601345e-07,2.090583941584048e-09,-3.3994658890077565e-08,-0.001442071456910471,-3.695763301628241e-06,-8.487655803138261e-05,-4.485389966201483e-06
