,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002616352506,0.0
0.01,2.663809e-05,-3.0025647872051636e-09,-9.027292115943023e-07,-1.0401338777835642e-14,-2.161308634757726e-12,-9.980657250809703e-09,-1.672460789281816e-06,-7.785860857423629e-12,-3.2457319538788136e-09,-0.000178588811563244,-2.2063556248361162e-10,-6.801610467212747e-05,-1.1678110498471003e-06
0.02,2.661014e-05,-2.2425902120634032e-08,-3.0974946905407878e-06,-4.194263016259156e-14,-3.998938944011509e-12,-2.7500976057655238e-08,-1.5845264878996139e-06,-1.6089975023428e-10,-3.428395594448736e-08,-0.0002245242806984517,-1.3542231437211843e-10,6.506182762397688e-05,-5.326233878003462e-06
0.03,2.658944e-05,-6.292550348334367e-08,-4.7403662072418706e-06,-8.732542722321583e-14,-4.9375138258030226e-12,-3.9406939436154894e-08,-7.869742446667767e-07,-7.882518079438289e-10,-9.101016771996686e-08,-7.797112499016746e-05,-6.107808820766994e-11,7.590303417014361e-05,-4.226420358757422e-06
0.04,2.657311e-05,-1.1069715005000608e-07,-4.442924245642606e-06,-1.3913923664296247e-13,-5.389170147876534e-12,-4.417413782200091e-08,-2.5380376156370714e-07,-1.780461584996342e-09,-9.172678335422283e-08,0.0001372123919966973,-3.799913403120446e-11,2.8283152085169897e-05,4.4230731620732776e-06
0.05,2.651631e-05,-1.4518284807061125e-07,-2.175886279301161e-06,-1.9482400703061584e-13,-5.749616037696163e-12,-4.597290704873242e-08,-1.624556610616931e-07,-2.393126661896469e-09,-2.4105684061897832e-08,0.00029931134623105237,-3.420315494819765e-11,-2.4837256193835915e-06,6.6144978229131836e-06
0.06,2.64748e-05,-1.5078047172290211e-07,1.073600071591779e-06,-2.537046675103339e-13,-5.97643122334689e-12,-4.782576247925424e-08,-1.6442743130064568e-07,-2.3320124290278832e-09,2.067270722413088e-08,0.00032361226467604115,-7.448590181042266e-12,8.331862272148638e-06,1.4671536293071836e-06
0.07,2.65236e-05,-1.2538981803945566e-07,3.7614277220690756e-06,-3.1283600791334866e-13,-5.736316261560416e-12,-4.867644187182103e-08,5.283123591073202e-08,-2.0422705072811647e-09,3.6293355233000424e-08,0.0001910292989987115,5.579328428009512e-11,3.3239413314641225e-05,4.307223122119709e-06
0.08,2.644753e-05,-8.12327381691887e-08,4.724553548843997e-06,-3.665324380566021e-13,-4.90676950109836e-12,-4.619276424754364e-08,4.505870320232438e-07,-1.448567121114838e-09,9.633009262007767e-08,6.27961940427636e-06,1.1014835949896989e-10,4.02211475320947e-05,6.0169440042568355e-06
0.09,2.636528e-05,-3.6173222863628315e-08,4.111898408381535e-06,-4.0987774045160905e-13,-3.748072172845862e-12,-3.992362167977453e-08,7.633110145589315e-07,-3.243848313533475e-10,9.73857064303329e-08,-0.00011448721233533911,1.213081563179171e-10,1.8665091926646876e-05,-8.170095793137692e-06
0.1,2.637947e-05,-2.4293684712278175e-09,2.4822357702493653e-06,-4.4182975766562466e-13,-2.6969655761753956e-12,-3.1928743033004085e-08,7.79339987722364e-07,1.3656602857103732e-10,-8.750397674971478e-09,-0.0002207381892460215,1.006899415060273e-10,-1.5104994675773006e-05,-5.449142346928413e-06
0.11,2.641702e-05,1.0042411467609037e-08,-6.961026631978904e-08,-4.655322216300105e-13,-2.154498913265144e-12,-2.539369576896981e-08,4.824025703355081e-07,9.318242432473422e-12,1.1411119233280188e-09,-0.0002678582918542664,1.947702116467096e-11,-4.207893479583826e-05,4.546355606225969e-06
0.12,2.646902e-05,-3.0117475814806666e-09,-2.417477729551217e-06,-4.873229988892619e-13,-2.324450162494991e-12,-2.2897380254936345e-08,-2.2449747085482646e-09,1.3368316839929607e-10,9.136571361687631e-09,-0.0001821268286904957,-5.1437352205353845e-11,-5.135719973048802e-05,-5.8322770526699686e-06
