,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002616352506,0.0
0.01,2.663809e-05,-3.2989920376939515e-09,-9.015089224344842e-07,-1.0276290957062533e-10,-2.1166356545857912e-08,-9.649535559989748e-09,-1.665926264213077e-06,-1.0352828802163074e-11,-3.7240163617418034e-09,-0.00017555047236377959,-2.2157919442996557e-06,-7.027427582896008e-05,-1.174166481360856e-06
0.02,2.661014e-05,-2.2651043930616632e-08,-3.0383040650839257e-06,-4.123073836531734e-10,-3.966971800721517e-08,-2.699799770779588e-08,-1.6215774051816917e-06,-1.7269481158138252e-10,-3.370610072867135e-08,-0.00022521116523868857,-1.409745723349353e-06,6.387904563229237e-05,-4.864628960886909e-06
0.03,2.658944e-05,-6.254092328384074e-08,-4.737059867166778e-06,-8.65075467699427e-10,-4.942318050705108e-08,-3.9412035234894575e-08,-8.09506407160455e-07,-7.689383347119624e-10,-8.605922797824916e-08,-8.612389555620775e-05,-6.053227195926999e-07,7.928743048650455e-05,-4.293654576103855e-06
0.04,2.657311e-05,-1.1074826037367413e-07,-4.509897782167128e-06,-1.3831701737048882e-09,-5.3730500224723564e-08,-4.4175007915540974e-08,-2.456713690894191e-07,-1.7333161162497218e-09,-9.366545514371729e-08,0.00013265460060534,-3.5780585103826914e-07,2.9648653671718257e-05,3.579839529878471e-06
0.05,2.651631e-05,-1.4621606426314035e-07,-2.2762868837221456e-06,-1.9372858286633715e-09,-5.716970989302697e-08,-4.577804582278814e-08,-1.5440768465967345e-07,-2.4028640940177696e-09,-3.0911605995724614e-08,0.0002947078543500221,-3.3478416508702634e-07,-3.4634209238001665e-06,7.436878417168175e-06
0.06,2.64748e-05,-1.531817771712423e-07,9.359910009598337e-07,-2.5225030988970383e-09,-5.9508260231339285e-08,-4.750686341795836e-08,-1.7551781796905402e-07,-2.388902334662279e-09,2.6869175541115815e-08,0.000320761730154365,-6.62253708960198e-08,6.26676125388984e-06,3.2786507638709776e-06
0.07,2.65236e-05,-1.2925336858108732e-07,3.646665742312693e-06,-3.1124297978388005e-09,-5.752272411767186e-08,-4.8538247310409766e-08,1.9413260675624892e-08,-1.9916180529216933e-09,4.8614877169974114e-08,0.0001996196710628236,5.001956839804021e-07,3.280328421280238e-05,2.1897936952861594e-06
0.08,2.644753e-05,-8.576526556212448e-08,4.7223813732611055e-06,-3.6530116925009527e-09,-4.9609092593628265e-08,-4.644057619040272e-08,4.2241205963933225e-07,-1.3721066051954884e-09,7.805973904914701e-08,1.4012384147377705e-05,1.046686872449006e-06,4.251303939843712e-05,3.343057969055654e-06
0.09,2.636528e-05,-4.0430353589077496e-08,4.07783062603872e-06,-4.092421572395225e-09,-3.79204674813201e-08,-4.032922454901644e-08,7.669801768790963e-07,-5.014217529919933e-10,8.863183847752633e-08,-0.00013028139568104917,1.2036446059605065e-06,2.1197458732953327e-05,-2.4910425912534174e-06
