,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47938762347138575,0.7316968989826415,-0.47964925872198577,0.0
0.01,2.663809e-05,4.859997043916329e-09,2.793175815609054e-06,2.77447590768448e-07,2.8036636126709116e-05,-2.1126735838355006e-11,-8.181635995489267e-10,-1.4451096342886176e-12,1.284277230698182e-09,0.0007197590771118034,-4.037566830719652e-06,1.466426025609202e-06,3.8198987691824e-05
0.02,2.661014e-05,8.885744395969401e-08,1.524490489062224e-05,5.575774240890687e-07,2.79937046265739e-05,-2.971137475621517e-11,-5.727133204944973e-10,-1.9266240862069104e-12,-5.312658816094412e-11,0.0015892903645604584,-2.8275923347892418e-06,7.127254020300455e-08,1.0286124361178015e-08
0.03,2.658944e-05,3.2594153145453976e-07,3.254579252320194e-05,8.374343235712187e-07,2.798391102765721e-05,-3.175816365430761e-11,1.819410901334456e-10,-2.1024056544916534e-12,1.8732056439513314e-11,0.0017583540604890757,9.569596405023528e-07,7.881586067126634e-08,7.07025728545127e-09
0.04,2.657311e-05,7.327453682817887e-07,4.815338918351599e-05,1.117381189450682e-06,2.801133313959475e-05,-2.6362453752951248e-11,8.694323052176717e-10,-1.5809817081970325e-12,8.278295128519453e-11,0.0012577518289340062,4.385913974974676e-06,3.513357516027327e-08,4.973779965878255e-09
0.05,2.651631e-05,1.2619651162719743e-06,5.610831155637637e-05,1.3977504104196602e-06,2.8065740664623474e-05,-1.553327106359346e-11,1.2259108267567488e-09,-5.581213171307594e-13,1.1526244470080994e-10,0.0002759159728283056,6.143759913021518e-06,1.524961798504698e-08,1.0739359172730247e-09
0.06,2.64748e-05,1.8184755796413385e-06,5.335547810526646e-05,1.6787144283880497e-06,2.8126277051267153e-05,-3.4277943414800094e-12,1.114520582027159e-09,5.744722528299455e-13,1.0369931843774289e-10,-0.0008114417746818425,5.557866087552155e-06,-2.2528222676232446e-08,-3.4263264395032e-09
0.07,2.65236e-05,2.2965523857712562e-06,4.093404899580474e-05,1.960217548440948e-06,2.8169659795130153e-05,5.29236348854931e-12,5.792762098573333e-10,1.3824621386815859e-12,5.246756759063271e-11,-0.0015878667254136392,2.8570300766445067e-06,-1.1017304954452634e-07,-6.666872972167217e-09
0.08,2.644753e-05,2.6208835286738098e-06,2.3637285838709822e-05,2.2419956685574373e-06,2.8179523529154313e-05,7.362893987480753e-12,-1.7844457412876423e-10,1.5573722593180524e-12,-1.866963413389671e-11,-0.0017551397539308233,-9.419548528816213e-07,-8.216168784214162e-08,-7.212396268868777e-09
0.09,2.636528e-05,2.7752229079954233e-06,8.075969186310328e-06,2.5236831237674935e-06,2.8152079101677398e-05,1.978611993237024e-12,-8.604561097300168e-10,1.0339296405329702e-12,-8.252318012608904e-11,-0.0012516443747774275,-4.349576064224814e-06,-2.5786230706259516e-08,-5.102195043440701e-09
0.1,2.637947e-05,2.808163280074898e-06,1.9303235527555305e-07,2.8049477162787483e-06,2.8097808258643996e-05,-8.813689479636432e-12,-1.214086078557738e-09,1.3231225446328696e-14,-1.1470349287858036e-10,-0.00027147638512856065,-6.087495359963224e-06,1.8351351271927996e-09,-1.0562221864460246e-09
0.11,2.641702e-05,2.815003199151306e-06,2.989931009374585e-06,3.0856192887036894e-06,2.8037656752427597e-05,-2.084134803137757e-11,-1.1428963980794886e-09,-1.1123111675399604e-12,-1.0292266260447281e-10,0.0008089335796541142,-5.6811379925553185e-06,2.5738790326856886e-07,3.088009521186189e-09
