,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,2.667026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002616352506,0.0
0.01,2.663809e-05,-3.298993849937437e-09,-9.015089165372093e-07,-1.0276394476560029e-10,-2.1166569206935173e-08,-9.649533451814215e-09,-1.665926217718969e-06,-1.035284842109971e-11,-3.72401894869019e-09,-0.00017555046063911963,-2.2158133487137427e-06,-7.02742851717515e-05,-1.174166201444059e-06
0.02,2.661014e-05,-2.2651047129894207e-08,-3.0383041113971326e-06,-4.1231153709514417e-10,-3.9670115570010766e-08,-2.6997994866522927e-08,-1.6215773639372382e-06,-1.7269482023951864e-10,-3.370610270802104e-08,-0.00022521115246024396,-1.409759906801274e-06,6.387902722522591e-05,-4.864628200996364e-06
0.03,2.658944e-05,-6.254092455058062e-08,-4.737059984658072e-06,-8.65084148639471e-10,-4.942367496843381e-08,-3.941203424475728e-08,-8.095065003504397e-07,-7.689382608907082e-10,-8.60592045261087e-08,-8.612393625375779e-05,-6.053277538794682e-07,7.928743953811199e-05,-4.293653606367706e-06
0.04,2.657311e-05,-1.1074826232956696e-07,-4.5098985929489765e-06,-1.383184029635255e-09,-5.3731033829665695e-08,-4.4175009337261186e-08,-2.456711948774065e-07,-1.7333156080112902e-09,-9.36654411023319e-08,0.00013265456053888328,-3.5780945893262107e-07,2.9648672869820895e-05,3.5798288722820634e-06
0.05,2.651631e-05,-1.4621608131147502e-07,-2.2762876369455956e-06,-1.9373051481977744e-09,-5.717026825769805e-08,-4.577804091244928e-08,-1.5440755708094074e-07,-2.402864173493278e-09,-3.091173317298603e-08,0.0002947078806731699,-3.347888142421687e-07,-3.4634685089609196e-06,7.436883435811431e-06
0.06,2.64748e-05,-1.5318180365456795e-07,9.359902845445964e-07,-2.522528118782838e-09,-5.950884196633017e-08,-4.75068583171405e-08,-1.7551823859678144e-07,-2.3889033024134613e-09,2.686925970892001e-08,0.0003207616866280726,-6.622550001293918e-08,6.266738668130843e-06,3.278680106516099e-06
0.07,2.65236e-05,-1.2925340331281343e-07,3.646665180452734e-06,-3.112460596691807e-09,-5.752329046698233e-08,-4.853824786062945e-08,1.9412771859357577e-08,-1.9916170842544087e-09,4.8615045986635445e-08,0.00019961974749806215,5.002059034134653e-07,3.2803308372610146e-05,2.1897589733736397e-06
0.08,2.644753e-05,-8.57653054125178e-08,4.722381867596145e-06,-3.6530477928364116e-09,-4.960957952507076e-08,-4.64405801164204e-08,4.22411834914768e-07,-1.3721052180180677e-09,7.805945583283421e-08,1.4012480994961665e-05,1.0467207138034268e-06,4.251306301656132e-05,3.343014842087037e-06
0.09,2.636528e-05,-4.043038359754645e-08,4.077830504476051e-06,-4.092461970598912e-09,-3.792083462733026e-08,-4.0329229774989374e-08,7.669804629026656e-07,-5.014242721625569e-10,8.863162282669706e-08,-0.00013028166706205148,1.2036878316454573e-06,2.1197473599005266e-05,-2.490954632917978e-06
0.1,2.637947e-05,-7.781031609920743e-09,2.3161015132320786e-06,-4.415183399886442e-09,-2.7183952432029312e-08,-3.216856767526686e-08,7.977146779676515e-07,1.6712548985599632e-10,3.37645296628576e-08,-0.00021176291521867686,8.610909385170856e-07,-1.5747700213073393e-05,-7.3404690389340935e-06
0.11,2.641702e-05,3.9803399774985895e-09,-1.0061117298605735e-08,-4.653752379125973e-09,-2.171075262129035e-08,-2.547533545004548e-08,4.856829849735856e-07,2.024383381580279e-10,-2.1768928957793237e-08,-0.0002447926629923522,1.971310354362151e-07,-4.33839972910202e-05,-2.0654433818649446e-06
0.12,2.646902e-05,-7.920370347899772e-09,-2.2994067545791818e-06,-4.872386663890864e-09,-2.331492806456661e-08,-2.29704579628047e-08,-4.111461329916491e-09,-6.178943362527344e-11,-2.4145650617471406e-08,-0.0001992207821040138,-5.025170375652859e-07,-5.028007892850596e-05,7.643804511742399e-07
0.13,2.64625e-05,-3.902824304942891e-08,-3.7232313638974294e-06,-5.139445552835566e-09,-3.095292439136274e-08,-2.537743786231201e-08,-4.56366384899957e-07,-3.5802942685799435e-10,-4.118139893225295e-08,-7.768256507644212e-05,-9.689067845542928e-07,-3.713088516453092e-05,-4.488189710622637e-06
0.14,2.647539e-05,-7.786616641417889e-08,-3.867839574067263e-06,-5.5005408969775805e-09,-4.1414188036361784e-08,-3.138755020289169e-08,-7.10290103483053e-07,-9.983570698779557e-10,-8.37238158200687e-08,4.406832057080441e-05,-1.068343318959139e-06,-1.2839643299665384e-05,-2.1486590752152075e-06
0.15,2.610825e-05,-1.1280504755053725e-07,-2.9500592536080043e-06,-5.964450022892995e-09,-5.106095529524737e-08,-3.865698749876973e-08,-6.973831218255365e-07,-1.7957173537007648e-09,-6.310916231836662e-08,0.00013502290323108739,-8.057712881447216e-07,1.4802772891724459e-05,6.466189390501947e-06
0.16,2.596556e-05,-1.3433911773644138e-07,-1.2253036908647404e-06,-6.507812170326107e-09,-5.695400903943479e-08,-4.4624256722552686e-08,-4.628435586484587e-07,-2.1069237083435412e-09,4.67888774401683e-09,0.00020565159843719563,-3.4187787007860364e-07,3.071768135036658e-05,5.537282864232672e-06
0.17,2.623176e-05,-1.3596699273185366e-07,9.611971906920435e-07,-7.085953954402052e-09,-5.786556530569838e-08,-4.7673828570662004e-08,-1.3239323010431475e-07,-1.9141917519656344e-09,2.7358481444118092e-08,0.00022082611303851464,1.648239218745007e-07,3.4028826775652715e-05,-1.3822687347777657e-06
0.18,2.648034e-05,-1.1655365641755864e-07,2.832196153879264e-06,-7.648586270203144e-09,-5.385763404559782e-08,-4.7316575680076155e-08,2.0093059709145924e-07,-1.680408165180501e-09,1.58559968911808e-08,0.00013630055023540716,6.218417206348131e-07,3.1605255661728644e-05,9.232826750115223e-07
0.19,2.680166e-05,-8.364692943237349e-08,3.530749019717849e-06,-8.151759492997192e-09,-4.6255451108488e-08,-4.389183394747439e-08,4.696721155803634e-07,-1.3733804174877721e-09,5.468588629053187e-08,-2.3619559555434957e-06,8.603467997762501e-07,2.072980524476874e-05,6.8370819218929575e-06
0.2,2.690385e-05,-5.0195966288762026e-08,2.9849016133232403e-06,-8.570814097081614e-09,-3.753903263551952e-08,-3.8430485857838024e-08,5.948258258037811e-07,-5.984705225044479e-10,8.999853215792864e-08,-9.768318342127107e-05,8.325472561071875e-07,2.8826395593805132e-06,-1.957841033183724e-06
0.21,2.608045e-05,-2.6163920394703675e-08,1.7097575307763159e-06,-8.907941512669283e-09,-3.017342572724671e-08,-3.2546345312920096e-08,5.556061663318226e-07,4.66189025767209e-11,2.4775602103899277e-08,-0.00015194556509471704,6.061159498968773e-07,-1.1022396825150934e-05,-1.0105052462220116e-05
0.22,2.556854e-05,-1.7341654465426995e-08,-1.8919968930893924e-08,-9.18635863296105e-09,-2.6086578240438106e-08,-2.7824655512536932e-08,3.6242794864589784e-07,-6.025958570748039e-11,-4.26861564903592e-08,-0.00018865257865167894,1.8165755514558813e-07,-2.6172438318975024e-05,-1.553691009481387e-06
0.23,2.64835e-05,-2.6637330602839266e-08,-1.8337303580131982e-06,-9.448065440219256e-09,-2.710954513894868e-08,-2.5844286301135613e-08,9.066647984131716e-09,-4.196011658201947e-10,-1.9344906076270425e-08,-0.00016293056693250104,-4.0145970893922253e-07,-4.204918306514803e-05,5.321270954221915e-06
