Time,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0004093567082095786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004015789307535966,0.0
0.02,-0.003157894827394333,2.4969385800750204e-06,0.00034180853557699245,4.014412958273758e-08,3.642338723822547e-06,9.181637900069443e-08,5.3131796451038005e-06,7.46102672723892e-13,1.0356742893867697e-10,0.03037770621469109,0.00014364264305798125,0.00012822487150069986,9.329461444340033e-09
0.04,-0.002953216458952107,1.5264183914906377e-05,0.0009187684117034573,1.1398490073197734e-07,3.680038225312265e-06,1.193678842266061e-07,-1.6236529432012715e-07,4.657043728646943e-12,2.8239608562367077e-10,0.026352929704703317,2.6365392670757437e-06,-4.343692572951214e-06,8.160483807745964e-09
0.06,-0.002573099460313103,3.8433672177130996e-05,0.0013736481154382769,1.8724043675490805e-07,3.6679496228461926e-06,1.095828138805857e-07,-5.879813027490166e-07,1.1790464354614146e-11,4.2334602669291623e-10,0.018890128428346503,4.608386632022968e-06,-3.201168029475952e-05,5.853024023179984e-09
0.08,-0.0027777777714055843,6.948151278710666e-05,0.0017218014479020859,2.6803345867039015e-07,4.452297269476855e-06,1.13884015268514e-07,5.477827353155384e-07,2.1361084322129418e-11,5.308508735668777e-10,0.015894745409205116,4.4432248016330195e-05,-6.151305843988403e-06,4.907570186587682e-09
0.1,-0.0035087720304381475,0.00010717368811322083,0.002051695089692835,3.717970241173813e-07,5.958892597844788e-06,1.4009784882965828e-07,1.6146867515290617e-06,3.29798673965476e-11,6.323747575020186e-10,0.017024394965355703,7.798720975808401e-05,1.6993740287611463e-05,5.242701986326844e-09
0.12,-0.004152046615936421,0.00015158384037663815,0.0023866812560804293,5.061489205445147e-07,7.487811907272878e-06,1.7084328922143634e-07,1.4909874247474057e-06,4.6667473746770974e-11,7.355694908564445e-10,0.016227872330709152,7.521789271249663e-05,4.848065378829699e-05,5.001451494344761e-09
0.14,-0.0037426901658006904,0.0002018132031340103,0.0025954192294054754,6.604841697888297e-07,7.923002467436906e-06,1.7230558439897304e-07,-4.7553891462359806e-07,6.215421271865293e-11,8.004238540200005e-10,0.0043098404383352575,2.190201315644541e-05,-9.132215453579694e-06,1.3437882820241864e-09
0.16,-0.0032163743612349687,0.00025368202207633726,0.002548155507836502,8.220995567254513e-07,8.227979603322838e-06,1.5863337881964867e-07,-7.80046856512061e-07,7.815332524582887e-11,7.860866600353565e-10,-0.009054518316668756,1.2464221324816338e-05,3.8778418855817814e-05,-2.7854398061216918e-09
0.18,-0.002485380102202405,0.00030184333936684874,0.002219725933452716,9.870291138104465e-07,8.237090725170643e-06,1.37443716634764e-07,-1.1750587471352188e-06,9.301247306847082e-11,6.848940812838752e-10,-0.023659583967527133,7.323289119356979e-07,-2.3918101414550745e-05,-7.302414241464094e-09
0.2,-0.002485380102202405,0.0003410493470239883,0.0016815980047987327,1.1585687081965203e-06,8.909397601690716e-06,1.3323487768187176e-07,1.6105400438887875e-07,1.0510381933806742e-10,5.183113404292318e-10,-0.029690012683497576,3.5842063539008595e-05,-2.213700786096902e-05,-9.192875508512357e-09
0.22,-0.0038304094665616443,0.00036926983704739253,0.0011711575078252154,1.3568606611716949e-06,1.0928964908539421e-05,1.7346075355623978e-07,2.692153342177074e-06,1.1378545272199887e-10,3.594179463887882e-10,-0.020837191117015236,9.775382066457006e-05,2.3467680121548595e-05,-6.489834120110153e-09
0.24,-0.00514619897797595,0.00038917285339042334,0.0008521094848805297,1.5942775659051288e-06,1.279122021163952e-05,2.2752722064265202e-07,2.687452463945971e-06,1.1987628467647387e-10,2.598648820885831e-10,-0.010938809105192881,8.828081035191365e-05,8.145878707604276e-06,-3.4243892887324615e-09
0.26,-0.005672514495792953,0.0004042329675805793,0.0006628068902656346,1.8591818042504011e-06,1.3663954618582374e-05,2.5931744919440855e-07,1.1474693564400491e-06,1.244578652363372e-10,2.0101182839019594e-10,-0.008062604625827504,3.6405900462180285e-05,6.520578791318135e-06,-2.5078789013467835e-09
0.28,-0.0047368422410915,0.0004151831590220084,0.0003951245589556505,2.1241820841155943e-06,1.2782604080834924e-05,2.411746538075514e-07,-1.6857989129295182e-06,1.2777225270397627e-10,1.1888006363315408e-10,-0.018787796581326132,-4.347460821014365e-05,-6.749267820713688e-05,-5.788088249685831e-09
0.3,-0.004210526149777057,0.00041890831825463305,-4.108594219566875e-05,2.3742278854308546e-06,1.2208465087305593e-05,2.164960127517747e-07,-1.0840931524636917e-06,1.2886033197275587e-10,-1.5766584612692166e-11,-0.024513323113670455,-3.693887162808246e-05,5.560486285308315e-05,-7.562654854784134e-09
0.32,-0.003157894827394333,0.0004125675229395729,-0.0006236917420550924,2.6055901560053045e-06,1.087459701686071e-05,1.8067292507743862e-07,-2.086488226023795e-06,1.2684473810335752e-10,-1.953098850069391e-10,-0.03356617356728814,-7.062288930614197e-05,-3.3915326017408196e-05,-1.0353044187954349e-08
0.34,-0.0023976607440917073,0.00039305140990741547,-0.0013416749103571288,2.810878280724574e-06,9.620197799650343e-06,1.4556351996667682e-07,-1.6562588444109255e-06,1.207644985632161e-10,-4.16953508945632e-10,-0.03779411793621156,-7.075810950789296e-05,3.055429481925269e-05,-1.1664445500366837e-08
0.36,-0.0012280701246287357,0.0003582505669041642,-0.002157880494071242,2.9841087546017065e-06,7.642462306412235e-06,1.008840456136096e-07,-2.4745113606837147e-06,1.0996868223429529e-10,-6.686679783383822e-10,-0.04347053223882313,-9.870676527306416e-05,-3.918102831789675e-05,-1.3415996254819438e-08
0.38,-0.001929824530716365,0.0003073120987770541,-0.0028838364525576583,3.1354753478553956e-06,7.516170855289599e-06,1.0164489797212098e-07,1.0378722194381074e-06,9.418195922026802e-11,-8.93792372186228e-10,-0.028299258177203815,4.862501079977433e-07,-7.607256807693006e-05,-8.785203528706561e-09
0.4,-0.0038304094665616443,0.00024582688266493126,-0.003170494159132344,3.296203479409703e-06,8.580530279007292e-06,1.5553136608334817e-07,3.335672081643688e-06,7.511529400830233e-11,-9.836795658543013e-10,2.6601377351818424e-05,5.09719050135124e-05,4.9794686432655215e-05,-4.581073434278219e-11
0.42,-0.005555555428111681,0.0001842458741990285,-0.0029010128314841846,3.4767719685684415e-06,9.483497886147767e-06,2.1885119768631877e-07,3.0933270562816562e-06,5.5997527640276686e-11,-9.01311890345453e-10,0.026675578031106727,4.513531573171331e-05,9.938368308735207e-06,8.204288083239275e-09
0.44,-0.005730994316382307,0.0001322972369826026,-0.002263145923830181,3.6595584559076333e-06,8.778476973558895e-06,2.3841830381957616e-07,1.0127999272104938e-07,3.9851133236570125e-11,-7.038962957042778e-10,0.03636941668187807,-5.3831580908839105e-05,0.00010890758920905057,1.1269008807055132e-08
0.46,-0.001929824530716365,9.238285259640539e-05,-0.0018346530126674909,3.7858565315815385e-06,3.7613947674233143e-06,1.313820938775452e-07,-7.439979363752764e-06,2.7456964141306773e-11,-5.686159556495407e-10,0.005499122109276789,-0.00024590848548935486,-9.618908266379898e-05,1.8169845333922282e-09
0.48,0.0008771929789346648,5.528205626658198e-05,-0.0019455759162789704,3.821825802324723e-06,-1.4059465150438933e-07,5.995956160519446e-09,-5.815341721302401e-06,1.5975351462141344e-11,-6.011997836258358e-10,-0.01630352533617457,-0.00019951291534474292,6.0964217077914313e-05,-4.950319055634653e-09
0.5,0.004122807135764823,1.1444757243438026e-05,-0.002520550050291373,3.774559714316405e-06,-4.6396635153304484e-06,-1.2155107063281468e-07,-6.6189906970836065e-06,2.4486539519103065e-12,-7.769753845827838e-10,-0.04099333896463668,-0.00022116267789643387,-3.0222747709933787e-05,-1.2583871673860592e-08
0.52,-0.001432748550420705,-4.3201766601061854e-05,-0.002726700583939354,3.732660747370491e-06,6.795789172469646e-07,-1.186689406855779e-08,1.013318735718848e-05,-1.4446357784052998e-11,-8.448309479076471e-10,0.021967881020460843,0.0002588532248615854,0.00018438888651820657,6.637547622987658e-09
0.54,-0.0037426901658006904,-9.117842705195096e-05,-0.0019733057880547025,3.7654727332736415e-06,2.5417811222360383e-06,1.0991127617164618e-07,4.481910170051831e-06,-2.9324339123112295e-11,-6.129038412814624e-10,0.05220113697412439,9.085570053315659e-05,4.0653083843130225e-06,1.6085637239745935e-08
0.56,-0.004210526149777057,-0.00011950261568487362,-0.0008317353404406082,3.816939838305873e-06,2.6210586925105668e-06,1.4760735946015402e-07,9.190166593196324e-07,-3.813568761358217e-11,-2.598537827015217e-10,0.06101448377187163,1.665933535122989e-05,-2.5813980879372048e-05,1.885999305009943e-08
0.58,-0.005935672398075813,-0.0001227609207746504,0.0005640484902321441,3.8875793609949354e-06,4.562538431966157e-06,2.0043566838633866e-07,3.3445773038789395e-06,-3.9206692141100795e-11,1.7079800670725883e-10,0.07805454251753033,0.00011088870511070242,3.315040881592124e-05,2.409308323304154e-08
0.6,-0.007602339112533933,-9.500631819645149e-05,0.00225032715680935,4.002369169920469e-06,7.017264832706837e-06,2.6867317383120715e-07,3.5090962892575717e-06,-3.070484996081127e-11,6.914142684445455e-10,0.08968332624463002,0.00014027625070764382,-3.355342060234936e-05,2.7689293868787064e-08
0.62,-0.009502923962354595,-3.143472610910852e-05,0.004134235335287022,4.174999024751644e-06,1.0370065098138296e-05,3.466979916729709e-07,4.120319965320709e-06,-1.1145746580983629e-11,1.2729736808233153e-09,0.09778743601138755,0.00018115537300366497,2.2858730501061283e-05,3.0191468008844836e-08
0.64,-0.008947368390868557,6.951299300986784e-05,0.0058859836709386415,4.394233787731199e-06,1.1584419529932696e-05,3.634609712819996e-07,-3.9007002375787275e-07,1.9969313099869038e-11,1.8153438253885967e-09,0.07601154177125927,6.69586365845895e-05,2.4375804266035805e-06,2.3531191413751063e-08
0.66,-0.005029239910294678,0.00019863383823883726,0.0068269306035166535,4.604592985815186e-06,9.421545419443947e-06,2.623191224715907e-07,-6.759808029271226e-06,5.98307753502003e-11,2.1090075316793507e-09,0.017155736167062056,-7.710154346442927e-05,-0.0001722276411640928,5.399721208400733e-09
0.68,-0.005760234083302626,0.00033746755267694337,0.007011091133910302,4.824033041090377e-06,1.2677371791049674e-05,2.51529772096569e-07,1.911868519883729e-06,1.0270926829269711e-10,2.1650257929847216e-09,0.0021627607309543297,0.00016690722074440972,5.727880542067028e-05,6.390864885907899e-10
0.7,-0.004766081721263097,0.0004760541837420898,0.006741690815772658,5.0915796086850746e-06,1.4014570516101026e-05,2.459881552266906e-07,-1.1069195688867372e-06,1.4551066836733509e-10,2.0822691203242733e-09,-0.02920546066314967,7.082589706894349e-05,-0.00010149741447723626,-9.020895042294395e-09
0.72,-0.004795321488183415,0.0006036394307260581,0.005953298200345752,5.394630361003505e-06,1.627171129917332e-05,2.491158010823847e-07,5.865380510156516e-07,1.8491071875901514e-10,1.8381331044523744e-09,-0.04903952745724797,8.577832346282066e-05,0.00011856764993973395,-1.516165332838366e-08
