Time,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0014275799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004558819000002,0.0
0.02,-0.01101276,1.7790568743301814e-06,0.00030924080999337593,3.59967516391909e-08,4.57184275543107e-06,7.285677040877234e-06,0.0009093877006134971,1.5183152387754186e-11,3.753972504466641e-09,0.03877043918704505,0.00035771089704878314,0.06890767631921052,7.479155531331078e-07
0.04,-0.01029897,1.886403060829506e-05,0.0015210205040535971,1.8409677880510834e-07,9.606891310669689e-06,3.550826335501309e-05,0.0017578295475034033,4.681740149326929e-10,5.6762408084221955e-08,0.07569677366906336,0.0001696788663676299,0.021969471265589693,5.282025570166903e-06
0.06,-0.0089733599,6.51523553861849e-05,0.003121510044192361,4.022901277329316e-07,1.1898631867031632e-05,7.303317320021439e-05,0.0019121399333591666,3.129508125353607e-09,2.3392544900747074e-07,0.0800272152541337,7.535027370440817e-05,-0.0030930813176638424,1.2582232617351182e-05
0.08,-0.0096871497,0.0001430433342102125,0.004638076906554879,6.577020393412366e-07,1.3767247794482362e-05,0.00011090112149500741,0.0018853601331433809,1.0792343432400996e-08,5.540251222543123e-07,0.07114177274647157,0.00011197039800196762,0.0001088204879706265,1.907025022836709e-05
0.1,-0.0122364,0.0002495029267582924,0.005988053591088937,9.62274540031772e-07,1.6996709454062055e-05,0.00014975482451569833,0.0020460030613734135,2.5995069918820036e-08,9.794515870500244e-07,0.06505193916013599,0.0002035288179167566,0.014077144444709441,2.3049068678036442e-05
0.12,-0.014479739,0.0003820760511838019,0.007259319136442098,1.3463707996921674e-06,2.1568628525814234e-05,0.0001938077037249106,0.0023719154016398993,5.034729274918468e-08,1.4620554030851838e-06,0.06202754217127279,0.00025039401552219565,0.01790265501991722,2.4939432366500505e-05
0.14,-0.01305216,0.0005389824028237641,0.00837709489443886,1.8204192442326748e-06,2.55246292855871e-05,0.00024296972198191598,0.002468550569855333,8.462967519082076e-08,1.9675671614264707e-06,0.04599197440524101,0.0001567192331433237,-0.005051819294104438,2.533364426242524e-05
0.16,-0.0112167,0.0007137106140556783,0.008983459585588788,2.3578188807104057e-06,2.80256390629463e-05,0.0002903294913802572,0.0022273428207557713,1.2896596807808202e-07,2.4594980533411145e-06,0.012492866327346596,9.929299348084009e-05,-0.017203516512351937,2.334289964841808e-05
0.18,-0.0086674497,0.0008930829094159945,0.008806360647707744,2.93382991963523e-06,2.9378536524000824e-05,0.00033067571960346764,0.0017774012325499442,1.8251883062486575e-07,2.8772787609290033e-06,-0.03156709510461454,4.064699963936269e-05,-0.026302282802809464,1.7779271537540846e-05
