Time,Acceleration(g)
0,-0.0014275799
0.02,-0.01101276
0.04,-0.01029897
0.06,-0.0089733599
0.08,-0.0096871497
0.1,-0.0122364
0.12,-0.014479739
0.14,-0.01305216
0.16,-0.0112167
0.18,-0.0086674497
0.2,-0.0086674497
0.22,-0.01335807
0.24,-0.01794672
0.26,-0.019782179
0.28,-0.01651914
0.3,-0.014683679
0.32,-0.01101276
0.34,-0.0083615395
0.36,-0.0042827397
0.38,-0.0067300197
0.4,-0.01335807
0.42,-0.019374299
0.44,-0.01998612
0.46,-0.0067300197
0.48,0.0030590999
0.5,0.01437777
0.52,-0.0049965299
0.54,-0.01305216
0.56,-0.014683679
0.58,-0.020699909
0.6,-0.026512199
0.62,-0.033140249
0.64,-0.031202819
0.66,-0.01753884
0.68,-0.02008809
0.7,-0.016621109
0.72,-0.016723079
0.74,-0.0068319896
0.76,0.0025492499
0.78,0.015295499
0.8,0.02406492
0.82,0.02569644
0.84,0.034261917
0.86,0.047212108
0.88,0.050169239
0.9,0.04272543
0.92,0.03660723
0.94,0.027633869
0.96,0.023962949
0.98,0.03456783
1,0.042011639
1.02,0.054044098
1.04,0.065158829
1.06,0.074642034
1.08,0.066484435
1.1,0.061080029
1.12,0.040787999
1.14,0.040787999
1.16,0.00642411
1.18,-0.052514548
1.2,-0.080250384
1.22,-0.061487907
1.24,-0.04935348
1.26,-0.025492499
1.28,-0.0060162299
1.3,0.013663979
1.32,0.031406758
1.34,0.05088303
1.36,0.072398697
1.38,0.10146015
1.4,0.1244034
1.42,0.15601409
1.44,0.14785649
1.46,0.1182852
1.48,0.095341947
1.5,0.090957234
1.52,0.094424215
1.54,0.085552829
1.56,0.091874965
1.58,0.10125621
1.6,0.1233837
1.62,0.033446158
1.64,-0.15091559
1.66,-0.21107789
1.68,-0.20292029
1.7,-0.20699909
1.72,-0.18558539
1.74,-0.17640809
1.76,-0.17844749
1.78,-0.17844749
1.8,-0.18456569
1.82,-0.16621109
1.84,-0.1376595
1.86,-0.1111473
1.88,-0.079740534
