Folder, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
coyote_lake,153, -,1, -,3.9,8.2,0.1,Coyote Lake,1979,San Juan Bautista - Hwy 101/156 Overpass,5.74, strike slip,20.44,20.67,362.98,0.25,1, RSN153_COYOTELK_SJ5067.AT2, RSN153_COYOTELK_SJ5337.AT2 , RSN153_COYOTELK_SJ5-UP.AT2  
nw_calif,5, -,1, -,4.1,11.6,0.1,Northwest Calif-01,1938,Ferndale City Hall,5.5, strike slip,52.73,53.58,219.31,0.625,1, RSN5_NWCALIF.AB_A-FRN045.AT2, RSN5_NWCALIF.AB_A-FRN135.AT2 , RSN5_NWCALIF.AB_A-FRNDWN.AT2  
santa_barbara,135, -,1, -,3.4,7,0,Santa Barbara,1978,Cachuma Dam Toe,5.92, Reverse Oblique,23.75,27.42,465.51,0.25,1, RSN135_SBARB_CAD250.AT2, RSN135_SBARB_CAD340.AT2 , RSN135_SBARB_CAD-UP.AT2  
borrego,9, -,1, -,21.5,37.2,0.1,Borrego,1942,El Centro Array #9,6.5, strike slip,56.88,56.88,213.44,0.125,1, RSN9_BORREGO_B-ELC000.AT2, RSN9_BORREGO_B-ELC090.AT2 , RSN9_BORREGO_B-ELC-UP.AT2  
coalinga,336, -,1, -,4.5,13.4,0.1,Coalinga-01,1983,Parkfield - Fault Zone 11,6.36, Reverse,27.1,28.52,541.73,0.25,1, RSN336_COALINGA.H_H-Z11000.AT2, RSN336_COALINGA.H_H-Z11090.AT2 , RSN336_COALINGA.H_H-Z11-UP.AT2  
san_fernando,68, -,1, -,5.2,13.4,0.7,San Fernando,1971,LA - Hollywood Stor FF,6.61, Reverse,22.77,22.77,316.46,0.1,1, RSN68_SFERN_PEL090.AT2, RSN68_SFERN_PEL180.AT2 , RSN68_SFERN_PEL-UP.AT2  
trinidad,280, -,1, -,7.6,12.4,0.2,Trinidad,1980,Rio Dell Overpass - FF,7.2, strike slip,76.06,76.26,311.75,0.1,1, RSN280_TRINIDAD.B_B-RDL000.AT2, RSN280_TRINIDAD.B_B-RDL270.AT2 , RSN280_TRINIDAD.B_B-RDL-UP.AT2  
kocaeli,1164, -,1, -,18.8,38,0,Kocaeli_ Turkey,1999,Istanbul,7.51, strike slip,49.66,51.95,595.2,0.0875,1, RSN1164_KOCAELI_IST090.AT2, RSN1164_KOCAELI_IST180.AT2 , RSN1164_KOCAELI_IST-UP.AT2  
tabas,138, -,1, -,14.6,19.5,0.3,Tabas_ Iran,1978,Boshrooyeh,7.35, Reverse,24.07,28.79,324.57,0.15625,1, RSN138_TABAS_BOS-L1.AT2, RSN138_TABAS_BOS-T1.AT2 , RSN138_TABAS_BOS-V1.AT2  
duzce,1613, -,1, -,12.2,18.6,0,Duzce_ Turkey,1999,Lamont 1060,7.14, strike slip,25.78,25.88,782,0.075,1, RSN1613_DUZCE_1060-N.AT2, RSN1613_DUZCE_1060-E.AT2 , RSN1613_DUZCE_1060-V.AT2  
