time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47945053780075114,0.7317929261169359,-0.4787899213154511,0.0
0.005,5.106613779738222e-08,9.011624101721197e-06,9.167267746133964e-08,1.8430607960704178e-05,-4.093048689536596e-08,-5.173637092802439e-06,-9.167489544890068e-11,-4.49545656826821e-08,-0.0004513465361569158,2.1179775104712695e-06,0.0013151974050295001,-1.6162469363447023e-05
0.01,9.282965069832023e-08,8.06787005701904e-06,1.8386495991065565e-07,1.844798289683767e-05,-5.1612904538520985e-08,6.470552023431771e-07,-5.632543857182156e-10,-1.4839265315750166e-07,9.318102206401502e-05,4.583457705473193e-06,0.0009900348956959903,-2.298063325606614e-05
0.015,1.3690267634002942e-07,9.992128005387077e-06,2.761655615931426e-07,1.8473500285053948e-05,-3.7912660565215677e-08,4.5671635723167205e-06,-1.53865637402683e-09,-2.38626492332019e-07,0.0006840460510689206,5.383220519974974e-06,0.0005622550346069954,-1.0260705263214094e-05
0.02,1.9735292674339558e-07,1.4640861277375495e-05,3.6859896228589416e-07,1.8499859117276333e-05,-9.696731493287836e-09,6.345484401793668e-06,-2.7438616001968117e-09,-2.2417920812580565e-07,0.0011510684636444335,4.961069925701889e-06,0.00015511732589534866,1.8504158401625093e-05
0.025,2.86030104129215e-07,2.1130100444300873e-05,4.6115604410187607e-07,1.852207363232089e-05,2.2744576113328465e-08,6.321005047583968e-06,-3.528526666630409e-09,-6.388262902903221e-08,0.0014039714084943256,3.857676042981484e-06,-0.00014320677555593186,4.506302617191758e-05
0.03,4.0956946667977115e-07,2.8313148623992682e-05,5.538098953038489e-07,1.853825283890368e-05,5.178224534852126e-08,5.153483965065598e-06,-3.255410323728689e-09,1.8498925865083923e-07,0.0014284841836938456,2.6643554590227714e-06,-0.00029570321392546894,4.936972726404306e-05
0.035,5.684996239753062e-07,3.507807941905844e-05,6.465307486950075e-07,1.8549195843440323e-05,7.359759374255883e-08,3.5749172145276836e-06,-1.7786771884235753e-09,3.8974885406136063e-07,0.001244140910530045,1.8025425799067518e-06,-0.00031235908701521264,2.6656798762192155e-05
0.04,7.580803883382695e-07,4.043092882838357e-05,7.392974055768612e-07,1.8557170985991833e-05,8.777035004435976e-08,2.181026991430993e-06,3.9339067458623054e-10,4.4300603267245723e-07,0.0008680829770600085,1.4665630387322715e-06,-0.00023245991341905303,-6.430607049798747e-06
0.045,9.690111877843421e-07,4.348396424602917e-05,8.321016795791247e-07,1.8564702358023684e-05,9.620081270796474e-08,1.3245438786967502e-06,2.4663733998160473e-09,3.532096296340841e-07,0.00032756885081783316,1.60499723048102e-06,-0.0001067797286244121,-2.5227788770075155e-05
0.05,1.1880887394444899e-06,4.3579272127896325e-05,9.249465849403806e-07,1.857373774307443e-05,1.0193043034835241e-07,1.106066505337907e-06,3.938070450252908e-09,2.2796414801079998e-07,-0.0003036897537189165,2.0218563316631855e-06,1.4246712991661248e-05,-1.79344135327078e-05
