,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.00035239598899204156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003457004652011928,0.0
0.005,-0.00037824034944182623,3.145899219795115e-08,1.6057481332674014e-05,1.823057001102747e-09,5.174560658712554e-07,1.2802209667937725e-08,1.8310063474913886e-06,1.7517105458139864e-14,1.0545300645654056e-11,0.004389594467696785,1.312917355051138e-07,-0.0006985914205985847,3.6592174224082795e-09
0.01,-0.0004016258375988045,1.6461479667007723e-07,3.669017139826905e-05,4.294872168071544e-09,4.775189313445578e-07,1.595358824411531e-08,7.953490074451391e-08,1.159569511121894e-13,2.847385817436946e-11,0.003917140919812705,-1.484493139713907e-06,-6.270825723634266e-05,3.413680694552866e-09
0.015,-0.0004210679342497617,3.9664347350051763e-07,5.615814594561087e-05,6.7234371178909815e-09,4.996865684236269e-07,1.633829389815834e-08,1.0243286365349978e-07,3.0027574012867555e-13,4.524255532386657e-11,0.0039028146180810795,7.547590890585269e-06,3.348618762289785e-05,3.3430508937544657e-09
0.02,-0.0004326972879040929,7.26386216620781e-07,7.574279173312532e-05,9.313091825478314e-09,5.346010850702063e-07,1.6992135715536208e-08,1.2483433685484534e-07,5.684174098868286e-13,6.20308639830003e-11,0.0039032959417426545,6.157054010010998e-06,-4.605641061006282e-06,3.3558172829684737e-09
0.025,-0.00043116070402250277,1.153206987410697e-06,9.484017170064842e-05,1.2045232963001066e-08,5.555105203190586e-07,1.7375216383945805e-08,1.6781898946090994e-08,9.200694485668133e-13,7.853225950868188e-11,0.0036990783753362354,2.735737717724819e-06,-9.47778251707477e-06,3.2126104952263145e-09
0.03,-0.00042053410235778574,1.6722682648348987e-06,0.00011253233966489342,1.4858922124700846e-08,5.690540675145645e-07,1.7275753099373332e-08,-4.924003214668129e-08,1.351750971852475e-12,9.394015773330936e-11,0.003357438845267671,2.893976228677663e-06,-5.939978701566349e-06,2.9307647758574097e-09
0.035,-0.00042246894714421913,2.275788269908499e-06,0.00012860826944474467,1.777037705619892e-08,5.987257170386016e-07,1.72000184517125e-08,4.662550280554342e-08,1.857020797718286e-12,1.0792922213747897e-10,0.0030894269004461622,9.769317317251652e-06,1.0876764985746782e-05,2.6731851632664704e-09
0.04,-0.0004473037939591461,2.95702861122569e-06,0.00014377758484990173,2.0900805159174783e-08,6.586973560061421e-07,1.784430652890297e-08,2.2007780871722206e-07,2.429617293731164e-12,1.2098743071455267e-10,0.0030129987341745777,1.473821192202792e-05,2.7154154941459556e-05,2.57944752058631e-09
0.045,-0.0004715497014733625,3.7132341583246545e-06,0.00015871079552424853,2.4368633468502023e-08,7.287654265461403e-07,1.9104871332467274e-08,2.4673520396718194e-07,3.0665473290049946e-12,1.3378783146242731e-10,0.002951606499291299,1.2222266574610577e-05,-1.0014566257934778e-05,2.5421577634137597e-09
