,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0007047919779840831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006914009304023856,0.0
0.005,-0.0007564806988836525,2.0447588344878885e-09,1.1011995159963964e-06,1.2337770350930525e-10,4.9657413917484716e-08,8.84348528825519e-08,3.475638917041257e-05,8.274012950369667e-15,5.701061504933176e-12,0.0004326170338603329,1.025221346268699e-05,0.006987151204169278,3.448145606248153e-09
0.01,-0.000803251675197609,1.5721147157166635e-08,4.365814770330997e-06,5.042914336837406e-10,1.0270841661980075e-07,3.495828601119218e-07,6.969381201478797e-05,1.8713801224553075e-13,6.723996608564623e-11,0.0008729972092057564,1.08638099232062e-05,0.006998292103614014,2.1290746167142663e-08
0.015,-0.0008421358684995234,5.101852788863196e-08,9.832063397509265e-06,1.1561893931694444e-09,1.5814211148490761e-07,7.849704617714725e-07,0.00010445150032330993,1.0159226484385305e-12,2.727338107704488e-10,0.0013133137460278976,1.1313608372575724e-05,0.0069216813992841785,6.192183772329759e-08
0.02,-0.0008653945758081858,1.1886056685596577e-07,1.746225431816634e-05,2.089688453875311e-09,2.1547114763671873e-07,1.3919764469784284e-06,0.00013839856122055373,3.593064525401786e-12,7.561761902063804e-10,0.0017400282650156004,1.1621674742822341e-05,0.006690119975077449,1.3239914826714805e-07
0.025,-0.0008623214080450055,2.2962436859629217e-07,2.7166486444485316e-05,3.3126045387274855e-09,2.7384661487349683e-07,2.165338669085883e-06,0.0001706776338891037,9.486313966868721e-12,1.6685846270103693e-09,0.0021369105851328767,1.168826125342963e-05,0.0062102601736588724,2.380061980042415e-07
0.03,-0.0008410682047155715,3.9357126997278965e-07,3.874134235735888e-05,4.827295609688125e-09,3.3204187471161453e-07,3.09371084005623e-06,0.00020022397269965793,2.1392563264207814e-11,3.2002441880879802e-09,0.002484849621560905,1.1558781227200823e-05,0.005576748819910231,3.813725955269845e-07
0.035,-0.0008449378942884383,6.196228191420909e-07,5.192676104595657e-05,6.633293078189848e-09,3.9047520342898963e-07,4.16328557785517e-06,0.00022722184963377346,4.2874148849232026e-11,5.544681397816284e-09,0.0027806448960246023,1.1902388409299131e-05,0.0052137815893948565,5.627848865218857e-07
0.04,-0.0008946075879182922,9.15123822843619e-07,6.649521800089802e-05,8.737668402506803e-09,4.519221054310078e-07,5.365099082699481e-06,0.0002534755144700421,7.851854515910304e-11,8.887917147287009e-09,0.0030420134583717235,1.2785673011683893e-05,0.005303374564434984,7.804009621810733e-07
0.045,-0.000943099402946725,1.2866284738506686e-06,8.230956413632847e-05,1.1161189311965478e-08,5.183296077846038e-07,6.698952885250578e-06,0.00028013805301736896,1.337442575600706e-10,1.3404228634314829e-08,0.0032797154676107282,1.378614609390174e-05,0.005371125238072357,1.0316069082481274e-06
