,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0007928909752320936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007778260467026839,0.0
0.005,-0.0008510407862441091,2.2591256575826643e-09,1.2270488029527957e-06,1.4397566357907275e-14,5.699816787374597e-12,9.93331827383466e-08,3.911051136968764e-05,9.704792824643924e-15,6.704812176572599e-12,0.00048473284089297654,1.1679259693153816e-09,0.00786244403249269,4.042852849054051e-09
0.01,-0.0009036581345973103,1.758696889355252e-08,4.889417438452383e-06,5.784731831942342e-14,1.1677666566396756e-11,3.931950545511961e-07,7.842259663587574e-05,2.1823495397054984e-13,7.802454245903795e-11,0.0009799225083691762,1.2232032832373146e-09,0.007875029420531554,2.4545653370642777e-08
0.015,-0.0009474028520619638,5.7126196909050404e-08,1.1027652176356034e-05,1.3182282593560373e-13,1.7924297222351335e-11,8.831433340997897e-07,0.00011754361379960714,1.1688669437784966e-12,3.131892909010387e-10,0.0014751133349814164,1.2753542292338535e-09,0.007788735230991909,7.083885286983592e-08
0.02,-0.0009735688977842089,1.3316283907243075e-07,1.9608417618520812e-05,2.375718798246152e-13,2.4394828394534095e-11,1.5667702063788674e-06,0.00015582775871096768,4.033075167751492e-12,8.604019072406182e-10,0.0019558874674678816,1.3111734846731754e-09,0.0075271409881762525,1.5103340505029127e-07
0.025,-0.0009701115840506312,2.575154130712238e-07,3.051827329075061e-05,3.759369709687051e-13,3.0965053081510505e-11,2.4375471245458825e-06,0.00019211739144091435,1.0705789785682994e-11,1.897859319851561e-09,0.0024015235806500545,1.3124332386930254e-09,0.00698763325975775,2.7080177066928163e-07
0.03,-0.0009462017303050179,4.417686631564528e-07,4.352671492848526e-05,5.471462307044659e-13,3.7511168959401915e-11,3.4825192616290825e-06,0.00022531067142442948,2.4222961902197136e-11,3.63935711226122e-09,0.0027916502560748108,1.3034037146027883e-09,0.006275542967814266,4.331655365536528e-07
0.035,-0.0009505551310744931,6.957359588484948e-07,5.833706340777098e-05,7.51112243033056e-13,4.409464372877601e-11,4.685950861901763e-06,0.0002556726477681109,4.864992842586467e-11,6.300318539183195e-09,0.003123344200611316,1.3406854931785617e-09,0.005867514213894251,6.382365578182309e-07
0.04,-0.0010064335364080787,1.0277100166838426e-06,7.469836917760648e-05,9.88710401546643e-13,5.1028648612999795e-11,6.038129715191846e-06,0.00028523073494477667,8.91192545347525e-11,1.0089501802826686e-08,0.003416501817322346,1.4438218389964397e-09,0.005968329725458265,8.840381142009922e-07
0.045,-0.0010609868283150655,1.4450439863701388e-06,9.245895336368649e-05,1.262354734902597e-12,5.852453261402697e-11,7.539161397767535e-06,0.00031525807645561003,1.5176667663673805e-10,1.5203438794928196e-08,0.0036830392498743932,1.5540794861927665e-09,0.006044472591373674,1.1675978965051015e-06
0.05,-0.0010924305071910098,1.954349182334908e-06,0.00011146384576146446,1.5747694021939478e-12,6.652154680414058e-11,9.190284558041577e-06,0.0003451378177049241,2.4368830500431505e-10,2.1821826806456326e-08,0.003912234616335369,1.6413693551022013e-09,0.005890148862790963,1.4853098444556772e-06
0.055,-0.0011349642139925485,2.561364043070489e-06,0.0001315045545419381,1.928340019403684e-12,7.498800064391572e-11,1.0989564229559072e-05,0.0003745039462434816,3.727951799239635e-10,3.0105401796333005e-08,0.004096650619003543,1.7466058673150375e-09,0.005845894569680707,1.8328766167610758e-06
0.06,-0.0012121265881414266,3.270744337897108e-06,0.00015237750100155308,2.3257675237841833e-12,8.4099271939059e-11,1.2936591513611092e-05,0.0004044594265986858,5.477689440751025e-10,4.019125515782296e-08,0.004247497814948393,1.9021937657827392e-09,0.006129490849910081,2.2053532058358653e-06
0.065,-0.0013313251810430512,4.086311381622114e-06,0.00017395984585895984,2.7708949546072338e-12,9.413227361416913e-11,1.5038288186621553e-05,0.00043678982582749074,7.779066654818612e-10,5.2191621956652236e-08,0.0043853255971212386,2.12499010054934e-09,0.006791467002197047,2.5976864653292905e-06
0.07,-0.0015135815251567013,5.011543344266951e-06,0.00019625642647740307,3.2692373560382618e-12,1.0545425987007704e-10,1.731235426657675e-05,0.0004738466286597879,1.0730194022319487e-09,6.619388492985529e-08,0.004538598990086662,2.425249143872543e-09,0.008008082530497913,3.0054456969626206e-06
0.075,-0.0017756740515102135,6.050355110081211e-06,0.0002194361222454683,3.828408111994551e-12,1.185500102733817e-10,1.978983912219257e-05,0.0005186970163236573,1.4432955976532535e-09,8.226685572205651e-08,0.00474531964878102,2.828573113580757e-09,0.00990416517982336,3.425632551285912e-06
0.08,-0.0021266214425293964,7.20800268906196e-06,0.0002438737769666009,4.458664792427737e-12,1.3399110101950857e-10,2.2518308365271066e-05,0.0005748608065441653,1.8992373760139466e-09,1.0046966579828251e-07,0.0050495799496545445,3.3559901888718935e-09,0.012521638530858923,3.857499031414213e-06
0.085,-0.0025292505392412084,8.492156007911131e-06,0.0002701489756024485,5.173001789827527e-12,1.5223845118979225e-10,2.556161427437619e-05,0.0006449002080235394,2.451645762847062e-09,1.2086500125314664e-07,0.005483742447406217,3.9563802876202425e-09,0.015459848369594367,4.303301333319881e-06
0.09,-0.0029424409877411373,9.913706939415462e-06,0.0002989390520728413,5.986056129170408e-12,1.7348744652644695e-10,2.8991370024388467e-05,0.0007293735427030092,3.1116806868760876e-09,1.435350504559901e-07,0.006054581013860944,4.552921254417919e-09,0.018303531019623603,4.76842635487246e-06
0.095,-0.003324028774181334,1.1486861251230208e-05,0.00033088712936605474,6.9127240545257216e-12,1.9764736137876746e-10,3.287678094141936e-05,0.0008267605393640748,3.890986929886932e-09,1.6859501598299612e-07,0.006741554506181376,5.102146488286663e-09,0.020653043422248468,5.260659021853716e-06
0.1,-0.0035488804405888045,1.3228618637623614e-05,0.00036643075934752464,7.966311152086595e-12,2.2408392104916025e-10,3.72715281642195e-05,0.0009317688252677296,4.801882757192515e-09,1.9620206124956972e-07,0.007475375477028621,5.4448548048730006e-09,0.02134241198066809,5.788805815870037e-06
0.105,-0.0035004331678984133,1.5157051871477807e-05,0.00040547985012101247,9.154870295300219e-12,2.5132529430222226e-10,4.21887332130814e-05,0.0010335028265430104,5.857587525576577e-09,2.2655526715933978e-07,0.008114613808608095,5.434286368122265e-09,0.01936164570187321,6.3600083107787044e-06
