,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0001042338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001022533578,0.0
0.005,-0.0001118782,5.835537256564841e-10,2.569071412437413e-07,2.891787604840166e-11,1.093633135435667e-08,1.3636126760581563e-08,5.056093499766182e-06,3.869040353988473e-15,1.876302116578633e-12,9.528396663680566e-05,2.389598743728927e-06,0.0010018887760570138,8.681123729225664e-10
0.01,-0.0001187953,3.6414697986521023e-09,9.742711470236756e-07,1.127009918517228e-10,2.248042225360346e-08,5.136371311025075e-08,9.988436659663851e-06,4.4986170568366155e-14,1.5148436927296265e-11,0.00019084511313844,2.329192123284171e-06,0.0009725584719597712,4.533075543791998e-09
0.015,-0.000124546,1.1435837885773275e-08,2.1592800434661175e-06,2.544292667411903e-10,3.4338349833513985e-08,1.130196069152172e-07,1.4734609202969671e-05,2.4446493089289084e-13,5.844146257211457e-11,0.00028478380740372443,2.3898434648576036e-06,0.0009311305443031936,1.2442877685745471e-08
0.02,-0.0001279858,2.6205947502855452e-08,3.804270117249117e-06,4.5604543019573224e-10,4.643569665080031e-08,1.978260135888227e-07,1.921953267195605e-05,7.827601305346494e-13,1.5358139579329595e-10,0.00037440809803446164,2.438794269100014e-06,0.0008680833716481967,2.5711335166820683e-08
0.025,-0.0001275313,5.01878151944922e-08,5.873418883362153e-06,7.179217682412256e-10,5.8524645646348176e-08,3.0396250940471925e-07,2.3301438674397276e-05,2.019912537419303e-12,3.2933556882645414e-10,0.0004556414508443255,2.413007901206428e-06,0.0007709917975554511,4.473484805114632e-08
0.03,-0.0001243881,8.543238573594106e-08,8.326917430651205e-06,1.0403345667380513e-09,7.051186026775765e-08,4.295799409423858e-07,2.691954417481935e-05,4.385478980934042e-12,6.130730925957533e-10,0.0005260053613139087,2.3619091402166006e-06,0.0006532771332519117,6.96907674767997e-08
0.035,-0.0001249604,1.3382748165497624e-07,1.1106810058439252e-05,1.4226661367444104e-09,8.237334379929072e-08,5.72264130736389e-07,3.0055891178366717e-05,8.46277415515546e-12,1.0347094372573925e-09,0.0005838037901105035,2.3658451979162074e-06,0.000578659306012019,1.0018164508597981e-07
0.04,-0.0001323062,1.9685867635200026e-07,1.4154537725911557e-05,1.8653055781991726e-09,9.460116939717263e-08,7.300410993824319e-07,3.2937501404306224e-05,1.5025614644400868e-11,1.6206873801360096e-09,0.0006321306807799995,2.5288238923320302e-06,0.0005734227633387471,1.3532883662343763e-07
0.045,-0.0001394778,2.757137511746579e-07,1.742417314679101e-05,2.3707923676635174e-09,1.0762031042602053e-07,9.019018793129192e-07,3.574509328832405e-05,2.4975835394755414e-11,2.3922284088749267e-09,0.0006735157796938907,2.716674656845627e-06,0.0005663874811008508,1.7411112597676967e-07
0.05,-0.0001436114,3.7142674333519987e-07,2.087740103387855e-05,2.9432785992821187e-09,1.214543090208699e-07,1.0874413082886098e-06,3.847087097097125e-05,3.93266544287738e-11,3.365553695744591e-09,0.000707224750491723,2.8394714832439714e-06,0.0005297650989352021,2.155456403846086e-07
0.055,-0.0001492029,4.847674019762201e-07,2.4477978155878567e-05,3.5868753751716086e-09,1.3608893661298337e-07,1.286353646824571e-06,4.110182211473012e-05,5.907204561752583e-11,4.5506165930765205e-09,0.0007326114473284804,2.994402936830256e-06,0.0005079918771196472,2.587743385378166e-07
0.06,-0.0001593467,6.164264439126108e-07,2.8186621834555498e-05,4.306643216294338e-09,1.5176014527568855e-07,1.4984652620931166e-06,4.374055333619952e-05,8.536510859852179e-11,5.954463745498675e-09,0.0007512133517616303,3.249666431381958e-06,0.0005296087415974705,3.0286115169265526e-07
0.065,-0.0001750166,7.668452634571654e-07,3.1982702323640407e-05,5.108645429697758e-09,1.6898064902000381e-07,1.724391889936466e-06,4.66131388267988e-05,1.1921229618306246e-10,7.57912604408585e-09,0.0007670885576804896,3.627575813931229e-06,0.000599933521806947,3.4708511675452804e-07
0.07,-0.0001989761,9.364545351453316e-07,3.58650035476611e-05,6.002054777236741e-09,1.8842690077332655e-07,1.965938914847784e-06,5.0010081927002275e-05,1.617021826741787e-10,9.423861953521975e-09,0.0007856944448720707,4.1533220449490975e-06,0.0007404389601737193,3.908339709649532e-07
0.075,-0.0002334309,1.1257982819185112e-06,3.986915399372623e-05,7.000985603658413e-09,2.110391151456307e-07,2.226914174318497e-06,5.432353093238475e-05,2.139577122378839e-10,1.1485375299571554e-08,0.0008146534952409598,4.885569712112818e-06,0.0009648955468995603,4.338178262161085e-07
0.08,-0.0002795666,1.3356070698654107e-06,4.405950702861838e-05,8.122417635909863e-09,2.3777286257120095e-07,2.512430169811608e-06,5.993342714182432e-05,2.770008729921419e-10,1.3760466801718718e-08,0.0008614862519033906,5.833482771554297e-06,0.0012770733266756539,4.7611927985903766e-07
0.085,-0.0003324964,1.567012394048095e-06,4.8536808948056894e-05,9.388804058842513e-09,2.695279237606366e-07,2.8295745800035725e-06,6.716117025533545e-05,3.519258305664775e-10,1.6246663524096274e-08,0.0009327641745540064,6.90680141601091e-06,0.0016219295330997276,5.182376023391575e-07
0.09,-0.0003868146,1.821783301893255e-06,5.343093125804993e-05,1.0826854221607094e-08,3.066776583119276e-07,3.186807142992514e-06,7.60544994121809e-05,4.398134605094673e-10,1.8945409472622133e-08,0.0010299424088593572,7.97542182791734e-06,0.0019441530138829028,5.612543026588748e-07
0.095,-0.0004369783,2.10231871288459e-06,5.8864230680492026e-05,1.246340778335426e-08,3.4891822673365997e-07,3.5920416438949336e-06,8.633913951478658e-05,5.417485271833598e-10,2.186448316155267e-08,0.0011481468996306255,8.912079520805114e-06,0.002193140091663294,6.065969481777806e-07
0.1,-0.0004665374,2.4114978226478045e-06,6.492031814317512e-05,1.4322017822773235e-08,3.951262942768153e-07,4.051095359175654e-06,9.736706543748718e-05,6.588565120292732e-10,2.5018439833649804e-08,0.001275014120200039,9.496604116201839e-06,0.002218580341763632,6.557443890757771e-07
