,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0001042338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001022533578,0.0
0.005,-0.0001118782,4.2900088907997653e-10,1.732830839278651e-07,2.0396479209556848e-15,7.506906074408045e-13,1.3995642516685462e-08,5.140843142526414e-06,3.8492894950861515e-15,1.6354853070074788e-12,6.371796261461298e-05,1.5348460044963593e-10,0.0010335416729985987,6.774428891080208e-10
0.01,-0.0001187953,2.5154953295429942e-09,6.569350421171262e-07,7.786075713125868e-15,1.5372744897942074e-12,5.280548380669771e-08,1.0310666765297832e-05,3.6960719024944505e-14,1.184497737343539e-11,0.00012881500289928347,1.6101518991002654e-10,0.0010351643250913728,3.4247197600684793e-09
0.015,-0.000124546,7.842098743477366e-09,1.4627791799320032e-06,1.752421914090855e-14,2.3583636578144113e-12,1.1716538878967441e-07,1.5449565247423185e-05,1.8475602224999215e-13,4.4898454450787475e-11,0.00019379480827540037,1.6757990573554662e-10,0.0010238818681213885,9.562190523940428e-09
0.02,-0.0001279858,1.790944098832244e-08,2.5877203807132158e-06,3.142272693338491e-14,3.207915095066883e-12,2.0687928061519595e-07,2.0474048130129403e-05,5.99959902954192e-13,1.1899210358559295e-10,0.0002568475953908226,1.72415981936503e-10,0.000989612707740924,2.007261769713212e-08
0.025,-0.0001275313,3.429018698942975e-08,4.015358626404923e-06,4.958912321884947e-14,4.070418565879926e-12,3.210109503939672e-07,2.523767900156792e-05,1.5562871396908933e-12,2.5799466361001506e-10,0.000315304309085129,1.7326103721767953e-10,0.0009188046187280641,3.569143224889284e-08
0.03,-0.0001243881,5.8473554882711214e-08,5.72181753880295e-06,7.209469611909175e-14,4.936977739486273e-12,4.5825808689323496e-07,2.9645322254105533e-05,3.414484363981715e-12,4.876021714912235e-10,0.0003671412888527183,1.7214041715500616e-10,0.0008246615045354119,5.69115231118888e-08
0.035,-0.0001249604,9.182699302771506e-08,7.671465364735555e-06,9.896253585874058e-14,5.809504554353471e-12,6.167719294729381e-07,3.3684901498149654e-05,6.685582139209549e-12,8.367604486899445e-10,0.0004113766275143939,1.759812837175221e-10,0.000770404873625256,8.383234038565739e-08
0.04,-0.0001323062,1.3548450158251185e-07,9.829140677406493e-06,1.302931245429011e-13,6.721479450711972e-12,7.951220068525862e-07,3.756899564504328e-05,1.2049181170374293e-11,1.3340504615398684e-09,0.00044993215098248265,1.8957051141528514e-10,0.0007836310146379961,1.1619184953265526e-07
0.045,-0.0001394778,1.9040169483405274e-07,1.2168000337578494e-05,1.6633492373894586e-13,7.70111055432341e-12,9.928121134299237e-07,4.147186527201343e-05,2.0327588787101656e-11,2.005993276039784e-09,0.0004844262138322777,2.0445840008022353e-10,0.0007941598692564836,1.5353741604279354e-07
