,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0001042338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001022533578,0.0
0.005,-0.0001118782,9.344261156575492e-09,4.7419627992412866e-06,5.383533797234433e-10,1.5302114369016982e-07,3.76400350053064e-09,5.49477315388371e-07,5.2148263336507286e-15,3.11935264919244e-12,0.0012980242934148446,5.877960012170072e-09,-0.0002062915836599195,1.0739249884897035e-09
0.01,-0.0001187953,4.869798327028317e-08,1.0853811790540516e-05,1.2705037708149478e-09,1.415296321705567e-07,4.730215163735006e-09,2.2571217988159804e-08,3.4306222197995573e-14,8.420582677122002e-12,0.0011607575205273104,-7.631763147095561e-07,-2.0673886421075047e-05,1.0125962757492805e-09
0.015,-0.000124546,1.1736407417186923e-07,1.659862589975727e-05,1.987256029104141e-09,1.4817763273924552e-07,4.805566900351041e-09,4.5380707831656186e-08,8.886243717860959e-14,1.337233973994386e-11,0.0011578431568851552,2.47167933479077e-06,6.445505540542232e-06,9.877525366328093e-10
0.02,-0.0001279858,2.148490929210199e-07,2.2399118436372512e-05,2.754104349067093e-09,1.587953941895629e-07,5.033780103153832e-09,4.215150271433888e-08,1.6813312783565743e-13,1.8338357787183554e-11,0.0011599265530598027,1.4782223090772494e-06,-6.744126805717526e-06,9.992074665333109e-10
0.025,-0.0001275313,3.410615642402916e-07,2.8063194545979033e-05,3.564091883462211e-09,1.6419436037047506e-07,5.15893793599441e-09,-3.943784151274343e-09,2.7210088846768765e-13,2.3237531561659806e-11,0.0010929993142569181,6.477567528016944e-07,-1.6531790157544018e-06,9.506601110725195e-10
0.03,-0.0001243881,4.94625113907946e-07,3.329130663828678e-05,4.395746480864357e-09,1.6810188178494453e-07,5.105447772991439e-09,-1.5454892679468867e-08,3.9981556355959486e-13,2.7793193157639176e-11,0.0009914010981328996,1.0150105230340937e-06,-7.31680599335208e-08,8.645928733925634e-10
0.035,-0.0001249604,6.731714961970189e-07,3.8043130801354456e-05,5.2565039783393495e-09,1.7709567834985797e-07,5.082189030837943e-09,1.5757963628142845e-08,5.493003302766313e-13,3.192628106554946e-11,0.0009137906707454404,2.877995895008041e-06,3.223731449156946e-06,7.906068413433976e-10
0.04,-0.0001323062,8.747392341051919e-07,4.251176162861582e-05,6.180373434629288e-09,1.9464210976967015e-07,5.266783305179582e-09,6.700905009782103e-08,7.187358494276176e-13,3.5774800569817836e-11,0.0008896662537269094,4.516760605901486e-06,9.533940283279994e-06,7.607649963555718e-10
0.045,-0.0001394778,1.098309514239927e-06,4.690362771279127e-05,7.203169950486544e-09,2.1566505826276923e-07,5.6420918910780875e-09,7.768510961961877e-08,9.070614994588358e-13,3.9537549326560444e-11,0.0008740355496958093,3.6406918785101714e-06,-3.933002064588942e-06,7.518995703686502e-10
