,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-1.2831253552802473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012587459735299226,0.0
0.02,-1.2912609036320424e-05,2.2126685401201944e-09,2.905913921569621e-07,3.521152406659008e-11,3.4900353343905243e-09,2.32166772031977e-08,2.2276662832496046e-06,9.918646266909318e-14,1.594693828573091e-11,2.7913085291735275e-05,1.7089724311444493e-07,9.766793062010168e-05,2.32549610399855e-09
0.04,-1.3000653538384447e-05,1.4945397693791988e-08,1.0493768863508727e-06,1.406861077402529e-10,7.068766643821334e-09,8.547705082479878e-08,3.93515274823445e-06,1.6583508285236018e-12,1.5220609933459382e-10,4.7019853602921296e-05,1.8393964946539907e-07,7.350053797060555e-05,1.2192207200330643e-08
0.06,-1.3086216249115125e-05,4.5587109225024257e-08,2.074695469344625e-06,3.213244619424439e-10,1.103335510696318e-08,1.77587673462456e-07,5.199583551083486e-06,8.471918168919493e-12,5.605747126720785e-10,5.386062055764557e-05,2.1228495107046785e-07,5.358613760853299e-05,2.982906106476692e-08
0.08,-1.3177569806290275e-05,9.711469381545006e-08,3.1099634298857827e-06,5.863003510580135e-10,1.553934127123007e-08,2.913731870491361e-07,6.106284847183104e-06,2.7056091969455035e-11,1.3512487072674201e-09,4.744691103536604e-05,2.3997296411861087e-07,3.78340386049541e-05,5.038991535440965e-08
0.1,-1.326635648214351e-05,1.6713288871643644e-07,3.9077802014398055e-06,9.457763092711963e-10,2.052836078399393e-08,4.204213608879706e-07,6.732036000756712e-06,6.492953887975458e-11,2.515778830303032e-09,2.958687025556079e-05,2.599834565191958e-07,2.5559322367435362e-05,6.723593022126972e-08
0.12,-1.3357223135495167e-05,2.483190315744815e-07,4.2894090010472686e-06,1.4063697283749909e-09,2.5735543013131462e-08,5.599647880565259e-07,7.136003715136884e-06,1.2789155978425672e-10,3.906240919852374e-09,4.483671380795923e-06,2.6447822750259766e-07,1.5932573242397224e-05,7.487684368321327e-08
0.14,-1.3446340716859518e-05,3.329409762056815e-07,4.119920840835351e-06,1.9714435598872695e-09,3.087322362881586e-08,7.054606751787056e-07,7.370371102116239e-06,2.1975218993201312e-10,5.355943547093963e-09,-2.3549552280993576e-05,2.4749154581231296e-07,8.08142942224215e-06,6.920379149282494e-08
0.16,-1.354523891968805e-05,4.0942191765056327e-07,3.4068133625611074e-06,2.6347650576670846e-09,3.548000168903311e-08,8.539836523376701e-07,7.460313210059578e-06,3.387413325447964e-10,6.576161587141331e-09,-4.8531178705003385e-05,2.0845732437562987e-07,1.2123373468514163e-06,4.980603943589509e-08
0.18,-1.3637939735015593e-05,4.6743999868869846e-07,2.26329606772907e-06,3.3815981783318883e-09,3.9131520865097277e-08,1.0029076303613302e-06,7.416465742166072e-06,4.777824908513536e-10,7.303146580231142e-09,-6.535170044282634e-05,1.5136769386056722e-07,-5.486636094975569e-06,1.9439562348246446e-08
