,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-4.4909387434808655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004405610907354729,0.0
0.02,-4.519413162712149e-05,7.911429999050617e-09,1.0077768407212638e-06,1.2433669546736196e-14,1.2290075834840826e-12,8.087255494743623e-08,7.802863101748818e-06,4.3608457837719155e-13,6.058432488087433e-11,9.74839239736289e-05,6.083604523328357e-11,0.0003419203093738589,8.24654019742994e-09
0.04,-4.550228738434556e-05,5.371875452002404e-08,3.6443086766250075e-06,4.953362771392512e-14,2.4888082116320843e-12,2.977832514594668e-07,1.3787313012567833e-05,6.103853964024403e-12,5.602909565917506e-10,0.00016354151172580798,6.54602244398771e-11,0.00025744014037661143,4.3657567044117463e-08
0.06,-4.580175687190294e-05,1.6165264989683499e-07,7.1839314554771474e-06,1.1312706656999626e-13,3.883747003739658e-12,6.190107143983321e-07,1.8227912509805385e-05,3.1068909987857855e-11,2.029335838008542e-09,0.00018690399957768775,7.422203460562618e-11,0.0001877609074181174,1.0462773044562729e-07
0.08,-4.6121494322015966e-05,3.4027089617940866e-07,1.0756881692631164e-05,2.0637762209148165e-13,5.460012805847769e-12,1.0171943147960154e-06,2.141207660795409e-05,9.799203922251417e-11,4.796124006182732e-09,0.0001650049446961064,8.379140561736928e-11,0.00013245918376591338,1.7463921370283862e-07
0.1,-4.643224768750228e-05,5.829027237057298e-07,1.3510683775233979e-05,3.3272625833400577e-13,7.203399876348342e-12,1.4693892511831424e-06,2.3607052939717042e-05,2.3240701670304664e-10,8.850417329072582e-09,0.00010320554974094298,9.067107470655394e-11,8.932062192980263e-05,2.3217700334194203e-07
0.12,-4.675028097423309e-05,8.672158095789827e-07,1.4756705598284606e-05,4.94821867138783e-13,9.035012510656411e-12,1.9574285548311766e-06,2.5035763440473383e-05,4.563608991148465e-10,1.3768153798597066e-08,1.4635123321498709e-05,9.193721391825838e-11,5.560194976149559e-05,2.569583994159753e-07
0.14,-4.706219250900831e-05,1.1593436792410861e-06,1.4103714561912511e-05,6.934130746751401e-13,1.0825480505564365e-11,2.4673215855797482e-06,2.5859459736922374e-05,7.811263753835828e-10,1.877844650273301e-08,-8.228664687030213e-05,8.574049434849351e-11,2.786375263025231e-05,2.3578825721533901e-07
0.16,-4.7408336218908174e-05,1.419822483232914e-06,1.1593159563623401e-05,9.26125120196738e-13,1.2417235514412649e-11,2.9883611414773564e-06,2.6167297952969834e-05,1.199086885024976e-09,2.2902818609327155e-08,-0.00016718799081350834,7.20143928214026e-11,3.4298747202301107e-06,1.6776315875177455e-07
0.18,-4.773278907255458e-05,1.6146179764656146e-06,7.63614620356278e-06,1.187590206820012e-12,1.3669761646878885e-11,3.5107708978347604e-06,2.599726400178922e-05,1.6839772636439707e-09,2.5276529446326774e-08,-0.00022328095435726267,5.217957565594594e-11,-2.0351278910802286e-05,6.31574438317154e-08
0.2,-4.8075292821832194e-05,1.7216567230889878e-06,2.923291637752156e-06,1.4699713424577678e-12,1.4488013387948025e-11,4.025063257972322e-06,2.5356262449926696e-05,2.1946022185599603e-09,2.53491513644378e-08,-0.0002404426533280264,2.8988455516229528e-11,-4.394904785733525e-05,-5.952518484482209e-08
0.22,-4.842853445494544e-05,1.7332235321039428e-06,-1.7291102158262046e-06,1.7641408365629664e-12,1.4835120467985362e-11,4.521850896323254e-06,2.4246351872546652e-05,2.682762773824309e-09,2.295965361393799e-08,-0.00021602885519163186,5.810258090627185e-12,-6.719268176481573e-05,-1.780553675750795e-07
0.24,-4.876465172785858e-05,1.6585274027272879e-06,-5.521766812970237e-06,2.0608005202617864e-12,1.4744842989004866e-11,4.991905547033791e-06,2.2682484892355896e-05,3.1008431681264476e-09,1.8409958138329563e-08,-0.00015586600362195094,-1.3972574399584436e-11,-8.905680704122146e-05,-2.7051718295515317e-07
0.26,-4.911686755388737e-05,1.5213782177596558e-06,-7.848013864175236e-06,2.3520070321461414e-12,1.4314734340901359e-11,5.42656613101019e-06,2.0712677001869564e-05,3.4115894984328803e-09,1.2402392855976896e-08,-7.266229451015181e-05,-2.7602209797319976e-11,-0.00010732156448285958,-3.2034666128634043e-07
0.28,-4.947265715943618e-05,1.3550321757938716e-06,-8.405246444472162e-06,2.6322779395511266e-12,1.3686719808836102e-11,5.818490407433285e-06,1.8426492869257373e-05,3.59482232878551e-09,5.894861414226244e-09,1.6870006899651145e-05,-3.3539457886325175e-11,-0.0001201679474303963,-3.195677612294567e-07
0.3,-4.9839763733465056e-05,1.1952942391022555e-06,-7.246134082911087e-06,2.8992670484114125e-12,1.3019081969963992e-11,6.16251285005636e-06,1.595056744327843e-05,3.6510379706339753e-09,-9.450493439889855e-11,9.559195850981854e-05,-3.175397423303694e-11,-0.0001260499568931189,-2.7030175886264377e-07
0.32,-5.020617540592061e-05,1.07369919943775e-06,-4.737250194440209e-06,3.153668020349498e-12,1.2457155049236178e-11,6.4562442075460475e-06,1.343208639176018e-05,3.5997929771144554e-09,-4.681366934836925e-09,0.00014924255799076926,-2.3543824008431802e-11,-0.000124426391333798,-1.8357621230515455e-07
0.34,-5.056707750161612e-05,1.0111853242442768e-06,-1.4827751994806158e-06,3.3987973813791217e-12,1.2105451721288216e-11,6.700390223141033e-06,1.1019237969583072e-05,3.4759264973393948e-09,-7.2941803710495755e-09,0.00016940719455570157,-1.1328762038707862e-11,-0.0001157373354413816,-7.71065975151383e-08
0.36,-5.095390604410734e-05,1.0154289512307611e-06,1.8163850235894537e-06,3.639506516817133e-12,1.2014562038309215e-11,6.898469126813401e-06,8.84332953352074e-06,3.3217063846439418e-09,-7.748218472440856e-09,0.00015454110236177906,2.0147983758808663e-12,-0.00010106087292960598,2.87664221367918e-08
0.38,-5.132030117128732e-05,1.0804604272438978e-06,4.500906520864203e-06,3.881030182065489e-12,1.2176819360102051e-11,7.0562469748149065e-06,6.999414818501505e-06,3.1788301588192486e-09,-6.253545661811501e-09,0.00010978713753103762,1.3554327690616652e-11,-8.296684851864283e-05,1.1503720469402113e-07
0.4,-5.1708982784640785e-05,1.1886697717370102e-06,6.072801562728881e-06,4.127895886288734e-12,1.2532640577315538e-11,7.180923553173859e-06,5.535910908933611e-06,3.0811957012902094e-09,-3.3546137157534986e-09,4.567418695517294e-05,2.1060837210491734e-11,-6.353211633440984e-05,1.6745573386296577e-07
0.42,-5.209011975234086e-05,1.3149365840085974e-06,6.275999939353562e-06,4.3830737114429e-12,1.2986211954604545e-11,7.280164961650097e-06,4.451362618612082e-06,3.049653584064478e-09,1.905748868462458e-10,-2.4168546597419876e-05,2.3154103742824284e-11,-4.550182552540175e-05,1.7882307364955615e-07
0.44,-5.2490151424725495e-05,1.431557649704964e-06,5.138305918192292e-06,4.6474172302424236e-12,1.3425436898677938e-11,7.361175592126034e-06,3.699152234755955e-06,3.0888876383071785e-09,3.5537840907567105e-09,-8.557795989116117e-05,1.968939041755574e-11,-3.064657208877645e-05,1.5016866766807798e-07
0.46,-5.2887684760501215e-05,1.5139922287998632e-06,2.9564010168856814e-06,4.919544131341327e-12,1.3745992068003338e-11,7.429860576772664e-06,3.1986667883607176e-06,3.1874721775758675e-09,6.002678395665675e-09,-0.00012671576040723003,1.166595813006932e-11,-2.0435559594904435e-05,9.028453708969902e-08
