,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-2.714333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662760673e-05,0.0
0.02,-2.731543e-06,1.3363832865176406e-09,1.6686815091210064e-07,2.0336694568041127e-11,1.9552978081579143e-09,4.029259578937726e-09,3.627193268946548e-07,4.280115777097048e-14,6.213921182654099e-12,1.5542700866412325e-05,8.255111290180503e-08,1.060165061271314e-05,8.177405419105077e-10
0.04,-2.750168e-06,8.206694515332101e-09,5.530854299463006e-07,7.509116940863631e-11,3.4627429606972507e-09,1.2695145121848343e-08,4.712860357037805e-07,5.054585783577453e-13,4.185159784879417e-11,2.2241768795934892e-05,6.410456921586031e-08,9.196455153405806e-07,2.9411418312491835e-09
0.06,-2.768268e-06,2.3264559797641853e-08,9.890245327220156e-07,1.5797869636032352e-10,4.75515958281233e-09,2.2170281850022967e-08,4.3613214226719815e-07,2.0701567060709316e-12,1.184805494860611e-10,2.0073944296775555e-05,6.36253459007531e-08,-3.4997173034266085e-06,4.930235700887289e-09
0.08,-2.787593e-06,4.620177848708007e-08,1.314983237794001e-06,2.661036818164516e-10,6.016422732005068e-09,3.027390754671885e-08,3.4803482378391803e-07,5.4003329223678575e-12,2.213306085335685e-10,1.0999539714830012e-05,6.481911766432666e-08,-4.388597011823448e-06,5.3434558243692835e-09
0.1,-2.806375e-06,7.38974779329345e-08,1.4181693079678738e-06,3.991803426471327e-10,7.304285182659199e-09,3.6381075661677e-08,2.6353844589775885e-07,1.0742011247003967e-11,3.163051899221167e-10,-1.7157693389965191e-06,6.446982828861738e-08,-3.610881531317055e-06,3.749558825480672e-09
0.12,-2.825597e-06,1.012953895257233e-07,1.2613354593259066e-06,5.571279849356034e-10,8.527820362326528e-09,4.089560166383848e-08,2.0137583418888125e-07,1.7600423653650716e-11,3.6777228745259797e-10,-1.4488877372606295e-05,5.696077385003266e-08,-2.5112959999739003e-06,8.227010934448939e-10
0.14,-2.844449e-06,1.2326976066413002e-07,8.665140077249932e-07,7.375912808871534e-10,9.524772742006789e-09,4.434879376644942e-08,1.6125052940767484e-07,2.4962538147984474e-11,3.5443909827840346e-10,-2.4336599570574553e-05,3.994736656979939e-08,-1.8494877664626948e-06,-2.495243593821545e-09
0.16,-2.86537e-06,1.355987450689964e-07,3.156271144544809e-07,9.344841512344886e-10,1.0106899259599081e-08,4.716423288908771e-08,1.2993379623668404e-07,3.1460862130389185e-11,2.7549468563784035e-10,-2.9321951975043994e-05,1.5183119042653766e-08,-1.7297734287461967e-06,-5.332238595858801e-09
0.18,-2.88498e-06,1.3610600529344954e-07,-2.8210791857780595e-07,1.1382331193514875e-09,1.0148178428385593e-08,4.9428992139525507e-08,9.589936062897346e-08,3.586441727316223e-11,1.4698456566453045e-10,-2.8752362238976152e-05,-1.3051574774481842e-08,-1.9771432663677242e-06,-7.130063888905652e-09
0.2,-2.905681e-06,1.2492554346993105e-07,-8.16735167979081e-07,1.3376783503621864e-09,9.626236879250565e-09,5.1019405378911244e-08,5.4169172135802703e-08,3.7385797397978717e-11,-6.019779213233692e-12,-2.303088447020362e-05,-3.942836491810576e-08,-2.2767309219498996e-06,-7.601775877723911e-09
0.22,-2.927031e-06,1.0453376591214828e-07,-1.1934666836813635e-06,1.5216978227075965e-09,8.63443654635312e-09,5.1702055097532445e-08,6.926941838032432e-09,3.581925072697339e-11,-1.5344677674720923e-10,-1.3566849522669653e-05,-5.877125150155889e-08,-2.3542805828082928e-06,-6.758600559165431e-09
0.24,-2.947346e-06,7.85494264415293e-08,-1.3608958449712644e-06,1.683158399709009e-09,7.343845823017254e-09,5.143990139829224e-08,-3.991345460625352e-08,3.154821861199004e-11,-2.7264187991098973e-10,-2.0475517409135534e-06,-6.826143001033031e-08,-2.1497419829343468e-06,-4.776174231353773e-09
0.26,-2.968634e-06,5.156128999035158e-08,-1.2940912139885453e-06,1.8175300572922699e-09,5.97782305472235e-09,5.0281728906841394e-08,-7.891546302977649e-08,2.5348056873449326e-11,-3.4341810784445397e-10,9.478506419366328e-06,-6.620539347685655e-08,-1.6175970350093918e-06,-2.0132790621061886e-09
0.28,-2.990138e-06,2.782628028144648e-08,-1.0273989211030453e-06,1.927478233461964e-09,4.753453867139074e-09,4.8502374593187906e-08,-1.0498018365527964e-07,1.8359280366215278e-11,-3.595523833699418e-10,1.9247006646244082e-05,-5.395399938068406e-08,-8.489528285224019e-07,1.0087328971853842e-09
0.3,-3.012326e-06,1.1069982516934096e-08,-5.814135265252462e-07,2.014243125549144e-09,3.858532281981344e-09,4.6306574688422794e-08,-1.135218699757969e-07,1.1512409445343266e-11,-3.136388314795684e-10,2.5686551476351046e-05,-3.222637429201847e-08,1.1013697928838931e-07,3.870856804330955e-09
0.32,-3.034472e-06,4.070197974701802e-09,-4.66395376651133e-08,2.0875714105374978e-09,3.446346164960981e-09,4.412038873963701e-08,-1.0285548363327622e-07,6.058809186343257e-12,-2.1691908608200435e-10,2.7806040250339765e-05,-5.3908278319649255e-09,1.071137239788928e-06,6.042204081135143e-09
0.34,-3.056285e-06,7.469656007667079e-09,4.925694153849523e-07,2.157347679082942e-09,3.5617191651130006e-09,4.22915161163715e-08,-7.485197332520689e-08,2.761456885782262e-12,-8.634118116604039e-11,2.551282915741911e-05,2.2337770345458348e-08,1.8836391061915237e-06,7.230476673294503e-09
0.36,-3.079665e-06,2.1464632962242153e-08,9.504515423740847e-07,2.2337917734534578e-09,4.227261936481318e-09,4.115887221677032e-08,-3.2145974066216014e-08,2.2998520499992844e-12,5.942624868472571e-11,1.8908558321146412e-05,4.662886557167662e-08,2.4207432979661866e-06,7.181092807833562e-09
0.38,-3.10181e-06,4.289968375452783e-08,1.2521781088894505e-06,2.3271617544399906e-09,5.2949481317872725e-09,4.092606039460861e-08,1.7195346234051377e-08,4.571977289471105e-12,1.9333128122823048e-10,9.501088293073501e-06,6.34180869473791e-08,2.566268764496713e-06,6.0008877850481836e-09
0.4,-3.125302e-06,6.890407122203353e-08,1.3544242954883732e-06,2.4438633126513884e-09,6.625445910964103e-09,4.16778402189368e-08,6.654636820208516e-08,9.297718769293008e-12,2.9647121216481513e-10,-1.3996433355991753e-06,7.030247201733332e-08,2.3146385440593727e-06,3.849056424420173e-09
0.42,-3.148338e-06,9.519530106381906e-08,1.232129943253164e-06,2.588687355453801e-09,8.005179259869757e-09,4.338577465162932e-08,1.0744897783168423e-07,1.5764876955480726e-11,3.495423724014688e-10,-1.1923842029151504e-05,6.569938472558912e-08,1.6669669063330918e-06,1.07205708212349e-09
0.44,-3.172516e-06,1.1743644878376754e-07,9.300789024164046e-07,2.7580672965398304e-09,9.206134817897915e-09,4.57304906524526e-08,1.3382154587687157e-07,2.2725441414604595e-11,3.489830527886909e-10,-2.0340820003388614e-05,5.1598463721284655e-08,7.864633621819815e-07,-1.7946760237014772e-09
0.46,-3.196543e-06,1.3226651198904864e-07,4.7108059884260504e-07,2.9506451840407582e-09,1.005350993822707e-08,4.850909632467493e-08,1.4060340140961444e-07,2.9301258515998776e-11,2.893338143839162e-10,-2.5282471823535807e-05,2.8936405213190227e-08,-2.4626803942473565e-07,-4.367780981604194e-09
0.48,-3.220523e-06,1.3742647313352595e-07,-4.1884377953061485e-08,3.154936761472375e-09,1.0415309064352741e-08,5.12156515463141e-08,1.2766047898075966e-07,3.424448602580044e-11,1.8687448003614867e-10,-2.603159310851463e-05,2.833432560762428e-09,-1.2081516567983113e-06,-6.1576951527112524e-09
0.5,-3.245429e-06,1.32778142951222e-07,-5.556249984899152e-07,3.364130240117676e-09,1.0266465900470898e-08,5.357766631848354e-08,9.544794792147101e-08,3.712012823439562e-11,5.353108167388289e-11,-2.2732365860651553e-05,-2.444882849356845e-08,-1.9111645898984756e-06,-7.015599060317126e-09
0.52,-3.270238e-06,1.1828386018292368e-07,-9.636202453159145e-07,3.565070001178482e-09,9.580925657766459e-09,5.5112862702661695e-08,4.69855583734855e-08,3.711616865429272e-11,-8.638698643992611e-11,-1.567104232212067e-05,-4.777336506039476e-08,-2.114943092872409e-06,-6.6597913045548694e-09
0.54,-2.876143e-06,9.64038163818192e-08,-1.197903788488772e-06,3.7480070371510045e-09,8.477454403737853e-09,5.557554077824486e-08,-8.967923179654322e-09,3.4236967082352153e-11,-2.0946459008689439e-10,-6.002366125776076e-06,-6.223745585374064e-08,-5.88465921956929e-06,-5.152853327390426e-09
