,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-2.714333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662760673e-05,0.0
0.02,-2.731543e-06,5.132634417550644e-10,6.07335281770709e-08,7.548407555482324e-16,7.44051047934525e-14,4.877411643061034e-09,4.715505184075066e-07,3.0776149515844755e-14,4.123721743376484e-12,5.872395891731743e-06,3.676666777341955e-12,2.066982455498076e-05,5.191722774154175e-10
0.04,-2.750168e-06,3.166221380720202e-09,2.1906175044138024e-07,3.0061728900010318e-15,1.5012366320054096e-13,1.8029437239794054e-08,8.333158920594275e-07,4.282357628568355e-13,3.3522185153352234e-11,9.929737847805072e-06,3.950101048630307e-12,1.5551138796241658e-05,2.521762298292843e-09
0.06,-2.768268e-06,9.485543374164117e-09,4.332409794284365e-07,6.8525902396501334e-15,2.3363873641304876e-13,3.7520468003943426e-08,1.1014255887416597e-06,1.978993447522425e-12,1.1836862904824865e-10,1.1449533285636608e-05,4.4786706742734215e-12,1.1322105830414096e-05,6.110370515643089e-09
0.08,-2.787593e-06,1.989049200668475e-08,6.515973549203193e-07,1.2480599218912906e-14,3.2733521304225547e-13,6.171437238134262e-08,1.2930454013681031e-06,6.019173264613217e-12,2.7620826510074537e-10,1.03252399634017e-05,5.062272485356341e-12,7.95115967450549e-06,1.0286676169966067e-08
0.1,-2.806375e-06,3.442295452550923e-08,8.264928448297396e-07,2.005998190136026e-14,4.320287577713405e-13,8.910396395656347e-08,1.4241045848092457e-06,1.3825353156696118e-11,5.138726656795778e-10,6.636366211444297e-06,5.512674043921424e-12,5.349650696767874e-06,1.4104688659919416e-08
0.12,-2.825597e-06,5.176038318243541e-08,9.112334771960512e-07,2.978261073339797e-14,5.431847044133892e-13,1.1858617943435671e-07,1.5091106507663274e-06,2.6893172756692306e-11,8.11727586705107e-10,1.1795523277725102e-06,5.629648047104745e-12,3.3411659699871152e-06,1.6008611650544444e-08
0.14,-2.844449e-06,6.968741054049168e-08,8.849587433232317e-07,4.167815398828197e-14,6.523007039176073e-13,1.4940186767255482e-07,1.5571584653786069e-06,4.583683075274056e-11,1.1193817423736335e-09,-4.848002369722303e-06,5.31269684955803e-12,1.706659126413941e-06,1.5199571827928036e-08
0.16,-2.86537e-06,8.61979815126864e-08,7.477344472153416e-07,5.561120445945302e-14,7.514280220820558e-13,1.8084132487715932e-07,1.5743722738721555e-06,7.024910315180926e-11,1.3882998817928453e-09,-1.0403521239747264e-05,4.549008834008571e-12,3.0786830992528203e-07,1.1583055697607143e-08
0.18,-2.88498e-06,9.902053867318568e-08,5.078565511187938e-07,7.139209600142948e-14,8.314475330389571e-13,2.1230647822596963e-07,1.565255473235039e-06,9.941772833951703e-11,1.5619527687022265e-09,-1.4324524542596648e-05,3.357100418510152e-12,-1.058593243207598e-06,5.257737214092817e-09
0.2,-2.905681e-06,1.0697427095535916e-07,2.1711077466722958e-07,8.84723382178311e-14,8.871388953043185e-13,2.4331198769870735e-07,1.5286750792078547e-06,1.304366836328943e-10,1.608800412171063e-09,-1.6096499710502344e-05,1.943668357230581e-12,-2.3975443396835754e-06,-2.327903912500506e-09
0.22,-2.927031e-06,1.0859832067057686e-07,-9.659553674776467e-08,1.0649281297979244e-13,9.1245317955149e-13,2.7328645721804263e-07,1.4668796720438024e-06,1.615615628094745e-10,1.4926030315647913e-09,-1.5010681319335575e-05,4.1472305868347006e-13,-3.7979724199677816e-06,-1.0459593044191729e-08
0.24,-2.947346e-06,1.049085522151231e-07,-3.6731683488141056e-07,1.2475151093141238e-13,9.110758604657064e-13,3.017576743975034e-07,1.3781860180473859e-06,1.890525029720598e-10,1.2418736366514623e-09,-1.1691077733162277e-05,-9.473606862636826e-13,-5.138737969517782e-06,-1.726342888400925e-08
0.26,-2.968634e-06,9.595908272088845e-08,-5.584581432440515e-07,1.4279805610878905e-13,8.831396991723583e-13,3.2821367713152934e-07,1.2644314672206485e-06,2.1071096172142058e-10,8.608300108272953e-10,-6.209737219774913e-06,-1.9885999856354697e-12,-6.374104434432439e-06,-2.1747597414195853e-08
0.28,-2.990138e-06,8.444365654248001e-08,-6.368063383536258e-07,1.6016964206684624e-13,8.398195414065108e-13,3.522070619429268e-07,1.1293993858149905e-06,2.2447437753239313e-10,4.2586536639929184e-10,4.3116048518376794e-08,-2.5475827095675432e-12,-7.323244883634907e-06,-2.299065616829529e-08
0.3,-3.012326e-06,7.20374848653614e-08,-5.913684935236696e-07,1.7661519764526374e-13,7.883992735836043e-13,3.733795930402982e-07,9.785809973741555e-07,2.2957913383294808e-10,-1.4817215768020767e-11,6.24153209041268e-06,-2.5660398895251298e-12,-7.896980053027037e-06,-2.071730072813131e-08
0.32,-3.034472e-06,6.153316829363538e-08,-4.3144701333654486e-07,1.9204017428057098e-13,7.411311110592686e-13,3.914604253647699e-07,8.204567774113756e-07,2.2637085490548528e-10,-3.8226649683967844e-10,1.1046009137546418e-05,-2.062108249184947e-12,-7.981901873598084e-06,-1.5228032981549382e-08
0.34,-3.056285e-06,5.450711735131899e-08,-1.9641641144344786e-07,2.0666142876554555e-13,7.056657949909594e-13,4.06469800235971e-07,6.647145787278564e-07,2.170712542863194e-10,-6.329528976870044e-10,1.3798107933824251e-05,-1.1898271369624024e-12,-7.589349812712657e-06,-7.676247735156165e-09
0.36,-3.079665e-06,5.284477517651162e-08,8.00510817402567e-08,2.2063496583694474e-13,6.908522703491256e-13,4.1836978885420343e-07,5.208846806329897e-07,2.0354022427653124e-10,-7.144226135520136e-10,1.3670785577784902e-05,-7.691896368434113e-14,-6.6796437520246096e-06,9.464178333617474e-10
0.38,-3.10181e-06,5.578024814299465e-08,3.3098725718499425e-07,2.345350670640723e-13,6.949479321333493e-13,4.277022661610829e-07,3.9670351312082135e-07,1.8991203391787662e-10,-6.515142565964857e-10,1.1240847659257951e-05,9.855053344296882e-13,-5.479619180391922e-06,8.718913147968386e-09
0.4,-3.125302e-06,6.392141634118284e-08,5.178227531412666e-07,2.486228840723903e-13,7.215142313582843e-13,4.3465427965840004e-07,2.996135691418133e-07,1.78495506914844e-10,-4.2878453330350114e-10,6.330598530352828e-06,1.8380702030405295e-12,-4.028897194169319e-06,1.4520685582851666e-08
0.42,-3.148338e-06,7.445575298335333e-08,6.045933346501859e-07,2.6331218595865987e-13,7.596817073571496e-13,4.3996402931034793e-07,2.294630240360427e-07,1.7189561510947402e-10,-1.2966698391476172e-10,4.612748850537582e-07,2.303389832927598e-12,-2.610528881998334e-06,1.7338035946847165e-08
0.44,-3.172516e-06,8.628258816031305e-08,5.672771128454118e-07,2.788339179903264e-13,8.05552282946504e-13,4.440509731423576e-07,1.8807344881770465e-07,1.7180133953896643e-10,2.1208594857320592e-10,-5.731191103772818e-06,2.2682873103679196e-12,-1.3471056736470442e-06,1.6486085646742898e-08
0.46,-3.196543e-06,9.634159017150146e-08,4.214793904402513e-07,2.951919413880205e-13,8.462701477640089e-13,4.4750545554260395e-07,1.6802845482575692e-07,1.7786014460284204e-10,5.067131960618695e-10,-1.073546262544551e-05,1.768957864304449e-12,-4.300891963892952e-07,1.243847006563197e-08
0.48,-3.220523e-06,1.0309157614817848e-07,1.8704105773202343e-07,3.122900901295378e-13,8.752334496548015e-13,4.506742521929266e-07,1.640428391384864e-07,1.8926771571137692e-10,7.084328464601668e-10,-1.3813612384212436e-05,8.731741593876255e-13,6.723691655972747e-08,5.7814826650284024e-09
