,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00017042021941318945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4810545223717469,0.0
0.01,0.0001700817235176396,1.0873881177754318e-07,2.6190192073852345e-06,2.7778743759590157e-07,2.7801397325380097e-05,-1.815141215984134e-07,-1.586776108685962e-05,-8.774378385608452e-10,-2.6049405872595115e-07,-0.0016866911433298104,-1.3236531779162175e-05,0.0008052459582771343,-4.8848693104242555e-05
0.02,0.00016976569561515678,6.420407015272703e-08,-9.656697189663273e-06,5.553239012696885e-07,2.7722307816392397e-05,-2.944772040083454e-07,-6.588950426936639e-06,-5.862979722486457e-09,-6.915146748396721e-07,-0.0005495200828635471,-3.5954442887814464e-06,0.0008720619305228328,-2.00326297886811e-05
0.03,0.0001693991557282605,-2.9747072405721266e-08,-5.966806409246218e-06,8.324411613088869e-07,2.7705746391100432e-05,-3.250227321942402e-07,-4.921600378852241e-07,-1.2534659423422253e-08,-5.241553644606608e-07,0.0013094109186056468,-7.317549590296624e-07,0.00032031799862464183,4.581554264912691e-05
0.04,0.0001691228158135311,3.245437794562427e-09,1.4943036204146564e-05,1.109460778736556e-06,2.7697440139995037e-05,-3.2197604703877974e-07,4.372571764162002e-07,-1.5386955682140335e-08,-7.201144356958364e-08,0.002692294214599905,-9.44545982581313e-07,-6.21500430549593e-05,3.180576503257937e-05
0.05,0.00016879268391540038,2.9292151594469934e-07,4.2892421574321115e-05,1.3864039416020636e-06,2.7693968294266986e-05,-3.214670521078311e-07,-2.3384461304054237e-07,-1.49316723515517e-08,1.3549807450640001e-07,0.0026174569254561186,8.27546234413723e-07,-7.193734147481479e-06,2.0724964813890415e-05
0.06,0.0001683516880514791,8.338216148339422e-07,6.29934947101814e-05,1.6634527234480147e-06,2.7723494777912846e-05,-3.201761154111551e-07,9.131482631206877e-07,-1.2096321537115397e-08,4.795601193778773e-07,0.001284312428784351,5.340371861464743e-06,0.00023373805187110186,4.3131345266434005e-05
0.07,0.00016815767611134564,1.5021725167704028e-06,6.811463882129727e-05,1.941031945859819e-06,2.779961407779822e-05,-2.9698656042925775e-07,3.872305806402814e-06,-5.620748499178782e-09,7.321772825171048e-07,-0.00021209671495028837,9.513164983807054e-06,0.000311980581728738,-6.923709514504835e-06
0.08,0.00016784082820911584,2.1515661791470603e-06,5.9793565247708335e-05,2.2195335055432386e-06,2.7901956779567743e-05,-2.446773741362e-07,6.2855794796218715e-06,3.5431626741829693e-10,3.8516541999532047e-07,-0.0013976249615788305,1.0211934256557087e-05,0.00013407869914702775,-4.6795107268430495e-05
0.09,0.00016726190838775397,2.6649923219290023e-06,4.1665386099880944e-05,2.499019567557883e-06,2.7989106494608145e-05,-1.7988915446337309e-07,6.162234254681864e-06,2.3642052809346327e-09,8.859059072601408e-08,-0.0021159935878034275,6.543263698283175e-06,-0.0001629379158782085,-6.996729960438678e-06
