,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00019476596504364508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019106541170781583,0.0
0.01,0.0001943791125915881,-2.2416021206359137e-08,-6.706283009001633e-06,-7.523219753342156e-10,-1.561025368786443e-07,-7.247866898005065e-08,-1.210965593449127e-05,-4.957136562189071e-11,-2.2826159426159762e-08,-0.0013055917671167812,-1.600798667073754e-05,-0.0004946741250345398,-8.599324841795714e-06
0.02,0.00019401793784589344,-1.6648855973118737e-07,-2.26668981572656e-05,-3.031514856248417e-09,-2.8922668619557895e-07,-1.9872507633401798e-07,-1.1528310739478196e-05,-1.1593659537246603e-09,-2.484077205354826e-07,-0.0016332539871403867,-1.0036775723055766e-05,0.00046292652761279385,-3.579018895751793e-05
0.03,0.00019359903511801201,-4.6233418168509397e-07,-3.47578481230206e-05,-6.319181580156729e-09,-3.5894754028555613e-07,-2.8611010401383053e-07,-5.814828435794868e-06,-5.440621884430604e-09,-5.792636878774336e-07,-0.0006087194463505745,-4.491600477915193e-06,0.0005560061549175334,-1.8864564193989787e-05
0.04,0.00019328321807260697,-8.141162427360528e-07,-3.290609638771358e-05,-1.0089278179767547e-08,-3.9230922786898396e-07,-3.2161581721564713e-07,-1.873716033389409e-06,-1.1315901443395444e-08,-5.105749442074752e-07,0.0009934466878654315,-2.7135555957259438e-06,0.00021348857031108887,2.9031673356284793e-05
0.05,0.00019290592447474328,-1.0697796067599997e-06,-1.6164824860361357e-05,-1.4143607031908601e-08,-4.180946559371519e-07,-3.3472853103527993e-07,-1.1316156366292227e-06,-1.4698209678858464e-08,-1.6716809023285445e-07,0.0022152541634212837,-2.3540737371281107e-06,-1.6422660386962687e-05,3.1120514862996245e-05
0.06,0.0001924019292016904,-1.1134643017293784e-06,7.598657885710107e-06,-1.8418335199895938e-08,-4.3334367408158915e-07,-3.46867720460003e-07,-1.1614305001939154e-06,-1.502667953919413e-08,8.339947744752578e-08,0.002324814756142786,-1.9772447480310876e-07,5.3004418756235975e-05,2.3586161589471974e-05
0.07,0.00019218020127010932,-9.3354411214655e-07,2.677885921175349e-05,-2.2701849020806264e-08,-4.163134556828727e-07,-3.5269254826506805e-07,3.2311710232948424e-07,-1.2858798344969756e-08,3.697128943663699e-07,0.001391870605663782,2.8954409523588787e-06,0.00023984936353292952,3.2185053012705124e-05
0.08,0.00019181808938184666,-6.169897749550506e-07,3.444592874254535e-05,-2.660315123573827e-08,-3.574560495004245e-07,-3.3564683123080463e-07,3.179950758768082e-06,-7.836653758043172e-09,5.813446611039757e-07,0.00014799477850173338,7.184959518363635e-06,0.00029676021039250775,1.7398049761665666e-06
0.09,0.0001911564667288617,-2.844339765131768e-07,3.025042170357264e-05,-2.976277106011292e-08,-2.726402053814463e-07,-2.9069085241107275e-07,5.55545400245935e-06,-2.6143689894217397e-09,4.06763430405577e-07,-0.0009506821563970704,8.726950371184108e-06,0.00014898690553915978,-2.781553783024756e-05
0.1,0.0001907443114274696,-4.3801552381443705e-08,1.6625026220856264e-05,-3.2078862024725495e-08,-1.947622049504973e-07,-2.3181310217199026e-07,5.78639420546702e-06,1.8679874757596369e-10,1.889812136067179e-07,-0.0016862113051706407,6.28516355701249e-06,-0.00010691321174995488,-1.2978714958355336e-05
0.11,0.00019029560756592682,3.381877763474972e-08,-1.2299720867949208e-06,-3.3787262479990345e-08,-1.5514540481605376e-07,-1.8322239957610648e-07,3.58366639621381e-06,1.4724370752836384e-09,5.4108216111940784e-08,-0.0017667686170862833,1.4131931815695183e-06,-0.0003138860431763415,-2.165028505378888e-05
0.12,0.0001893783324204003,-6.07118055851314e-08,-1.6913923103366602e-05,-3.535506077477418e-08,-1.6685279428926145e-07,-1.646321443150719e-07,4.303115489049819e-08,5.90650338754419e-10,-2.529929182433081e-07,-0.0013097979907352917,-3.602466592248969e-06,-0.0003659791422110417,-3.34366906231642e-05
0.13,0.00018943606040258703,-2.8445590108096815e-07,-2.6650338136544325e-05,-3.726938285654949e-08,-2.217106852104573e-07,-1.8152553705392764e-07,-3.259832322809632e-06,-3.2093428189387775e-09,-4.489817672990516e-07,-0.0006085210122889465,-6.977699357649748e-06,-0.000273170608293988,-3.358664095393305e-07
0.14,0.00018898754396955787,-5.671647263172107e-07,-2.8399538281635445e-05,-3.985960684155701e-08,-2.976567343394779e-07,-2.249715352389625e-07,-5.122961295856719e-06,-7.282868458447167e-09,-3.3512376178767006e-07,0.00028651176874938683,-7.75101778359132e-06,-9.292137282355263e-05,1.3942436281774403e-05
0.15,0.0001892861175917123,-8.217122051770425e-07,-2.1061176554611938e-05,-4.3205140013369774e-08,-3.685662407452771e-07,-2.7780955795657596e-07,-5.141009301965523e-06,-1.0189132847558288e-08,-2.7523594303576625e-07,0.001132857421590537,-6.065105672073117e-06,8.527526335019756e-05,-6.558350481688634e-07
0.16,0.00018893637598534681,-9.673152203244521e-07,-7.428526479984423e-06,-4.714027872642622e-08,-4.12511269977544e-07,-3.223697030055942e-07,-3.535452503671027e-06,-1.2729777553137656e-08,-1.946477639969331e-07,0.0014952890500107916,-2.5206331666868843e-06,0.00022464364745206018,2.4206741007389975e-05
0.17,0.00018856376810032297,-9.671126621760312e-07,7.313596197568332e-06,-5.132499292245267e-08,-4.176425413866607e-07,-3.4522267518874767e-07,-9.33961336366274e-07,-1.3062057623546886e-08,1.6156670818083852e-07,0.0013933325824804668,1.4553714235596618e-06,0.0002797474660063384,3.77527309471104e-05
0.18,0.00018820615449638658,-8.301964824374555e-07,1.942459889531111e-05,-5.536807602079855e-08,-3.852187802172131e-07,-3.408868132061485e-07,1.7590907589005834e-06,-1.0138281506854885e-08,3.6509850126224894e-07,0.000972825170870186,4.7602622942897935e-06,0.0002451838139849754,-2.2087430372071917e-06
0.19,0.00018784572946474633,-5.996667184327172e-07,2.542700277522364e-05,-5.894458843880117e-08,-3.267376200234309e-07,-3.125166756505357e-07,3.7627078920991577e-06,-6.879740657790529e-09,2.608758067599923e-07,0.00016684978074852603,6.5824852494965776e-06,0.00014650537010387526,-8.749531150945933e-06
0.2,0.0001861983452873677,-3.5274298530305706e-07,2.2441640814369373e-05,-6.187871751427395e-08,-2.602549504978308e-07,-2.695671986142333e-07,4.613850949107764e-06,-4.229487338547915e-09,3.0908428719633175e-07,-0.0007318595228252196,6.351373478951448e-06,1.8309141508215926e-05,1.4379884507366675e-05
0.21,0.00018713128945663067,-1.7484685155010083e-07,1.2345743419169884e-05,-6.419594490133783e-08,-2.0724211135570903e-07,-2.2523920639941429e-07,3.985410919487876e-06,-8.1295999951629e-10,3.0927885632001837e-07,-0.001200149712951442,3.951037393090472e-06,-0.0001392903115314624,-2.4279859179011664e-05
0.22,0.00018677963607942658,-1.1433351831160485e-07,-4.1167429057772997e-07,-6.612509085748007e-08,-1.843376768471525e-07,-1.94119915955419e-07,2.0902466835370553e-06,4.690812524756292e-10,-9.050553357788633e-08,-0.0013165771613877838,5.75142782635485e-07,-0.00022647693419688104,-4.0381588263747005e-05
0.23,0.00018641520007759538,-1.8322382963065482e-07,-1.3111780224217396e-05,-6.799821151321713e-08,-1.9596250828778313e-07,-1.8503455096394708e-07,-2.9106763583653876e-07,-1.7205625181955563e-09,-2.6118181076195157e-07,-0.0011561747610789636,-2.864369130560756e-06,-0.00023782938471464187,8.230016370790236e-06
0.24,0.000184227628181189,-3.6292432818633317e-07,-2.1689561046650126e-05,-7.014158429859285e-08,-2.3655027393018463e-07,-1.9896611857392476e-07,-2.3845522044718205e-06,-3.7525847266261404e-09,-1.5784054763452248e-07,-0.0004715450730373723,-5.3459479091402364e-06,-0.00017240647650715934,-3.0455264726320596e-06
0.25,0.00018570465858256248,-5.882134322854071e-07,-2.2081183683404743e-05,-7.278170773265083e-08,-2.926778305829293e-07,-2.302050398302527e-07,-3.7288479625079944e-06,-6.109559545429337e-09,-3.4684258882708047e-07,0.0003568527862195743,-5.8613059111391676e-06,-8.62087815607129e-05,-2.3495436126944784e-05
0.26,0.00018321988129215092,-7.815079119501063e-07,-1.579354152060461e-05,-7.5984223830642e-08,-3.4566611974007656e-07,-2.690900838076485e-07,-3.805218003276392e-06,-1.0009825250285183e-08,-3.5109701528404634e-07,0.0008498961250359771,-4.454481940248022e-06,6.889906321141178e-05,2.820965518827561e-05
0.27,0.00018730374243198806,-8.915995866262866e-07,-5.721075901007906e-06,-7.96291575493073e-08,-3.795508587765073e-07,-3.024776235534598e-07,-2.7423372353495604e-06,-1.162699885574211e-08,4.813637214407509e-08,0.0011420685625351688,-2.1947565800931344e-06,0.0001393490325763304,3.53728407264187e-05
0.28,0.00018219288549476675,-8.894554521085778e-07,6.25854527904783e-06,-8.347711566812394e-08,-3.8430981301346554e-07,-3.20848276075341e-07,-7.684662918423476e-07,-1.0237967672475674e-08,1.4894678935471997e-07,0.0011856759629333953,1.3105797981867758e-06,0.00024100540424799752,-1.3109648685266228e-05
0.29,0.00018167110325577386,-7.736611634680585e-07,1.60867199416865e-05,-8.720340757401316e-08,-3.5619263409269345e-07,-3.1672530116881425e-07,1.5411916586606768e-06,-9.336196190536028e-09,6.991279733359404e-08,0.0006911765510741474,4.10285296232159e-06,0.0002080785335821162,1.1664484856372705e-05
0.3,0.0001839519583233957,-5.900816620362852e-07,1.9420636725940524e-05,-9.053509570034669e-08,-3.084065310862835e-07,-2.926332186130892e-07,3.0865966046434653e-06,-7.41069900420268e-09,3.607491946949937e-07,-1.5673453734882806e-06,5.135359130584804e-06,9.443348370756559e-05,3.0488141378249884e-05
0.31,0.0001806109888400377,-4.0459589806266403e-07,1.6910261854338074e-05,-9.336073157601111e-08,-2.5717457880612226e-07,-2.5838110977386525e-07,3.614352042604685e-06,-3.192801387938252e-09,3.6577513968462987e-07,-0.0004685010147719711,4.876160411575882e-06,8.166800099773826e-06,-3.3776489092405475e-05
0.32,0.0001832585103088025,-2.664405386671762e-07,9.937847207705472e-06,-9.571503725426734e-08,-2.1700021788542145e-07,-2.241710435034528e-07,3.005685437974148e-06,-1.5795912568656422e-09,-3.1488741084298054e-08,-0.0009413606702791906,2.920132063374623e-06,-0.00012281175760702363,-2.4325018038337034e-05
0.33,0.0001795188803770312,-2.2025765760120216e-07,-1.1354213139967154e-06,-9.77778973648602e-08,-1.9962953016194493e-07,-2.0087182649464702e-07,1.6049585504610943e-06,-2.151879847969496e-09,5.3138268057565946e-09,-0.0011731798982121814,5.002097664007769e-07,-0.00015336368034695632,1.999758135904097e-05
0.34,0.00017897719322989465,-2.8568022791103214e-07,-1.123713752473416e-05,-9.979401128688598e-08,-2.0810040152934174e-07,-1.9322313000051582e-07,-1.3350076548670512e-07,-1.6304841999792663e-09,8.628247375302009e-09,-0.0007627334307516636,-2.160766968656662e-06,-0.0001859916376863599,-2.9874215701646532e-05
