,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00019476596504364508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019106541170781583,0.0
0.01,0.0001943791125915881,-9.228735564980248e-08,-1.7882187010534492e-05,-2.111397342077003e-09,-2.2512645813788462e-07,-7.190394199558236e-11,-7.409110520125634e-10,-3.6975234136868823e-13,-7.241311729162738e-11,-0.0015507970531091343,-3.49557839505579e-06,-4.608027542651546e-08,-6.345773210695389e-09
0.02,0.00019401793784589344,-3.344697307467114e-07,-2.901967903441301e-05,-4.583322133776976e-09,-2.73210355322102e-07,-8.215840593692289e-11,-1.250175864617465e-09,-1.352825993361943e-12,-1.1789182025453245e-10,-0.0006010373934426175,-5.7934366407106075e-06,6.674470566084704e-08,-2.441391406908782e-09
0.03,0.00019359903511801201,-6.352013808841243e-07,-2.9154484330872966e-05,-7.614225627816802e-09,-3.33258921309211e-07,-9.504490803131454e-11,-1.2570988483445496e-09,-2.5737237967435485e-12,-1.1819849221263158e-10,0.0005782562815150407,-5.820577132923488e-06,1.4609569130141176e-07,2.3951509723046244e-09
0.04,0.00019328321807260697,-8.803474897792529e-07,-1.82129772039297e-05,-1.121065339071837e-08,-3.8223195047555043e-07,-1.0561470218377915e-10,-7.829791854690847e-10,-3.5643416659024837e-12,-7.312560630450876e-11,0.0015350385802524505,-3.6160580013877175e-06,5.22888040986036e-08,6.310154629124865e-09
0.05,0.00019290592447474328,-9.767550359246148e-07,-4.1445689845460173e-07,-1.5157943765151815e-08,-4.0100447391332606e-07,-1.0970836302241692e-10,-6.8918439983784495e-12,-3.943530768564291e-12,-5.530056817036817e-14,0.0019037975500354376,-5.005082903261902e-09,9.359223231420227e-09,7.807667267703197e-09
0.06,0.0001924019292016904,-8.886657028690589e-07,1.7435932674793132e-05,-1.910510168520322e-08,-3.821713581929246e-07,-1.0568780305674378e-10,7.793166715544826e-10,-3.5660820773295794e-12,7.307354486414512e-11,0.001545309003749219,3.631253437550526e-06,1.0023507687304429e-07,6.3225667594219576e-09
0.07,0.00019218020127010932,-6.508609747249818e-07,2.850554376022412e-05,-2.270058709905606e-08,-3.330716700157635e-07,-9.513758885659276e-11,1.282754801364915e-09,-2.5760787628485477e-12,1.1826970448588672e-10,0.0005950679735151593,5.932749830385481e-06,-4.838568362077171e-07,2.416074452538195e-09
0.08,0.00019181808938184666,-3.55571344683322e-07,2.856795233195343e-05,-2.572640063524703e-08,-2.7214114077226763e-07,-8.197697716780575e-11,1.310484651557811e-09,-1.3526602687040616e-12,1.1827581879536733e-10,-0.0005796190383264038,6.025744837578852e-06,6.511068539545389e-08,-2.40188298980884e-09
0.09,0.0001911564667288617,-1.1644237024322217e-07,1.767330625055636e-05,-2.817888070659526e-08,-2.2225553280218477e-07,-7.109187177331703e-11,6.35875858700492e-10,-3.6191239232175245e-13,7.33915884896438e-11,-0.0015288987729641615,3.1068303765186863e-06,2.1195166428235183e-06,-6.282601761991831e-09
0.1,0.0001907443114274696,-2.5091012221812005e-08,-7.2936603674174904e-09,-3.0270314370832473e-08,-2.0203539045770273e-07,-6.656067671923693e-11,3.3317965935456386e-11,2.1305767152090806e-14,7.988017560664136e-13,-0.0018896099436696552,-6.513866633544231e-08,-2.019833135290355e-06,-7.74841320292465e-09
