,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,1.039148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23970033554228742,-0.36585840688033344,0.23850617671911356,0.0
0.01,1.037084e-05,-5.675488454858942e-08,-1.452012757443491e-05,-1.3770789508129083e-07,-1.3998873625461617e-05,-9.136843539816723e-09,7.443317001349688e-07,3.972690241753391e-11,2.52847200108286e-09,-0.002271799688743373,4.51169706260357e-05,0.0007584030004267467,8.24521887945624e-07
0.02,1.035157e-05,-2.7117319837615507e-07,-2.7249259994529733e-05,-2.767333477969499e-07,-1.3934953687380341e-05,-4.840435414218511e-09,-4.937187129316227e-07,7.295417555717923e-12,-9.209324309817913e-09,-0.0012990197409838006,-1.037106926982806e-05,9.810894897256672e-05,-4.331542646563948e-06
0.03,1.032922e-05,-5.974914039009714e-07,-3.630871005915116e-05,-4.1619946760896963e-07,-1.3958322237946785e-05,-5.714449476948687e-09,-1.321505800237217e-07,-9.859699184969575e-11,-1.6254192316054462e-08,-0.0004476923116374515,-6.272601043987025e-06,-4.188070000972488e-05,7.4615528586417085e-06
0.04,1.031237e-05,-9.689258918544643e-07,-3.651541521347895e-05,-5.560727260219722e-07,-1.4010145165765959e-05,-7.136838657705435e-09,-9.585268870305881e-08,-2.3302407576573474e-10,-3.6271302767931023e-09,0.0003908033162016433,-3.918466522499775e-06,-7.54046646547768e-06,2.5121791207258746e-05
0.05,1.029224e-05,-1.2976142279447623e-06,-2.8128270284435125e-05,-6.963931264210055e-07,-1.405084208950323e-05,-8.217802901909879e-09,-8.121321694191828e-08,-2.8576965262828857e-10,2.3889384946878775e-08,0.0012191747693462707,-2.7957561277991427e-06,8.70503010949597e-06,-1.5146317159540716e-05
0.06,1.026535e-05,-1.5115956801181842e-06,-1.425649732752942e-05,-8.369988163948412e-07,-1.4065931312973963e-05,-8.689617996541435e-09,-1.3426995487392651e-08,-3.3081107467585713e-10,-2.384737659972123e-08,0.0014928747103878232,-9.213016129855367e-08,8.053021317913633e-06,-7.098118390858835e-06
0.07,1.025352e-05,-1.583146811304999e-06,-5.110523967132385e-07,-9.776112819114237e-07,-1.4051666440947272e-05,-8.425576891939171e-09,6.373277038256152e-08,-3.5251845658454453e-10,2.369215944232159e-08,0.0010898287569967025,2.830828285407816e-06,6.898662212956319e-06,4.715353964101788e-05
0.08,1.02342e-05,-1.5384152140909212e-06,8.193807662333497e-06,-1.117947984448201e-06,-1.4012855714092252e-05,-7.495158829038134e-09,1.1603757413526217e-07,-1.8224576555205773e-10,1.7293090833006433e-08,0.0005483346012090801,4.663775660836145e-06,3.0878272471307477e-06,-2.7579184040982474e-05
0.09,1.01989e-05,-1.447430831114506e-06,8.550569672195082e-06,-1.2578333305692276e-06,-1.3964068112042498e-05,-6.247284195787369e-09,1.2531177191383348e-07,-9.981801939548999e-11,-6.312730285440601e-09,-0.00043320280148434476,4.766000566681916e-06,-1.605848488905881e-06,4.604691293387902e-06
0.1,1.017691e-05,-1.3970164247660587e-06,2.3899047724840415e-07,-1.3972584373845344e-06,-1.3923824230334028e-05,-5.156024489483252e-09,8.656873441754537e-08,-2.7770928821756328e-11,3.839540336491817e-08,-0.0012305472805298895,3.0429160764039453e-06,-5.655872460527678e-06,2.683537388937956e-05
0.11,1.015297e-05,-1.459386197255241e-06,-1.3155689869456301e-05,-1.5363889889878351e-06,-1.3907054477618547e-05,-4.624386624648151e-09,1.60898213831831e-08,8.790223974540372e-11,-3.9520683239032236e-08,-0.0013464983586241874,2.031361596849246e-07,-7.92119008496961e-06,-4.74796865516344e-05
