,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,1.039148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001194158823173849,0.0
0.01,1.037084e-05,-5.2483694018237047e-08,-1.1806066441549211e-05,-1.3612939924979808e-09,-1.3601985610102213e-07,-5.8820047362313645e-09,4.633227254423865e-07,-2.5430637503809e-11,-5.526226104911039e-09,-0.0009444592694550403,9.527489438187252e-06,-4.505643384851378e-05,-1.828918605331853e-07
0.02,1.035157e-05,-2.0600358754858577e-07,-1.831549882123064e-05,-2.8352676945321223e-09,-1.7538608199511446e-07,-6.258362160507871e-09,-1.1654793644244214e-07,-1.0022833446060705e-10,-8.81421868851219e-09,-0.0004309722910547881,-2.632884810367184e-06,4.729323645734212e-05,-1.557979307260609e-06
0.03,1.032922e-05,-3.962059650594423e-07,-1.845347107682811e-05,-4.726011479656314e-09,-2.0756065095080781e-07,-7.005637880672944e-09,-1.2454113292891822e-07,-1.954340000001372e-10,-9.606218866116444e-09,0.0003646767807293927,-4.560158116002763e-06,-4.243198537006845e-06,-7.905131199885266e-07
0.04,1.031237e-05,-5.52081719815466e-07,-1.1686733810947134e-05,-6.981834936886288e-09,-2.392653547162256e-07,-7.932121581167364e-09,-5.292086832477433e-08,-2.7308748828293153e-10,-6.262889760893762e-09,0.0009675610353955642,-2.1395011176657e-06,-2.0958278047025543e-07,-1.8412011852718228e-07
0.05,1.029224e-05,-6.150176440469439e-07,-5.022547937929893e-07,-9.45933400874914e-09,-2.5254904536874203e-07,-8.347481687620739e-09,-9.580208382397303e-09,-3.0387920399063385e-10,-1.09971097968882e-09,0.001198113419232469,4.124831208398514e-08,9.119189298953076e-06,2.699292981587229e-07
0.06,1.026535e-05,-5.62354970498814e-07,1.0799355950739713e-05,-1.1944631027730785e-08,-2.405896929588914e-07,-8.105953588688158e-09,5.236457733610557e-08,-2.7609392660462837e-10,6.369296787066071e-09,0.0009898371511954252,2.186366758146196e-06,3.125631661914524e-06,1.2482133238833236e-07
0.07,1.025352e-05,-4.1401742666062517e-07,1.7978494512033833e-05,-1.421248990094036e-08,-2.1015310193843512e-07,-7.370383192722207e-09,9.527018798444198e-08,-2.01902637902571e-10,9.256466583965549e-09,0.0003922811648758953,3.80956260249719e-06,4.377728306798149e-06,1.3889278155932968e-06
0.08,1.02342e-05,-2.2652061464615887e-07,1.82815390142239e-05,-1.6118043379778263e-08,-1.7060507287796602e-07,-6.332822123355255e-09,1.0109611442443694e-07,-1.0423765542125824e-10,7.704174009045283e-09,-0.00033934705879771934,3.732734032630388e-06,-3.1148386150424328e-06,-1.2190635760040428e-06
0.09,1.01989e-05,-7.203253077529603e-08,1.1548365397971377e-05,-1.765157929800307e-08,-1.3844591406402095e-07,-5.456921323110614e-09,7.684091711749517e-08,-2.7051535892515816e-11,1.1715379242267162e-08,-0.0009545395597795781,2.7107179189620513e-06,-2.2462801032514395e-06,-2.264716466190186e-07
0.1,1.017691e-05,-9.8833275241852e-09,4.431619881073359e-07,-1.8944680257368168e-08,-1.2456241861616401e-07,-4.9915041484145066e-09,7.427895602550481e-09,-5.721425315072485e-13,8.789410768223986e-09,-0.0012111533969398635,2.41124869763338e-08,-6.169880269304748e-06,4.918135119753999e-06
