time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793824169759857,0.7316889522265045,-0.47948435739478573,0.0
0.01,1.2713795653419838e-07,8.12658917070292e-06,2.7845255721635087e-07,2.7939548716697586e-05,-1.2202241570900888e-07,-5.915566828452615e-06,-8.365157161823469e-10,-2.4307277832284633e-07,-0.0006132835592750352,9.147611580162529e-07,0.0012113682121007718,-4.18189770159532e-05
0.02,2.0068419963493394e-07,8.986643119056534e-06,5.580073019300355e-07,2.7978472237988797e-05,-1.310083215229099e-07,2.8712487455643127e-06,-4.937634449583437e-09,-4.868726467360202e-07,0.0007945913687562589,5.26739782512331e-06,0.0004896938740755474,1.0130988031528053e-05
0.03,3.501485026426653e-07,2.2630598582600172e-05,8.38035630773137e-07,2.802339208938729e-05,-8.995701001143009e-08,4.2621480401468095e-06,-8.070785228706164e-09,-4.260268793609462e-08,0.0018100150614166755,3.231963647945535e-06,-0.00013555954061131303,6.135347339067604e-05
0.04,6.727967658393975e-07,4.203217271660658e-05,1.1183910501790353e-06,2.8044509012014915e-05,-5.800132208721047e-08,1.9700011952010386e-06,-6.051077268795978e-09,3.4659714330631565e-07,0.0018766149342362426,1.472710377495301e-06,-0.00023467809465804734,6.5447080201188625e-06
0.05,1.1731353712708785e-06,5.618819888033424e-05,1.398921378768968e-06,2.806424464261074e-05,-4.665204865438027e-08,7.245209415441583e-07,-2.8958700339056716e-09,2.6581851088254663e-07,0.0007913648378866933,2.952010122514448e-06,6.775148737619974e-06,-3.1589517148137138e-06
0.06,1.7497925975931101e-06,5.6720793440491056e-05,1.679757547018268e-06,2.810755824390609e-05,-3.511867504820381e-08,1.8886460312279853e-06,2.371290243004696e-10,4.2082029894115684e-07,-0.0006246285825985687,5.594929532004578e-06,0.00018820105890074434,2.4178425650723616e-05
0.07,2.2701060805377974e-06,4.6168664080304536e-05,1.9611344427907353e-06,2.8168694246353035e-05,-6.994908199594673e-09,3.6008270592882228e-06,4.980997707369143e-09,4.183206630074201e-07,-0.0013481221482968542,6.090598255875657e-06,0.00011340341810242571,-3.4954871548420176e-05
0.08,2.6601175514489817e-06,3.155085344831459e-05,2.243094659137635e-06,2.8218817196945394e-05,3.1182797881716114e-08,3.6557162614691373e-06,6.698118982118461e-09,-9.371253049798138e-08,-0.0015280995902733074,3.457005817317227e-06,-0.00010896268823926136,-4.476555624975567e-05
0.09,2.9003746479597945e-06,1.6810911982741038e-05,2.525381395349758e-06,2.8230713070752177e-05,5.887558651255906e-08,1.5889897069835508e-06,4.573350446695636e-09,-2.2372219746633256e-07,-0.0013294426352868371,-1.2050923628298404e-06,-0.0002839716763967104,1.3448604142051216e-05
0.1,3.0125774492053348e-06,6.908637361111103e-06,2.807551117203495e-06,2.819611717872608e-05,5.951771315945655e-08,-1.4903178408685273e-06,3.0007113863683014e-09,-1.3966334695409504e-07,-0.0005797170277045682,-5.435465672012918e-06,-0.00030250914825477593,-1.1028908818977435e-05
0.11,3.0671360819984716e-06,5.348498705241627e-06,3.0891984986919275e-06,2.8130432891474505e-05,3.1251224103887286e-08,-3.9296872235654315e-06,4.1759005394109305e-10,-4.068641627593872e-07,0.0002142399086007274,-7.197326372179735e-06,-0.00016519772950132627,-2.511995299627508e-05
0.12,3.1401987345606497e-06,1.0028150565349833e-05,3.3701502735666145e-06,2.8061755348101373e-05,-1.3025304781971923e-08,-4.594511625752501e-06,-3.963520354140744e-09,-3.565083648929898e-07,0.0006904362145601917,-6.128950527956034e-06,3.11317830155311e-05,3.556071701571112e-05
0.13,3.2821429184889344e-06,1.9097775929763628e-05,3.650504980664596e-06,2.8014122013032317e-05,-5.465383830085636e-08,-3.490584546465434e-06,-5.474051418556808e-09,2.898478812110162e-08,0.0011221439704215963,-3.1844568508243576e-06,0.00017568361923603337,2.337011969784391e-05
0.14,3.5339149567862996e-06,3.151637107447802e-05,3.930547407500986e-06,2.8000526483297815e-05,-7.943749675899503e-08,-1.3682454766408002e-06,-4.872099850953136e-09,2.201964267063788e-08,0.0012620399870828525,4.890154912257083e-07,0.0002353948363044145,-1.2452517025233372e-05
0.15,3.9067507585073235e-06,4.224717502467952e-05,4.210635251161392e-06,2.8022438885425636e-05,-8.13300564201546e-08,9.618344580542083e-07,-4.807867840031959e-09,7.637282004182457e-08,0.0008088408222369781,3.7103303898722295e-06,0.0002184899462268075,2.9912184850921077e-05
0.16,4.3596188739116504e-06,4.736963763699102e-05,4.49108164534395e-06,2.8069759463005968e-05,-6.193438542572822e-08,2.777928671330972e-06,-2.258683359078621e-09,4.147410284999206e-07,0.00023871011558132538,5.464544703903673e-06,0.00013569456981257777,1.865319147312693e-05
0.17,4.8367307710295595e-06,4.718428407467958e-05,4.772059805678941e-06,2.8125962150264655e-05,-2.921103580817308e-08,3.5779350737394663e-06,1.7885655338698556e-09,2.9664778590398857e-07,-0.00029095963377573364,5.498131869910439e-06,2.3351012105377045e-05,-3.526379907287345e-05
0.18,5.2837185397805454e-06,4.114180346431511e-05,5.053575074808336e-06,2.81745066031659e-05,5.943441723048602e-09,3.2806887250795396e-06,3.117604633577671e-09,2.5237805769490798e-08,-0.0009189642926566433,3.967747592842352e-06,-7.938490183406754e-05,-3.5623691093605256e-06
0.19,5.642311875608981e-06,3.0110243454141146e-05,5.3354766795640145e-06,2.820117836811075e-05,3.332412990703375e-08,2.0599717681183934e-06,3.795294736683853e-09,1.4606511450430824e-07,-0.001169587819052298,1.2179710136422939e-06,-0.00016039132138090384,8.295497679740153e-06
0.2,5.888477695909593e-06,1.9705515773260766e-05,5.6174977169111455e-06,2.8197880382415323e-05,4.506609043029294e-08,2.2682061296886054e-07,4.804295747165737e-09,-5.6068622609968545e-08,-0.0008597598280496166,-1.8143892397542993e-06,-0.00019541964799293932,-4.5739890509992234e-05
0.21,6.048751393674773e-06,1.2921308861019938e-05,5.899343189843586e-06,2.8167415777850723e-05,3.7837312651569596e-08,-1.6140379046532883e-06,2.1071592311852275e-09,-4.1049663994388356e-07,-0.0005156743332267177,-4.074418126928658e-06,-0.00016131916480557895,-4.404441397615758e-06
0.22,6.1591191437851645e-06,9.944682850043943e-06,6.180791167975355e-06,2.812055447461833e-05,1.4858371692143117e-08,-2.843783525302275e-06,-1.180684121272851e-09,-1.6349823981529676e-07,-1.3412329721046445e-05,-5.062281094175836e-06,-8.054700189311093e-05,3.337007181443811e-05
