,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,1.039148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793824169759857,0.7316889522265045,-0.47948435739478573,0.0
0.01,1.037084e-05,-1.3256405971085637e-09,-3.4049786082867084e-07,2.741428179138753e-11,2.7410086835446473e-09,-3.694625859559153e-09,-6.553525250989202e-07,-5.411101227256894e-12,-1.6381733377852782e-09,-6.708648732714484e-05,-8.48606986070255e-09,-2.820398349548392e-05,-4.5135633562214176e-07
0.02,1.035157e-05,-8.742508889935973e-09,-1.1507989329097828e-06,5.482057683747727e-11,2.7402830013083554e-09,-1.0429123124531684e-08,-6.499985161407931e-07,-6.996929754043081e-11,-1.23765292147382e-08,-8.761109195493111e-05,-1.7208458685802341e-09,2.48343726099165e-05,-1.6496806962170076e-06
0.03,1.032922e-05,-2.3816910723608208e-08,-1.8159877675008883e-06,8.222121788437494e-11,2.7398883095868455e-09,-1.545359546558506e-08,-3.317771650604985e-07,-2.7582429751424865e-10,-2.878423475765036e-08,-3.683643044735674e-05,1.7160946275129874e-10,3.312787092171754e-05,-1.3351418602418389e-06
0.04,1.031237e-05,-4.244428306465211e-08,-1.7712845865528752e-06,1.0961912976297699e-10,2.7397315393175084e-09,-1.7411319859382782e-08,-8.04938448493567e-08,-5.906593206665142e-10,-3.111751926933611e-08,5.0960176152886616e-05,1.8539027674124853e-09,1.2828112660984159e-05,1.2422178117284679e-06
0.05,1.029224e-05,-5.649238752938517e-08,-8.966079215844623e-07,1.3701587035132327e-10,2.739620136116441e-09,-1.7815619454763787e-08,-3.945240029398649e-08,-8.161833004907351e-10,-1.0080072341694439e-08,0.00011904603456661111,-1.4874901171912924e-09,-3.044507911303951e-06,2.692050022345516e-06
0.06,1.026535e-05,-5.910719481247198e-08,4.1289485907535945e-07,1.6441159472793094e-10,2.7395236298555613e-09,-1.836670996393597e-08,-7.264490333143422e-08,-8.023407545267103e-10,1.1203868012321772e-08,0.00013003980642015134,2.761712775134484e-09,1.1548371898484344e-06,8.559983152862199e-07
0.07,1.025352e-05,-4.896012343621119e-08,1.5120997172759435e-06,1.9180695004014718e-10,2.7395890890957525e-09,-1.892357564905762e-08,1.6139322280511466e-09,-6.496402794272636e-10,1.3640240385364226e-08,7.898020277302686e-05,-3.3211804278954205e-09,1.4179653453239016e-05,1.212881463804889e-07
0.08,1.02342e-05,-3.1047558198546865e-08,1.908774973129159e-06,2.1920420224483446e-10,2.739917269953142e-09,-1.8107738872466797e-08,1.7932822836531812e-07,-4.822593664988985e-10,2.296585035387648e-08,-9.053950306980862e-07,5.508853345714826e-09,1.7609037214011414e-05,2.5857494433189168e-06
0.09,1.01989e-05,-1.3003664678305937e-08,1.585298676187884e-06,2.466057123510997e-10,2.740398605590162e-09,-1.5509067204699354e-08,3.17142839190653e-07,-1.6899052532908728e-10,4.257898365503963e-08,-5.44222199899691e-05,-8.124793546282483e-09,7.371872407069269e-06,-2.819961762298963e-07
0.1,1.017691e-05,-4.1041604784835645e-10,9.135275126104685e-07,2.740119587438704e-10,2.7408186927689828e-09,-1.2187058710008995e-08,3.1426034541752e-07,1.6898912902132305e-10,1.1225812262470237e-08,-7.342817848926542e-05,1.1410048919580085e-08,-7.585409601384985e-06,-6.579545119568995e-06
0.11,1.015297e-05,4.554019176198601e-09,6.933866459857155e-08,3.014214119315801e-10,2.7410227197957706e-09,-9.611533716933054e-09,1.8245962666210887e-07,4.245945391066299e-11,-3.741898480678728e-08,-0.00010093961948620667,-1.686601554251599e-08,-1.686650177989968e-05,5.783275599957693e-07
0.12,1.010403e-05,2.2415229355307694e-10,-9.754885846656888e-07,3.2883154771069377e-10,2.7409582305229417e-09,-8.705039794429783e-09,-1.1999654159485428e-09,-2.235263248014343e-10,1.1874478770406654e-08,-0.0001000297037943576,3.288656966193848e-08,-1.8653869090556885e-05,8.153590088142986e-06
0.13,1.010711e-05,-1.3299592636092856e-08,-1.5981368036807383e-06,3.5623977456794933e-10,2.7406518714870626e-09,-9.624971678914137e-09,-1.7631866081380751e-07,9.279418506579704e-11,3.238501287137632e-08,-4.707062771724946e-06,3.591687836035362e-09,-1.5799807932592724e-05,-1.0095025686264497e-05
0.14,1.008318e-05,-2.8341145675962188e-08,-1.335964705230709e-06,3.836442060221441e-10,2.740230171080146e-09,-1.202599194425586e-08,-2.8612871836747634e-07,-2.0815444343312403e-10,-8.906107554576441e-08,3.418207503139148e-05,-1.5685125420716872e-10,-4.939755664484791e-06,-6.02342453512228e-06
0.15,1.009911e-05,-4.04063978520914e-08,-1.100961216609561e-06,4.1104458083866223e-10,2.739859712698539e-09,-1.4933892602176218e-08,-2.7616011993724493e-07,-9.777238367800476e-10,-2.9391388929844605e-08,1.5687139483078205e-05,-2.9736449413952926e-11,6.369057761357322e-06,1.6331566304694338e-05
0.16,1.008045e-05,-4.959684252613291e-08,-6.441927795631406e-07,4.384418649992709e-10,2.739622245235732e-09,-1.728121968805562e-08,-1.8336900232426098e-07,-6.459963295329831e-10,7.982372424388066e-08,8.891924786377792e-05,5.08245417973896e-10,1.1170713253655373e-05,-5.9093485830262e-07
0.17,1.006057e-05,-5.0461296521255565e-08,5.44402508625434e-07,4.658376751121118e-10,2.739576661644787e-09,-1.851539288284921e-08,-5.880174830578215e-08,-2.662644626100182e-10,-3.066402308442351e-08,0.00012460639158051734,-1.9216625513074348e-10,1.3898797649902761e-05,-1.475392400436583e-05
0.18,1.004149e-05,-4.0398572995938784e-08,1.3083307418004104e-06,4.93234196322876e-10,2.7397646446636245e-09,-1.8364735770637783e-08,9.21178678560337e-08,-8.957333733025508e-10,-5.524286054185809e-08,1.4711031383896067e-05,-3.1257996191413895e-10,1.554497213990258e-05,1.3335250477350717e-05
0.19,1.002226e-05,-2.7674033582244983e-08,1.1502180589572864e-06,5.206334621111042e-10,2.740102660443712e-09,-1.675274065450477e-08,2.1996606479634808e-07,-6.431823169985117e-10,1.1059956245986414e-07,-1.9390735937624415e-05,2.309475805040151e-10,8.376196049347806e-06,9.79765439493914e-06
0.2,9.934366e-06,-1.6271993909473532e-08,1.2004175866802928e-06,5.480362493325262e-10,2.7404505930471104e-09,-1.4306361214887716e-08,2.52460477646915e-07,3.696573330761638e-10,3.981131549246488e-08,2.3941643582658934e-05,5.2428200669751845e-12,-1.4928940616498743e-06,-2.1837576533985864e-05
0.21,9.984142e-06,-4.275763347259472e-09,1.0580475001969907e-06,5.754422732811768e-10,2.740740631758217e-09,-1.1957545102767736e-08,2.084572808582746e-07,-1.201307517164464e-10,-1.0899272566722703e-07,-7.819564837183157e-05,5.2410992212870156e-12,-6.295885766310905e-06,2.3260788797436625e-06
