,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,1.039148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793824169759857,0.7316889522265045,-0.47948435739478573,0.0
0.01,1.037084e-05,1.2590021356197257e-08,4.295738984084563e-06,2.7763761704742985e-07,2.8057304519305808e-05,-1.5045870678285426e-11,-3.8701744925746373e-10,-8.894755424118742e-13,-1.0555810250897579e-09,0.0010034589060874122,-3.437856700941322e-06,-1.7824188386084128e-06,-2.328508607178275e-05
0.02,1.035157e-05,1.1673246052316131e-07,1.7662131695923923e-05,5.579914935653728e-07,2.8018353143016828e-05,-2.2835057078693968e-11,-4.716696934054726e-10,-1.8144010887339657e-12,-7.138093463444629e-11,0.001639005326653148,-2.315091324076035e-06,7.410325739143353e-08,5.683698787910599e-07
0.03,1.032922e-05,3.7907161492289554e-07,3.4987938851860854e-05,8.381218124449032e-07,2.8014033534334834e-05,-2.3788572357568006e-11,2.8791639265967003e-10,-1.8827600306195023e-12,2.934980761938149e-11,0.0017107870416106508,1.486446712828382e-06,7.83822659000677e-08,2.5497076354755177e-08
0.04,1.031237e-05,8.066160870848819e-07,4.9690847294409134e-05,1.118393863021417e-06,2.804595735542158e-05,-1.7490062807433662e-11,9.362972882891476e-10,-1.2786465194352279e-12,8.905407551501653e-11,0.0011296193072323768,4.718424556918177e-06,4.862498520497027e-08,6.955877726296054e-09
0.05,1.029224e-05,1.344191711997272e-06,5.6167574122467205e-05,1.399120220493129e-06,2.8102128121704906e-05,-6.307104493755391e-12,1.228040135022449e-09,-2.2519553653600462e-13,1.1391097899286804e-10,0.00011589650772175775,6.149049608120127e-06,4.636957040560219e-09,-7.73853078604462e-09
0.06,1.026535e-05,1.8936662952487272e-06,5.189562330089428e-05,1.6804437228707774e-06,2.8161078725074772e-05,5.486140329594947e-12,1.0505053358360963e-09,8.744326460664635e-13,9.805126099561449e-11,-0.0009424078922750379,5.239423105360408e-06,-5.881177519984071e-08,-2.185694259073225e-09
0.07,1.025352e-05,2.3517159011997755e-06,3.853468393791811e-05,1.9622749243121066e-06,2.8200086711719274e-05,1.33431534727322e-11,4.699973608251041e-10,1.5967649269244714e-12,4.66612320152874e-11,-0.0016380987889718923,2.3140704282081925e-06,-3.015916741344604e-08,3.696537032162961e-08
0.08,1.02342e-05,2.6511348161805044e-06,2.123075964934731e-05,2.2443295961114526e-06,2.820436663230294e-05,1.429348727346217e-11,-2.9592428484446224e-10,1.6690289403935313e-12,-3.866632527292877e-11,-0.0017061717749892735,-1.5226760928938043e-06,-1.4803615888681065e-08,-8.716716192079467e-08
0.09,1.01989e-05,2.7852687408424157e-06,6.599879934751979e-06,2.5262404059188003e-06,2.8172420428356026e-05,8.00355436887955e-12,-8.863731760263199e-10,1.0631627536564502e-12,-8.64458122455396e-11,-0.001121711237399875,-4.522021245859098e-06,-6.833284148799468e-07,-1.0592691135479925e-07
0.1,1.017691e-05,2.8108949951651035e-06,2.2549393486661502e-07,2.8076957879775843e-06,2.8116283745311406e-05,-3.1755287551003843e-12,-1.314301313834514e-09,4.479826009955066e-15,-5.2424070700431135e-11,-0.00011666593008202719,-6.441179059707425e-06,1.7039656846074003e-06,1.018985127438564e-06
0.11,1.015297e-05,2.8257134666247777e-06,4.500478821373289e-06,3.0885601165976755e-06,2.8058355693404206e-05,-1.4731217938347876e-11,-8.728529966827617e-10,-1.0612813940255764e-12,-2.176845906890344e-10,0.0009461813015844145,-4.635981690509494e-06,-3.2982822211202745e-06,-1.961907636593085e-06
0.12,1.010403e-05,2.9313471855491304e-06,1.7784137430073382e-05,3.3689224711625053e-06,2.8019465906172668e-05,-2.2600227962729065e-11,-1.9346506398084968e-10,-1.7924930006784752e-12,5.373363742972049e-12,0.001630224693774024,-1.1239799246193227e-06,-1.294370138821277e-06,-2.3382532903551108e-07
0.13,1.010711e-05,3.1947366177747987e-06,3.4975647456272565e-05,3.64906431721546e-06,2.8015236844765048e-05,-2.3528384504848968e-11,2.868058473658867e-10,-1.864754501202682e-12,4.779892908914664e-11,0.0016933495899477125,1.649817141027854e-06,6.578664215051155e-07,1.859833899321337e-07
0.14,1.008318e-05,3.6222021524663742e-06,4.949585597201064e-05,3.929350261825464e-06,2.8047305214295706e-05,-1.7184960845109765e-11,9.079338352451421e-10,-1.2591980582728252e-12,7.870715627602479e-11,0.0011141089004561566,4.5105963908109725e-06,-3.362548270935406e-07,-4.755455607465334e-08
0.15,1.009911e-05,4.157646312045144e-06,5.5800644798697496e-05,4.210089784812726e-06,2.8102884193428597e-05,-6.131989393509293e-12,1.2063270148071939e-09,-2.1522134788450077e-13,1.1559255667589109e-10,0.00010776837755854807,6.092966806633959e-06,1.5420741461547038e-07,1.7827665703341373e-08
0.16,1.008045e-05,4.702973224181242e-06,5.1505629415618985e-05,4.4914178538817725e-06,2.816107139345921e-05,5.520682633233774e-12,1.0365681585619485e-09,8.683324559813791e-13,8.413737749688638e-11,-0.00093282981443224,4.967624249854752e-06,-1.0283256267895613e-06,-8.906120556618764e-08
0.17,1.006057e-05,5.157549914730437e-06,3.830853348371895e-05,4.773243297222866e-06,2.8198856471121458e-05,1.3096298787823303e-11,4.271196824743188e-10,1.574263202509106e-12,6.965307119995564e-11,-0.001618785658061228,2.6607175233339664e-06,2.4015343153549473e-06,2.0743617864556326e-07
0.18,1.004149e-05,5.45578199999764e-06,2.1264688024414346e-05,5.055286682064039e-06,2.8204021859269687e-05,1.4307269025768286e-11,-1.630058745525766e-10,1.6469512896832991e-12,-9.708367372081402e-11,-0.001672135080429904,-2.3546178889860547e-06,-6.1532078597936746e-06,-5.350488194225112e-07
0.19,1.002226e-05,5.591452322252943e-06,6.883991680467838e-06,5.337187082858627e-06,2.8169557439519316e-05,7.31381629849531e-12,-1.2923088256394612e-09,1.0319787946170532e-12,7.820417591036122e-11,-0.0011199303952374728,-2.6784652754630045e-06,1.4707293457677517e-05,1.26767382519074e-06
0.2,9.934366e-06,5.6206370037525495e-06,6.555133626791441e-07,5.618636789145211e-06,2.8121134739697116e-05,-1.8608125605046306e-12,-1.581813483918443e-10,3.344906903737556e-14,-5.060980272373193e-10,-6.249764676788394e-05,-1.0405178515401903e-05,-3.55633337929262e-05,-2.9761961860840468e-06
0.21,9.984142e-06,5.6398869397447894e-06,4.9220558152967565e-06,5.899507492204491e-06,2.8048176945224975e-05,-1.742068345521832e-11,-4.090696056606229e-09,-1.1249327089467062e-12,8.181711105383959e-10,0.000825815516170364,2.8070011321712496e-06,8.378008712925378e-05,7.1023765502620955e-06
0.22,9.96538e-06,5.748904804780373e-06,1.801163134602807e-05,6.179881656430634e-06,2.8020953978935994e-05,-2.2185399476093854e-11,-1.4892482510845354e-09,-1.762317843587564e-12,-4.0050677231143605e-13,0.0016016906007461085,-4.865827168590298e-06,3.450346350575284e-06,-6.011886410920895e-07
0.23,9.945936e-06,6.013004050943966e-06,3.492431972646728e-05,6.46004122058047e-06,2.801710975911576e-05,-2.3123653315445642e-11,2.4432091804223865e-10,-1.8333600892499364e-12,2.7889984341083154e-11,0.0016670633319171568,1.3662579475964831e-06,1.7559430429137102e-07,9.570765951326865e-09
0.24,9.829221e-06,6.43785977647478e-06,4.923749154213312e-05,6.740342241722603e-06,2.8048564753848677e-05,-1.6908405548916014e-11,9.155625997777902e-10,-1.2404963161255174e-12,8.682022865119779e-11,0.0010976720192931444,4.597397313788054e-06,4.801036332380271e-08,3.3552809886223684e-09
0.25,9.908026e-06,6.969611731703639e-06,5.549677486112567e-05,7.021088218956466e-06,2.8103306463976187e-05,-6.02814002024982e-12,1.2348658485542506e-09,-2.1114019286358776e-13,1.1266194608918227e-10,0.00010585541322805092,6.171034988705637e-06,1.5758273369526066e-07,4.2020552948778326e-09
0.26,9.775454e-06,7.512330911132701e-06,5.126705244462246e-05,7.302416872417896e-06,2.8160888979167282e-05,5.5116561853795885e-12,9.6505783105882e-10,8.608522094982924e-13,9.493849028456857e-11,-0.000925057753353109,4.962308375502933e-06,4.5492891515008793e-07,-7.295681909215987e-10
0.27,9.993343e-06,7.96533516281585e-06,3.818331113794969e-05,7.5842392199342666e-06,2.8198798696801977e-05,1.3140249420856616e-11,4.5514945821887707e-10,1.5630855181042504e-12,3.957480542962018e-11,-0.001600753114800596,1.9319165404513283e-06,-1.7217211912001762e-06,-2.707627703833369e-08
0.28,9.72066e-06,8.26324971944731e-06,2.128471356972588e-05,7.866277709696101e-06,2.8202543682978533e-05,1.39585399047634e-11,-1.613692508285513e-10,1.6278709987163336e-12,-2.687143287598172e-11,-0.0016639116770433282,-6.915406214613729e-07,1.3424427686148377e-06,1.0972185627054027e-08
0.29,9.692821e-06,8.399991664301159e-06,7.04281976100774e-06,8.148175681230116e-06,2.8171241087559596e-05,7.84002045192899e-12,-1.1967469320411465e-09,1.0324093894315448e-12,-8.534999786085826e-11,-0.0010908448100292734,-5.221927045578889e-06,1.5483828679496714e-06,3.273438297004682e-08
