,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,1.039148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.4794846404381035,0.0
0.01,1.037084e-05,1.271379565558576e-07,8.126589067907224e-06,2.7845255887935956e-07,2.793954882940563e-05,-1.220224162486003e-07,-5.9155668495954515e-06,-8.365157331516174e-10,-2.430727815277302e-07,-0.0006132835876209441,9.147139684723138e-07,0.0012113682473223475,-4.1818977177535806e-05
0.02,1.035157e-05,2.0068419910430036e-07,8.98664310389403e-06,5.580073046265685e-07,2.7978472327132344e-05,-1.3100832223436582e-07,2.871248743731055e-06,-4.937634505785627e-09,-4.868726516425508e-07,0.0007945913669514804,5.267381756907108e-06,0.0004896938873463763,1.0130988551643877e-05
0.03,1.032922e-05,3.5014850202487054e-07,2.2630598500198865e-05,8.380356342421212e-07,2.8023392159228284e-05,-8.995701047549994e-08,4.262148153358359e-06,-8.070785231162504e-09,-4.260269605627199e-08,0.0018100149838615187,3.2318017655907916e-06,-0.00013555944234694417,6.13534715232266e-05
0.04,1.031237e-05,6.727967643741622e-07,4.2032172706176834e-05,1.1183910542292407e-06,2.8044509059249315e-05,-5.800132167273389e-08,1.970001191941736e-06,-6.051077391001558e-09,3.4659712868766513e-07,0.0018766150122332403,1.4727873138692393e-06,-0.0002346781554530275,6.544709886286727e-06
0.05,1.029224e-05,1.1731353709966355e-06,5.61881990839364e-05,1.398921383224604e-06,2.8064244682603173e-05,-4.665204944768e-08,7.245208304863306e-07,-2.8958701681595244e-09,2.6581852571965325e-07,0.0007913647862731743,2.9519256139060035e-06,6.775212598564284e-06,-3.1589490921981694e-06
0.06,1.026535e-05,1.749792599697661e-06,5.67207937610365e-05,1.6797575518259038e-06,2.8107558270554565e-05,-3.511867482481439e-08,1.8886462984375332e-06,2.3712907768335064e-10,4.2082029171836507e-07,-0.0006246287439581333,5.594621053969795e-06,0.0001882012389102794,2.417842239413893e-05
0.07,1.025352e-05,2.2701060876947646e-06,4.6168664674310683e-05,1.961134447521258e-06,2.816869419565254e-05,-6.99490643382651e-09,3.6008270370741603e-06,4.980997556514887e-09,4.1832067904758994e-07,-0.0013481217424851366,6.091239021316364e-06,0.00011340298631593027,-3.49548648563688e-05
0.08,1.02342e-05,2.660117559273726e-06,3.155085219633832e-05,2.2430946634114496e-06,2.8218817161487836e-05,3.118279849328931e-08,3.655716341727139e-06,6.6981210400951346e-09,-9.371198077939163e-08,-0.00152809974918236,3.456493351705614e-06,-0.00010896235881510674,-4.476563156958612e-05
0.09,1.01989e-05,2.900374659833165e-06,1.6810915257532646e-05,2.5253813990062015e-06,2.8230713005722537e-05,5.887558750603293e-08,1.5889896785410236e-06,4.573352140914752e-09,-2.2372288296323755e-07,-0.0013294425235896024,-1.2050809130303985e-06,-0.00028397168124341676,1.3448547289124932e-05
0.1,1.017691e-05,3.012577508669461e-06,6.908641182878419e-06,2.807551120306026e-06,2.819611713858016e-05,5.9517714885169784e-08,-1.4903176271173772e-06,3.0007079304829008e-09,-1.3966324848874627e-07,-0.0005797176452989883,-5.435431105371702e-06,-0.00030250913118826106,-1.1028754524579647e-05
0.11,1.015297e-05,3.0671361336728215e-06,5.34849482168918e-06,3.0891985016312026e-06,2.8130432902374246e-05,3.125122883150613e-08,-3.929686816813599e-06,4.175947467590417e-10,-4.0686382558723877e-07,0.0002142400681724166,-7.19736458638931e-06,-0.00016519771394443716,-2.5120103007251847e-05
0.12,1.010403e-05,3.1401987467958174e-06,1.0028147537065758e-05,3.37015027682722e-06,2.806175539870249e-05,-1.3025297783032343e-08,-4.594511628868534e-06,-3.963521040728168e-09,-3.5650928789132103e-07,0.0006904361653666535,-6.128934650573292e-06,3.1131719047533535e-05,3.556074874281373e-05
0.13,1.010711e-05,3.2821429108510118e-06,1.9097774288245177e-05,3.650504984579934e-06,2.801412208996476e-05,-5.4653833647320886e-08,-3.490584970030776e-06,-5.4740549926444206e-09,2.8985394157034506e-08,0.001122143747133375,-3.1844480379294993e-06,0.00017568358275188434,2.3370244343863788e-05
0.14,1.008318e-05,3.533914930215798e-06,3.151636809505026e-05,3.930547412201812e-06,2.8000526549960673e-05,-7.943749741190175e-08,-1.3682459951135716e-06,-4.872096136421498e-09,2.2020207294669777e-08,0.0012620406661162098,4.892908604808843e-07,0.00023539465605607046,-1.2452670221491135e-05
0.15,1.009911e-05,3.9067507103473646e-06,4.22471742667399e-05,4.2106352565539045e-06,2.8022438947244218e-05,-8.133006168353395e-08,9.618341078528211e-07,-4.8078638914848915e-09,7.637190679280728e-08,0.0008088413408756656,3.710174136486999e-06,0.00021849005359630969,2.9912015629901122e-05
0.16,1.008045e-05,4.359618868477051e-06,4.736964470727308e-05,4.4910816512003035e-06,2.8069759495046452e-05,-6.19343928012965e-08,2.777928650229586e-06,-2.258692042923371e-09,4.1474000734314934e-07,0.00023870933694908336,5.464557378084822e-06,0.0001356946172361706,1.8653508119454958e-05
0.17,1.006057e-05,4.836730794513456e-06,4.7184282814989046e-05,4.772059811719555e-06,2.8125962153113613e-05,-2.9211040245054194e-08,3.577935566850988e-06,1.788563521700472e-09,2.96649654075645e-07,-0.00029095996151484727,5.4980776398455555e-06,2.3351079206257452e-05,-3.526372079738642e-05
0.18,1.004149e-05,5.283718546802991e-06,4.1141806125205106e-05,5.053575080824638e-06,2.817450656059592e-05,5.943441850511045e-09,3.280689041626522e-06,3.117618806733738e-09,2.5237802627249315e-08,-0.0009189627760410046,3.968088477954157e-06,-7.938514492408788e-05,-3.5628905370104305e-06
0.19,1.002226e-05,5.642311969826358e-06,3.011025286367253e-05,5.335476685082044e-06,2.8201178326671622e-05,3.332413346045526e-08,2.059972334009862e-06,3.79528434343413e-09,1.4606171050484848e-07,-0.0011695891883506393,1.2180977722320296e-06,-0.0001603913640383925,8.295931061319718e-06
0.2,9.934366e-06,5.888477780444779e-06,1.970549957347381e-05,5.617497722154734e-06,2.8197880454913947e-05,4.50661021565214e-08,2.2682134044819526e-07,4.804284323362769e-09,-5.606356674167526e-08,-0.0008597627382126993,-1.8167666547275196e-06,-0.00019541814723816886,-4.573944300893855e-05
0.21,9.984142e-06,6.0487513214703865e-06,1.2921309146891699e-05,5.899343194974714e-06,2.816741595862559e-05,3.783732538837938e-08,-1.6140389740551485e-06,2.107196500446596e-09,-4.1049738644099523e-07,-0.000515673859806165,-4.07964955065343e-06,-0.0001613158830087169,-4.405849523768249e-06
0.22,9.96538e-06,6.159119222349216e-06,9.94470028099818e-06,6.18079117279728e-06,2.8120554543636168e-05,1.4858371800266226e-08,-2.8437844828670793e-06,-1.1807100454297235e-09,-1.6350566117882874e-07,-1.3416311403779968e-05,-5.063919751746582e-06,-8.05457790314934e-05,3.3371079038470934e-05
0.23,9.945936e-06,6.269815401151841e-06,1.3455335158018627e-05,6.461747545120171e-06,2.8071744988317207e-05,-1.6028178111782412e-08,-3.1715230603629556e-06,-1.888973181652554e-09,-9.327653945690761e-08,0.0006996986288286267,-4.44645955419154e-06,1.6914814648161247e-05,-2.304707857493871e-05
0.24,9.829221e-06,6.44609914470075e-06,2.2222574198963718e-05,6.742273946626355e-06,2.803712780402114e-05,-4.518839669806051e-08,-2.4925564886655665e-06,-4.032130866072202e-09,-2.90857672582019e-07,0.0009420885660461342,-2.3009290098796598e-06,0.00011625514793869862,5.91137936157486e-06
0.25,9.908026e-06,6.713753937533013e-06,3.105966453507697e-05,7.022574614837451e-06,2.802754293982023e-05,-6.312566181500271e-08,-1.0015339895273206e-06,-5.500565870714506e-09,9.229666563310233e-08,0.000821230570937248,3.8266990250168664e-07,0.00017090406632325195,5.299705878694457e-05
0.26,9.775454e-06,7.064090525537143e-06,3.888030156231491e-05,7.302911440069298e-06,2.8043800778073404e-05,-6.450231298493991e-08,7.100043946349599e-07,-2.774381429626556e-09,3.2502400186323694e-07,0.0007193410687238999,2.7600617267808936e-06,0.0001620640298154452,-1.4071478621975069e-05
0.27,9.993343e-06,7.4829505949112875e-06,4.405611651538213e-05,7.583517681516688e-06,2.8079956929993958e-05,-5.0066078874066604e-08,2.087601006297947e-06,-8.619585591753064e-10,5.8908849522764174e-08,0.00023212351392923325,4.243809168288926e-06,0.00010858395474352966,-1.7028252765958595e-05
0.28,9.72066e-06,7.92319739667931e-06,4.285030269054654e-05,7.864538938507453e-06,2.812448278075186e-05,-2.4956960011671598e-08,2.8030914807851613e-06,-1.0354990025644716e-10,1.8393208471545575e-07,-0.0004339627623628217,4.3158934705106455e-06,2.9212249873761253e-05,3.176184780222568e-05
0.29,9.692821e-06,8.323932618844656e-06,3.692124394217852e-05,8.1459845330586e-06,2.8162288529620476e-05,2.8907288527552245e-09,2.6000390255963663e-06,2.8648949901599516e-09,3.1039440080769106e-07,-0.0006797656867682522,3.0270791877423653e-06,-6.846780678532172e-05,-2.014855702539979e-05
0.3,9.814513e-06,8.657946813907825e-06,2.972789749593543e-05,8.427722350558073e-06,2.8181631986687328e-05,2.4146163907871243e-08,1.5411590460894071e-06,4.1028120220707024e-09,-9.640533917908554e-08,-0.000773775458012993,7.858538205868237e-07,-0.00013455627452224617,-3.9525873747274645e-05
0.31,9.63626e-06,8.914864851427054e-06,2.1558551320930518e-05,8.709540596124237e-06,2.817819339794714e-05,3.242219245524726e-08,9.350994481196011e-08,2.1409915199809817e-09,-1.8040146038701698e-07,-0.0008083946802593667,-1.4512929421700571e-06,-0.0001478485823889486,2.0866890829988877e-05
0.32,9.777515e-06,9.095186737426078e-06,1.5242304040605601e-05,8.991214698493976e-06,2.815351393411308e-05,2.6169377980659034e-08,-1.3086331766391009e-06,1.4599796276557213e-09,3.1035533961313424e-09,-0.00037101765373626083,-2.9976884923926805e-06,-0.00012681854658724845,-3.48831797564035e-06
0.33,9.577992e-06,9.23913803226388e-06,1.4502524585784655e-05,9.27256745271436e-06,2.811602920706541e-05,7.678101603947175e-09,-2.2799415521473722e-06,4.605323447993429e-10,-2.631440756619877e-07,0.00017746273650920408,-5.42108008061426e-06,-5.9759981339613244e-05,-3.252603861553607e-05
0.34,9.549091e-06,9.397980381847107e-06,1.7628039039794768e-05,9.553536355538884e-06,2.807901880637863e-05,-1.671579096811686e-08,-2.452850140291465e-06,-2.887437382012619e-09,-2.8571096934603806e-07,0.0004158700426288575,-4.445104507269648e-06,2.677261648700857e-05,3.1751480489706225e-05
0.35000000000000003,9.519531e-06,9.598910679819168e-06,2.30134487973331e-05,9.834186042278767e-06,2.8053482012463266e-05,-3.869787671155849e-08,-1.8325682956625226e-06,-3.730166515398204e-09,1.0170853164157443e-07,0.0006877665763588003,8.882718854213989e-07,9.047270031506405e-05,2.334858176971226e-05
0.36,9.703076e-06,9.867219202480508e-06,3.090822353675145e-05,1.0114669681915253e-05,2.8046574154298235e-05,-5.174672718798943e-08,-7.223989783548365e-07,-2.557349781440006e-09,3.799348800948431e-08,0.0008190212439260491,3.750057570306442e-07,0.00012536472588906,-2.5582779192985538e-05
0.37,9.459988e-06,1.0212793105672113e-05,3.755679466868031e-05,1.0395187350788869e-05,2.806028685808854e-05,-5.244956860240657e-08,5.915191204783066e-07,-3.0008793149618285e-09,-4.1054390988649044e-08,0.00044191670387583315,2.3117283748930184e-06,0.0001304838411471665,2.2392077727391728e-05
0.38,9.66649e-06,1.0602798486688654e-05,3.974966559692313e-05,1.0675927537556632e-05,2.8089475560081716e-05,-4.060240110395111e-08,1.698110595937558e-06,-1.7084325940093126e-09,3.1652291162211653e-07,4.5338185860638314e-05,3.330048461508417e-06,8.28140802797972e-05,2.682505627640075e-05
0.39,9.398348e-06,1.0998927550269416e-05,3.915091263757909e-05,1.0956992187975127e-05,2.8123358783571102e-05,-2.0626785776745072e-08,2.175800346943093e-06,1.6398802724529602e-09,2.2608424269007505e-07,-0.00016997088736300792,3.2825810385439524e-06,1.1744969290100604e-05,-4.062287767816483e-05
0.4,9.367672e-06,1.1376048857407797e-05,3.559954508623564e-05,1.1238377291915278e-05,2.815203628309654e-05,5.751679295570954e-10,1.9566957614035164e-06,1.9543024566106162e-09,-1.043123822017609e-07,-0.0005703089862138244,2.307141787338818e-06,-5.247759202473001e-05,-5.149322268306009e-06
0.41000000000000003,9.33635e-06,1.169831381296601e-05,2.8491949058712524e-05,1.1519986402191142e-05,2.8166895661857724e-05,1.664922258738499e-08,1.1760455457010237e-06,1.6005961402915522e-09,9.880462764025057e-08,-0.0007608325877525302,5.656600180758975e-07,-0.00010109785040893216,2.707446749961193e-05
0.42,9.593628e-06,1.19490967217121e-05,2.2131592229070575e-05,1.180165108474792e-05,2.8162806863354656e-05,2.281950335328557e-08,1.381452895948744e-08,3.0013044288992807e-09,7.623147718917405e-08,-0.00045512352125215427,-1.3475047190986134e-06,-0.00012457793054476696,-3.938942117728311e-05
0.43,9.273488e-06,1.2152637906929919e-05,1.8992832522790148e-05,1.2083188026243088e-05,2.814246838876143e-05,1.7081655274405746e-08,-1.111922495363575e-06,1.5319960854758043e-09,-3.5173799423289666e-07,-0.00021851240542100636,-2.576034581786013e-06,-9.26718113406777e-05,-2.2026873367776227e-05
0.44,9.241349e-06,1.2333643938910587e-05,1.748308016962298e-05,1.2364474083198824e-05,2.8113989145439347e-05,2.232061625578214e-09,-1.765534306833529e-06,-1.6740193750365033e-09,-1.7172038775194133e-07,-4.7743017537210664e-05,-2.988466799774825e-06,-3.666259912146752e-05,4.712674043675173e-05
0.45,9.538939e-06,1.251333020214992e-05,1.9237639048579878e-05,1.2645467718586646e-05,2.8085328924389136e-05,-1.6390350687150557e-08,-1.8721985303765947e-06,-1.5485631130819665e-09,1.1396313112420765e-07,0.0004305563889011321,-2.5938979833078912e-06,1.5011630987021851e-05,-7.1375534567285904e-06
0.46,9.520577e-06,1.2733512866654729e-05,2.5234323193404513e-05,1.2926210262478889e-05,2.8065365764616013e-05,-3.343029762751889e-08,-1.4424284503746986e-06,-1.7039528065890736e-09,-1.9280183001333987e-07,0.000669957824549039,-1.2650728295621194e-06,7.089307625041119e-05,-3.000364686025063e-05
0.47000000000000003,9.144164e-06,1.3016310846636214e-05,3.087550027124911e-05,1.3206829608958128e-05,2.8061455085829787e-05,-4.348648133275172e-08,-5.008829485816387e-07,-3.8578209463618724e-09,-8.826618151342793e-08,0.00042937059050526805,4.712639539161678e-07,0.00011025158839625404,5.012714216303296e-05
0.48,9.111304e-06,1.3344023082392276e-05,3.4529572306226126e-05,1.3487492314687435e-05,2.8073329565885958e-05,-4.301614064803077e-08,5.705828664102667e-07,-2.210433467406308e-09,3.561712238863078e-07,0.000353609049456749,1.8078185911180045e-06,9.595445938304081e-05,1.1203438984773385e-05
0.49,9.077722e-06,1.3706388525473469e-05,3.7730930425488465e-05,1.3768331366446133e-05,2.8095795694583645e-05,-3.3144417601199805e-08,1.3369113145036975e-06,4.5054378860103684e-10,7.123282947117482e-08,0.00021355126580963057,2.5897430794008525e-06,5.637551523141049e-05,-4.670967326904849e-05
