,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0016426540434217284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016114436165967156,0.0
0.01,0.001673063707892246,-1.908837811430175e-07,-5.7001004014396236e-05,-6.393616841762335e-09,-1.3291476015546138e-06,-6.151599760041445e-07,-0.00010333521830952103,-4.0735823524164435e-10,-1.950756258813258e-07,-0.011112354981521926,-0.0001376817788837032,-0.0043917373984590485,-7.360188547910928e-05
0.02,0.001631255856729573,-1.417313021464614e-06,-0.0001930753974168306,-2.5830331960574157e-08,-2.465852515163554e-06,-1.6939944379473134e-06,-9.808706978341108e-05,-9.895352082824625e-09,-2.096307223772712e-06,-0.013941006620407318,-8.438788133339312e-05,0.004157998708250159,-0.00029643207012753584
0.03,0.0016635520741602842,-3.937030878607921e-06,-0.00029604946719535906,-5.3814549689623594e-08,-3.055790977681728e-06,-2.434294532036264e-06,-4.942665168726901e-05,-4.555309599788067e-08,-4.787939731197448e-06,-0.0051851383371328205,-3.9303003674678224e-05,0.0045637745245714345,-0.00015010548850667976
0.04,0.0016309808318232973,-6.934165263750452e-06,-0.00028034259760319853,-8.593879290599213e-08,-3.340981735933359e-06,-2.7381505996636316e-06,-1.584502062602231e-05,-9.385285770272058e-08,-4.193009783778319e-06,0.0084940345900504,-2.1814098367454246e-05,0.0019494392246501577,0.0002417627231159781
0.05,0.0016668285903940262,-9.109881044133182e-06,-0.00013730671857969227,-1.204560841424669e-07,-3.56337887408542e-06,-2.8487439718782773e-06,-1.0166170522186036e-05,-1.2172080306727632e-07,-1.369791931193183e-06,0.018865488991771016,-2.163292775452505e-05,-0.00035778616572489384,0.00025695345369111666
0.06,0.001633689816986588,-9.482031625285995e-06,6.42887496649241e-05,-1.5695655848502195e-07,-3.703102019577289e-06,-2.9605979530574985e-06,-1.056434148674782e-05,-1.2443385558325084e-07,7.140125579542992e-07,0.01970596890132026,-3.337596083233638e-06,0.0006038978082073396,0.00019492120561183292
0.07,0.0016656526708945414,-7.958902990246145e-06,0.0002269598220408206,-1.9357415312610715e-07,-3.5651144908676178e-06,-3.0148724987695317e-06,1.942115801530355e-06,-1.0620130061341586e-07,3.0566331596994394e-06,0.01178750699308124,3.085252720746724e-05,0.0018986206471047471,0.0002571873979742784
0.08,0.0016115272408363996,-5.277350363829854e-06,0.00029164345051672344,-2.2702169139404274e-07,-3.0624541720849584e-06,-2.875683304815492e-06,2.7486517669145744e-05,-6.524648982448815e-08,4.726449321595007e-06,0.0012342965238734886,6.68938033925687e-05,0.0028463602224625966,1.9656921643649693e-05
0.09,0.0016324435659146187,-2.459410020680377e-06,0.0002566821638602952,-2.540072980503684e-07,-2.3221679289914517e-06,-2.481167638990673e-06,4.858057895568354e-05,-2.2386868493179227e-08,3.4235459958771517e-06,-0.007910813238349768,7.517446663074309e-05,0.001151400381741067,-0.0002237867583821491
0.1,0.0015962848035696096,-4.07840447163324e-07,0.00014334124255114595,-2.7369597519453947e-07,-1.647536784773557e-06,-1.968866602296828e-06,5.0583951336699e-05,1.5231770722899483e-09,1.5416991027457584e-06,-0.014017080118759776,5.561060886737932e-05,-0.0008086649207671712,-0.00012417458576365756
0.11,0.001638356906305201,2.8676763700481493e-07,-6.034259098326453e-06,-2.88086540951855e-07,-1.3067692733322658e-06,-1.5453661691681122e-06,3.0471927694813042e-05,1.1493062428158155e-08,3.9816684711489967e-07,-0.014974146868491864,9.92277655155579e-06,-0.0029828207941720356,-0.00015703955840343806
0.12,0.0015866312870700349,-4.769799808237522e-07,-0.0001405958092443238,-3.0133781204996417e-07,-1.409335320099344e-06,-1.3927809761791094e-06,2.008845319558779e-07,4.892115913958505e-09,-1.923573152905622e-06,-0.011327919902544399,-2.8759290429247902e-05,-0.0028873874541837856,-0.00026781146148987015
0.13,0.0016122075870014425,-2.3547546021035122e-06,-0.00022491890295548139,-3.1744946595339815e-07,-1.863518066667886e-06,-1.5319265235889129e-06,-2.7206824487956017e-05,-2.5026728497125012e-08,-3.659940945114025e-06,-0.005289605509908465,-5.802497213607108e-05,-0.0023978221612257953,-3.4845086573973504e-05
0.14,0.001589205097390256,-4.748595882983402e-06,-0.0002412774099471088,-3.3923295748552223e-07,-2.502989976900631e-06,-1.8967419829607285e-06,-4.2938509137950334e-05,-5.938376443168585e-08,-2.943815968687332e-06,0.002246602917940019,-6.462245105585187e-05,-0.0007144396343107776,0.00011640890006938374
0.15,0.0016704563579493085,-6.920715414696706e-06,-0.00018168893923520654,-3.6745482362820013e-07,-3.129262364178196e-06,-2.348008497736976e-06,-4.5788592061337866e-05,-8.450499359798569e-08,-2.24103583003865e-06,0.009203014728992407,-5.729910559881351e-05,0.00021055760226685585,2.877005130452314e-05
0.16,0.0016674658432256398,-8.20954232922672e-06,-7.105550106805442e-05,-4.0118856780858194e-07,-3.5674207209797598e-06,-2.7651626742030123e-06,-3.486233050124121e-05,-1.0429607146026448e-07,-1.4754255226424865e-06,0.012193286831581662,-2.9758003245327867e-05,0.0018601362181269452,0.000169339627685677
0.17,0.0016006620292397754,-8.307534245121654e-06,5.0734152187859576e-05,-4.3753568879748074e-07,-3.6321201988794075e-06,-2.9961170687542825e-06,-9.469486237600102e-06,-1.0762571701032057e-07,9.818949122788208e-07,0.011764960659614215,1.5586734896652538e-05,0.002958382499516347,0.00026272297520524377
0.18,0.0015070692038732505,-7.247025620365021e-06,0.00015696562827459434,-4.724855578104193e-07,-3.296382931055506e-06,-2.939835270980982e-06,2.0479063431548864e-05,-8.780543526259935e-08,2.59964535381892e-06,0.00905834116956232,5.077054873572671e-05,0.0028011429846617466,4.121596835811054e-05
0.19,0.0015993554068469164,-5.3119774203745384e-06,0.00021957234875848348,-5.027336226937179e-07,-2.74534560672714e-06,-2.636387525657472e-06,3.635308489802318e-05,-6.175721986651608e-08,2.5533573236615216e-06,0.002780846266620888,5.648639135741875e-05,0.0004991891228772128,6.7026816059508575e-06
0.2,0.0016170051759429884,-3.1153369359691305e-06,0.00020604744206449696,-5.27481790562707e-07,-2.2156386005781413e-06,-2.26448085779828e-06,3.653651167064769e-05,-3.430458741899168e-08,3.015477019485274e-06,-0.0053515537324781565,4.7092332783427404e-05,-0.0003986296501267369,4.236947738700471e-05
0.21,0.0016802306170906624,-1.4317827444601702e-06,0.00012108490215486506,-5.475481767177521e-07,-1.8339650908622685e-06,-1.937012204139021e-06,2.7331441605872638e-05,-5.651728215801695e-09,2.260435883194927e-06,-0.011088711461382881,2.8511392948711363e-05,-0.0013733435063848437,-0.00021640376870910597
0.22,0.0016878784641517896,-8.278605390771415e-07,-3.993499092139037e-06,-5.649754982688813e-07,-1.6936298814192451e-06,-1.73599624645751e-06,1.2499915652169399e-05,3.497452816717445e-09,-5.052194714431035e-07,-0.013287920165990464,-3.2431392599190745e-06,-0.0015982035800861047,-0.00025883079385950394
0.23,0.0016447371588980846,-1.5135394465615343e-06,-0.00012926512835724336,-5.822286322924658e-07,-1.7959563602205554e-06,-1.6880064773819592e-06,-2.6977674560018668e-06,-1.075248715943651e-08,-1.9634790005511097e-06,-0.010882098962043939,-2.3041447796064964e-05,-0.0014741296056929424,-4.162254552509786e-05
0.24,0.0014271337128768887,-3.241143233976979e-06,-0.00020327024742585432,-6.013765939445587e-07,-2.0410361236330545e-06,-1.7640100352402065e-06,-1.0466281829078208e-05,-3.184879102837693e-08,-2.317376646340837e-06,-0.0031666757290426902,-2.6165942928047754e-05,-0.00024133295434318924,-6.971104514745356e-05
0.25,0.0012873921960864115,-5.274176455880125e-06,-0.00018809488536153659,-6.231128901328844e-07,-2.3070509199988715e-06,-1.8800876303226666e-06,-1.2592148064606475e-05,-5.9070475339799563e-08,-3.038434394091362e-06,0.005896493557548184,-1.625089650470481e-05,-0.00013420289794380952,-1.2222501189363116e-05
0.26,0.001181455366667126,-6.748892664031459e-06,-9.744735933511288e-05,-6.473854727895827e-07,-2.5319781167128226e-06,-2.008650276114584e-06,-1.2400311534633777e-05,-8.51611003774992e-08,-1.679883147876597e-06,0.011525658619690795,-1.8659286014095686e-05,0.0003070370793269075,0.00027143348782100946
0.27,0.0013455021333232753,-7.112729586718043e-06,2.573542990449597e-05,-6.735674029947747e-07,-2.7021019633621468e-06,-2.137899199542047e-06,-1.460532255568062e-05,-8.764489955153245e-08,1.0590641094267503e-06,0.012120788598779323,-1.123146655751172e-05,-0.00038701676837625315,0.00019903902563956407
0.28,0.001502337677824934,-6.313436322826844e-06,0.00012542135162178984,-7.012208248417663e-07,-2.8068960754002485e-06,-2.2916037831698865e-06,-1.457260521585828e-05,-7.144338069951753e-08,1.7947609539111805e-06,0.006951199065266533,-3.423593135425058e-06,0.0005025492103059717,-1.4507013683645771e-05
0.29,0.0015476562127690427,-4.843348754279025e-06,0.00015535152853710283,-7.289999173853025e-07,-2.706595432664688e-06,-2.382191403928143e-06,-1.208566156553027e-06,-5.388124446918719e-08,1.832953259318408e-06,-0.000930056112171124,2.230109017361448e-05,0.0018783081363346252,4.573007504549186e-05
0.3,0.0013431474485381355,-3.4349192199960378e-06,0.00011887647209460879,-7.543572172560566e-07,-2.3115707610548743e-06,-2.2684153271814992e-06,2.563328232211033e-05,-3.3344430975490915e-08,2.1348674541539834e-06,-0.005389600819060624,5.400811061724818e-05,0.0028883688646429333,-3.779995913765605e-05
0.31,0.0008883188608543818,-2.5152090504734483e-06,6.728480669474723e-05,-7.742530604841303e-07,-1.6219562845742127e-06,-1.8557703247718706e-06,5.6574142748145455e-05,-1.73642204984792e-08,7.933773937516621e-07,-0.004115804673209161,8.0100947313463e-05,0.0027306056971002405,-0.0001862001177599954
0.32,0.0004834728483767388,-1.9877497834744057e-06,4.453191844290364e-05,-7.86385339071717e-07,-8.092626646624539e-07,-1.1932865626287179e-06,7.174710998655719e-05,-1.630733992080231e-08,-1.8884869244127486e-07,-0.0003739896671927121,7.770701824116287e-05,0.00028603305563300975,3.5871302897760296e-05
0.33,0.00033621215471410124,-1.5092887376158537e-06,5.519536984071634e-05,-7.911444798637409e-07,-2.0447667303669862e-07,-5.281362077120766e-07,5.605172505708809e-05,-1.2884787296565176e-08,1.0554654396761832e-06,0.00202241432861877,4.114699337509922e-05,-0.002825510252446766,0.00013876513340962715
0.34,0.00022774399849670215,-8.578808056896054e-07,7.347639876795408e-05,-7.91682431355641e-07,4.633216622702196e-08,-1.2111139067340116e-07,2.540468710078302e-05,1.2454941731665818e-09,1.384631690675963e-06,0.00101668702116335,1.1855865026572991e-05,-0.002791943977309896,-8.064120915817135e-05
0.35000000000000003,0.00044580256703463894,-1.3855905899660567e-07,6.223732942603518e-05,-7.912479393612753e-07,-1.5840797498438828e-08,-2.222957685432619e-08,-5.8776021047622715e-06,9.927262360454834e-09,3.935063631683758e-07,-0.003816551285667426,-2.1685397737602202e-05,-0.0029860368516414627,-6.01826382761684e-05
0.36,0.0005430847508999799,2.0086872342469705e-07,-2.212647326994438e-06,-7.927069539164093e-07,-2.890170837659681e-07,-1.9199028101236703e-07,-2.4349610108917157e-05,1.2906916656653647e-08,3.0358468692610816e-07,-0.008439695735181933,-2.970358255045374e-05,-0.0007910871359588625,-7.901259734063078e-06
0.37,0.0002506231029503801,-2.475377273077709e-07,-8.463590928845363e-05,-7.966294437266791e-07,-4.436919685748589e-07,-3.996702316731774e-07,-1.1468705684432176e-05,1.2430292641781685e-08,-7.48297643691333e-07,-0.006756136774386823,1.12376121010709e-06,0.0026287968311207704,-0.00020367343063880936
0.38,-7.511243226859524e-05,-1.324725706827121e-06,-0.00011861439156046381,-8.005709888999359e-07,-3.0242302507362314e-07,-3.7260104751798074e-07,1.656081804349561e-05,-5.067618963122301e-09,-2.5057276504135415e-06,0.000461044187630582,2.4534110535207322e-05,0.0024898583029474156,-5.9089651290090045e-05
