,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.001825171159357476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792864500881146,0.7315424764502801,-0.49719137916141143,0.0
0.01,0.0018589596754358287,-8.547879329761178e-07,-0.00016426516571852476,2.563473447578501e-07,2.5763304693747257e-05,-6.980031275330889e-10,-9.502243133464807e-09,-4.554149374080263e-12,-7.786542498141742e-10,-0.013849819804502117,-4.4870721290529714e-05,1.4265037495686528e-07,-5.347386398740425e-08
0.02,0.001812506507477303,-3.037439323328857e-06,-0.00025539056659809215,5.117679104508536e-07,2.528710966970105e-05,-7.885673089524177e-10,-1.1094943336106715e-08,-1.4548288069820839e-11,-1.1505589048812278e-09,-0.003786336983694405,-5.776329025229676e-05,1.7389974189430113e-05,-1.3589751511394396e-08
0.03,0.001848391193511427,-5.59601191146361e-06,-0.0002388508826174197,7.61403978625962e-07,2.4644093895347325e-05,-9.22842655112455e-10,-1.2300540888638947e-08,-2.6059665658930123e-11,-1.0801171385693192e-09,0.006977407674725877,-5.9056518063344e-05,-1.212398674294013e-05,2.8833887096967742e-08
0.04,0.001812200924248108,-7.4712054646190964e-06,-0.00012175891946805551,1.0055289630058823e-06,2.4223722239754014e-05,-1.0051562261856148e-09,-5.52210723353943e-09,-3.474718707198886e-11,-5.984132544733853e-10,0.0156802649244773,-2.835581986405933e-05,6.692410906977697e-06,6.439316043316962e-08
0.05,0.0018520317671044736,-7.842409100785017e-06,5.094953859265634e-05,1.2465714084334942e-06,2.4046405293056318e-05,-1.0466295557104866e-09,1.2739105307675892e-10,-3.7256898240927296e-11,1.1028142792676002e-10,0.017726757236386698,3.1820447526503814e-06,-1.3510055657556252e-05,7.26522674972252e-08
0.06,0.0018152109077628758,-6.487549524870407e-06,0.00021327281851617728,1.4881015660827714e-06,2.4324069840928762e-05,-9.865855632165502e-10,8.275152876320046e-09,-3.269315965996771e-11,7.745387923909069e-10,0.013696371121687728,3.4179065065489955e-05,-1.7118967354595727e-05,5.603430322173586e-08
0.07,0.0018507251898828236,-3.8207604291937455e-06,0.00030350504863763177,1.7335486141572616e-06,2.4801360144070404e-05,-8.942627877729635e-10,1.129295142686752e-08,-2.2767590290536047e-11,1.1424621661426032e-09,0.003780257879677784,5.729697709512538e-05,-8.37618938687168e-06,1.5260679832665436e-08
0.08,0.001790585823151555,-7.756607887624856e-07,0.00028849896211783586,1.9849225306061677e-06,2.5469665497044902e-05,-7.519581631407168e-10,1.1396110366052657e-08,-1.1315575318883218e-11,1.0782098209046241e-09,-0.006692992125984315,5.04122531886364e-05,2.5758978271644972e-05,-2.7618791103526524e-08
0.09,0.0018138261843495761,1.612501208539717e-06,0.00017490551884862579,2.242036722135653e-06,2.5912228238225982e-05,-6.643299113389759e-10,6.362120075816338e-09,-2.5799780776542236e-12,6.107538438152043e-10,-0.015293574581465963,3.222861904042529e-05,-1.459977859386008e-05,-6.282373801063702e-08
