,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0008081126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792864500881146,0.7315424764502801,-0.4872140346941146,0.0
0.01,0.0008230728,-3.297317105811695e-07,-7.578672554214787e-05,2.677948530067364e-07,2.7206290537152933e-05,-4.632229945365238e-08,4.311349808825918e-06,-3.589300005635747e-10,-6.31643914026989e-08,-0.004327845828585253,4.3455587416779684e-05,-0.001369862250835685,-7.222762398808615e-06
0.02,0.0008025052,-1.2450947705570214e-06,-0.00010394987398435782,5.378702988708139e-07,2.676194495652589e-05,-5.4510060229137966e-08,-1.1266813675557155e-06,-1.1045537552063685e-09,-8.9146819203743e-08,-0.00133079204104522,-1.9156958498106613e-05,0.00048563385224539846,4.671891953156554e-06
0.03,0.0008183935,-2.2479360752274535e-06,-8.75795896166939e-05,8.045510059190344e-07,2.652921768298185e-05,-6.092557037802975e-08,-1.0741617272178685e-06,-1.890940260228186e-09,-5.202093103026301e-08,0.0040325502077141195,-3.2869485027481327e-05,-2.9441209637021126e-05,7.83132206678798e-06
0.04,0.0008023699,-2.857289217523918e-06,-2.8170546249706644e-05,1.0687329967689006e-06,2.6349149737372317e-05,-6.737394379182212e-08,-2.6595084925501264e-07,-2.3731455268034184e-09,-5.353232713392373e-08,0.00769416056866154,-9.137876932560629e-06,2.2563418670823454e-05,-3.6187043407659436e-05
0.05,0.0008200054,-2.7385476131427424e-06,5.2459820108522556e-05,1.3318188516328933e-06,2.6289933332699106e-05,-6.991001226825797e-08,-5.0411058177056084e-08,-2.593538346740249e-09,-1.4712285263977885e-08,0.007782044675910399,3.523978587369192e-06,7.888384706547513e-05,6.693110732350826e-05
0.06,0.0008037026,-1.8460173867939712e-06,0.0001221771751774126,1.5953571609992492e-06,2.644976576870473e-05,-6.581232123134685e-08,6.931489255846051e-07,-2.063551766451426e-09,1.8241683462837805e-07,0.00579223906652665,2.2857045961902078e-05,1.9701193253396365e-05,-4.5004331714811616e-05
0.07,0.0008194269,-4.099599739869295e-07,0.00015704397099269924,1.8609921772094975e-06,2.6684491979390164e-05,-5.911464715928763e-08,7.348431158913163e-07,-1.3305800119784725e-09,-7.93020661119122e-08,0.0010287221073404795,2.682035011762618e-05,3.0236765526409082e-05,-5.394980547848596e-05
0.08,0.0007927996,1.1203802870575452e-06,0.000141356940645871,2.1293915625165143e-06,2.699801447786168e-05,-4.94577835894655e-08,9.829069440715168e-07,-8.380950705319955e-10,1.636824437502887e-07,-0.004166766135559524,2.8559564072119792e-05,-4.270514443985296e-05,0.00016960165469665997
0.09,0.0008030895,2.2799774162693116e-06,8.426610885239336e-05,2.400422389992703e-06,2.7180238051468725e-05,-4.329233653663599e-08,3.657216810615922e-07,2.0763716208509708e-10,9.274093231322003e-08,-0.006835397995410025,1.1587427007658802e-05,-2.52483417561844e-05,-0.00022129141254448092
