time (s),ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792864500881146,0.7315424764502801,-0.4872140346941146,0.0
0.01,3.3724342032397456e-08,-1.9487852896087514e-05,2.7511502215873417e-07,2.72457704143086e-05,-4.19737733406088e-07,-5.6141470533605904e-05,-1.0515844979790125e-09,-3.363246087046143e-07,-0.006006214219530515,-7.107288412133705e-05,-0.0009274817648085021,-7.660243921561812e-05
0.02,-4.87638385536712e-07,-8.47696882393788e-05,5.445242909748785e-07,2.6691675197569946e-05,-9.533281901024655e-07,-4.4812556602376e-05,-9.65625247229453e-09,-1.484822893535317e-06,-0.005985903874294929,-3.8876312602645346e-05,0.0025124685023280025,-0.0001323778457704054
0.03,-1.5621606716674099e-06,-0.000121209402481479,8.099532209627544e-07,2.6429798396467276e-05,-1.272118449343736e-06,-1.974266813474264e-05,-2.987119366980978e-08,-2.356733558976727e-06,-0.0007091840113103987,-1.7994143161476073e-05,0.002082248320137231,-1.5009901221089365e-05
0.04,-2.6956247287196002e-06,-9.419733428520555e-05,1.0735587927420942e-06,2.6302457881801204e-05,-1.3876792033227724e-06,-5.694273900455388e-06,-5.1410023362260744e-08,-1.714597596808492e-06,0.006003996995720462,4.5612973325337425e-06,0.0007032375855374751,0.00012312522796521894
0.05,-3.2534378811555484e-06,-1.0706552302935925e-05,1.3361012884737727e-06,2.6206979302612005e-05,-1.4297543448045788e-06,-4.2053331549999774e-06,-6.195674009346735e-08,-4.0030185752498596e-07,0.009948233092334835,1.8137832701325962e-06,-0.00017692570929128681,0.00012376083182640734
0.06,-2.859943348562258e-06,8.770617907423635e-05,1.597915946119581e-06,2.617710219377001e-05,-1.472650321482301e-06,-3.252205385829599e-06,-6.009441358086139e-08,7.600175387382994e-07,0.008957302058126781,1.3795401846553035e-05,0.00047374016733281454,0.00011573810376815617
0.07,-1.601828427533182e-06,0.0001561924370377834,1.8602015502973754e-06,2.630918183327461e-05,-1.4710957422010128e-06,4.519054485752932e-06,-4.674415999557216e-08,1.873815016165435e-06,0.004371796574701992,2.2043405706356767e-05,0.001033567019157522,9.126736306139444e-05
0.08,8.803489955593541e-08,0.00017288673375623684,2.124705053130855e-06,2.661936751434176e-05,-1.3656225430367068e-06,1.6978667472150704e-05,-2.525490504241869e-08,2.2109579196402794e-06,-0.0009324804226383265,3.849841870806614e-05,0.0012749310467241592,-3.23931492121173e-05
0.09,1.6940048308801292e-06,0.00014123997998295143,2.3928878200471406e-06,2.701599911340149e-05,-1.146513118855624e-06,2.515759007966207e-05,-6.423645333533134e-09,1.446204909875352e-06,-0.005156886145257222,3.7795457944300725e-05,0.00027451588462146237,-9.667685064185645e-05
0.1,2.8009785171213238e-06,7.642998999907879e-05,2.664751925959176e-06,2.7332964888619614e-05,-8.973050170681165e-07,2.304088379888105e-05,3.600045062703748e-09,6.085864681903835e-07,-0.007376013347761862,2.360887835672898e-05,-0.0006918225445098625,-7.092569110202975e-05
0.11,3.1925255657595215e-06,2.3945314690372214e-06,2.938857713474086e-06,2.7445558100379844e-05,-7.200247715083673e-07,1.0860717833048719e-05,5.906007312938357e-09,-1.98399106861399e-07,-0.007049796818519138,-1.9518166805565507e-06,-0.001612417705941005,-0.00010043766615195959
0.12,2.8949421239183735e-06,-5.817303787358828e-05,3.212868529060866e-06,2.732393863337018e-05,-6.901213134933905e-07,-4.489750339092608e-06,-1.49835346444015e-09,-1.2795660968132444e-06,-0.0048009158146857245,-2.1189289458892202e-05,-0.0013667595001474742,-9.567987151021376e-05
0.13,2.1261608586371646e-06,-8.999488756407266e-05,3.484797590157229e-06,2.7040444618219617e-05,-7.990729948288969e-07,-1.6667557976530893e-05,-1.7505916541914502e-08,-1.7461159794713077e-06,-0.0014466846504269104,-3.3741790477950784e-05,-0.000987077722929941,6.856210740275996e-06
0.14,1.2167139162015413e-06,-8.556513926050959e-05,3.7534690819091506e-06,2.669438315624119e-05,-1.0005688630675147e-06,-2.2188089835467768e-05,-3.355425940562993e-08,-1.3999336699001563e-06,0.002353557388992844,-2.5393387626901354e-05,-0.00011526773173042848,4.358480037517103e-05
0.15,5.347245573197537e-07,-4.593390754143686e-05,4.018839924584629e-06,2.6391069682436086e-05,-1.2214035827532172e-06,-2.1246417046864273e-05,-4.560912938989571e-08,-1.0206623786817596e-06,0.005278734199857221,-2.220810274759788e-05,0.00031412807123662456,4.086244611033532e-05
0.16,3.616992459204298e-07,1.281941744768287e-05,4.281706420548339e-06,2.6210881088810244e-05,-1.4044589961883106e-06,-1.4142556883703625e-05,-5.285846690300131e-08,-3.2133481745443814e-07,0.006138467913402029,-1.101165600389531e-05,0.0010363952766472562,0.00010341894945081883
0.17,7.895819036306667e-07,7.156515482656818e-05,4.543742847690856e-06,2.6232538622143894e-05,-1.4840016111911975e-06,-1.0265675632898797e-06,-5.052049654904523e-08,7.816798451171284e-07,0.005407040218539966,1.7616735317207977e-05,0.0014585741841409983,9.399644231704654e-05
0.18,1.7483227348116923e-06,0.00011705391095633615,4.807033261404161e-06,2.645497127594239e-05,-1.421503682590591e-06,1.3242704892453292e-05,-3.9441256661511196e-08,1.2877866959883018e-06,0.0034929214623091454,3.08127069528763e-05,0.001282663573650894,1.0807830614728954e-05
0.19,3.0439761632956687e-06,0.0001365750041760815,5.07314870228039e-06,2.676762244852601e-05,-1.2466849828415088e-06,1.9713034862757076e-05,-2.6334368785468016e-08,1.3409798244346143e-06,0.00018399284427161877,3.0842632578617635e-05,7.635555562185425e-05,1.3013017404015816e-05
0.2,4.355156389459049e-06,0.00011949798226682517,5.3422389861872485e-06,2.7039393947037257e-05,-1.0546047412156673e-06,1.7922281362684554e-05,-1.2247571869152752e-08,1.432378143715492e-06,-0.0034750688154966958,2.4665805630486037e-05,-0.0003931552967379459,-1.5808586286695863e-05
0.21,5.329968325763144e-06,7.146863619169057e-05,5.613586490436508e-06,2.720735419137553e-05,-9.033776706938298e-07,1.1593554119137955e-05,-5.108208363624358e-10,7.336546671616905e-07,-0.005869084788319795,9.132890935237281e-06,-0.0008294643429939408,-0.00011865448986555344
0.22,5.733157412475509e-06,8.109433270772561e-06,5.885904967178284e-06,2.7232917316736327e-05,-8.294560026515013e-07,3.1600476160752074e-06,6.069239045458561e-10,-4.764973901500689e-07,-0.0064561979986633156,-8.61847216954148e-06,-0.0008506982335947377,-9.629469489056848e-05
0.23,5.5116165071211746e-06,-4.945699421491938e-05,6.157818743164954e-06,2.713069214643954e-05,-8.373827354544951e-07,-4.48142753126029e-06,-7.543914688426624e-09,-1.0302061271884477e-06,-0.0046317099281936724,-1.5892645152448814e-05,-0.0006908726163298295,-2.6102520953433348e-05
0.24,4.846253154525754e-06,-7.677247285508525e-05,6.428320541675394e-06,2.696954409724911e-05,-9.029910624885905e-07,-7.487534254781774e-06,-1.9209106701686445e-08,-1.3287549773978708e-06,-0.0005583192515103419,-1.602223926454316e-05,7.874457142398317e-06,-3.725270564051465e-05
0.25,4.126633168929084e-06,-5.9934357919480626e-05,6.697265365542831e-06,2.68239258629563e-05,-9.760596010222763e-07,-6.97073581865311e-06,-3.3757429857237454e-08,-1.458608603730497e-06,0.0037354450245231097,-1.5265963296581808e-05,0.00011431730798544537,3.494911347094666e-05
0.26,3.7654887414785236e-06,-8.029830084867742e-06,6.9649498818102785e-06,2.6725256496023164e-05,-1.0382676986387855e-06,-5.1409655212677185e-06,-4.4499397130266426e-08,-5.108443377478073e-07,0.006286184195084976,-5.437982164943622e-06,0.00030978749969934327,0.0001359971640443932
0.27,4.01023285237886e-06,5.67927631173907e-05,7.231929714833838e-06,2.6673994047888264e-05,-1.0851164430050661e-06,-4.911565674171031e-06,-4.3224586019546376e-08,6.626008268455316e-07,0.006133085262614912,-3.2024369119032503e-07,-9.340707393479253e-05,7.574137689161757e-05
0.28,4.841664196442032e-06,0.00010430580891602245,7.498561435567916e-06,2.666331072851102e-05,-1.134313095352924e-06,-4.345314666540535e-06,-3.4281340857197346e-08,1.0095486299883747e-06,0.002952909386807284,1.225983101690864e-06,0.00026041964596876244,1.0316183278191683e-05
0.29,5.960759473077757e-06,0.00011245611866634068,7.765538551609659e-06,2.6751949160282464e-05,-1.1515617308244991e-06,1.8916230573468993e-06,-2.3543243215620855e-08,1.1544676822144247e-06,-0.0012302049351302358,1.4491831498694707e-05,0.000846397620202971,1.6192787965819814e-05
