,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.005585909009399803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05479776738221207,0.0
0.02,-0.0008409907384913391,-5.726858448952235e-06,-0.0002804062307086014,-5.708582942818062e-08,-2.785994727019125e-07,2.7627205111313758e-11,9.767631602833664e-08,-2.3259152840784972e-11,-1.1483347354367435e-09,0.03061178205724118,0.000263770600685938,2.139450012525598e-05,1.2559459829216899e-07
0.04,-0.0014753484647819736,-4.228443843647901e-06,0.000431439845411979,-5.7383637796539136e-08,7.126359214830369e-07,3.278965491163582e-10,2.8240753228126e-08,-1.7111316077348008e-11,1.7669424955445968e-09,0.030925823614414354,0.00011403054584063641,1.3720793020001946e-05,1.2640735858136104e-07
0.06,0.012666726977952809,-8.398256393711862e-07,-0.0006147267214191699,-1.8001632112036263e-07,-1.3926993719807164e-05,-4.41319653806506e-09,-2.7046759187048137e-07,-2.702367573538922e-12,-2.4643877100345037e-09,-0.1216293831763516,-0.0009097333185459073,-2.5172349601909812e-05,-4.952437748029573e-07
0.08,0.010560729239510793,-3.0239686588487524e-05,-0.0018609825766396238,-4.910240724241442e-07,-1.800985845485553e-05,-4.992074829425746e-09,-4.671192386417583e-08,-1.2203304208478185e-10,-7.560391236866376e-09,0.013812755487582234,-0.0003028472613009381,2.9360938502725827e-05,5.793156676765776e-08
0.1,0.020310187475136,-6.198598565130088e-05,-0.0012195992313735599,-1.0402800713953347e-06,-3.683573389308519e-05,-9.737750553086403e-09,-2.1853731753951555e-07,-2.5000822352845867e-10,-4.85184446300905e-09,0.04139844250146296,-0.0008883202788749359,-3.7804928133763624e-05,1.7342986102092395e-07
0.12,0.00024626497198867287,-6.124677062021196e-05,0.0019509465220213284,-1.5618337427817754e-06,-1.3119303993654703e-05,-2.7891062144706473e-09,4.35666089659483e-07,-2.448432368796185e-10,8.056666937774371e-09,0.233203436753771,0.001551069057289896,5.0664446408194455e-06,9.484490079564312e-07
0.14,-0.022138050459572,2.260767821079909e-05,0.006054775717113996,-1.4218018995050687e-06,3.119831204815871e-05,8.66317914543957e-09,6.528488653899345e-07,9.856724134966077e-11,2.4709904536731698e-08,0.12229874812241945,0.002888782056303939,9.741667903910003e-06,4.898600240652029e-07
0.16,-0.0064311393393540126,0.0001263460874663005,0.002398707413635843,-7.098864593800284e-07,3.669306905840984e-05,7.849756275364408e-09,-1.6171675161558994e-07,5.212144231538857e-10,9.689896541879262e-09,-0.43826617064973117,-0.0002276204338894084,-0.00023683030657518358,-1.796694394824716e-06
0.18,0.005676794737106561,7.875431758735574e-05,-0.006914458748912716,-1.7904176759035025e-07,1.0310963868890113e-05,1.5786588106588073e-09,-5.101962951972541e-07,3.2380774266488906e-10,-2.840698096142977e-08,-0.3672682914950828,-0.002098777710931291,-3.380704538254635e-05,-1.4980340765982647e-06
