,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.006383896010742632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793827000193035,0.7316893842399895,-0.5420087198846887,0.0
0.02,-0.0009611322725615304,-3.619380662041533e-06,-0.000418854071158046,4.928006484564138e-07,2.3960719306614398e-05,-3.578963164399929e-06,-8.208045070554053e-07,-3.531254189800055e-08,-6.459912998271426e-06,-0.010049924476583122,0.00023293803289510528,0.03740277145773377,-0.0006897544013285246
0.04,-0.0016861125311793985,-8.037205106670564e-06,0.0002152491761796635,1.0269697251455281e-06,2.9149112003251347e-05,1.5926868217798474e-07,0.0002098431201730406,-1.635083840947003e-07,2.5831839000399695e-06,0.057859366710854815,0.00017505217544086515,-0.00928182273190617,0.0015294481130022197
0.06,0.01447625940337464,2.376176620008385e-06,0.0002978951430779169,1.5426029037559751e-06,1.7823996269000157e-05,-4.475031615925684e-06,-0.0007915196170859842,4.922467687454536e-08,7.923606153397846e-06,-0.09254829173077708,-0.001145335787233387,-0.04931438471815193,-0.0014041818063669806
0.08,0.012069404845155191,-1.8029032390452252e-05,-0.002306922747883439,1.7370239647319698e-06,5.2739131480848865e-06,-1.8630492372683643e-05,-0.0002995831654519269,-2.0932261008861628e-07,-3.6008559664989386e-05,-0.08438276411190201,-0.00013454403498661116,0.04858800874694216,-0.001866466713424518
0.1,0.02321164282872686,-6.641066374263648e-05,-0.001955065234481313,1.7626143198172661e-06,-6.100080764265985e-06,-2.4486438078018213e-05,-0.0006106841430126972,-9.649350908020725e-07,-2.4599308879139496e-05,0.08217972452679626,-0.0010636450952092175,-0.04577178809247809,0.0020502699986221368
0.12,0.000281445682272769,-8.326298864662463e-05,0.0007319779426429557,1.5858490975944675e-06,-2.422770382928864e-06,-2.8598059725509135e-05,0.0007234048572801658,-1.1918355341734255e-06,1.3204531850304623e-08,0.21538694577219902,0.0015344992652577688,0.11161431600171481,0.002125526960838779
0.14,-0.025300629096653714,-1.638938140430581e-05,0.006175127189218517,1.9895104040355743e-06,4.981166635787513e-05,4.475987480987298e-06,0.002312685966639598,-3.667844516134806e-07,9.036250104581271e-05,0.2735620522532606,0.0037447457313204563,0.03712059821957034,0.004111623492588798
0.16,-0.0073498735306903,0.00013511716707761856,0.006935094528592003,3.5700220744420673e-06,9.48354979692521e-05,3.652138950131555e-05,0.00037201533083499596,1.8290531044725958e-06,0.00010718038787740859,-0.3120937299943682,-1.4007529085299786e-05,-0.1278991430121183,-0.002951910272276717
0.18,0.006487765413836071,0.00017181994063820245,-0.00444234840437635,5.261239691965422e-06,6.679925395048096e-05,2.666706321101582e-05,-0.0010446725189557826,2.544286309366413e-06,-6.816796680108365e-05,-0.6539261621911758,-0.002358619769533235,-0.03940366251853433,-0.011372469044695702
