,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.00718188301208546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07045427234855837,0.0
0.02,-0.0010812738066317217,-7.779724817023655e-07,-9.911448803082663e-05,-1.209102616686597e-12,-8.218734333821416e-11,-7.898101460671067e-06,-0.0004971514401939856,-2.4306166903233506e-11,-5.196857138640473e-09,-0.006277192385621853,1.5541254216704103e-09,0.017273249350574428,-8.55370024674546e-07
0.04,-0.0018968765975768231,-3.6720449594550544e-06,-0.00017116877655374527,-2.50401483051398e-12,-4.528467222079604e-11,-1.4119400069588162e-05,-0.00011307099571401389,-4.2941240377992207e-10,-4.171225131011646e-08,-0.0005627349621662105,2.1620776902760847e-09,0.020872607918488075,-2.725211757843349e-06
0.06,0.01628579182879647,-7.483339286763311e-06,-0.0002580662144601313,-4.6564351035449054e-12,-2.5250555006942074e-10,-2.3720905073153633e-05,-0.0013876883015365882,-1.883056511488452e-09,-1.072074579586001e-07,-0.014941843266601721,-2.263217714106036e-08,-0.1414036825403873,-3.919390227823034e-06
0.08,0.01357808045079959,-1.7648458297431022e-05,-0.0008456215379689174,-1.3955061305340423e-11,-6.655109530786034e-10,-7.573941680643353e-05,-0.0036230928521327373,-5.082444122140101e-09,-2.3313426721193187e-07,-0.04102821430311918,-1.9082559164773638e-08,-0.08400613904940024,-1.0132724795629609e-05
0.1,0.026113098182317718,-4.42031864636166e-05,-0.0018939401853505357,-3.234685784816353e-11,-1.2370856422656028e-09,-0.00017110766321869206,-0.006198799616271883,-1.2645739904615225e-08,-5.745177659318427e-07,-0.06616884458110342,-3.812579598555521e-08,-0.16963854928566957,-2.558498932218513e-05
0.12,0.00031662639255686513,-9.605794534620524e-05,-0.0032629140821573465,-6.251082607928529e-11,-1.672274132131465e-09,-0.0003100357038592586,-0.006800698067436013,-3.076360784320349e-08,-1.318506954161223e-06,-0.05759455693401428,-5.914033998632995e-09,0.09833885959135999,-4.97056643010822e-05
0.14,-0.02846320773373543,-0.0001684507089486562,-0.0036991360004828195,-9.478756885853247e-11,-1.4361893282801843e-09,-0.0004098686752398667,-0.0024110648596360625,-6.85786348535432e-08,-2.524668044039128e-06,0.025242572245983565,2.9908648765952783e-08,0.3298955017008011,-6.768693312987978e-05
0.16,-0.008268607722026587,-0.00023088746752275303,-0.002277127116368259,-1.194230908591939e-10,-1.1138286862793423e-09,-0.0004098198265552489,0.001578308607543261,-1.3236830267971818e-07,-3.8102696876586147e-06,0.10517156972939792,3.920865111750604e-09,0.07855647086360185,-5.437638079536247e-05
0.18,0.007298736090565579,-0.0002535318128302,5.3947674590276025e-05,-1.418434211491837e-10,-1.1709421907094796e-09,-0.0003736681816844419,0.0015158383113784521,-2.1677102595471952e-07,-4.474806197412943e-06,0.11749149147062318,-8.975732872229525e-09,-0.07784595248395476,-8.186100913385645e-06
0.2,-0.0052919191481495655,-0.00023006102220356458,0.0022445050757949683,-1.6523994235055376e-10,-1.0797841335384578e-09,-0.0003500380582752259,0.0012689577327911284,-3.041280658911484e-07,-4.07177548612573e-06,0.10294943585643515,1.7647674974141658e-08,0.04860223876133592,4.8265710057815374e-05
0.22,0.0004773159188144015,-0.000165848098479585,0.004085866154306216,-1.8332877746047145e-10,-7.31212079308262e-10,-0.00031912797759013666,0.0016264796767077494,-3.7244640596945177e-07,-2.5970681725150674e-06,0.0757943663538578,1.7002273908217624e-08,-0.010117989994950954,9.695810066616863e-05
0.24,-0.004973612698283918,-7.180621976592583e-05,0.005179585480172301,-1.9366907297640148e-10,-2.6226287844104707e-10,-0.0002848615443414586,0.001976788397440591,-4.026203321267501e-07,-3.2110159626138166e-07,0.0340748166257642,2.9203340424707736e-08,0.04315697657318972,0.0001267678824842705
0.26,-0.0074322134180549405,3.597218101521865e-05,0.0054691227535047775,-1.9272939053881662e-10,3.7022322205021674e-10,-0.00023558411507785618,0.003002089020664535,-3.8291886164452467e-07,2.3092961632020248e-06,-0.0046152969919133245,3.340453256367448e-08,0.058529706995983186,0.00013220774145064328
0.28,0.049792612920014336,0.0001398073523159109,0.004579756081564228,-1.8400341347302286e-10,2.3507811592889664e-10,-0.00019976999234083565,-0.0011084681310342234,-3.1114155777718894e-07,4.802765491215499e-06,-0.10445721992785009,-4.691728216696389e-08,-0.4480379303004814,0.00011211514690133643
0.3,0.03942168698580787,0.00020117441410434048,0.0011495938317277103,-1.8799634525853814e-10,-6.101185451219844e-10,-0.00029761132205434465,-0.00801400252000913,-1.9595371472847372e-07,6.51031332804203e-06,-0.22621833030425792,-3.9570255096904594e-08,-0.24958697642405897,5.0280195587449746e-05
0.32,0.021599305490570465,0.0001750824996321331,-0.003867286537511778,-2.0743618454359743e-10,-1.3056299112778309e-09,-0.0004921009343613793,-0.01069667338380878,-6.215358361105159e-08,6.5180655651017615e-06,-0.25848045740813663,-3.098923161137801e-08,-0.028205639778151895,-5.471917034496982e-05
0.34,0.0020785704703957636,4.8939388417432746e-05,-0.008522507698834695,-2.3918949951697013e-10,-1.8410073328768915e-09,-0.0006986159931593136,-0.009346862509144759,4.940813937710671e-08,4.251586611321489e-06,-0.19136703228265906,-2.2268370689082495e-08,0.15426784907000524,-0.00016985957734011432
0.36,0.0020967484456974853,-0.00015182276696090307,-0.011136219896426297,-2.814576064014621e-10,-2.4277613511436255e-09,-0.0008570612946205904,-0.006615578156572972,9.420793198174697e-08,-4.203254546317977e-08,-0.06650050796496015,-3.479966063923978e-08,0.11894648265514235,-0.0002505078294159123
0.38,-0.06074304349649956,-0.0003765065080155895,-0.0106515557811941,-3.3153687855295204e-10,-2.3031590006512275e-09,-0.0009291799522364669,0.0011078596949712313,4.103223560977172e-08,-5.322704406813031e-06,0.13676128455323064,4.844815483517895e-08,0.6305920378101214,-0.000264037679563165
