,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.003462148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033963671880000004,0.0
0.02,-0.0005212463,-3.7586945454597004e-07,-4.776700005297773e-05,-5.827397939312406e-13,-3.9626543803061355e-11,-3.806026357152206e-06,-0.00023969340503000224,-1.1657806812996247e-11,-2.511113699941639e-09,-0.0030258921895141254,7.450239305692441e-10,0.008327093530805227,-4.1314631275599986e-07
0.04,-0.0009144214,-1.7691194439609066e-06,-8.247613350571976e-05,-1.2067642401211593e-12,-2.182009974107869e-11,-6.804201418896638e-06,-5.4483158176027025e-05,-2.0741329538473885e-10,-2.0097597980962465e-08,-0.0002713505751148294,1.0465391641397565e-09,0.010061582593069511,-1.3126394247116826e-06
0.06,0.007850841,-3.606815735175404e-06,-0.00012434345680402905,-2.244010625294367e-12,-1.2171743876295914e-10,-1.143023735569021e-05,-0.0006689613884630288,-9.078768989977771e-10,-5.1669496902564973e-08,-0.007202973496535234,-1.0912691595851842e-08,-0.06816634355684348,-1.8889866258957646e-06
0.08,0.006545543,-8.5065262978814e-06,-0.0004075762758058689,-6.726328553667828e-12,-3.2081836090968264e-10,-3.650566209688195e-05,-0.0017466313277614619,-2.449910037979379e-09,-1.1236912241221662e-07,-0.019779237654975378,-9.210869350226303e-09,-0.04049624977748745,-4.88390835130152e-06
0.1,0.01258826,-2.1307400810168486e-05,-0.0009129676579640441,-1.559280247973284e-11,-5.963492434617304e-10,-8.248228612480061e-05,-0.0029882384968570835,-6.096011573983203e-09,-2.769346270693363e-07,-0.031898375932887746,-1.8374088816414114e-08,-0.08177723753286256,-1.2332766745275744e-05
0.12,0.0001526351,-4.630384870957882e-05,-0.0015728754770027976,-3.0133258044151305e-11,-8.061375081308417e-10,-0.0001494519564484847,-0.0032784312676574314,-1.4829689606843543e-08,-6.355703634906504e-07,-0.027765748026209503,-2.85323074195043e-09,0.04740609072676486,-2.3960171865861923e-05
0.14,-0.01372117,-8.120100296492149e-05,-0.0017831964769388308,-4.569257365182063e-11,-6.923315548092167e-10,-0.0001975789690769149,-0.001162375278456658,-3.3058065929625484e-08,-1.2169978864129556e-06,0.012166227459599027,1.4408334848142745e-08,0.1590325197435941,-3.262866173655783e-05
0.16,-0.003986022,-0.00011130024354382117,-0.0010977378915736223,-5.756818852345096e-11,-5.36922227896903e-10,-0.0001975557053296203,0.0007608577322364893,-6.380713960223489e-08,-1.8367401781879771e-06,0.05069871941574217,1.8966432868694483e-09,0.03786919747729252,-2.6213891868446433e-05
0.18,0.003518479,-0.00012221553332693267,2.5983114234316127e-05,-6.83759793072068e-11,-5.644578448071507e-10,-0.0001801283937229304,0.0007307002627568379,-1.0449437258029254e-07,-2.1570856236639736e-06,0.056636802580752425,-4.318272409792323e-09,-0.03752663754517127,-3.946604550741098e-06
0.2,-0.002551059,-0.0001109026972046122,0.001081954162077083,-7.965350982328132e-11,-5.205369148182425e-10,-0.00016873294901154561,0.0006115437680554388,-1.4660295946880724e-07,-1.962798142879093e-06,0.04962602790533586,8.479565993813054e-09,0.023431142106555346,2.3263188158009007e-05
0.22,0.0002300982,-7.995098744736708e-05,0.001969531303936397,-8.837379440922902e-11,-3.525043246814725e-10,-0.000153836858534573,0.0007840007278193034,-1.7953507133526945e-07,-1.2520005157585677e-06,0.03653808517445676,8.209409424822511e-09,-0.00487710854372946,4.673617417498131e-05
0.24,-0.002397614,-3.461980006103566e-05,0.0024968061558141796,-9.335872571272814e-11,-1.2645647025633318e-10,-0.0001373188682721178,0.0009528512920129676,-1.9408266558671493e-07,-1.5493632883980527e-07,0.01642780345121678,1.4074860251248045e-08,0.020805076617941932,6.110802162549153e-05
0.26,-0.003582824,1.7336095470756414e-05,0.002636417807844776,-9.290646655896578e-11,1.7844124933334704e-10,-0.0001135658598539307,0.001447121384046944,-1.8458867053372044e-07,1.11308906290509e-06,-0.002223271867048861,1.6089263453651637e-08,0.028215811021767682,6.373158440562763e-05
0.28,0.02400337,6.738832693895606e-05,0.0022077226180727875,-8.870110052418843e-11,1.1330915099082427e-10,-9.630343855906872e-05,-0.000534216308148622,-1.4999102980606615e-07,2.3150591540792297e-06,-0.05034954022952551,-2.2590118862325648e-08,-0.21598647446642485,5.4045647104448356e-05
0.3,0.01900389,9.697074522170687e-05,0.0005542368926016752,-9.062608699003387e-11,-2.9413853780578053e-10,-0.0001434669634601225,-0.0038631922600856593,-9.446559601086972e-08,3.138213005851327e-06,-0.10904663203638604,-1.9076646038881928e-08,-0.12031951938588163,2.4237689318691843e-05
0.32,0.01041231,8.439596946821637e-05,-0.0018641309785209297,-9.999772784957943e-11,-6.293961117560838e-10,-0.00023722255666680736,-0.005156346388010679,-2.996896522573478e-08,3.1419954346203236e-06,-0.12459988324066616,-1.4932948287638137e-08,-0.013599667040179435,-2.63749043572514e-05
0.34,0.00100201,2.3591616108163363e-05,-0.004108198673713621,-1.1530469668090489e-10,-8.874712687258104e-10,-0.0003367744267402902,-0.004505719538352081,2.380941101869587e-08,2.0495185502036566e-06,-0.09225005812750538,-1.0737499986368526e-08,0.07436583488952936,-8.187834046325117e-05
0.36,0.001010773,-7.317901668872972e-05,-0.005368216693765748,-1.356799811670806e-10,-1.1702750360317588e-09,-0.00041315474208241407,-0.0031889952057602097,4.540729351667235e-08,-2.0009923738832856e-08,-0.03206036834084967,-1.6736327670963114e-08,0.057338467387078366,-0.00012075716533302109
0.38,-0.02928221,-0.0001814877575452892,-0.005134717136060128,-1.5982026154491315e-10,-1.1102059487659557e-09,-0.00044792167783261854,0.000534136003708723,1.9780030877609638e-08,-2.5655651172166723e-06,0.06592244521634276,2.3363015265454035e-08,0.30398720195153944,-0.00012728195137779195
0.4,-0.02471116,-0.00026321140565990395,-0.002685677969390606,-1.7760908687372547e-10,-6.734404674430481e-10,-0.0003845424489907678,0.005418467592097077,-5.518986163473084e-08,-4.7994318494166335e-06,0.17117345933538605,2.1894531312960375e-08,0.18843929109812546,-8.770467796139861e-05
0.42,-0.001190083,-0.0002790320087820481,0.0012025533029853806,-1.8811801068019865e-10,-4.422866289969605e-10,-0.0002566362112906785,0.006520526267665472,-1.6373617585641593e-07,-5.776643677997967e-06,0.20076560649187497,2.3292782806716428e-09,-0.0671651864319204,-4.625383741572946e-06
0.44,0.002586331,-0.00021701568254300276,0.004851681898966315,-1.9580250159301385e-10,-2.9287022994248415e-10,-0.0001413717256567289,0.004931712762056771,-2.7369799073314686e-07,-4.897334672605402e-06,0.15664160213523418,1.2242932972972298e-08,-0.08949256024549576,9.148967079495595e-05
0.46,0.009569127,-9.372711625916319e-05,0.00719197936908922,-1.9902134165837132e-10,-2.3822197056740018e-11,-6.349969063703444e-05,0.0027263817573954,-3.478359293336033e-07,-2.269728134645846e-06,0.07137888748810252,1.3739631956038306e-08,-0.128307221812812,0.00016512223000181867
0.48,0.01794375,5.722874941707993e-05,0.0075303010375220225,-1.970995700745622e-10,1.921045277486651e-10,-3.734762514937969e-05,-0.00023469038397459248,-3.575124041645141e-07,1.3922665169849937e-06,-0.040213728344637614,6.5307426914268385e-09,-0.1654155240196855,0.00019190783232367564
0.5,0.03319682,0.00019172916264161832,0.005509882471055387,-1.9347208017950046e-10,8.784377256619529e-11,-8.120792413091858e-05,-0.004434337628835465,-2.9239156766182174e-07,5.01427019031837e-06,-0.16273223940312204,-1.831079864253113e-08,-0.2504599961951863,0.00016022153328522267
0.52,-0.0109074,0.0002637384860298886,0.0015338140293735569,-1.9200659133582206e-10,2.1726212341341825e-10,-0.00018804823018090535,-0.004748629174554869,-1.6511133355559876e-07,7.420778581673063e-06,-0.209610923469487,2.94093594477296e-08,0.19977129889054182,7.285806938173519e-05
0.54,-0.03696516,0.00025601244585974654,-0.002052487939889165,-1.8060206391954377e-10,9.82598678868859e-10,-0.00022969229947404228,0.0012018250585350983,-9.377464372581581e-09,7.79116207754957e-06,-0.1337988150719978,4.7341133242728706e-08,0.3852295634894483,-3.464121202020847e-05
0.56,0.006001136,0.00019462870208921594,-0.0038404723325658934,-1.5640736336724318e-10,1.2007147268352436e-09,-0.00016150140625213877,0.004061496025571893,1.3356916590228037e-07,6.242474159510441e-06,-0.06042216747882939,-2.354704032453414e-08,-0.0814250522501111,-0.00011271446209710927
0.58,0.004054447,0.00010777485282659504,-0.004732331473292152,-1.372389602777775e-10,7.115226904321371e-10,-9.486574016521152e-05,0.002682419501542325,2.3286566382108164e-07,3.5686414628484745e-06,-0.026730023157896687,-2.4883309086842775e-08,-0.05729810438612005,-0.00014844622561592383
0.6,-0.01790088,1.1280588010569618e-05,-0.0047012513228070485,-1.2610730835012179e-10,4.97481634335394e-10,-3.8986990964550296e-05,0.0035492247730446987,2.739046685202854e-07,5.300765323146064e-07,0.03778553779766961,3.8109254016371885e-09,0.1358922627452663,-0.0001498838436661086
0.62,0.01023874,-7.081927008185815e-05,-0.0033604204611233663,-1.17877813735803e-10,2.078475620943093e-10,3.895510607054258e-05,0.00329474332351862,2.5616207214794546e-07,-2.1949983877730877e-06,0.0821624364105088,-3.1473827538999744e-08,-0.14931116724387838,-0.00011727750993587184
0.64,0.02527721,-0.00012229123311132008,-0.001861597961424282,-1.2088716385916307e-10,-5.509820999622815e-10,6.750802475189332e-05,-0.000784558726133345,1.9219570272979757e-07,-4.024426215271282e-06,0.05982679266384741,-4.420610201505415e-08,-0.2529214453452934,-6.458698571466651e-05
0.66,0.01362203,-0.00015016410054481672,-0.0010352999364631325,-1.3917410992582902e-10,-1.2024520927956539e-09,1.235279127267616e-05,-0.004202627637112941,1.0216120241535072e-07,-4.822902076928298e-06,0.027009677112645465,-2.1609927187971056e-08,-0.0942136165310265,-1.7889397561694995e-05
0.68,0.005539666,-0.0001664838619144326,-0.0006329269303607225,-1.6653636552378727e-10,-1.4851696916412422e-09,-8.373277929980844e-05,-0.0050827186333835695,4.357950030935642e-09,-4.859633581264062e-06,0.016295528202042858,-6.970188301536062e-09,0.0025737579898974794,1.1375728450670065e-05
0.7000000000000001,-0.004644107,-0.00017561416977146524,-0.00024908905127256863,-1.9655663964144408e-10,-1.4633901347171633e-09,-0.000178176386078998,-0.004047293415904936,-8.934102303407446e-08,-4.457536473919774e-06,0.02557137770356114,9.077982227045922e-09,0.09693306085818983,2.7356749701650996e-05
0.72,-0.0224638,-0.00017362418775611433,0.0005672172252455748,-2.2225384526600784e-10,-1.018502313927921e-09,-0.00022990384702639601,-0.0006662395836914909,-1.7220583649263056e-07,-3.7868733262549706e-06,0.06117048386173318,3.5387567993983016e-08,0.23484027284704276,4.021699749652627e-05
0.74,0.005495983,-0.00014815720380524294,0.0020038737172386628,-2.3791507964875646e-10,-6.623053813447661e-10,-0.00021701686977813265,0.0009769355475744775,-2.386876874874677e-07,-2.7927887826535943e-06,0.0684630308956589,9.576270540434528e-10,-0.05865345152833814,6.062341633909735e-05
0.76,0.01010985,-9.700757014144788e-05,0.0029646663826267453,-2.510022437597442e-10,-6.500882311311928e-10,-0.00021100138601101972,-0.00045660095042998627,-2.809159376311546e-07,-1.3614154461761565e-06,0.024664013466287046,-1.8421086184217117e-10,-0.0830976801371677,8.091043967004195e-05
0.78,-0.006366962,-3.556844179680286e-05,0.003072964882246715,-2.6234394206141233e-10,-4.0370768103059037e-10,-0.0002249788533180055,-0.0003868042482497757,-2.9134216768110553e-07,3.338953681123265e-07,-0.007123518961059632,2.3978063940638394e-08,0.08330016759147939,8.542817924428068e-05
0.8,-0.009485969,2.383355399183038e-05,0.002842578346265966,-2.654346170790582e-10,1.0289645707279254e-10,-0.00021514306181160737,0.0014105985893940985,-2.68131577475582e-07,1.9493195517683694e-06,-0.014508241751554326,2.644540791386929e-08,0.09540069814030633,7.421714852173466e-05
0.8200000000000001,0.0008568845,7.718637549442358e-05,0.002444719445140993,-2.591998918176791e-10,4.6509483259102814e-10,-0.00017562040569317345,0.0021747452542874722,-2.154789272076146e-07,3.2526966764477573e-06,-0.028863769462091095,9.791994010771576e-09,-0.014810732077168435,5.522520840084957e-05
0.84,0.006395456,0.00011857593829451446,0.0016044146066614186,-2.48630456847408e-10,5.562717475236261e-10,-0.00013827992281155593,0.0014092619610305381,-1.4093543347043537e-07,4.118284918532679e-06,-0.05573277853298265,-9.027158777430433e-10,-0.05990300247061686,3.013806006245295e-05
0.86,0.007935564,0.00013783083943140066,0.00024630317138747844,-2.381124989819054e-10,4.728152306568764e-10,-0.00012210584957253107,0.0002068326759629508,-5.4601141719467816e-08,4.406046738471158e-06,-0.07806235414663887,-7.687825365892964e-09,-0.0603298670332462,-2.615524647168589e-06
