,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721805691420034,1.1017034237463679,-0.804388772970034,0.0
0.02,0.002355801,-5.53351879015115e-06,-0.0007049088678922007,7.493725604138628e-07,3.4341456022321184e-05,-6.2551059489795746e-06,-0.00018528420276998846,-5.212487804112815e-08,-9.871667820406523e-06,-0.03406170197200836,1.6910709203996066e-05,0.03864710026570389,-0.0011803858178181482
0.04,-0.003095681,-1.8205173533122567e-05,-0.00011667339914323753,1.4900549109377178e-06,4.139809588598558e-05,-3.0953865917816795e-06,0.00039137226107463833,-3.362178971256757e-07,-5.8799302129918274e-06,0.09288209660907165,0.0005348314561919865,0.010040729821498506,0.0021222242906991443
0.06,-0.00609407,5.027469679188673e-07,0.0019050062422830809,2.420663872255268e-06,5.164843131884436e-05,4.3840654599041774e-06,0.0003166004666372423,-4.95883738879577e-08,2.8169146268794586e-05,0.0691379435161372,0.0005582356333497934,-0.0033035645725899843,0.0006204408997704817
0.08,-0.01118143,4.303152474834819e-05,0.0019122688191342894,3.601469796646925e-06,6.838014851100322e-05,1.2140596465872325e-05,0.0005150144662221022,5.688336697992492e-07,2.965485643521601e-05,-0.056845628559818284,0.0011227677377696615,0.012713385200267657,-0.0007516513857354218
0.1,-0.01585875,6.714441849009825e-05,0.00045210110422223533,5.184536815382271e-06,8.876590863339046e-05,2.317646779976552e-05,0.0004930915281813304,8.968494919692862e-07,2.1867289048433437e-06,-0.07222908730626493,0.0007563492806987177,-0.014293921243159424,-0.001024678488847592
0.12,-0.0147843,6.357969735990632e-05,-0.0007247938941256026,6.9987803355609215e-06,8.754043681273468e-05,2.7284064077076424e-05,-0.00012885406450445104,8.189684049742326e-07,-9.724877515754155e-06,-0.04666006583566021,-0.0007104104664860805,-0.029555807390648198,-0.0008663881004702598
0.14,-0.009583965,4.105934338610379e-05,-0.0014629505713855497,8.564390202915961e-06,6.757764695723081e-05,1.944064462265736e-05,-0.0005799263801778899,4.5923484901334895e-07,-2.2695114995045057e-05,-0.0252011296682271,-0.0011056244321075576,-0.0090310819902025,-1.3887702679054453e-05
0.16,-0.005283272,1.0406011736116275e-05,-0.0013825417624716563,9.723241557828981e-06,4.965660674285783e-05,7.994537181362135e-06,-0.0005003710822173142,7.676274795798055e-09,-2.2586236146264744e-05,0.038195457313829756,-0.0006885412768137117,0.010454887278105923,0.00019717759405778033
0.18,0.005023172,-7.762977594851839e-06,-0.0004643647856743921,1.0565515700259912e-05,3.405061788931414e-05,-2.5063628815720756e-06,-0.0006148034381852306,-2.808594312267052e-07,-3.2067200394954483e-06,0.03050915224143294,-0.0008450989424536731,-0.009524516376877706,0.0008555257354095572
0.2,0.02452899,-1.811534049352461e-05,-0.0010187714292017177,1.1046887302670177e-05,1.2497226265550606e-05,-1.9520831710925214e-05,-0.0011272571143091028,-3.6709665578996393e-07,-1.3064890255067843e-05,-0.09782576628011036,-0.0012898150217821591,-0.024374226996167037,-0.0013475664908427568
0.22,0.03242312,-6.090013666229055e-05,-0.003102292479399396,1.1100310715003711e-05,-4.952364623362891e-06,-4.0756806754742804e-05,-0.000840223128105274,-9.560787934802178e-07,-4.7361104728779064e-05,-0.05385506399538656,-0.0005807056674106276,0.023757279778134827,-0.0015210816557591489
0.24,0.01759062,-0.00011562637189602338,-0.001299990871305879,1.09683039070637e-05,-3.1221168814236582e-06,-4.5593921877924335e-05,0.0004704180441264549,-1.883885228495242e-06,-2.5904541857372392e-05,0.2532342064303339,0.0008589518344647579,0.06418581138959367,0.003996631740540407
0.26,-0.003134423,-7.802296406799731e-05,0.005315781523238948,1.1121539888535612e-05,2.349169327518767e-05,-2.4260971676771428e-05,0.00159095978971466,-1.406929814789293e-06,7.692945184195119e-05,0.325278634735948,0.002123679400615308,0.045068019055323344,0.005032829090472868
0.28,0.02415906,6.316264207688995e-05,0.006595558911119502,1.1863350185851123e-05,4.11291414005888e-05,-4.682998547713992e-06,-0.00015618346232610923,8.0445095680866e-07,0.00011593361845809665,-0.3099123875298325,-0.0005986372097115944,-0.12065660129621425,-0.003654235339664847
0.3,0.05145356,8.927085572874774e-05,-0.005411110141228508,1.2408269303101314e-05,6.0775755598539735e-06,-2.6181983333506078e-05,-0.0017603591651809782,1.4373313547733519e-06,-8.279445169236657e-05,-0.7225048573176888,-0.002873528870588282,-0.056324732871171984,-0.011988229354043964
