,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08258308154999999,0.0
0.02,0.002355801,-5.854432960986839e-06,-0.0007205204559509741,-1.0010834335078373e-07,-7.881494663089559e-06,-6.073034576010683e-06,-0.00019067172020756303,-4.449614056980909e-08,-9.11777513022362e-06,-0.03542319267506463,9.613698817863737e-06,0.03795197607032246,-0.0011926645618982716
0.04,-0.003095681,-1.929973621466484e-05,-0.00018309947493925778,-2.1126369346812163e-07,-1.7909476050099106e-06,-3.031899678896396e-06,0.0003885017508058517,-3.269109899968847e-07,-6.492048422919643e-06,0.09015874483574934,0.0004550684511324772,0.010428577844868052,0.0020977864863237494
0.06,-0.00609407,-2.2528366302323525e-06,0.0018185304107815425,-1.6220952361349758e-07,6.55782233020088e-06,4.417494683508898e-06,0.0003139791404698925,-5.1338241759451944e-08,2.7626506834993635e-05,0.07014182925629521,0.00043059735543202475,-0.0035768343077801764,0.0006005292850995356
0.08,-0.01118143,3.888871032144883e-05,0.0018631416395854046,8.040482319500226e-08,1.8940930814615267e-05,1.208559830421298e-05,0.0005106579974118424,5.578507931476079e-07,2.9698539763047866e-05,-0.05481792308556909,0.0007944152178506879,0.012948172710012631,-0.0006732532335502438
0.1,-0.01585875,6.235846290974843e-05,0.00043184938686284394,6.04721568886521e-07,3.247491906347799e-05,2.310717614174788e-05,0.0004964675958608061,8.943443751363576e-07,2.594650410864398e-06,-0.07173799167512014,0.0004762685243323492,-0.013933101823460105,-0.001040231808172084
0.12,-0.0147843,5.832353247435537e-05,-0.0007587459852002274,1.2796917954122537e-06,3.186348520530547e-05,2.7313634595340473e-05,-0.00012425935828276022,8.260742391497414e-07,-9.166357783912208e-06,-0.048254695187917564,-0.00043839918236562435,-0.029727915817053106,-0.0008912091440833707
0.14,-0.009583965,3.477255055253825e-05,-0.0015321146538111738,1.7969372847028462e-06,1.8594237163562154e-05,1.9514878557855128e-05,-0.0005804171136110964,4.663697713142632e-07,-2.3184851152267638e-05,-0.02679635851230554,-0.0007883385881215492,-0.009306187397610253,-2.500431625459751e-05
0.16,-0.005283272,2.5476021265090603e-06,-0.0014620985764857834,2.024882167464872e-06,4.924890666876916e-06,8.010646285116127e-06,-0.00050519889956561,6.184965769535973e-09,-2.3060000111075038e-05,0.03901029140957341,-0.0005614782971257157,0.010328555923362995,0.0001740552260145712
0.18,0.005023172,-1.6929953338451167e-05,-0.000511988997503909,1.995953035901279e-06,-8.49471238551744e-06,-2.5906993650597613e-06,-0.0006187215999131311,-2.9102733200004224e-07,-3.235491358427788e-06,0.03247935268200646,-0.0007562782130679244,-0.009289209339037185,0.0009179685207332013
0.2,0.02452899,-2.7864460826794936e-05,-0.0010325723459585563,1.6360757944191961e-06,-2.961101879332837e-05,-1.9619382088690334e-05,-0.0011243466604688424,-3.71773732773978e-07,-1.2768964599664533e-05,-0.09684294212818848,-0.0013613157307705583,-0.02401215430813308,-0.0013513653204838168
0.22,0.03242312,-7.088198844106077e-05,-0.00311878045665785,8.240959878789687e-07,-4.953662464961216e-05,-4.07466135067623e-05,-0.0008337164562240232,-9.516502698607495e-07,-4.676087181431763e-05,-0.05493985640085206,-0.0007303132098743628,0.02371454573732488,-0.001535192632887053
0.24,0.01759062,-0.00012622397456718513,-0.0013477898595893126,-2.0708595341592824e-07,-4.722442600145347e-05,-4.549672778921011e-05,0.00047144531076821983,-1.8753679071622e-06,-2.6071025331555336e-05,0.2513582411023468,0.0010354593216454822,0.0638145314332708,0.003982849246530612
0.26,-0.003134423,-8.989851617621107e-05,0.005240910277899557,-9.063398741443659e-07,-1.821012344998865e-05,-2.420220065137424e-05,0.0015869896798046932,-1.4037260532377056e-06,7.64439984441073e-05,0.32483709258156684,0.002073948502675202,0.04499185855805797,0.004998680999075196
