,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.008418255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08258308154999999,0.0
0.02,0.002355801,-1.0569457434249298e-06,-0.00014424626873365233,-1.7345002502322104e-08,-1.4553849429498603e-06,-1.1481754085449417e-05,-0.0009097741428376169,-3.081861866271367e-11,-6.75991474202288e-09,-0.0114664261529737,-3.125455146806098e-05,-0.01111999484363887,-1.1649706583000567e-06
0.04,-0.003095681,-6.1453147331240745e-06,-0.00034765398880489697,-4.811879606904212e-08,-1.3979671696587261e-06,-2.830036369846198e-05,-0.0006030012894759456,-6.229578062877801e-10,-6.495978817636521e-08,-0.006373367960865397,3.615387785086549e-05,0.0395954765729942,-4.844171884088242e-06
0.06,-0.00609407,-1.3437849233254628e-05,-0.00033020273312859747,-6.658397262020134e-08,-3.3196131950087333e-07,-3.119512999403486e-05,0.00037067837088993583,-3.1016753132483995e-09,-1.9042871375000178e-07,0.009029886020602063,7.161297826287737e-05,0.05680558495072823,-7.025008637412594e-06
0.08,-0.01118143,-1.6927163832465463e-05,5.1793217626965816e-05,-5.422443039271473e-08,1.8117018588904086e-06,-1.0255942972090836e-05,0.001823778184790184,-8.185673121550735e-09,-3.054188129107999e-07,0.030112749085927173,0.0001445997581598444,0.08697973892258687,-3.1852136368991224e-06
0.1,-0.01585875,-8.297459156421245e-06,0.0008892747682666473,1.6038269133489012e-08,5.480506329382904e-06,4.494785370867962e-05,0.003757722828003741,-1.4245954210251634e-08,-2.584244395977283e-07,0.05344286727546077,0.0002244684432087668,0.1053416122145381,9.480452844224615e-06
0.12,-0.0147843,2.1354716207981684e-05,0.0021191433891657374,1.713371519166919e-07,1.0098695567600744e-05,0.00013856466570694336,0.005480349950570606,-1.6205035944705497e-08,1.349569636433646e-07,0.0663744809800374,0.00023928551549523558,0.06826612956363305,3.112400736019401e-05
0.14,-0.009583965,7.67502118423102e-05,0.0033842940956693222,4.1890040952461613e-07,1.454308143171727e-05,0.0002572106317719763,0.006167342217629278,-5.574793865675747e-09,1.0138735452766526e-06,0.055528492510676375,0.0002050125939500949,0.0031992098169647005,5.668806287533533e-05
0.16,-0.005283272,0.00015357131507948182,0.004183092271570216,7.489454510089229e-07,1.8356458704570914e-05,0.00037820105594289777,0.0057920491888232,2.752297200773853e-08,2.3611182829368106e-06,0.021242461516419127,0.0001730585228224557,-0.038725911170816425,7.606214128466647e-05
0.18,0.005023172,0.0002381936014962442,0.004095966617204888,1.1417713820064228e-06,2.045231406929945e-05,0.0004803631157743186,0.004146920008984294,9.048217754294768e-08,3.9440246573390874e-06,-0.033547094143338424,3.076348183374267e-05,-0.12197048537842083,7.864950079251963e-05
0.2,0.02452899,0.0003085767283773913,0.0026778587236165846,1.5372571185373464e-06,1.8076035376733865e-05,0.0005287700637259291,0.0002197820248908435,1.840411487867451e-07,5.335263588472107e-06,-0.11258224523497162,-0.00027475083498507136,-0.2642322241556456,5.5481050373301524e-05
0.22,0.03242312,0.0003338883841926247,-0.0004155602924670493,1.8321158251192672e-06,1.0787370905482677e-05,0.00047980378607388643,-0.005137060259037273,2.9867153881185104e-07,5.940860422862132e-06,-0.1930447752260125,-0.00046226621057347816,-0.2704990902712086,-6.473900976958951e-07
0.24,0.01759062,0.00028388356190800165,-0.004668066329180684,1.9610358306344477e-06,2.3520208156102837e-06,0.0003367486582363851,-0.008519668304249944,4.1202203456706106e-07,5.10785163225563e-06,-0.21785352023389437,-0.00038842587783752096,-0.07581581933141661,-8.619433325269646e-05
0.26,-0.003134423,0.00014973623106855844,-0.00853222686793947,1.9392839773263398e-06,-4.0730904662198e-06,0.0001654716084742898,-0.007940797970262538,4.907128490538457e-07,2.457607784437359e-06,-0.1537332228552149,-0.0002514954048483953,0.12445945694160258,-0.0001766107554281703
0.28,0.02415906,-4.524400552469823e-05,-0.010681405747645978,1.7750909846764863e-06,-1.392065290667352e-05,1.2768544973825902e-05,-0.008216299936324644,4.998482662299561e-07,-1.743073421555347e-06,-0.06867203891724212,-0.0007215260105266838,-0.14158296949573998,-0.00023601440600633797
0.3,0.05145356,-0.000269319504717471,-0.011603474129026825,1.3238981647765266e-06,-3.2615165776714274e-05,-0.0001945634322213584,-0.013203086891014362,4.1610580712764847e-07,-6.679834412345837e-06,-0.03190097776730241,-0.0011490704885443181,-0.3475377254309879,-0.00025092134782241175
0.32,0.01907806,-0.000505448086406436,-0.011820856443679062,4.7056528503381335e-07,-5.1182569139001876e-05,-0.0005024275044281931,-0.01636898979647781,2.330381535603887e-07,-1.156890294359969e-05,0.024423111835104608,-0.0006904327511468578,0.016906045807026898,-0.00023344334084080112
0.34,-0.04272343,-0.0007282360013848989,-0.00991578420737466,-6.24400468222809e-07,-5.485092999926238e-05,-0.0007880634502044192,-0.010393901027771204,-4.232011414511797e-08,-1.5796616596133597e-05,0.18626288332390506,0.0003427736396577896,0.5574230543685093,-0.00018176981595679164
0.36,-0.09286532,-0.0008738807750263194,-0.003843441949384178,-1.5936667282683696e-06,-3.913808179550314e-05,-0.0008621717354856383,0.004020273558676262,-3.8827938033339413e-07,-1.8419322566363632e-05,0.4268293961321086,0.0012238971685103184,0.8688718028203198,-6.727502927211481e-05
0.38,-0.1142218,-0.0008497864428223939,0.006962211094862553,-2.100174511659295e-06,-9.836192926982285e-06,-0.0006091394973893581,0.021218530034097474,-7.581890086482672e-07,-1.7900846053306e-05,0.6388042159678339,0.0017313944913618512,0.8496915760645216,0.00013377530866823917
0.4,-0.08890205,-0.0005756294310550588,0.020624735398090017,-1.9479843944931224e-06,2.5431637377069002e-05,-4.5056327027817495e-05,0.03376556576523051,-1.0721480666731256e-06,-1.2587142978090815e-05,0.6899863916480432,0.0018458060554135264,0.4223238649639042,0.000405011296345727
